标题,标题链接,查看数,参与数,需求价格,详情标题,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【LOGO设计】企业品牌LOGO 设计,https://task.epwk.com/377102/,9896人,52人,¥500,,mf150****9997,￥ 500,￥ 500,2015.09.02,公司名字 ：华氏投资管理咨询（深圳）有限公司 一投资理财 投资管理公司 企业LOGO 要求源文件 提供,任务编号：377102,KIN RABBIT,u85clx的商铺
【LOGO设计】设计一个婴儿品牌图文LOGO,https://task.epwk.com/376364/,29451人,125人,"¥1,000",,me2080,￥ 1000,￥ 1000,2015.08.30,品牌名字 BABY HERO   也就是宝贝英雄的意思  ， 这个品牌专门做婴儿安全产品，想做一个 图片LOGO当然也可以跟英文结合一起做也可以。 我本来在韩国所以接不到短信， 请你们设计好后直接上传即可。 发挥你们的想象力去帮我设计一个独特的图文商标吧 辛苦了,任务编号：376364,MOEING设计工作室,深印象工作室
【LOGO设计】中国洁华LOGO征集赛,https://task.epwk.com/376019/,30336人,112人,"¥10,000",,mf150****3708,￥ 10000,￥ 10000,2015.08.28,公司简介以及发展背景上传附件，设计师可以先了解下大赛介绍：1 、中国洁华新能源科技有限公司征集LOGO创意设计活动，大赛主要为公司LOGO设计，公司LOGO设计主要以公司业务以及公司背景为核心来体现（一定要创意，但符合企业要求，我们要求的设计需要有创意够鲜明，简洁明了，大气，颜色搭配不能过多  ）2、参赛者的logo设计请附上50字左右的文字说明，可以说创作思路，设计想法或者背景故事都可以。3、提交的logo设计请添加一些形象VI的展示3、提交的LOGO设计需要一定的拓展运用4、参赛者须将作品自行上传一品威客网上5、作品的表现手法不限，参赛作者需保留300dpi以上分辨率可用于印刷生产的位图源文件或矢量文件，获奖者需在活动结束后，向主办方提供源文件；6、作品内容不得侵犯已有其它形象的著作权（如抄袭、修改其他卡通形象等），作品内容健康、符合法律法规等要求。 参赛须知：知识产权说明1、所有投稿作品不得侵犯他人著作权，一经发现，将取消其参赛资格，如已发放奖品将原额追回，所有法律责任由投稿者本人承担；2、在大赛评奖结束后，所有获奖的参赛作品知识产权归主办单位所有，主办单位享有对获奖作品设计方案进行再设计、转让、生产、展示、出版、其他形式的宣传等权益。其他任何单位和个人不得将本次大赛获奖作品的设计方案进行宣传、出版、展览等，并不得向第三方转让，否则，主办单位有追究法律责任的权利。3、 参赛者在提交作品前请确保已经阅读并且愿意遵守相关比赛规则，任何违反比赛规则的作品，主办方有权取消其参赛资格4、 参赛者提交的参赛作品均须未被商用或授权他人使用，必须为参赛者原创，不得抄袭、盗用他人作品，且版权未移交他人。若在比赛或商业应用过程中发生版权纠纷，其法律责任由参赛者本人承担5、 参赛期间，参赛者不得将参赛作品转让或授权给任何第三方，不得用参赛作品参与与本赛事相同或类似的其他活动 评审标准美观性：1 LOGO设计中需体现：商标名：中国洁华2 充分贴合中国洁华新能源科技有限公司主要业务的应用性3 具有创意性创意点独特 获奖通知：1. 获奖通知将在最终结果公示后3个工作日内，通过电子邮件的方式发送至获奖设计师上传作品时预留的邮箱，请确认提供真实有效的联系方式；2. 请获奖设计师在活动结束后注意查收邮件，并在规定时间内回复，并根据邮件内容，配合主办方完成获奖作品源文件收集、版权协议签署等工作；3. 若获奖设计师在规定时间内对获奖通知未做回应或放弃履行相关版权转让或授权义务，则视为放弃奖项，由其他获奖者取代；4. 其他相关事宜可随时关注大赛专题首页公告。联系方式：393701705@qq.com ，有问题可直接发送到邮箱由于一直没有选到特别满意的作品，任务会暂时冻结，但是由于雇主放国庆放假，该任务决定国庆节后加价延期，请各位威客节后尽情关注，到时候积极参加！感谢各位的支持和理解！,任务编号：376019,吉乾文化传播有限公司,爵视高端品牌设计
【招牌设计】餐饮小店门头牌设计，一个logo加上“小馋吧”三个字,https://task.epwk.com/375797/,13160人,27人,¥518,,captain0102,￥ 518,￥ 518,2015.08.27,尺寸：高90cm，宽200cm要求：前面一个类似圆形的logo，后面“小馋吧”三个字，小馋吧即吃货，馋嘴的人的意思。设计时要贴近主题。“小馋吧”三个字要可爱、个性。,任务编号：375797,芭米微传媒,恒瑞企业策划
,,,,,,,,,,,,,
【LOGO设计】公司商标logo设计,https://task.epwk.com/374985/,10976人,43人,¥800,,o55cc3f75f0881,￥ 800,￥ 800,2015.08.24,"创领商务有限公司，LOGO设计及简单应用经营介绍： 公司主营金融项目及产品。设计要求：1、大气、简洁、明快;2、有视觉冲击力，醒目易识别，突出合作共赢元素;3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：374985,苏德立广告传媒™,u意思设计
【LOGO设计】安徽亚佳迪欧汽车维修有限公司LOGO设计,https://task.epwk.com/372306/,13262人,55人,"¥1,000",,Mr189****9008,￥ 1000,￥ 1000,2015.08.12,"安徽亚佳迪欧汽车维修有限公司，主要从事高端汽车维修加盟连锁业务，1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品; 3、体现出公司的经营性质以及服务于高端客户特点。",任务编号：372306,台湾设计坚持原创,wsjyhns2008的商铺
【包装设计】南京一壶春茶业有限公司茶叶包装设计,https://task.epwk.com/371482/,9159人,22人,"¥1,500",,Mr丶booloo,￥ 1500,￥ 1500,2015.08.09,1、产品数量：设计中国十大名茶之一洞庭碧螺春礼盒包装，包括内包装与外包装等；2、突出品牌“一壶春”的意境；3、风格：古朴、简洁大方、背景要以古街、古镇等为主要元素;突出品牌“一壶春”的意境；4、茶业包装图案设计要能够凸显商品本身的特色，风格简洁、古朴、厚重感；5、摄影图片运用到茶叶包装中去，摄影的对象可以包括茶叶自身的色彩和形状、典雅的茶具和冲泡时的茶汤色泽、产地风光（特别是一些古镇、古街等）和风土人情等等；6、茶业包装的文字部分，应简洁易明，主要以古诗句或提取庄子的逍遥游里面的句子，适当的用书法来体现；7、后期还要做其余九款十大名茶的包装设计，要做出”一壶春“自己的风格特色。,任务编号：371482,非创意（深圳）,本色映像
【LOGO设计】文化公司logo及商标设计,https://task.epwk.com/370489/,6787人,28人,¥500,,伊苏之城,￥ 500,￥ 500,2015.08.04,"紫旭文化公司logo及商标设计                                                    经营介绍：紫旭文化公司，主要经营图书的研发，设计，零售（天猫渠道）等业务， 商标需要注册后用于自主研发的图书品牌，可标注在图书封面上，并可做为天猫标识在商城展示。                    设计要求：                                                                            1、大气、简洁、明快;                                                                2、有视觉冲击力，醒目易识别，突出图书品牌元素;                    3、可体现图书、文化、太阳、教育的元素，logo可考虑紫色，商标设计需要符合商标设计规范，可注册。                                                                4、附上创意说明。                                                                        知识产权说明：                                                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                                                2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：370489,山一方工作室,天津尚月广告传媒有限公司
【表情设计】购物节吉祥物设计,https://task.epwk.com/369395/,6286人,9人,¥500,,Mr188****5272,￥ 500,￥ 500,2015.07.29,"基于提供的吉祥物基础素材，设计5套吉祥物的表情及相应的动作。5套表情及动作分别为：1、很嗨的2、顽皮的3、推荐二维码的4、惊喜的5、耍酷的设计要求：1、吉祥物结合了钱江潮的元素，用于大型购物节，设计的动作和表情需要体现出购物节开心、轻松、时尚的感觉；2、每一套表情都要有相应配套的动作，并且需要提供三视图（AI或PSD格式源文件）；3、允许对吉祥物体型做调整（头部不作调整）；4、给吉祥物取一个名字。备注：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权；如有侵犯他人著作权，由设计者承担所有法律责任。2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",任务编号：369395,浅言设计,ATTA视觉
【包装设计】茶江湖产品包装设计,https://task.epwk.com/368883/,6997人,16人,"¥1,000",,mf186****3676,￥ 1000,￥ 1000,2015.07.27,我们公司名叫茶江湖。www.chajh.com  准备推几款茶文化和江湖文化结合的产品。要求：1、包款，款式结合江湖文化。2、设计出来的产品，结合茶叶讲述故事。,任务编号：368883,太极石品牌设计,翌晨设计
【LOGO设计】医疗器械公司LOGO设计,https://task.epwk.com/368077/,11811人,44人,¥680,,楷祥,￥ 680,￥ 680,2015.07.23,"＂福建医疗器械网＂LOGO设计征集，需要运用在APP客户端、微信公众平台、PC网站，网络平台主要围绕医疗器械、设备、体外诊断试剂及家用健康等品牌、产品、学术论坛、学术交流等为专业医疗机构传递最新诊疗知迅，为生产厂商推广新产品及招商服务，为经销寻找适合的产品。知识产权说明 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，未注册商标，如有侵犯他人著作权，由设计者承担所有法律责任； 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：368077,深印象工作室,创文艺设计
【LOGO设计】三居建筑公司标志设计,https://task.epwk.com/367126/,13528人,81人,"¥1,500",,三居建筑,￥ 1500,￥ 1500,2015.07.18,"公司名，“三居建筑”公司主要从事民用建筑施工设计标志设计要求：建议用房屋建筑做为一个灵感来源，要求简洁抽象，本人比较欣赏老家的老房子设计，提供的这些老房子图片给设计师一些设计启发。另外也在互联网上收集了一些比较喜欢的标志，让设计师们知道我喜欢的是哪一种类型。不考虑企业名字拼音首个字母组合设计，要求抽象形象设计。此LOGO要用于注册商标，设计者需考虑注册商标图案设计注意事项。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用；设计者不得再向其他任何地方使用该设计作品。",任务编号：367126,u85clx的商铺,竹叶常青设计工作室
【LOGO设计】微信订阅号“医生都在听”logo设计,https://task.epwk.com/365072/,2363人,85人,"¥1,000",,mf138****7040,￥ 1000,￥ 1000,2015.07.08,”医生都在听“是新注册的微信订阅号。其服务是面向医生，推送最新国际会议演讲的视频音频并配有英文文字。目的是帮医生提高国际学生交流水平能力，助力医生职业成长。在学习专业最新资讯的同时提高英语听力。logo/头像会成为微信订阅号的标志，出现在每次推送的首页以及二维码中间。希望有医学和听力两个元素。,任务编号：365072,喆喆创想设计工作室,壹874設記
【VI设计】全国团队活动品牌logo,https://task.epwk.com/364063/,9450人,46人,"¥1,000",,mf158****7822,￥ 1000,￥ 1000,2015.07.04,天车联盟。体现出团队的凝聚性创新性，展示团队凝聚共赢的理念，汽车联盟品牌活动,任务编号：364063,上海驭釜网络科技有限公司,迪奥克传媒
【LOGO设计】环保公司商标设计,https://task.epwk.com/358948/,7534人,60人,"¥1,500",,訫淰,￥ 1500,￥ 1500,2015.06.10,环保公司商标设计，必须为可以注册的商标 方案一：1. 贴近公司特点环保，简洁、大气，构思精巧、易记、易识别，有科技感 2.用ZS字母为设计元素  （Zhong Sheng）3.形式不限，彩色商标。4.能体现奋起拼搏、发奋图强、腾飞等积极向上的效果。方案二：1. 贴近公司特点环保，简洁、大气，构思精巧、易记、易识别，有科技感 2.以RAEME单词为主要元素，可添加其他元素，3.形式不限，彩色商标。4.能体现奋起拼搏、发奋图强、腾飞等积极向上的效果。,任务编号：358948,KIN RABBIT,子轩设计
【LOGO设计】公司LOGO设计及名片,https://task.epwk.com/361549/,8444人,35人,¥500,,caoluanfei,￥ 500,￥ 500,2015.06.23,"名称：包头市圣美文化传媒有限公司VI应用内容：LOGO设计及名片行业：礼仪服务，摄影服务，婚庆服务，表演策划设计要求：有内涵、简洁大气、有视觉冲击力。知识产权：    1）、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;    2）、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。直接设计后上传就可以了 。满意的直接选标！如果添加QQ的请不要发广告了 ， 发广告我也不会回的。 直接上传就可以了 谢谢配合！",任务编号：361549,创文艺设计,竹叶常青设计工作室
【包装设计】钢子馅饼店产品包装设计,https://task.epwk.com/361366/,6717人,12人,¥700,,练九,￥ 700,￥ 700,2015.06.22,"钢子馅饼店 介绍                      经营介绍： 钢子馅饼店是中国10大慈善家钢子践行自己“公益创投，义利兼顾”慈善理念钢丝小天使计划其中的一项实体店计划，由其个人出资为困难家庭开馅饼店，开店人无需担心经营风险，只需将年盈利的1%至10%拿出来用于慈善，由此形成良性循环，推动全民慈善事业的健康、快速、可持续发展[1] 。               设计内容：1，设计其中产品之一   小钢饼的包装  用网络销售的同城快递 每盒8个饼， 也便于日常送礼手提袋  每袋装两盒   。                                       2，  设计中秋节的礼盒包装及手提袋 每盒16个饼。设计要求： 1、设计师请百度：钢子    钢丝善行团    @ 钢子馅饼店    钢子壹起捐  及上新浪微博@钢子  了解收集设计 思路。         2、有视觉冲击力，醒目易识别，突出公益慈善创投的文化理念。 最好 把“公益慈善心  健康良心品”这句话设计在包装盒和手提袋中。 3、能体现特色，把钢子二维码    钢丝善行团    @ 钢子馅饼店    钢子壹起捐的  LOGO      有艺术的搭配设计在包装中  。标志LOGO自行在网上及上新浪微博@钢子中下载。4小钢饼像酥饼样容易碎 所以   设计中要考虑产品在快递中的安全完整性。 5、      附上设计创意思路说明。有要沟通的请加微信号1476425722       知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：361366,JEREMY,公牛设计
【LOGO设计】《和合养生》的宣传广告语,https://task.epwk.com/361247/,8684人,59人,¥800,,mf186****8009,￥ 800,￥ 800,2015.06.21,《和合养生》是一家集按摩，足疗，理疗，汗蒸一体的高端养生会所，现征集广告语，要求简单，顺口，看过就能记得住的。,任务编号：361247,思创文化传媒,海南西乡
【LOGO设计】设计一个韩国公司Logo,https://task.epwk.com/361140/,30171人,140人,"¥1,288",,me2080,￥ 1288,￥ 1288,2015.06.20,大家好，我多次在一品威客发布设计logo任务，都已经圆满成功，这次再发布一个希望大家积极参与。韩国公司， 名字叫：  乾隆，    拼音就是读音了 Qianlong已乾隆和拼音qianlong 或者 QL 组合来设计一个 时尚前卫的一个商标LOGO设计。 公司主营也是是在韩国批发零售各大信息独特的产品，而且代理世界时尚高科技的产品的品牌，在韩国托赞业务的一个公司。 电子商务，百货店，各大渠道都有业务， 因为韩国公司老板是中国人所以起名叫乾隆。 直接设计后上传就可以了 。满意的直接选标！如果添加QQ的请不要发广告了 ， 发广告我也不会回的。 直接上传就可以了 谢谢配合！,任务编号：361140,竹叶常青设计工作室,沈阳光音文化传媒有限公司
【招牌设计】草根蔬菜园店招设计,https://task.epwk.com/361079/,7365人,16人,¥500,,粗卤壹拔骨,￥ 500,￥ 500,2015.06.19,成都未知源农业开发有限公司计划在3年内开店50家，实现蔬菜、猪肉、水果“基地+门店”一站式销售，现向广大有创意的朋友征集店招设计方案！,任务编号：361079,恒瑞企业策划,恒瑞企划
【LOGO设计】北京绿普环宇花卉有限公司商标设计,https://task.epwk.com/360502/,5729人,12人,¥500,,lisuwen,￥ 500,￥ 500,2015.06.17,我们是一家环保园艺公司，成立于2009年，前期主要以单位、酒店、商场、学校等对公的绿植租摆维护服务为主，近年来不断参加行业高峰论坛，展会，也代理一些高档的储水功能的环保透气器皿，引进室内立体植物墙的相关工艺，可以承接施工及维护，经过多年的工作市场调研发现，目前都市人群渴望能有自己的桌面小花园，家庭能有自己的一个园艺花园空间来缓解工作和生活的压力，但是苦于不会养、怕养死，所以不敢养花，所以我们自身的优势是在本地有温室大棚，南花北养最大的问题就是环境不适应，那么我们就想通过自己多年的经验总结出一套完整的家庭养花经验，推出易活花卉产品，指导客户按流程养护家庭花卉，大大节约养护工作时间、用水等等措施，定期会举行《室内花卉功能知识讲座》帮助提高养护技能，了解花卉文化，为北京的节能环保做出自己的一点贡献，所以鉴于此，想对公司品牌做个包装策划，先设计个商标，包含公司简称的，能够把我们公司理念设计进来，为下一步的VI设计、品牌策划做好铺垫工作,任务编号：360502,八方平面设计,展新视觉
【LOGO设计】用“天朗.柜族”做LOGO设计,https://task.epwk.com/360159/,8123人,28人,¥700,,o5505****31364,￥ 700,￥ 700,2015.06.16,我们是杭州天朗洁具有限公司，以生产浴室柜为主，现要注册“天朗.柜族”为公司LOGO。设计要求： 1、大气、简洁，有视觉冲击力，醒目易识别，突出柜子元素2、LOGO为中文和英文一起注册，英文可使用“天朗贵族”的翻译。3、请附上创意说明。4、必须为原创设计。,任务编号：360159,KIN RABBIT,竹叶常青设计工作室
【VI设计】法智网LOGO及其VI简单应用设计,https://task.epwk.com/359289/,8750人,20人,¥888,,mf158****7916,￥ 888,￥ 888,2015.06.11,法智网（法智帮）专注于物业法律服务的云诚信平台（互联网+）一、法智网（法智帮）LOGO可以不受限制，设计中对法智网进行含义的外延和文化内涵一、关于LOGO，目前团队有意将“法智帮”也作为一个独立的品牌进行。设计师可以考虑选取“法智网”或者“法智帮”进行设计或者两者皆设计（两者都设计如被选取费用增加20%）网站地址：www.fzw580.com1、作品需符合律师职业特点，蕴含法律服务寓意。2、作品应构思新颖，简洁明了，色彩谐调，大气庄重。3、作品易懂、易记、易识别、易制作，可以结合“法智网”或者“法智帮”的名称进行设计，设计中应考虑英文名称因素。4、作品的色调、构图由设计师自由发挥，图案颜色要简单、大方、印象深刻。5、该标志将应用于办公室形象墙、名片、信封、信纸、手提袋，文件夹、合同纸封面、合同纸内页、律所简介、桌牌、房间指示牌、室内宣传牌等，请考虑通用性要求。二、VI简单应用（需基于LOGO的基本要素）：包括：办公室形象墙、名片、信封、信纸、文件夹、律所简介、律所电子文档模板、合作客户授匾，如：WORD模板页脚页眉设计、PPT模板、EMAIL签名。稿件要求：1、VI基础应用设计应注明标准字，标准色使用规范，，最好能提供多种配色方案参考选择。2、中标设计师需提供作品的完整方案，包括但不限于用于修改及制作的AI，CDR，PSD等格式原文件，应为矢量图。备注：各位设计师辛苦了，提交初稿时只要提交logo，名片和办公室形象墙设计就好，其余等选中标之后详细沟通。谢谢！权利要求：1.设计师需保证作品的原创性及素材来源的合法性，设计的作品必须为投稿人独立创作的第一次发布的作品，且该作品不会侵犯他人任何权利（包括但不限于著作权）；如有侵犯他人权利的，由设计师承担所有法律责任（包括但不限于退还已经支付的奖金及承担我单位其他因此造成的损失）。2.设计作品被确定为中标后，作品的知识产权立刻均归本单位所有，同时本所有权以任何方式对其进行使用，包括但不限于修改、组合和应用等。设计师不得再在其他任何地方使用该设计作品，否则，则构成侵权，并应承担相应的法律责任。3、设计师至招标结束一直未获得本公司采用通知的，可以将投稿作品作其他用途，但必须除去稿件上有关我所的任何元素。4.参加此设计任务者被视为同意以上所有声明。,任务编号：359289,博生广告,正壹品牌设计策划
【LOGO设计】麻辣小龙虾LOGO设计（已有理念）,https://task.epwk.com/359014/,23176人,42人,¥500,,mf135****1513,￥ 500,￥ 500,2015.06.10,"“六仔”麻辣小龙虾LOGO设计说明经营介绍：     “六仔”是一家以经营特色麻辣小龙虾为主的小店面餐厅（50-100平方米左右），以堂食加当地外卖服务为主，并面向全国推广加盟为主，特色餐品“六仔”麻辣小龙虾及系列产品是用密制的工艺制作而成，口感醇香麻辣堪称一绝，领先于其它同类产品，深受消费者亲睐。 LOGO 设计效果要求： · 1、大气、简洁、明快，外卖和加盟宣传突出; · 2、有视觉冲击力，颜色搭配醒目易识别，白天和晚上的效果都很醒目; · 3、能体现特色，看了让人有美食欲望和消费欲望。 LOGO 创意要求及说明：1. 外观整体形状为圆形；2. 圆形范围内呈现一个隐形却又容易辨认的汉字“六”，具体描述是一只可爱并很容易让人留有印象的卡通小龙虾，由小龙虾的两只大钳子（相当于汉字“六”横线下方的两点）托举着餐盘或者托盘（相当于汉字“六”的横线，“横线”内上下空间要有一定的高度，要将“加盟电话400xxxxxxx”电话号码显示出来），在餐盘或托盘之上有一个小的圆形或是汉字“六”上面的一点（这一个点可以是圆形，也可以是毛笔字一点的形状或是其他形状，总之以整体效果为主，在这一点内要有上下排列的“六仔”两个字）；3. 此设计理念的寓意为：产品托起了品牌。产品为小龙虾（两只大钳子为六字下面的两点），餐盘或托盘为平台（此为六字横线），品牌“六仔”二字就在“六”字的一点之内。六字下面的两点既是笔画中的两点，又是小龙虾的两只大钳子，这两者完美的结合在一起是ＬＯＧＯ的亮点；4. 在以上圆形内容以外的下方，有一行从左至右的品牌全称“六仔麻辣小龙虾”，字体大小颜色要和整体协调配套。5. 以上为设计理念和内容，请高手们将内容中所涉及到的各细节以理念为根据，将色彩搭配和图形选择以及字体做到最佳；6. 附件中草图是个人配合以上说明手绘的；7. 另一张图片是请高手们作参考的，要求本LOGO一定以超越它为目标。知识产权及责任声明：1.所设计的作品应为原创，LOGO未在国家商标局注册过，未侵犯他人著作权；如有侵犯他人著作权，及其他因此引起的任何法律纠纷，由设计者承担所有法律责任，及一切经济赔偿责任。2. 一旦竞标成功, 竞标人须把中标作品的源文件、完整的矢量图（含电子版）移交我方，提供的图片和图形必须达到实际应用的分辨率，经我方确认后交割佣金，且不得以此提出增加额外报酬。3.设计作品一经采用，所有权、修改权和使用权均归我方所有，包括并不限于著作权、使用权、发布权以及对设计作品进行修改、组合、应用等权利。设计者不得在其他任何地方使用该设计作品，否则构成侵权，本公司保留依法追究设计方法律责任的权利。4.征集结果公布后，未采用的作品即可自行处理。5.参加此设计任务者为同意以上所有声明。",任务编号：359014,mf134****4768,易创视觉品牌设计机构™
【LOGO设计】体育用品公司LOGO设计，名片设计,https://task.epwk.com/358756/,9635人,31人,¥500,,mf139****2965,￥ 500,￥ 500,2015.06.10,"北京博盛辉腾体育用品有限公司，是一家以销售阿迪达斯，耐克，李宁，安踏品牌为主的公司，主要经营服装、鞋帽、器材。现在公司为了更好的发展。现征集公司LOGO和名片设计，需求如下：LOGO：大气、简洁、给人印象深刻。名片一：1.简洁明了，给人印象深刻，突出体育元素，但是不能是限定某个项目，比如篮球、排球等2.名片正面，公司LOGO，公司名称、姓名、职务、手机、email、地址3.名片背面是经常经销品牌的LOGO，如阿迪、耐克、李宁、安踏名片二：1.突出足球元素，最好能把国安的LOGO设计到里面。2.名片正面，公司名称、姓名、职务、手机、email、地址3.名片背面是经常经销品牌的LOGO，如阿迪、耐克、李宁 知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：358756,竹叶常青设计工作室,碧青设计
【LOGO设计】美国餐饮服务公司logo设计,https://task.epwk.com/358590/,6114人,37人,"¥1,000",,好似老虎的猫,￥ 1000,￥ 1000,2015.06.09,"美国餐饮服务公司logo设计 ，名字为“party yummy”，要求如下：

一、简约，大气。以红、橙、黄等暖色系为主。
二、设计party yummy2个单词为logo，重点突出yummy单词，能联想到美食聚餐， logo要求寓意“有丰盛美味的party” 。
三、要有美国品牌辨识亲和力（例如神似像“可口可乐”“必胜客”等美国本土老牌品牌logo。
四、logo主要用在手机客户端，设计时可以手机客户端页面作为背景。
五、希望有意的设计师能设计出几款来对比。",任务编号：358590,大刀品牌顾问,ananke
【LOGO设计】公司logo设计,https://task.epwk.com/357735/,10398人,44人,¥800,,zshien,￥ 800,￥ 800,2015.06.04,公司名称：广东胜天农业工程有限公司，主营：各类型温室、大棚、灌溉设备及各类育苗、栽培、环境控制、植物组培等现代化农业设施、机具及设备。logo要求简洁，方便将标志微调整后做成模具，冲压在钢结构件上面及注塑在塑料制品上。温室主体钢构件为热镀锌钢管为主。,任务编号：357735,一视觉设计,哇牛品牌设计
【包装设计】味客隆工贸有限公司产品包装设计,https://task.epwk.com/335578/,1866人,4人,"¥1,500",,flyflysx,￥ 1500,￥ 1500,2015.03.05,详情见附件,任务编号：335578,北京朴琢品牌策划顾问,竹叶常青设计工作室
【LOGO设计】“华人有机会”logo设计,https://task.epwk.com/355533/,5412人,23人,¥500,,shu804,￥ 500,￥ 500,2015.05.26,“华人有机会”即在这个平台上，是华人就有机会，或是华人有机产品的总会。是微商城是会员卡系统。是APP的标识。,任务编号：355533,阿雄设计,东煌腾达
【VI设计】企业的整套vi设计和产品包装设计每个产品5元共计500种产品,https://task.epwk.com/355800/,4338人,5人,¥500,,Mr155****2955,￥ 500,￥ 500,2015.05.27,1，本公司为汽车配件的生产及贸易企业，主要生产汽车配件和进行汽车配件的出口贸易。2，共有两个公司的vi设计需要做。一个是alaska  为主要的设计标题。一个是zparts为主要设计标题。3，先进行两个logo的设计。logo设计中标后，其余的产品设计都交由该公司负责设计。4，一期logo设计每个100元。5，二期公司其他vi设计每个产品5元。,任务编号：355800,最艺社工作室,渲染精彩
【包装设计】晨阳水漆漆桶环保改造创意设计大赛,https://task.epwk.com/354064/,16777人,31人,"¥7,671",,eck_task,￥ 7671,￥ 7671,2015.05.19,一、大赛征集要求：结合项目个性特色，以环保、健康等为主题，将漆桶做环保改造设计。1.针对晨阳水漆产品包装桶进行再利用创意改造。2.可针对不同产品包装桶设计出不同的创意造型，也可多种包装桶组合造型设计。3.作品要求不少于三种再利用改造设计效果。4. 设计作品要求时间利用改造过程中操作便捷、方便实用、 美观创意。5.设计提供JPG或者PSD格式文档。6.设计稿要附带200-400字创意说明。二、时间设定：作品征集 ：5月19日-6月9日投票评选： 6月10日-6月30奖项公布：7月5日-7月10日三、奖项设置：一等奖（1名）：5117元人民币 晨阳水漆试用产品及代金券二等奖（1名）：1777元人民币 晨阳水漆试用产品及代金券三等奖（1名）：777元人民币 晨阳水漆试用产品及代金券入围奖（7名）：晨阳水漆试用产品及代金券四、大赛相关声明：1. 应征者必须保证作品系原创，此前未曾发表过，并不得侵犯他人著作权等合法权利，如有侵权情况发生，由应征者自行承担法律责任，主办方不承担任何责任。2. 应征作品一经获奖，作品所有权、修改权和使用权等著作权即时全部无偿一次性归主办单位所有，应征者不得自行使用或转让给第三方使用。3. 本次活动最终解释权归主办单位所有，并按中国法律规定执行。一旦参加应征，即视为无条件同意本启事所有条款。晨阳水漆产品请下载附件。,任务编号：354064,艺创视觉设计,wiki吾奇
