标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求时间,任务编号,字段8,字段7,字段9,字段10,字段11,字段12,字段13,��段14,字段15,字段16
【产品推广】一分钟赚4元 《今日头条极速版》推广,https://task.epwk.com/720059/,1807人,18人,¥500,凯先森,￥ 500,￥72,2019.03.11,到手机的软件商店下载安装并注册《今日头条极速版》填邀请码【CVCJ2NXR】完成后截图用户名即可，我这核对正确就可以发放奖励新用户注册本身自己就可以 赚1元红包哦，你们也可以邀请自己的好友每天阅读可以赚金币，金币也可以赚现金用的越多赚的越多赚钱方式以及给你了还等什么交稿格式：截图今日头条极速版的用户名（需首次注册，并且通过我的邀请码注册才视为有效。）完成时限：3月30日截止。每个一品ID仅限参与一次，多次提交视为无效。,任务编号：720059,大头的熙子,o5c7516591184f,阐释者神父,o5c8a1cb33236b,一品威K,wicked,o5c8863900c792,o5c7fad5ed6fe8,o5c763d5a6afdd,冰0麒麟
【微信推广】朋友圈转发海报，操作简单，每单3元,https://task.epwk.com/720201/,2176人,76人,¥500,daniao,￥ 500,￥319.06,2019.03.11,任务要求：内容：1、下载任务附件的海报，转发至朋友圈（发原图）2、配文：刚刚发现一个真的免费看全网影视VIP会员电影的平台，我刚免费领取了一年视频VIP会员，没想到居然是真的，哈哈，太高兴了。天下免费的午餐原来是这样的。扫他微信免费送你优酷，爱奇艺，腾讯视频，搜狐视频等全网任意影视网站VIP会员。以后有好东西我也都分享给大家。要求：1、朋友圈好友人数大于200人2、将海报转发至朋友圈保留12小时以上3、朋友圈海报转发不能设置分组和权限，一定得公开4、每个账户只能参加1次交稿格式：1、微信“我”界面截图一张2、好友数截图1张3、朋友圈转发保留12小时截图1张（一定要能看到完整的发布内容）注： 微信必须要私人号，营销号无效，未绑定手机和实名的微信号无效,任务编号：720201,诺亚广告,qwepoi2008,阿达打的对对对,o5c08acb49efa3,mf189****8909,o5c08aa4477b3c,"个人 |            
            denglong","个人 |            
            denglong","工作室 |            
            luo0710","工作室 |            
            luo0710"
【微信推广】高单价3元/单 微信官方群发助手推广 一人可多做,https://task.epwk.com/720054/,2717人,39人,¥1200,o59abad3f032a3,￥ 1200,￥441,2019.03.11,"1.最好记住你最后选的第200人的名字，这样发下一个200人的时候，你知道从哪里开始。2.发重了，不审核。每人可以多做，只审核群发200人。每群发200人为一稿！3.内容为文字+图片！文字内容和 1张图片必须全部群发发出去！每稿都要有4.内容见转发文章内容  图片见附件任务步骤：1.进到微信界面》我》设置》通用》铺助功能》群发助手》开始群发》新建群发，每次最多可发200人。2.上传清晰的成功截图和文字转发截图，总计三张 作为完成任务的证据！转发文章内容：我在公众号：天天习惯养成，养成了坚持早起的习惯，还能获得早起的奖励基金。分享是人生一大乐事,转发一下,让更多人获益！希望人人都能养成好习惯，坚持下去，天天习惯养成助力大家养成好习惯。还有坚持运动、坚持健身、坚持学习、坚持读书等陆续上线！审核标准：1、群发两张图片截图和文字截图2、我微信截图",任务编号：720054,"个人 |            
            会飞的梦",mf189****8909,"工作室 |            
            小小龙儿","工作室 |            
            小小龙儿",mf189****8909,"个人 |            
            慕容苓泽","个人 |            
            慕容苓泽",o5c08acb49efa3,o5c08acb49efa3,兼职传单设计
【微信推广】微信朋友圈转发，一条4元,https://task.epwk.com/719879/,1632人,62人,¥500,kxj31589,￥ 500,￥224,2019.03.10,"任务需求任务内容，转发以下文字+图片：卓樾犬舍，有喜欢纯种双血统拉布拉多的可以加他微信，所有小狗可以保一个月犬瘟细小，支持全国托运。任务审核：转发朋友圈：所有任务图+内容文字，转发朋友圈，好友200人以上，不可屏蔽分组、设置观看权限，24小时后截图领取交稿格式：1、微信“我”界面截图，2、好友数截图，3、朋友圈截图（需体现24小时前的时间截图）每个一品ID 仅限参与一次，营销号无效重点：提交任务的时候要三张截图，第一张是您微信号截图，点击微信菜单“我”然后截图。第二张是通讯录拉到底显示的好友数截图。所有截图最上面必须显示手机上面的时间。第三张是您相册截图，点击微信菜单的“我”，选择“相册”并截图。24小时后截图才有效，之前做过这个犬舍微信转发的请勿再做。（要能看到转发内容的哦）,任务内容，转发以下文字+图片：卓樾犬舍，有喜欢纯种双血统拉布拉多的可以加他微信，所有小狗可以保一个月犬瘟细小，支持全国托运。任务审核：转发朋友圈：所有任务图+内容文字，转发朋友圈，好友200人以上，不可屏蔽分组、设置观看权限，24小时后截图领取交稿格式：1、微信“我”界面截图，2、好友数截图，3、朋友圈截图（需体现24小时前的时间截图）每个一品ID 仅限参与一次，营销号无效重点：提交任务的时候要三张截图，第一张是您微信号截图，点击微信菜单“我”然后截图。第二张是通讯录拉到底显示的好友数截图。所有截图最上面必须显示手机上面的时间。第三张是您相册截图，点击微信菜单的“我”，选择“相册”并截图。24小时后截图才有效，之前做过这个犬舍微信转发的请勿再做。（要能看到转发内容的哦）",任务编号：719879,"工作室 |            
            luo0710","个人 |            
            slosao","个人 |            
            slosao","个人 |            
            slosao","个人 |            
            slosao",larang,"个人 |            
            denglong","个人 |            
            denglong","个人 |            
            denglong","个人 |            
            denglong"
【微博营销】微博转发，置顶，点赞评论，5元一稿,https://task.epwk.com/719824/,2681人,7人,¥500,idpaLi,￥ 500,￥25,2019.03.10,一、推广内容，转发：1、微博： http://weibo.com/6044362607/HhSMYkLcG  IDPA（国际防卫手枪协会）究竟是什么微博转发并置顶，      二、参与需求说明： 1、微博转发置顶，点赞和评论这个事件字数超过20字，并且@5位以上好友三、参与需求条件： 1. 微博开通需要3个月以上，微博等级3级以上，粉丝数在600以上。（注意：微博等级及粉丝数低于要求，则无效） 2.  将微博加关注、点评、转发，缺少一个条件即视为稿件无效； 3. 将微博里的内容转发到自己的微博，转发的微博内容不得删除，人工审核，7天内删除者视为稿件无效； 4、广告号、僵尸号和机器号的微博一律不通过。四、如何交稿：  1. 转发截图+点评截图+微博名+粉丝数+转发链接 2. 每个微博账号交稿数量为1个，多次或重复提交不计入中标范围,任务编号：719824,"工作室 |            
            luo0710","个人 |            
            findgood的店铺",o5c8b8e26b4ca3,bonny1226,千羽幻洵666,,,,,
【产品推广】全民小视频注册3元一单简单快捷,https://task.epwk.com/719772/,1143人,9人,¥500,o5bdd8acf4f9fd,￥ 500,￥29.97,2019.03.10,"全民小视频百度旗下产品，跟抖音对标。只要下载注册填邀请码：DS3WW95 并观看视频获得60砖即完成任务


任务流程：

1，下载注册即可（或在安卓/苹果应用商城内搜索全民小视频进行下载，输入邀请码：DS3WW95 完成任务后 3元一单


2，交稿格式：提交注册手机后4位跟注册成功之后的截图《需看到ID 和头像》

操作过程有什么不懂的地方或想加入全民小视频团队一起愉快赚钱

（新人立享更多专属福利以及现金奖励），也可以加微信wani3258  备注：全民小视频


一个账户仅限参加一次，重复无效！也可扫描下方二维码下载注册",任务编号：719772,年少有为a,o5c89bf62d1bb7,o5c8794112232f,o5c8eea8b00999,o5aaa7a782c59d,o5c983cb12a41e,anayaca,o5ca82b9381c01,o5b95f6f33b8ec,
"【APP推广】今日头条极速版,一稿3元",https://task.epwk.com/719581/,1094人,12人,¥501,o5c83d4fea4b82,￥ 501,￥27,2019.03.09,在应用商城下载：今日头条极速版，用手机号码或者微信注册，在“任务”--“输入邀请码”--输入邀请码：DCN299LJ之后点击“马上提交”，然后看一篇文章或者视频，提示你已收入100金币即可。截图“我的”页面给我，当天审核。填写邀请码即可在“今日头条极速版”操作（请注意：只有今日头条极速版的新用户有效）一个一品账号限参加一次，重复无效。请各位严格按照步骤完成任务，必须先填邀请码在看文章或视频，如稿件被标注为备选稿件，说明步骤出现问题，请按步骤执行，谢谢！下面我就简单分享一下我在头条中的3个主要的赚钱方式。一、头条号收益我在这里主要是广告的收益，这也是自媒体的主要收入之一。不管你是分享图文还是视频，只要有阅读量就可以赚取平台的广告分成。下面是我最近一周的收益截图。 每天多的时候有200多，少的时候也有几十元，平均每天100元应该是有的。通过上面的截图，除了广告收益之外，我们还看到有赞赏、商品和专栏收益。赞赏就是用户自愿给你打赏的部分。商品收益是你在文章或者视频中插入产品广告的销售佣金。专栏收益是指你的付费内容销售收益。二、悟空问答收益悟空问答主要是通过回答问题赚取的红包收益。前提是你的账号得开通收益功能才行。目前悟空不接受申请，你只能是通过高质量原创的回答来证明你的专业水准，符合标准后系统会帮你开通。 我每个问题的红包收益平均差不多有100元，现在我每天回答2个问题左右。也不要回答太多，质量还是要保障才行。 另外，你最好选择一个垂直领域，不要什么问题都回答。比如我回答的绝大部分问题都是摄影的领域。三、极速版今日头条这是今日头条的另一个版本，一个谁都可以在上面轻松赚钱的版本。 最早只有安卓版，现在苹果版也开通了。我同时运营了3个号，每个号每天有30元收益，每个月大概有2500左右的收入吧。 玩法很简单，在手机中下载极速版APP，填写邀请码：DCN299LJ，就可以开始你的赚钱之旅了。赚钱方式主要有以下三种：1、阅读赚金币就是阅读极速版头条中的文章或者视频，就可以赚取金币。2、邀请好友赚奖金邀请1位好友加入有26元奖励3、赚取好友阅读奖励系统会把你好友每天获得金币数量的两倍，奖励给你。所以说如果你邀请的好友很多，光这一项你就可以让你躺着赚钱了。 关于提现，现在比之前要好很多了，即便是1元钱也能提出来。你每天获得的金币数量，系统会自动帮你兑换为人民币。你可以提现到支付宝或者微信账号中，非常方便。 以上就是我通过头条赚钱的3个主要方式，希望对你有所启发。欢迎关注、点赞和转发！,任务编号：719581,年少有为a,o5c8530ff03072,o5c820108b51c9,o5c8669428cda5,百花,诺亚广告,o5c8a0f45d33d3,o5c8a227831d6c,o5c8d14bf07a29,
,,,,,,,,,,,,,,,,,,,,
【微信推广】微信推广 ，10元一单超级好做,https://task.epwk.com/719662/,1997人,34人,¥500,o5c835dbe6f82c,￥ 500,￥400,2019.03.10,《惊奇队长抢先版热播中》，海量电影，电视剧，综艺不需VIP即可免费观看，纯净无广告，给你最佳的观影体验      微信朋友圈推广，把我们的广告语和宣传图片发到朋友圈得到20个以上赞即可完成订单《惊奇队长抢先版热播中》，海量电影，电视剧，综艺不需VIP即可免费观看，纯净无广告，给你最佳的观影体验:emoji:各大网站付费电影电视剧，站内搜索即刻观看 www.neipian.com                           纯绿色 电影网站推广很好做交稿要求：提交发送朋友圈转发内容截图，要能看到点赞数量,任务编号：719662,兼职传单设计,qwepoi2008,MxiaaoQi,诺亚广告,yp13078442693,"个人 |            
            会飞的梦",昉0602,翠花上酸菜,jieliao,o5c85f43a914cf
【APP推广】趣头条APP注册推广每单3元,https://task.epwk.com/719246/,934人,1人,¥500,摄影英政,￥ 500,￥3.01,2019.03.08,趣头条APP注册推广3元/单1下载进入APP复制输入邀请码A431263619点我领现金2:注册当天起连续试玩三天每天保证200金币收益即可3:截图交稿（交稿格式见下方图片）4、审核通过就算一个一品账号限参加一次，重复无效。恶意重复交稿可能会被举报5、非常简单每天看3分钟视屏即可获得200金币6、若有不懂请联系微信243258320打开应用市场搜索趣头条APP填写邀请码即可通知:连续三天200金币收益来自阅读奖励，只签到不予通过！,任务编号：719246,o5c8269e395c33,,,,,,,,,
【产品推广】简单淘宝评价和追加评价，每稿5元,https://task.epwk.com/719119/,1042人,2人,¥500,让牛飞一会,￥ 500,,2019.03.08,要求1，只要销量500以上，产品单价5元以上的未评价订单2，完成任务需要按要求评论初评，然后追评正常写一段评价语，带标点符号80字左右，也可以去复制其他人的非广告评语，要求通顺，不能完全复制，可以拼凑，然后在前边加上我的广告语初评和追评都按以上要求执行，但是初评追评的80字评语不能一样下边是广告语我试了真的便宜了，半价购买的，才用了##就入手了，哈哈，馊威信“共~宗号”：~~哈哈折~~，排在第一个才是呢，再去下单，建议你们也去试试吧，3，广告语可以直接完全复制，第一行有一个##要删掉，改成数字，这个数字就是这款产品最低价格的一半，比如最低价是30，那就把##改成154，选10张不一样的图片，可以自己拍 也可以取其他用户，初评追评各放5张5，每个账号可以交5单任务交稿方式2个截图和1个分享链接截图1，产品首页带销量价格的截图截图2，点我的淘宝往下拉选我的评价，找到刚才的评价点开截图分享链接， 链接就是在示例图2的右上角有个分享，点击以后复制连接粘贴上来就可以了示例图在下方，切记广告语##一定要替换成价格,任务编号：719119,,,,,,,,,,
"【微信推广】高单价微信群发,一稿4元,可多做,简单好赚",https://task.epwk.com/718821/,2093人,46人,¥500,o5c80880c95f13,￥ 500,￥220,2019.03.07,任务需求1.最好记住你最后选的第200人的名字，这样发下一个200人的时候，你知道从哪里开始。2.发重了，不审核。一个一品账号限参加2次（请勿重复提交），只审核群发200人。需要个人常用生活号，每群发200人为一稿！3.内容为文字+图片！文字内容和 1张图片必须全部群发出去，每稿都要有！4.内容见转发文章内容，图片见附件（营销微信号，僵死号无效，请勿交稿，需个人常用微信号）任务步骤：1.进到微信界面》我》设置》通用》铺助功能》群发助手》开始群发》新建群发，每次最多可发200人。2.请上传清晰的转发成功图片以及微信人数图片！缺一不可 作为完成任务的证据！转发文章内容：推荐一个淘宝购物返利神器给你。不加群，不下载，把淘宝/天猫想买的东西分享给他，就能自动查询内部优惠券和返利，完全免费！自用省钱，分享还能赚钱！,任务编号：718821,o5c08acb49efa3,o5c08acb49efa3,qwepoi2008,qwepoi2008,"工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","个人 |            
            慕容苓泽","个人 |            
            慕容苓泽","工作室 |            
            品创设计工作室",兼职传单设计
【微信代运营】公众号关注，每稿3元,https://task.epwk.com/718023/,3300人,152人,¥500,ajq234,￥ 500,￥499.66,2019.03.06,【公众号关注】微信公众号里搜“图片处理”第2个然后关注，关注后再给此公众号发“图片处理”4个字即可，弄完截图，不可取关！（搜图片处理--第2个是我蓝色头像：如图。不要关注错了（有圈红圈的那个））排名随着时间可能有变，看好蓝色头像，如附件图所示。一个一品账号（一个微信号一个手机）限参加一次，重复无效。,任务编号：718023,o5b4ab6f006943,z1543036698,"工作室 |            
            luo0710","个人 |            
            denglong",亲亲宝贝儿,o5c7bfe7d6a849,ycedar,"个人 |            
            一颗冰心","个人 |            
            denglong",o5c7f52ff9734d
【产品推广】网站注册账号，5元一稿，秒完成，数量有限,https://task.epwk.com/718056/,3471人,47人,¥500,mf53c75c33df3a0,￥ 500,￥5,2019.03.06,这个任务一共奖励10元，希望大家踊跃交稿注册地址：http://www.juxiangyou.com/floor/recom/4272409 (复制此链接到浏览器打开，不是此链接注册无效，无法获得赏金)注册就送10000u币（1万U币=1元），注册后赚取50000u币，即可完成任务。完成任务一单赏金5元，几分钟轻松到手，截图网站余额（包含ID）交稿即可,任务编号：718056,mf151****0837,,,,,,,,,
"【APP推广】今日头条极速版,一稿3元",https://task.epwk.com/717887/,1060人,22人,¥501,o5985d70ed7cf5,￥ 501,￥60,2019.03.05,在应用商城下载：今日头条极速版，用手机号码或者微信注册，填写邀请码：B6VW9VAGHAR然后看一篇文章或者视频，提示你已收入100金币即可。截图“我的”页面给我，当天审核。填写邀请码即可在“今日头条极速版”操作（请注意：只有今日头条极速版的新用户有效）一个一品账号限参加一次，重复无效。请各位严格按照步骤完成任务，必须先填邀请码在看文章或视频，如稿件被标注为备选稿件，说明步骤出现问题，请按步骤执行，谢谢！,任务编号：717887,csy111111,o5c7d28c88ecf1,禾夕,o5b452e590b2f8,o5bed466baf68c,夜雨声烦zZZ,"工作室 |            
            只为你而设计",七夜纯黑色91,o5c8233ed71806,o5c8108a3b1269
【APP推广】花生日记app注册，每稿3元,https://task.epwk.com/717462/,1539人,29人,¥500,heydog大神,￥ 500,￥48.16,2019.03.05,【花生日记】注册。扫描附件二维码下载，注册时务必填写邀请码：5WAA4W9或18682250203均可交稿要求：1.提供我的用户名中心页面截图 和手机后四位数。审核无误立马通过2.一个一品账号限参加一次，重复无效【怎么领取淘宝优惠券？】我们在淘宝天猫看中了一款产品，复制宝贝标题，然后打开花生日记搜索到该产品，点击产品选择抢券，即可自动跳转到淘宝领券页面，领完券之后下单商品的价格自动减去优惠券的金额。这里说一下，所有的优惠券都是无门槛使用的！,任务编号：717462,"工作室 |            
            小小龙儿","工作室 |            
            小小龙儿",亲亲宝贝儿,"个人 |            
            一颗冰心",乔伊伊,四川曾先生,"个人 |            
            slosao","工作室 |            
            luo0710","个人 |            
            denglong",o5c7e1691c55a9
【APP推广】app “花生日记”  下载推广，一稿5元,https://task.epwk.com/716809/,1150人,28人,¥500,一起种花生,￥ 500,￥195,2019.03.04,1.应用市场搜索下载app “花生日记”  2.下载完成打开， 注册的时候，推荐人务必填写：TEHN5JO注：不存在任何绑定个人银行卡身份证信息，安全可靠，请放心下载注册。3.需要个人件，一个账号仅限交稿一次，工作室批量刷件数无效，谢谢配合每个一品威客ID仅限参与一次备注：花生日记是一个帮助你在淘宝购物时领隐藏劵＋赚佣金的软件，只要复制淘宝商品标题收搜，领用本淘宝店店隐藏优惠券及购买，后面后花生日记后台直接出现佣金，也可以推荐给你的朋友使用你也可以收取佣金哦。有些商品每次省50-100元和拿几元佣金，累计起来就很多了。 下次淘宝购物可以尝试一下。优惠又赚钱。需求补充复制淘宝的商品标题，打开花生日记点击收搜，领取券，它自己会跳到淘宝的页面。反正你想找什么，就用标题在花生搜一下。就算没券，也会有佣金返的。需求补充复制淘宝的商品标题，打开花生日记点击收搜，领取券，它自己会跳到淘宝的页面。反正你想找什么，就用标题在花生搜一下。就算没券，也会有佣金返的。审核标准：  提交花生日记“我的”页面截图，和提交手机号前三位和后四位交稿，不会操作可加客服,任务编号：716809,小一爸比,"工作室 |            
            小小龙儿","个人 |            
            denglong","个人 |            
            慕容苓泽","个人 |            
            denglong","个人 |            
            slosao",四川曾先生,四川曾先生,"工作室 |            
            luo0710",乔伊伊
【APP推广】趣头条APP注册推广3元每单,https://task.epwk.com/716890/,1118人,2人,¥500,摄影英政,￥ 500,￥3.33,2019.03.03,趣头条APP注册推广3元/单1下载进入APP或者复制邀请码A431263619点我领现金2:注册当天起连续试玩三天每天保证200金币收益即可3:截图交稿（交稿格式见下方图片）4、审核通过就算一个一品账号限参加一次，重复无效。恶意重复交稿可能会被举报打开应用市场搜索趣头条APP填写邀请码即可通知:连续三天200金币收益来自阅读奖励，只签到不予通过！,任务编号：716890,o5bed466baf68c,,,,,,,,,
"【产品推广】发帖任务，3元一贴，审核快,易操作",https://task.epwk.com/716222/,2227人,34人,¥500,o5c78eacc156a0,￥ 500,￥120.4,2019.03.01,发布位置：简书：https://www.jianshu.com/虎扑：https://bbs.hupu.com/腾讯云：https://cloud.tencent.com/developer知乎：https://www.zhihu.com/四个发布网站任选其一完成即可。发布内容：见任务附件（标题、内容可适当修改优化，标题必须带苹果迅雷ios，不得加入其他广告信息）审核标准：1、发帖48小时后未被删除视为有效贴2、重复提交或窃取他人稿件无效交稿方式：提交发帖链接备注：本任务长期有效，名额不限另寻找能长期承接发帖、顶贴业务的实力商家合作！留言联系非交稿内容请勿提交，否则举报！一个一品账号限参加一次，重复无效,任务编号：716222,"工作室 |            
            小小龙儿",一只张大山,如九之冠,"个人 |            
            madk1102","工作室 |            
            @奥斯卡",o5c7b3c1ff393b,zly1983426,acc217,一个小了白了兔,"个人 |            
            慕容苓泽"
【APP推广】APP注册推广，1稿3元，大企业软件,https://task.epwk.com/716202/,1620人,24人,¥501,liuyu****54356,￥ 501,￥39,2019.03.01,任务步骤：（一点要按照步骤来做）1 去应用商店下载全民小视频（百度推出的）2 注册并登陆：3用手机浏览器或其他的扫码软件扫描附件中的二维码（附件1）（微信扫描并不可用），按提示操作即可，观看视频获得75钻石以上（观看时右下角有进度条，重复看同一个视频没用），低于75钻石不合格首页点击左上角，可查询到是否观看完成进度15即可（附件2内有图指示图）注意：请务必注册完再扫描二维码，然后再观看视频 钻石不用75，只需要按照我的截图二那里显示的15以上就行审核标准：1、任务界面观看完成度截图一张2 提交注册手机号（后四位）与我的里面截图,任务编号：716202,o5b2a4a57eead6,redundant,redundant,"工作室 |            
            创意轩",比柯思网络科技,y840726,大可设计,加油2016,o5c78b0445a07b,o56a072ac61d95
【微信推广】网络免费赚钱体验，诚信任务，电脑手机都可做,https://task.epwk.com/715957/,4138人,21人,¥500,mf53c75c33df3a0,￥ 500,￥40,2019.03.01,任务地址：http://www.games02.com/?cat=4 （复制到浏览器打开）如果遇到链接失效的情况，请下载下方的备用附件，查看任务内容所有任务全部5元一个，喜欢做那个都行，一个任务交一次稿，想交几个都可以。,任务编号：715957,o5c7b403317390,o5c739822de851,o5c7e706918390,奇门术师,xiaoshu123,麦特8520,o5c89f1ab4a5a8,段天昊,,
【产品推广】玩游戏赚钱任务，一稿5元，长期可做,https://task.epwk.com/715929/,1293人,2人,¥1050,zhiboid,￥ 1050,,2019.03.01,"国内性价比很高的长期免费赚钱网站，已经稳定五六年，注册并完善资料，通过试玩网页游戏，打码，竞猜，新手体验很快就能赚5元（可提），做完再领取赏金5元。你共收入10元，长期赚钱。【1】复制下方网址在浏览器打开，点击拆，选择其他方式注册（不是此链接注册的不合格） 网址：http://www.lezhuan.com/ru/1680697【2】通过完成新人任务、游戏试玩、竞猜、广告理财等赚到50000乐币就算完成任务交稿格式：提交 快乐赚ID+截图（余额显示为必须为50000乐币以上,可自行提5元）交稿再领取6元佣金，共赚10元可长期赚钱提示：刚开始弄不明白不要着急，耐心研究，此任务只是起到一个抛砖引玉的作用，可以长期在这个平台中赚钱，此平台已有五年很稳定，而且完全免费，无需你自己拿1分钱，能在此平台月入1万的人不在少数，请大家加油！",任务编号：715929,,,,,,,,,,
【微博营销】微博转发，每稿5元,https://task.epwk.com/715860/,2667人,5人,¥500,客似云来原创女装,￥ 500,￥25,2019.02.28,一、推广内容： https://weibo.com/2278996403/profile?rightmod=1&wvr=6&mod=personnumber&is_all=1#_rnd1551360917998 请选择置顶的博文转发；5元/条；每人限一条（一个一品账号限参加一次）      二、参与需求说明： 1、 转发和评论这个事件字数超过20字，并且@5位以上好友三、参与需求条件： 1. 微博开通需要3个月以上，微博等级3级以上，粉丝数在500以上。（注意：微博等级及粉丝数低于要求，则无效） 2.  将微博加关注、点评、转发，缺少一个条件即视为稿件无效； 3. 将微博里的内容转发到自己的微博，转发的微博内容不得删除，人工审核，7天内删除者视为稿件无效； 4、广告号、僵尸号和机器号的微博一律不通过。四、如何交稿：  1. 转发截图+点评截图+微博名+粉丝数+转发链接 2. 每个微博账号交稿数量为1个，多次或重复提交不计入中标范围,任务编号：715860,"工作室 |            
            luo0710",o59352b4797f94,o5c7757218bea3,"个人 |            
            findgood的店铺",千羽幻洵666,,,,,
【APP推广】APP注册推广，一稿3元,https://task.epwk.com/715595/,1083人,7人,¥500,wuaizhiren,￥ 500,￥18.06,2019.02.28,任务步骤：1 去应用商店下载全民小视频（百度推出的）2 注册并登陆3 用手机浏览器或其他的扫码软件扫描附件中的二维码（微信扫描并不可用），按提示操作即可3观看视频获得75钻石以上（观看时右下角有进度条，重复看同一个视频没用），低于75钻石不合格首页点击左上角，可查询到是否观看完成进度15即可（附件内有图指示图）审核标准：1任务界面观看完成度截图一张 2 提交注册手机号与我的里面截图一个一品账号限参加一次。重复无效,任务编号：715595,"个人 |            
            羽毛传达",清风伴余,heydog大神,o5bbf0effbe845,o5c2dbb398a3e9,重心服务,,,,
【APP推广】新手必做任务，电脑手机都可做，诚信审核,https://task.epwk.com/715605/,4338人,27人,¥500,mf53c75c33df3a0,￥ 500,￥65,2019.02.28,任务地址：http://www.games02.com/?cat=4 （复制到浏览器打开）如果遇到链接失效的情况，请下载下方的备用附件，查看任务内容所有任务全部5元一个，喜欢做那个都行，一个任务交一次稿，想交几个都可以。,任务编号：715605,a6060a,"个人 |            
            笨笨猪的外包店",o5c83ec522d53e,o5c8b7bfe9d8ee,o5c90370a2e0c8,wobupa330,喜欢民谣的穷小子,o5c9a12d01eb48,纯净苍穹,Milaki
【APP推广】轻松开网店简单注册关注任务，每单3元,https://task.epwk.com/715340/,1345人,29人,¥510,mf133****1732,￥ 510,￥90,2019.02.27,需要关注火盆网微信公众号，并点击左下角进入商城，注册商城会员附件为火盆网公众号二维码，也可以直接搜索huopenwang关注公众号注册成功后加客服微信  xax27a28 认证发给客户注册用户手机号码，完成任务！ 验收标准：本任务，是推广会员，要求真实用户，加客服完成用户认证后，客服会回复“任务完成”，此截图为奖励发放标准。一个一品威客号只可以参加一次任务！,任务编号：715340,TiAmon,"工作室 |            
            小小龙儿",诚惶诚恐,稳重的赵先森,逍遥设计,o5c774143f1dee,boby2019,"个人 |            
            慕容苓泽",亲亲宝贝儿,qwepoi2008
【APP推广】APP推广注册，一稿3元,https://task.epwk.com/715243/,1015人,6人,¥501,小常兼职,￥ 501,￥18,2019.02.27,小任务，看到下面的截图，先保存到手机里，打开微信扫一扫下载或者打开687474703a2f2f6478646d74732e74653235662e636e2f6765616b732e706870，用微信登录进去后绑定手机号码银行卡和支付宝，成功后截图你的最后一个id图片给我（个人信息）就行。任务是计时模式，一分钟搞定。一个微信和一个手机只能注册一次。任务3元，审核时间30天。注意;如果想玩也可以长期玩的一天赚100到500都不是问题，（一万流水我给你100元），想长期玩的可以加我扣673809372备注威客网（不是长期玩勿扰勿加）,任务编号：715243,微信q7651225接,太阳光,Drogba,Ricky1991,"个人 |            
            羽毛传达",o5c78b0445a07b,,,,
【网站优化方案】正规网站推广注册，一单7元,https://task.epwk.com/715004/,2528人,3人,¥630,十年信誉,￥ 630,,2019.02.27,希望大家踊跃交稿注册地址：http://www.juxiangyou.com/floor/recom/15172221 (复制此链接到浏览器打开，不是此链接注册无效，请重新在这个链接注册，否则无法获得赏金)注册就送10000u币（1万U币=1元），注册后赚取50000u币，即可完成任务。完成任务一单赏金7元，几分钟轻松到手，提交网站注册ID及60000u币的截图交稿。,任务编号：715004,,,,,,,,,,
【微信推广】微信推广 简单好做，3元一稿  可多做,https://task.epwk.com/714962/,1353人,26人,¥500,百色巡官,￥ 500,￥153.51,2019.02.27,任务需求1.最好记住你最后选的第200人的名字，这样发下一个200人的时候，你知道从哪里开始。2.发重了，不审核。只审核群发200人。每群发200人为一稿！可多做3.内容为文字+图片！文字内容和 1张图片必须全部群发发出去！每稿都要有4.内容见转发文章内容  图片见附件注意：一个威客账户只能交稿三次，多交稿无效。任务步骤：1.进到微信界面》我》设置》通用》铺助功能》群发助手》开始群发》新建群发，每次最多可发200人。2.上传清晰的转发成功图片以及微信人数图片！缺一不可 作为完成任务的证据！转发文章内容：给大家推荐一款淘宝返利机器人(微信lupooON)，返利比例高，把你在淘宝上看好的商品分享给她，就可以查优惠，能省很多哦，首次添加还有红包拿。,任务编号：714962,"工作室 |            
            小小龙儿",mf189****8909,"个人 |            
            李白工作坊","个人 |            
            会飞的梦","个人 |            
            会飞的梦","个人 |            
            会飞的梦","个人 |            
            一颗冰心","个人 |            
            一颗冰心",亲亲宝贝儿,o5c08aa4477b3c
"【产品推广】论坛 贴吧 兴趣部落 知乎发帖，5元一贴，审核快,易操作",https://task.epwk.com/714894/,2141人,12人,¥500,o5c73****17914,￥ 500,￥45,2019.02.26,发布位置：任何百度权重≥4的论坛、社区、贴吧、兴趣部落百度权重参考：爱站网、站长工具，论坛排行榜：http://top.chinaz.com/hangye/index_zonghe_luntan.html贴吧、兴趣部落：要求关注人数2万以上，贴吧排行榜：http://tieba.baidu.com/sign/index?kw=yhzt&type=1&pn=1发布内容：见任务附件（标题、内容可适当修改优化，标题必须带西安洗浴四个字，内容第一行必须带网址，不得加入其他广告信息）审核标准：1、发帖24小时后未被删除视为有效贴2、重复提交或窃取他人稿件无效交稿方式：提交发帖链接备注：本任务长期有效，名额不限另寻找能长期承接发帖、顶贴业务的实力商家合作！留言联系非交稿内容请勿提交，否则举报！一个一品账号限参加一次，重复无效,任务编号：714894,"工作室 |            
            小小龙儿","个人 |            
            羽毛传达","工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","个人 |            
            慕容苓泽","工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","工作室 |            
            小小龙儿","工作室 |            
            小小龙儿",
