标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,设计师,能力标签
【游戏其他】游戏注册试玩，赏金30元,https://task.epwk.com/385847/,4348人,4人,¥510,mf53c75c33df3a0,510.0,￥90,2015-10-19,"大家注意做任务的网站中： 理财赚钱，试玩平台这两个个项目很赚钱，快的话，几分钟就能完成了（注意手机类的不算），任务奖励的30元加上网站得到的30元，一共是60元，可以长期玩的！注册时如果出现IP注册量已满，请重启路由器换IP再注册）                                 任务步骤和要求：                                     1.  注册地址  http://www.juxiangyou.com/r4272409   （复制打开此链接，不由此链接注册无效）                               2.  手机绑定  流程：注册好后点头像-安全验证服务-手机绑定（记住必须选语音验证）                                    3.  新手教程： http://pro20e80078.isitestar.cn    （复制打开）                                 4.  注册就送10000U币，试玩游戏，理财赚钱账户达到30万U币就算完成任务（强烈建议通过理财赚钱频道，只注册不投资，试玩平台）（注意：做APP的不算）      然后截图（看下方示范，其实就是截图网站首页的大头像，余额显示为30万U币以上,不可以重复提交合格稿件)                                    有不懂的可以加QQ群44133872 一起交流，教你怎么快速完成任务.此网站可以长期做，安全，稳定，有效率，各种奖励拿到手软，熟练后每日收入可以50-200元不等。",任务编号：385847,mf185****7158,mf185****7158,mf185****7158,,,,,,,,B任务编号：385847,游戏其他
【游戏其他】注册试玩任务3元1稿,https://task.epwk.com/385493/,1179人,0人,¥600,mf151****7158,600.0,,2015-10-16,注册地址http://www.lezhuan.com/ru/2127677，必须在这个网址注册否则无效，在里面找游戏任务完成，有什么不懂的问客服，长期任务，只要合格8个小时内审核。 达到20万乐币就可以交稿，我给3块，网站给20，截图带上ID号和乐币数量简单任务，长期,任务编号：385493,,,,,,,,,,,B任务编号：385493,游戏其他
【游戏其他】新手游戏注册任务,https://task.epwk.com/383987/,8414人,7人,¥500,mf53c75c33df3a0,500.0,￥60,2015-10-10,"大家注意做任务的网站中： 理财赚钱，试玩平台这两个个项目很赚钱，快的话，几分钟就能完成了（注意手机类的不算），任务奖励的10元加上网站得到的10元，一共是20元，可以长期玩的！注册时如果出现IP注册量已满，请重启路由器换IP再注册）                                 任务步骤和要求：                                     1.  注册地址  http://www.juxiangyou.com/r4272409   （复制打开此链接，不由此链接注册无效）                               2.  手机绑定  流程：注册好后点头像-安全验证服务-手机绑定（记住必须选语音验证）                                    3.  新手教程： http://pro20e80078.isitestar.cn    （复制打开）                                 4.  注册就送10000U币，试玩游戏，理财赚钱账户达到10万U币就算完成任务（强烈建议通过理财赚钱频道，只注册不投资，试玩平台）（注意：做APP的不算）      然后截图（看下方示范，其实就是截图网站首页的大头像，余额显示为30万U币以上,不可以重复提交合格稿件)                                    有不懂的可以加QQ群44133872 一起交流，教你怎么快速完成任务.此网站可以长期做，安全，稳定，有效率，各种奖励拿到手软，熟练后每日收入可以50-200元不等。",任务编号：383987,mf185****7158,mf185****7158,mf185****7158,"工作室 |            
            天翼影视",o562054d557972,新人CZR,,,,,B任务编号：383987,游戏其他
【游戏其他】注册试玩任务3元1稿,https://task.epwk.com/383681/,1027人,0人,¥600,mf151****7158,600.0,,2015-10-08,注册地址http://www.lezhuan.com/ru/2127677，必须在这个网址注册否则无效，在里面找游戏任务完成，有什么不懂的问客服，长期任务，只要合格8个小时内审核。 达到20万乐币就可以交稿，截图带上ID号和乐币数量简单任务，长期,任务编号：383681,,,,,,,,,,,B任务编号：383681,游戏其他
【游戏其他】简易任务三分钟搞定，5元一稿，长期有效,https://task.epwk.com/383743/,1159人,0人,¥500,mf159****9689,500.0,,2015-10-09,首次注册完成任务可得25元（任务20元 赏金5元） 长期做，日赚百元不是梦。是值得你收藏为长期任务！ 此任务请按照下面的详细流程完成，并且最后进行截图交稿！注册流程：【1】：请通过此连接注册，注册地址：http://www.qingyiyou.com/reg.asp?i=243700  （必须经此连接注册，否则无效）【2】： 在轻易游通过游戏试玩，任务大厅的任务赚取20000金币（轻易游1000金币=1rmb）【3】：交稿请截图个人用户版面，凭借id以及账户余额进行交稿。如有问题，可加我QQ：3056365569，教你如何游戏试玩，日赚百元。,任务编号：383743,,,,,,,,,,,B任务编号：383743,游戏其他
【游戏其他】游戏网站注册体验任务,https://task.epwk.com/383306/,13991人,15人,"¥1,000",三只鹅,1000.0,￥270,2015-10-06,本任务非常简单，学生也可以做，无需充值，无需绑卡，首次20，可以打支付宝。我这边额外有奖励。本任务算得上本网站 前10大任务，系望你不限于首次完成任务奖励的20几元，而是长期做，本帖会长期置顶。 首次完成任务可得（注册2元 任务12元 赏金10元=24元 ）。长期做，基本每天80-200元。值得你收藏为长期任务！ 教程：http://pro00029372.isitestar.cn （复制到浏览器打开，必看，教你如何快速赚钱）· 流程： 1.注册地址  http://www.juxiangyou.com/r7914874  （注册聚享游送1万U币，最好QQ邮箱，不是本链接注册不给赏金） · 2.手机验证：流程：注册好后点网站首页-点自己头像-点右边安全验证服务-手机验证（记住必须选语音验证码）3.去试玩平台 找热门游戏试玩（比如传奇霸业）赚取U币，每天简单赚个几十-几百元。我这边交稿很简单，只要余额达到10万U币（可提现10），截图（如下图附件），加我赏金10，20几元到手。平台赚钱项目很多，不会玩游戏的也可以做其他项目同样给奖励！具体看教程· 此网站可以长期做，长期做的加我q2757759407，群480175100,任务编号：383306,mf188****3298,mf188****3298,mf188****3298,mf188****3298,mf188****3298,mf188****3298,mf188****3298,mf188****3298,mf188****3298,mf188****3298,B任务编号：383306,游戏其他
【游戏其他】注册试玩任务3元1稿,https://task.epwk.com/382761/,952人,0人,¥600,mf151****7158,600.0,,2015-09-30,注册地址http://www.lezhuan.com/ru/2127677，必须在这个网址注册否则无效，在里面找游戏任务完成，有什么不懂的问客服，长期任务，只要合格8个小时内审核。 达到20万乐币就可以交稿，截图带上ID号和乐币数量简单任务，长期,任务编号：382761,,,,,,,,,,,B任务编号：382761,游戏其他
【游戏其他】30元一稿，诚信任务，高额赏金，首次完成双倍奖励,https://task.epwk.com/382077/,5278人,3人,¥510,mf53c75c33df3a0,510.0,￥90,2015-09-26,"大家注意做任务的网站中： 理财赚钱，试玩平台这两个个项目很赚钱，快的话，几分钟就能完成了（注意手机类的不算），任务奖励的30元加上网站得到的30元，一共是60元，可以长期玩的！注册时如果出现IP注册量已满，请重启路由器换IP再注册）                                 任务步骤和要求：                                     1.  注册地址  http://www.juxiangyou.com/r4272409   （复制打开此链接，不由此链接注册无效）                               2.  手机绑定  流程：注册好后点头像-安全验证服务-手机绑定（记住必须选语音验证）                                    3.  新手教程： http://pro20e80078.isitestar.cn    （复制打开）                                 4.  注册就送10000U币，试玩游戏，理财赚钱账户达到30万U币就算完成任务（强烈建议通过理财赚钱频道，只注册不投资，试玩平台）（注意：做APP的不算）      然后截图（看下方示范，其实就是截图网站首页的大头像，余额显示为30万U币以上,不可以重复提交合格稿件)                                    有不懂的可以加QQ群44133872 一起交流，教你怎么快速完成任务.此网站可以长期做，安全，稳定，有效率，各种奖励拿到手软，熟练后每日收入可以50-200元不等。",任务编号：382077,mf185****7158,mf185****7158,mf189****8489,,,,,,,,B任务编号：382077,游戏其他
【游戏其他】简单游戏试玩，20元一稿,https://task.epwk.com/381905/,5110人,2人,¥500,tywx124,500.0,￥20,2015-09-25,"步骤和要求：1.  注册地址   http://www.ttz.com/fd/32253480_334   （不是此链接注册无效）2.  新手老手必须看教程：http://www.jucaizhuan.com/post-31.html    备用地址   http://user.qzone.qq.com/809274296/blog/14402327593.  完整注册就送3W黄钻，只有通过试玩游戏，体验广告账户达到25W黄钻 就算完成任务。然后截图（看下方示范，其实就是截图网站首页的大头像，余额显示为250000黄钻以上,写在最后：  有不懂的可以加QQ群  457505199  一起交流，教你怎么快速完成任务.群里还有后续奖励   此网站可以长期做，安全，稳定，有效  ，各种奖励拿到手软，现在网站在搞活动 还有各种红包可以拿！熟练后每日收入可以50-200元不等。最后重新申明一下：任务提交只限发布任务之后通过我的链接注册的才有效，以前注册过的跑到这来骗稿的就不要来了。一律举报！！ 比喻任务是9月26号发布的,那么你9月25号之前注册的帐号就不能在些提交任务,否则一律举报！！",任务编号：381905,mf150****4403,,,,,,,,,,B任务编号：381905,游戏其他
【游戏其他】天天钻简单体验在线审核，3元一稿可长期操作,https://task.epwk.com/381854/,2170人,2人,¥510,churfh,510.0,,2015-09-25,注册：       http://www.ttz.com/fd/59437165_64     ( 复制链接到浏览器)687474703a2f2f7777772e74747a2e636f6d2f66642f35393433373136355f3634通过上面的链接注册，注册完成送30000黄钻，在体验广告（理财专区）中任务很简单，等赚取5W黄钻就算合格，后续任务每增加10W黄钻可交稿一次！首次任务 5W黄钻，后续每10W黄钻交一次，附件有稿件示范审核要求:提交首页用户信息截图（如附件，红框中必须有）,任务编号：381854,,,,,,,,,,,B任务编号：381854,游戏其他
【游戏其他】注册试玩任务3元1稿,https://task.epwk.com/381361/,1285人,0人,¥600,mf151****7158,600.0,,2015-09-22,注册地址http://www.lezhuan.com/ru/2127677，必须在这个网址注册否则无效，在里面找游戏任务完成，只要合格8个小时内审核。 达到20万乐币就可以交稿，截图带上ID号和乐币数量简单任务，长期,任务编号：381361,,,,,,,,,,,B任务编号：381361,游戏其他
【游戏代练】一起玩游戏，一起赚钱，一稿20元,https://task.epwk.com/380453/,2045人,0人,¥500,mf157****9055,500.0,,2015-09-18,接下来我给大家讲一下步骤和要求：.有效注册地址:687474703a2f2f7777772e6a757869616e67796f752e636f6d2f7237323332363630注册帐号即送10000U币，通过试玩游戏，打码，体验广告账户达到200000U币就算完成任务。然后截图（下方有示范截图，首页头像完整截图，一定要包含自己的ID）.QQ交流 2986822313 我会帮大家尽快的完成任务！积累U币只能通过试玩游戏，打码，体验广告三种方式获得！建议大家开始做任务的时候，加我QQ，我会告诉大家，怎么尽快的完成任务！  QQ群交流：415661679,任务编号：380453,,,,,,,,,,,B任务编号：380453,游戏代练
【游戏其他】注册试玩任务3元1稿,https://task.epwk.com/379569/,1237人,0人,¥600,mf151****7158,600.0,,2015-09-14,注册地址http://www.lezhuan.com/ru/2127677，必须在这个网址注册否则无效，在里面找游戏任务完成，只要合格8个小时内审核。 达到20万乐币就可以交稿，截图带上ID号和乐币数量简单任务，长期,任务编号：379569,,,,,,,,,,,B任务编号：379569,游戏其他
【游戏其他】简易任务三分钟搞定，5元一稿，长期有效,https://task.epwk.com/379009/,1556人,1人,¥500,mf159****9689,500.0,,2015-09-11,首次注册完成任务可得25元（任务20元 赏金5元） 长期做，日赚百元不是梦。是值得你收藏为长期任务！ 此任务请按照下面的详细流程完成，并且最后进行截图交稿！注册流程：【1】：请通过此连接注册，注册地址：http://www.qingyiyou.com/reg.asp?i=243700  （必须经此连接注册，否则无效）【2】： 在轻易游通过游戏试玩，任务大厅的任务赚取20000金币（轻易游1000金币=1rmb）【3】：交稿请截图个人用户版面，凭借id以及账户余额进行交稿。如有问题，可加我QQ：3056365569，教你如何游戏试玩，日赚百元。,任务编号：379009,,,,,,,,,,,B任务编号：379009,游戏其他
【游戏其他】简单游戏试玩 20元一稿，练手任务， 信誉保证 此任务长期有效,https://task.epwk.com/377086/,6919人,5人,¥500,tywx124,500.0,￥20,2015-09-02,"步骤和要求：1.  注册地址   http://www.ttz.com/fd/32253480_334   （不是此链接注册无效）2.  新手老手必须看教程：http://www.jucaizhuan.com/post-31.html                      备用地址   http://user.qzone.qq.com/809274296/blog/14402327593.  完整注册就送3W黄钻，只有通过试玩游戏，体验广告账户达到25W黄钻 就算完成任务。然后截图（看下方示范，其实就是截图网站首页的大头像，余额显示为250000黄钻以上,写在最后：  有不懂的可以加QQ群  457505199  一起交流，教你怎么快速完成任务.群里还有后续奖励   此网站可以长期做，安全，稳定，有效  ，各种奖励拿到手软，现在网站在搞活动 还有各种红包可以拿！熟练后每日收入可以50-200元不等。最后重新申明一下：任务提交只限发布任务之后通过我的链接注册的才有效，以前注册过的跑到这来骗稿的就不要来了。一律举报！！ 比喻任务是9月6号发布的,那么你9月5号之前注册的帐号就不能在些提交任务,否则一律举报！！",任务编号：377086,一品煎职,,,,,,,,,,B任务编号：377086,游戏其他
【游戏其他】游戏试玩，3元一稿,https://task.epwk.com/376716/,1841人,0人,¥500,钢铁侠3,500.0,,2015-08-31,"任务步骤和要求：1.注册地址：http://www.juxiangyou.com/r8085999 （复制打开此链接，不由此链接注册无效）2.手机绑定 流程：注册好后点头像-安全验证服务-手机绑定（记住必须选语音验证）3.注册就送10000U币，通过试玩游戏，账户达到5万U币就算完成任务。交稿截图（截图是网站首页的大头像“即会员名”，余额显示为5万U币以上,不可以重复提交合格稿件哦）。此网站可以长期做，安全，稳定，有效率，各种奖励拿到手软，熟练后每日收入30-200元不等。",任务编号：376716,,,,,,,,,,,B任务编号：376716,游戏其他
【游戏代练】简单游戏试玩 20元一稿，练手任务， 信誉保证 此任务长期有效,https://task.epwk.com/376378/,4612人,1人,¥500,tywx124,500.0,,2015-08-30,"下面说一下，本任务有二个小任务，任选其中一个完成即可交稿，如果你二个任务都完成，就可以分别交稿2次（一个任务只能交一次稿）。任务一 步骤和要求：1.  注册地址   http://www.ttz.com/fd/32253480_334   （不是此链接注册无效）2.  新手老手必须看教程：http://www.jucaizhuan.com/post-31.html3.  完整注册就送3W黄钻，只有通过试玩游戏，体验广告账户达到25W黄钻 就算完成任务。然后截图（看下方示范，其实就是截图网站首页的大头像，余额显示为250000黄钻以上,任务二步骤和要求：1.  注册地址   http://www.juxiangyou.com/r1863447  （不是此链接注册无效）2.  新手老手必须看教程：http://user.qzone.qq.com/809274296/blog/14392733483.  完整注册就送1.5万U币（1.5元），只有通过试玩游戏，体验广告账户达到25W  U币 就算完成任务。然后截图（看下方示范，其实就是截图网站首页的大头像，余额显示为250000U币以上,写在最后：  有不懂的可以加QQ群  457505199  一起交流，教你怎么快速完成任务.   此网站可以长期做，安全，稳定，有效  ，各种奖励拿到手软，现在网站在搞活动 还有各种红包可以拿！熟练后每日收入可以50-200元不等。最后重新申明一下：二个任务 只要完成其中一个就可以交稿。完成二个任务就可以交稿3次！！！！任务提交只限发布任务之后通过我的链接注册的才有效，以前注册过的跑到这来骗稿的就不要来了。一律举报！！ 比喻任务是8月6号发布的,那么你8月5号之前注册的帐号就不能在些提交任务,否则一律举报！！",任务编号：376378,,,,,,,,,,,B任务编号：376378,游戏代练
【游戏代练】【新手必做】首次试玩25元，长期每天80-200火了(加急）,https://task.epwk.com/376322/,11600人,9人,¥500,三只鹅,500.0,￥20,2015-08-30,本任务绝对算得上本网站 前10大任务，系望你不限于首次完成任务奖励的20几元，而是长期做，本帖会长期置顶。 首次完成任务可得（注册2元 任务12元 赏金10元=24元 ）。长期做，基本每天80-200元。值得你收藏为长期任务！ 教程：http://user.qzone.qq.com/2757759407/blog/1438046471（复制到浏览器打开，必看，教你如何快速赚钱）· 注册流程： 1.打开官网 http://www.juxiangyou.com/r7914874 注册聚享游（注册送1万U币，最好QQ邮箱，不是本链接注册不给赏金） · 2.手机验证：流程：注册好后点网站首页-点自己头像-点右边安全验证服务-手机验证（记住必须选语音验证码）3.去试玩平台 找热门游戏试玩（比如传奇霸业）赚取U币，余额达到10万U币，截图（如下图附件），加我赏金10，20几元到手。平台赚钱项目很多，不会玩游戏的也可以做其他项目同样给奖励！具体看教程· 此网站可以长期做，长期做的加我q2757759407教你如何每天80-200元。,任务编号：376322,jy21295381,借过让让,,,,,,,,,B任务编号：376322,游戏代练
【游戏其他】【新手必做】首次试玩25元，长期每天80-200火了(加急）,https://task.epwk.com/375205/,5454人,2人,"¥1,000",三只鹅,1000.0,,2015-08-25,本任务绝对算得上一品威客网 前10大任务之一，系望你不限于首次完成任务后奖励的20几元，而是长期做，本帖会长期置顶。 · · 首次注册后完成任务可得24元（注册2元 任务12元 赏金10元=24元 ）。长期做，基本每天80-200元。是值得你收藏为长期任务！ 教程：http://user.qzone.qq.com/2757759407/blog/1438046471（必看，教你如何快速赚钱） 注：要是连接打不开，请下载附件· 注册流程： 1.打开 http://www.juxiangyou.com/r7914874 注册聚享游（送1万U币） · 2.完善资料：流程：注册好后点首页-点自己头像-点右边安全验证服务-手机绑定（记住必须选语音验证码）· 3.去试玩大厅 试玩游戏、体验赚钱，余额达到10万币，截图（如下图附件），加我赏金10。20几元到手，完事。（不会的教程多看几遍或联系我亲手教） · · 此网站赚钱项目很多（不只是玩游戏）可以长期做，长期做的，加我q27 5775 9407教你如何每天80-200元。,任务编号：375205,,,,,,,,,,,B任务编号：375205,游戏其他
【游戏其他】天天钻简单体验在线审核，3元一稿可长期操作,https://task.epwk.com/375176/,5038人,2人,¥510,churfh,510.0,￥3,2015-08-25,注册：       http://www.ttz.com/fd/59437165_64通过上面的链接注册，注册完成送30000黄钻，在体验广告（理财专区）中任务很简单，等赚取5W黄钻就算合格，后续任务每增加10W黄钻可交稿一次！首次任务 5W黄钻，后续每10W黄钻交一次，附件有稿件示范审核要求:提交首页用户信息截图（如附件，红框中必须有）,任务编号：375176,会飞的野马,,,,,,,,,,B任务编号：375176,游戏其他
【游戏其他】20元一稿，练手任务，简单游戏试玩 信誉保证 此任务长期有效,https://task.epwk.com/373318/,8832人,5人,¥500,mf53c75c33df3a0,500.0,,2015-08-17,"我的任务悬赏的金额是最高的，要求是最低的，而且赏金也没有手续费，希望大家可以耐心的做，赏金20元是实实在在的我付的奖励，加上网站的20元的奖励，实际到手是40元，做的顺手了可以长期做下去的。任务步骤和要求：1.  注册地址  http://www.juxiangyou.com/r4272409   （复制打开此链接，不由此链接注册无效）2.  手机绑定  流程：注册好后点头像-安全验证服务-手机绑定（记住必须选语音验证）3.  新手教程： http://pro20e80078.isitestar.cn     （复制打开此链接）4.  注册就送10000U币，通过试玩游戏，账户达到20万U币就算完成任务。然后截图（看下方示范，其实就是截图网站首页的大头像，余额显示为20万U币以上,不可以重复提交合格稿件哦） 有不懂的可以加QQ群44133872 一起交流，教你怎么快速完成任务.   此网站可以长期做，安全，稳定，有效率，各种奖励拿到手软，熟练后每日收入可以50-200元不等。",任务编号：373318,,,,,,,,,,,B任务编号：373318,游戏其他
【游戏其他】20元一稿，练手任务，简单游戏试玩 信誉保证 此任务长期有效,https://task.epwk.com/373176/,5248人,4人,¥500,tywx124,500.0,￥40,2015-08-16,"下面说一下，本任务有二个小任务，任选其中一个完成即可交稿，如果你二个任务都完成，就可以分别交稿2次（一个任务只能交一次稿）。任务一 步骤和要求：1.  注册地址   http://www.ttz.com/fd/32253480_334   （不是此链接注册无效）2.  新手老手必须看教程：http://www.jucaizhuan.com/post-31.html3.  完整注册就送3W黄钻，只有通过试玩游戏，体验广告账户达到25W黄钻 就算完成任务。然后截图（看下方示范，其实就是截图网站首页的大头像，余额显示为250000黄钻以上,任务二步骤和要求：1.  注册地址   http://www.juxiangyou.com/r1863447  （不是此链接注册无效）2.  新手老手必须看教程：http://user.qzone.qq.com/809274296/blog/14392733483.  完整注册就送1.5万U币（1.5元），只有通过试玩游戏，体验广告账户达到25W  U币 就算完成任务。然后截图（看下方示范，其实就是截图网站首页的大头像，余额显示为250000U币以上,写在最后：  有不懂的可以加QQ群  457505199  一起交流，教你怎么快速完成任务.   此网站可以长期做，安全，稳定，有效  ，各种奖励拿到手软，现在网站在搞活动 还有各种红包可以拿！熟练后每日收入可以50-200元不等。最后重新申明一下：二个任务 只要完成其中一个就可以交稿。完成二个任务就可以交稿3次！！！！任务提交只限发布任务之后通过我的链接注册的才有效，以前注册过的跑到这来骗稿的就不要来了。一律举报！！ 比喻任务是8月6号发布的,那么你8月5号之前注册的帐号就不能在些提交任务,否则一律举报！！",任务编号：373176,mf132****1571,mf153****6610,,,,,,,,,B任务编号：373176,游戏其他
【游戏代练】一起玩游戏，一起赚钱，一稿20元,https://task.epwk.com/372356/,2836人,0人,¥500,mf157****9055,500.0,,2015-08-13,接下来我给大家讲一下步骤和要求：.有效注册地址:687474703a2f2f7777772e6a757869616e67796f752e636f6d2f7237323332363630注册帐号即送10000U币，通过试玩游戏，打码，体验广告账户达到200000U币就算完成任务。然后截图（下方有示范截图，首页头像完整截图，一定要包含自己的ID）.QQ交流 2986822313 我会帮大家尽快的完成任务！积累U币只能通过试玩游戏，打码，体验广告三种方式获得！建议大家开始做任务的时候，加我QQ，我会告诉大家，怎么尽快的完成任务！  QQ群交流：415661679  最新：五一活动啦，有大奖：富士趣奇instax相机，AppleWatch苹果运动手表,任务编号：372356,,,,,,,,,,,B任务编号：372356,游戏代练
【游戏其他】天天钻试玩，一稿10元,https://task.epwk.com/371565/,2129人,1人,¥500,mf186****2609,500.0,,2015-08-09,一分耕耘，一份收获！新手做这个任务时要有耐心，入门其实也很快，以后可以成为稳定收入之一，喜欢的话大家可以长期合作！      接下来我给大家讲一下步骤和要求：1.有效注册地址:  http://www.ttz.com/fd/84614139  非此链接不算2.快速完成任务教程 ：见附件（与聚享游类似）3.注册帐号即送30000钻，通过试玩游戏，打码，体验广告账户达到110000钻就算完成任务。然后截图（点击头像下『会员中心』）交稿：没提现的截图余额，提现的提交余额+提现记录交流群 475196743 我会帮大家尽快的完成任务！此网站可以长期做，安全，稳定，有效率，熟练老手大约每日也可赚100-300元不等,任务编号：371565,,,,,,,,,,,B任务编号：371565,游戏其他
【游戏代练】【必做长期项目】双重奖励，一稿10元，完成后聚享游网站再奖10元,https://task.epwk.com/371253/,2670人,2人,¥500,风之凌,500.0,￥20,2015-08-07,· 我的任务悬赏的金额是最高的，要求是最低，希望大家可以耐心的做，赏金10元是实实在在的我付的奖励，加上网站的10元的奖励，实际到手是20元，做的顺手了可以长期做下去的。 · 长期做，基本每天80-200元。是值得你收藏为长期任务！  · 注册流程： 1.注册地址 http://www.bossyouxi.com （复制打开此链接，不由此链接注册无效）2.手机绑定  流程：注册好后点头像-安全验证服务-手机绑定（记住必须选语音验证） 3.  注册就送10000U币，通过试玩游戏、体验广告、新手任务，账户达到10万U币就算完成任务。截图（如下图附件）加我赏金10元，20元到手（不会的看教程）  教程：http://user.qzone.qq.com/425591715/blog/1438924639  （必看，教你如何快速赚钱）  · 此网站可以长期做，长期做的，加我qq 425591715教你如何每天80-200元。,任务编号：371253,在你后面,可跳可痒痒,,,,,,,,,B任务编号：371253,游戏代练
【游戏代练】一起玩游戏，一起赚钱，一稿20元,https://task.epwk.com/367981/,4192人,4人,¥500,mf157****9055,500.0,,2015-07-22,接下来我给大家讲一下步骤和要求：.有效注册地址:http://www.juxiangyou.com/r7232660注册帐号即送10000U币，通过试玩游戏，打码，体验广告账户达到200000U币就算完成任务。然后截图（下方有示范截图，首页头像完整截图，一定要包含自己的ID）.QQ交流 2986822313 我会帮大家尽快的完成任务！积累U币只能通过试玩游戏，打码，体验广告三种方式获得！建议大家开始做任务的时候，加我QQ，我会告诉大家，怎么尽快的完成任务！  QQ群交流：415661679  最新：五一活动啦，有大奖：富士趣奇instax相机，AppleWatch苹果运动手表,任务编号：367981,,,,,,,,,,,B任务编号：367981,游戏代练
【游戏其他】手机赚钱，注册送6元红包！,https://task.epwk.com/365226/,48298人,28人,¥500,mf185****7158,500.0,￥36.12,2015-07-09,直接扫描附件的二维码下载软件或者通过  http://dwz.cn/Y8dFv  （复制打开此链接）下载软件下载后一键注册，推荐人必须填  8101584 领取6元红包（不填推荐人无此红包）赚取10元就算完成任务，截图交稿每人只能做一次,任务编号：365226,"个人 |            
            营销，推广",湖北杨浩,忆搁浅bei,低头浅唱1943,朱朱霞,清风抚过,孤痕心魂,mf187****0378,煮酒论英雄,jonn,B任务编号：365226,游戏其他
【游戏代练】一起玩游戏，一起赚钱，一稿20元,https://task.epwk.com/362080/,5576人,6人,¥500,mf157****9055,500.0,,2015-06-25,接下来我给大家讲一下步骤和要求：.有效注册地址:http://www.juxiangyou.com/r7232660注册帐号即送10000U币，通过试玩游戏，打码，体验广告账户达到200000U币就算完成任务。然后截图（下方有示范截图，首页头像完整截图，一定要包含自己的ID）.QQ交流 2986822313 我会帮大家尽快的完成任务！积累U币只能通过试玩游戏，打码，体验广告三种方式获得！建议大家开始做任务的时候，加我QQ，我会告诉大家，怎么尽快的完成任务！  QQ群交流：415661679  最新：五一活动啦，有大奖：富士趣奇instax相机，AppleWatch苹果运动手表,任务编号：362080,,,,,,,,,,,B任务编号：362080,游戏代练
【游戏代练】一起玩游戏，一起赚钱，一稿20元,https://task.epwk.com/354582/,3325人,1人,¥500,mf157****9055,500.0,,2015-05-21,接下来我给大家讲一下步骤和要求：.有效注册地址:http://www.juxiangyou.com/r7232660注册帐号即送10000U币，通过试玩游戏，打码，体验广告账户达到200000U币就算完成任务。然后截图（下方有示范截图，首页头像完整截图，一定要包含自己的ID）.QQ交流 2986822313 我会帮大家尽快的完成任务！积累U币只能通过试玩游戏，打码，体验广告三种方式获得！建议大家开始做任务的时候，加我QQ，我会告诉大家，怎么尽快的完成任务！  QQ群交流：415661679  最新：五一活动啦，有大奖：富士趣奇instax相机，AppleWatch苹果运动手表,任务编号：354582,,,,,,,,,,,B任务编号：354582,游戏代练
【游戏其他】游戏试玩，一稿10元,https://task.epwk.com/350758/,1817人,0人,¥500,leiziwudi,500.0,,2015-05-05,1.通过http://www.ttz.com/fd/54705440注册帐号，把帐号等级提升到20级就可以，通过签到，打码，打游戏，或者体验广告就可以提升等级。2.完成之后截图（等级和帐号），我有后台。3.有不明白的联系我QQ2458827904，也可以长期合作,任务编号：350758,,,,,,,,,,,B任务编号：350758,游戏其他
【游戏其他】6元良心推荐，不要错过,https://task.epwk.com/349595/,2007人,0人,¥500,赚钱的孩子,500.0,,2015-04-29,http://www.juxiangyou.com/r5477388注册，进入网站通过游戏试玩赚满6元即可再拿6元。将截图发上来即可,任务编号：349595,,,,,,,,,,,B任务编号：349595,游戏其他
【游戏其他】3.01元一稿，游戏试玩，稳赚不赔！,https://task.epwk.com/349039/,2170人,1人,¥500,dufeiganbadei,500.0,,2015-04-27,这个任务非常简单，任何人，只要家里有电脑都可以做。步骤如下：1.复制粘贴：http://www.bajie1.com/reg3.asp?r=guifang1828008 进行注册，切记不是从这里进入注册的都算无效稿件哦！2.注册完成之后，你就能够获得600猪蹄的奖励，是不是简单了很多？接下来你可以进行游戏试玩，也可以进行广告体验，还可以进行打码赚钱，随你的心意选择，只要获得3000猪蹄就算你任务完成哦！（1000猪蹄相当于1元钱，所以在你完成这一步的时候你已经获得了3元钱哦）3.接下来只要大家将我的账号页面，账号昵称，ID包括猪蹄总数截图上交稿件，记住，要截成一整张哦！不然可是不作数的呢！等我审核通过之后，就会付给你们3元的稿酬。如此一来，加上之前的3元，你们就总共获得了6元钱哦！真是一件不错的买卖呢。4.当然大家都明白，这网站也是可以长期玩下去的，对于这，我可是非常赞成哦！毕竟到时候钱赚来都是给你们的么！,任务编号：349039,,,,,,,,,,,B任务编号：349039,游戏其他
【游戏其他】游戏试玩【欢乐赚】一稿5元可绝对业界良心,https://task.epwk.com/347671/,2708人,2人,¥500,goldniche,500.0,,2015-04-21,"最新游戏体验平台试玩每人每稿5元，每天上线审核任务要求：（注册过的朋友就不要做了,,请诚信交稿,谢谢!）1、通过以下网址打开注册：http://www.huanlezhuan.com/100692、参与游戏体验、打码、广告体验等赚取到60000欢乐币即可。3、之前参与的用户不可再次交稿了，每人只有一次机会，请把机会给留给他人。交稿要求：截图交稿以及你的数字ＩＤ号即可，个人信息请自行遮挡，以免泄露个人信息。谢谢合作。",任务编号：347671,,,,,,,,,,,B任务编号：347671,游戏其他
