标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,知识
【LOGO设计】设计标志,https://task.epwk.com/390905/,171人,1人,¥100,圆满完成,https://task.epwk.com/page2842.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390905,2000-2900.csv,,,,,,,,标志设计
【LOGO设计】设计标志,https://task.epwk.com/390906/,168人,1人,¥100,圆满完成,https://task.epwk.com/page2842.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390906,2000-2900.csv,,,,,,,,标志设计
【LOGO设计】设计标志,https://task.epwk.com/390908/,138人,1人,¥100,圆满完成,https://task.epwk.com/page2842.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390908,2000-2900.csv,,,,,,,,标志设计
【后端开发】项目接口对接第一期预付款,https://task.epwk.com/390910/,1559人,1人,"¥4,800",圆满完成,https://task.epwk.com/page2842.html?m=6&o=7,项目接口对接第一期预付款,直接雇佣￥ 4800,￥ 4800,任务编号：390910,2000-2900.csv,,,,,,,,"项目接口, 对接, 预付款"
【LOGO设计】设计标志,https://task.epwk.com/390911/,113人,1人,¥100,圆满完成,https://task.epwk.com/page2842.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390911,2000-2900.csv,,,,,,,,标志设计
【LOGO设计】设计标志,https://task.epwk.com/390913/,118人,1人,¥100,圆满完成,https://task.epwk.com/page2842.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390913,2000-2900.csv,,,,,,,,标志设计
【LOGO设计】设计标志,https://task.epwk.com/390916/,153人,1人,¥100,圆满完成,https://task.epwk.com/page2842.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390916,2000-2900.csv,,,,,,,,标志设计
【LOGO设计】设计标志,https://task.epwk.com/390917/,188人,1人,¥100,圆满完成,https://task.epwk.com/page2842.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390917,2000-2900.csv,,,,,,,,标志设计
【LOGO设计】设计标志,https://task.epwk.com/390918/,150人,1人,¥100,圆满完成,https://task.epwk.com/page2842.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390918,2000-2900.csv,,,,,,,,标志设计
【宣传册设计】kuaye-longxing,https://task.epwk.com/390919/,211人,1人,¥100,圆满完成,https://task.epwk.com/page2842.html?m=6&o=7,kuaye-longxing,直接雇佣￥ 100,￥ 100,任务编号：390919,2000-2900.csv,,,,,,,,"kuaye, longxing"
【LOGO设计】设计标志,https://task.epwk.com/390920/,166人,1人,¥100,圆满完成,https://task.epwk.com/page2842.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390920,2000-2900.csv,,,,,,,,标志设计
【LOGO设计】设计标志,https://task.epwk.com/390921/,178人,1人,¥100,圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390921,2000-2900.csv,,,,,,,,标志设计
【LOGO设计】设计标志,https://task.epwk.com/390924/,122人,1人,¥100,圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390924,2000-2900.csv,,,,,,,,标志设计
【LOGO设计】设计标志,https://task.epwk.com/390926/,145人,1人,¥100,圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390926,2000-2900.csv,,,,,,,,标志设计
【LOGO设计】设计标志,https://task.epwk.com/390928/,312人,1人,¥100,圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390928,2000-2900.csv,,,,,,,,标志设计
【LOGO设计】设计标志,https://task.epwk.com/390932/,159人,1人,¥100,圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390932,2000-2900.csv,,,,,,,,标志设计
【LOGO设计】设计标志,https://task.epwk.com/390935/,271人,1人,¥100,圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390935,2000-2900.csv,,,,,,,,标志设计
【LOGO设计】设计标志,https://task.epwk.com/390941/,142人,1人,¥100,圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390941,2000-2900.csv,,,,,,,,标志设计
nutch第一期,https://task.epwk.com/390943/,168人,1人,"¥3,000",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,nutch第一期,直接雇佣￥ 3000,￥ 3000,任务编号：390943,2000-2900.csv,,,,,,,,"nutch, 第一期"
【LOGO设计】设计标志,https://task.epwk.com/390945/,128人,1人,¥100,圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,设计标志,直接雇佣￥ 100,￥ 100,任务编号：390945,2000-2900.csv,,,,,,,,标志设计
【电商网站】微信公众号开发，带多级分销功能，php开发,https://task.epwk.com/390948/,228人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,微信公众号开发，带多级分销功能，php开发,直接雇佣￥ 5000,￥ 5000,任务编号：390948,2000-2900.csv,,,,,,,,"微信公众号, 多级分销, php开发"
【APP界面设计】手机网站的整体UI美工设计,https://task.epwk.com/390961/,259人,1人,"¥3,000",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,手机网站的整体UI美工设计,直接雇佣￥ 3000,￥ 3000,任务编号：390961,2000-2900.csv,,,,,,,,"手机网站, UI设计, 美工设计"
设计LOGO,https://task.epwk.com/390964/,146人,1人,¥500,圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,设计LOGO,直接雇佣￥ 500,￥ 500,任务编号：390964,2000-2900.csv,,,,,,,,LOGO设计
手持设备喷砂,https://task.epwk.com/390971/,312人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,手持设备喷砂,直接雇佣￥ 2000,￥ 2000,任务编号：390971,2000-2900.csv,,,,,,,,"手持设备, 喷砂"
武汉纪念衫展板设计及秋款文化衫,https://task.epwk.com/390976/,345人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,武汉纪念衫展板设计及秋款文化衫,直接雇佣￥ 5000,￥ 5000,任务编号：390976,2000-2900.csv,,,,,,,,"纪念衫, 展板设计, 秋款文化衫"
店铺效果图及施工尺寸图,https://task.epwk.com/390984/,301人,1人,¥500,圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,店铺效果图及施工尺寸图,直接雇佣￥ 500,￥ 500,任务编号：390984,2000-2900.csv,,,,,,,,"店铺效果图, 施工尺寸图"
做一款手机APP的二次开发,https://task.epwk.com/390990/,200人,1人,"¥2,500",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,做一款手机APP的二次开发,直接雇佣￥ 2500,￥ 2500,任务编号：390990,2000-2900.csv,,,,,,,,"手机APP, 二次开发"
【小程序开发】网络行为管理软件,https://task.epwk.com/390999/,212人,1人,"¥19,900",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,网络行为管理软件,直接雇佣￥ 19900,￥ 19900,任务编号：390999,2000-2900.csv,,,,,,,,"网络行为管理, 软件"
【小程序开发】彩信发送管理软件,https://task.epwk.com/391000/,94人,1人,"¥19,500",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,彩信发送管理软件,直接雇佣￥ 19500,￥ 19500,任务编号：391000,2000-2900.csv,,,,,,,,"彩信发送, 软件管理"
【小程序开发】某大型网站视频聊天室软件,https://task.epwk.com/391001/,123人,1人,"¥19,200",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,某大型网站视频聊天室软件,直接雇佣￥ 19200,￥ 19200,任务编号：391001,2000-2900.csv,,,,,,,,"视频聊天室, 网站软件, 大型网站"
LOGO和包装盒设计,https://task.epwk.com/391020/,103人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,LOGO和包装盒设计,直接雇佣￥ 2000,￥ 2000,任务编号：391020,2000-2900.csv,,,,,,,,"LOGO, 包装盒设计"
双十二主题字体设计,https://task.epwk.com/391048/,637人,1人,¥500,圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,双十二主题字体设计,直接雇佣￥ 500,￥ 500,任务编号：391048,2000-2900.csv,,,,,,,,"双十二, 字体设计"
【包装设计】整体包装设计,https://task.epwk.com/391049/,209人,1人,"¥5,900",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,整体包装设计,直接雇佣￥ 5900,￥ 5900,任务编号：391049,2000-2900.csv,,,,,,,,"整体包装, 设计"
银行系统页面改版,https://task.epwk.com/391052/,210人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,银行系统页面改版,直接雇佣￥ 1000,￥ 1000,任务编号：391052,2000-2900.csv,,,,,,,,"银行系统, 页面改版"
双十二线下促销广告,https://task.epwk.com/391078/,199人,1人,"¥6,200",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,双十二线下促销广告,直接雇佣￥ 6200,￥ 6200,任务编号：391078,2000-2900.csv,,,,,,,,"双十二, 线下促销, 广告"
【企业官网】合同签好,https://task.epwk.com/391081/,344人,1人,"¥8,500",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,合同签好,直接雇佣￥ 8500,￥ 8500,任务编号：391081,2000-2900.csv,,,,,,,,合同签订
LOGo设计,https://task.epwk.com/391118/,298人,1人,¥300,圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,LOGo设计,直接雇佣￥ 300,￥ 300,任务编号：391118,2000-2900.csv,,,,,,,,LOGO设计
家具店设计,https://task.epwk.com/391134/,587人,1人,"¥2,500",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,家具店设计,直接雇佣￥ 2500,￥ 2500,任务编号：391134,2000-2900.csv,,,,,,,,"家具设计, 店铺设计"
【宣传册设计】启瑞药业全套展板设计,https://task.epwk.com/391139/,537人,1人,"¥4,600",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,启瑞药业全套展板设计,直接雇佣￥ 4600,￥ 4600,任务编号：391139,2000-2900.csv,,,,,,,,"展板设计, 药业, 全套"
【APP界面设计】平台类网站网页设计风格改版！,https://task.epwk.com/391190/,371人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,平台类网站网页设计风格改版！,直接雇佣￥ 1000,￥ 1000,任务编号：391190,2000-2900.csv,,,,,,,,"平台类网站, 网页设计, 风格改版"
【小程序开发】某公司网络客服平台,https://task.epwk.com/391193/,117人,1人,"¥9,900",圆满完成,https://task.epwk.com/page2841.html?m=6&o=7,某公司网络客服平台,直接雇佣￥ 9900,￥ 9900,任务编号：391193,2000-2900.csv,,,,,,,,"网络客服, 平台"
【机械设备】组合式实墙岗亭,https://task.epwk.com/391196/,1525人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,组合式实墙岗亭,直接雇佣￥ 20000,￥ 20000,任务编号：391196,2000-2900.csv,,,,,,,,"组合式实墙岗亭, 岗亭设计"
【小程序开发】视频屏幕弹幕系统管理端开发及客户端适配开发,https://task.epwk.com/391200/,129人,1人,"¥9,700",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,视频屏幕弹幕系统管理端开发及客户端适配开发,直接雇佣￥ 9700,￥ 9700,任务编号：391200,2000-2900.csv,,,,,,,,"视频屏幕弹幕系统, 管理端开发, 客户端适配"
【机械设备】组合式岗亭内装方案设计,https://task.epwk.com/391201/,1531人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,组合式岗亭内装方案设计,直接雇佣￥ 10000,￥ 10000,任务编号：391201,2000-2900.csv,,,,,,,,"组合式岗亭, 内装方案, 设计"
宁波实业VI及LOGO改版（地产，建筑两家公司）,https://task.epwk.com/391204/,210人,1人,"¥7,500",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,宁波实业VI及LOGO改版（地产，建筑两家公司）,直接雇佣￥ 7500,￥ 7500,任务编号：391204,2000-2900.csv,,,,,,,,"宁波实业, VI设计, LOGO改版, 地产, 建筑公司"
全部按合同要求制作商城并开通、维护,https://task.epwk.com/391215/,102人,1人,"¥4,500",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,全部按合同要求制作商城并开通、维护,直接雇佣￥ 4500,￥ 4500,任务编号：391215,2000-2900.csv,,,,,,,,"商城制作, 合同要求, 维护"
【宣传册设计】kuacai-chunhui,https://task.epwk.com/391228/,668人,1人,¥100,圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,kuacai-chunhui,直接雇佣￥ 100,￥ 100,任务编号：391228,2000-2900.csv,,,,,,,,"kuacai, chunhui"
帮助做qq营销,https://task.epwk.com/391229/,206人,1人,¥100,圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,帮助做qq营销,直接雇佣￥ 100,￥ 100,任务编号：391229,2000-2900.csv,,,,,,,,"QQ营销, 营销策略"
h5设计 主场景跑道场景 一个动物,https://task.epwk.com/391245/,210人,1人,"¥1,200",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,h5设计 主场景跑道场景 一个动物,直接雇佣￥ 1200,￥ 1200,任务编号：391245,2000-2900.csv,,,,,,,,"h5设计, 主场景, 跑道场景, 动物"
【文学创作】宣传片解说词,https://task.epwk.com/391264/,1402人,1人,"¥3,000",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,宣传片解说词,直接雇佣￥ 3000,￥ 3000,任务编号：391264,2000-2900.csv,,,,,,,,"宣传片, 解说词"
【APP界面设计】公司手机网站,https://task.epwk.com/391275/,315人,1人,¥100,圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,公司手机网站,直接雇佣￥ 100,￥ 100,任务编号：391275,2000-2900.csv,,,,,,,,"公司网站, 手机网站"
【LOGO设计】.swf格式动态字体设计,https://task.epwk.com/391297/,261人,1人,¥300,圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,.swf格式动态字体设计,直接雇佣￥ 300,￥ 300,任务编号：391297,2000-2900.csv,,,,,,,,"swf格式, 动态字体设计"
【广告设计】品牌衣服包装袋设计,https://task.epwk.com/391311/,404人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,品牌衣服包装袋设计,直接雇佣￥ 2000,￥ 2000,任务编号：391311,2000-2900.csv,,,,,,,,"品牌衣服, 包装袋设计"
【APP界面设计】APP界面优化设计,https://task.epwk.com/391320/,355人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,APP界面优化设计,直接雇佣￥ 10000,￥ 10000,任务编号：391320,2000-2900.csv,,,,,,,,"APP界面, 优化设计"
【产品推广】我的产品需要论坛推广,https://task.epwk.com/391347/,351人,1人,"¥7,000",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,我的产品需要论坛推广,直接雇佣￥ 7000,￥ 7000,任务编号：391347,2000-2900.csv,,,,,,,,"论坛推广, 产品推广"
门产品信息,https://task.epwk.com/391349/,98人,1人,"¥27,300",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,门产品信息,直接雇佣￥ 27300,￥ 27300,任务编号：391349,2000-2900.csv,,,,,,,,产品信息
LOGO,https://task.epwk.com/391380/,180人,1人,¥650,圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,LOGO,直接雇佣￥ 650,￥ 650,任务编号：391380,2000-2900.csv,,,,,,,,LOGO
【LOGO设计】logo,https://task.epwk.com/391381/,213人,1人,"¥5,850",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,logo,直接雇佣￥ 5850,￥ 5850,任务编号：391381,2000-2900.csv,,,,,,,,logo
【小程序开发】企业内网即时通信工具,https://task.epwk.com/391383/,162人,1人,"¥8,700",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,企业内网即时通信工具,直接雇佣￥ 8700,￥ 8700,任务编号：391383,2000-2900.csv,,,,,,,,"企业内网, 即时通信, 通信工具"
编辑2.4G无线通讯主机和节点代码,https://task.epwk.com/391405/,583人,1人,¥500,圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,编辑2.4G无线通讯主机和节点代码,直接雇佣￥ 500,￥ 500,任务编号：391405,2000-2900.csv,,,,,,,,"2.4G无线通讯, 代码编辑, 主机节点"
【LOGO设计】利多LOGO,https://task.epwk.com/391432/,157人,1人,"¥3,000",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,利多LOGO,直接雇佣￥ 3000,￥ 3000,任务编号：391432,2000-2900.csv,,,,,,,,"利多, LOGO"
补充功能,https://task.epwk.com/391441/,129人,1人,"¥2,600",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,补充功能,直接雇佣￥ 2600,￥ 2600,任务编号：391441,2000-2900.csv,,,,,,,,补充功能
UI设计,https://task.epwk.com/391471/,262人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,UI设计,直接雇佣￥ 5000,￥ 5000,任务编号：391471,2000-2900.csv,,,,,,,,UI设计
【图片处理】文档说明,https://task.epwk.com/391482/,270人,1人,¥700,圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,文档说明,直接雇佣￥ 700,￥ 700,任务编号：391482,2000-2900.csv,,,,,,,,文档说明
【活动策划】公司一周年庆功尾牙活动策划,https://task.epwk.com/391494/,506人,1人,"¥19,000",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,公司一周年庆功尾牙活动策划,直接雇佣￥ 19000,￥ 19000,任务编号：391494,2000-2900.csv,,,,,,,,"周年庆, 尾牙活动, 策划"
1张海报设计+一个封套修改,https://task.epwk.com/391509/,107人,1人,¥100,圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,1张海报设计+一个封套修改,直接雇佣￥ 100,￥ 100,任务编号：391509,2000-2900.csv,,,,,,,,"海报设计, 封套修改"
矢量logo 制作与修改,https://task.epwk.com/391513/,125人,1人,¥100,圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,矢量logo 制作与修改,直接雇佣￥ 100,￥ 100,任务编号：391513,2000-2900.csv,,,,,,,,"矢量logo, 制作, 修改"
【VI设计】集团VI系统设计,https://task.epwk.com/391521/,291人,1人,"¥37,000",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,集团VI系统设计,直接雇佣￥ 37000,￥ 37000,任务编号：391521,2000-2900.csv,,,,,,,,"集团VI系统, 设计"
【企业官网】任务已谈好，请勿投标,https://task.epwk.com/391523/,420人,1人,"¥4,500",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,任务已谈好，请勿投标,直接雇佣￥ 4500,￥ 4500,任务编号：391523,2000-2900.csv,,,,,,,,"任务, 投标"
【企业官网】二次元平台,https://task.epwk.com/391527/,510人,1人,"¥4,499",圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,二次元平台,直接雇佣￥ 4499,￥ 4499,任务编号：391527,2000-2900.csv,,,,,,,,平台
Ryuyan,https://task.epwk.com/391539/,133人,1人,¥625,圆满完成,https://task.epwk.com/page2840.html?m=6&o=7,Ryuyan,直接雇佣￥ 625,￥ 625,任务编号：391539,2000-2900.csv,,,,,,,,Ryuyan
开发一款加密破解软件,https://task.epwk.com/391545/,203人,1人,"¥8,000",圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,开发一款加密破解软件,直接雇佣￥ 8000,￥ 8000,任务编号：391545,2000-2900.csv,,,,,,,,"加密破解, 软件开发"
【企业官网】寻亲网站的建设,https://task.epwk.com/391557/,183人,1人,"¥9,000",圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,寻亲网站的建设,直接雇佣￥ 9000,￥ 9000,任务编号：391557,2000-2900.csv,,,,,,,,"寻亲网站, 建设"
"制作black friday 广告图, 策划营销方案",https://task.epwk.com/391564/,229人,1人,"¥26,894",圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,"制作black friday 广告图, 策划营销方案",直接雇佣￥ 26894,￥ 26894,任务编号：391564,2000-2900.csv,,,,,,,,"black friday, 广告图, 营销方案"
【企业官网】开发一个企业官网,https://task.epwk.com/391575/,592人,1人,¥800,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,开发一个企业官网,直接雇佣￥ 800,￥ 800,任务编号：391575,2000-2900.csv,,,,,,,,"企业官网, 开发"
计算机/互联网/通信/电子无字数要求品牌取名,https://task.epwk.com/391589/,331人,1人,¥85,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,计算机/互联网/通信/电子无字数要求品牌取名,直接雇佣￥ 85,￥ 85,任务编号：391589,2000-2900.csv,,,,,,,,"计算机, 互联网, 通信, 电子, 品牌取名"
【LOGO设计】设计logo,https://task.epwk.com/391607/,134人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,设计logo,直接雇佣￥ 100,￥ 100,任务编号：391607,2000-2900.csv,,,,,,,,logo设计
【LOGO设计】logo标志,https://task.epwk.com/391608/,143人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,logo标志,直接雇佣￥ 100,￥ 100,任务编号：391608,2000-2900.csv,,,,,,,,"logo, 标志"
【LOGO设计】logo标志,https://task.epwk.com/391610/,145人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,logo标志,直接雇佣￥ 100,￥ 100,任务编号：391610,2000-2900.csv,,,,,,,,"logo, 标志"
【LOGO设计】设计logo,https://task.epwk.com/391611/,115人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,设计logo,直接雇佣￥ 100,￥ 100,任务编号：391611,2000-2900.csv,,,,,,,,logo设计
【LOGO设计】logo标志,https://task.epwk.com/391612/,120人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,logo标志,直接雇佣￥ 100,￥ 100,任务编号：391612,2000-2900.csv,,,,,,,,"logo, 标志"
【LOGO设计】设计logo,https://task.epwk.com/391613/,127人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,设计logo,直接雇佣￥ 100,￥ 100,任务编号：391613,2000-2900.csv,,,,,,,,logo设计
【LOGO设计】LOGO设计,https://task.epwk.com/391614/,189人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,LOGO设计,直接雇佣￥ 100,￥ 100,任务编号：391614,2000-2900.csv,,,,,,,,LOGO设计
【LOGO设计】设计logo,https://task.epwk.com/391615/,218人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,设计logo,直接雇佣￥ 100,￥ 100,任务编号：391615,2000-2900.csv,,,,,,,,logo设计
【LOGO设计】logo标志,https://task.epwk.com/391616/,128人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,logo标志,直接雇佣￥ 100,￥ 100,任务编号：391616,2000-2900.csv,,,,,,,,"logo, 标志"
【LOGO设计】LOGO设计,https://task.epwk.com/391618/,227人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,LOGO设计,直接雇佣￥ 100,￥ 100,任务编号：391618,2000-2900.csv,,,,,,,,LOGO设计
【LOGO设计】设计logo,https://task.epwk.com/391619/,125人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,设计logo,直接雇佣￥ 100,￥ 100,任务编号：391619,2000-2900.csv,,,,,,,,logo设计
【LOGO设计】logo标志,https://task.epwk.com/391620/,121人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,logo标志,直接雇佣￥ 100,￥ 100,任务编号：391620,2000-2900.csv,,,,,,,,"logo, 标志"
【LOGO设计】设计logo,https://task.epwk.com/391621/,157人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,设计logo,直接雇佣￥ 100,￥ 100,任务编号：391621,2000-2900.csv,,,,,,,,logo设计
【LOGO设计】LOGO设计,https://task.epwk.com/391622/,176人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,LOGO设计,直接雇佣￥ 100,￥ 100,任务编号：391622,2000-2900.csv,,,,,,,,LOGO设计
【LOGO设计】logo标志,https://task.epwk.com/391623/,177人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,logo标志,直接雇佣￥ 100,￥ 100,任务编号：391623,2000-2900.csv,,,,,,,,"logo, 标志"
【LOGO设计】设计logo,https://task.epwk.com/391624/,263人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,设计logo,直接雇佣￥ 100,￥ 100,任务编号：391624,2000-2900.csv,,,,,,,,logo设计
【LOGO设计】LOGO设计,https://task.epwk.com/391625/,210人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,LOGO设计,直接雇佣￥ 100,￥ 100,任务编号：391625,2000-2900.csv,,,,,,,,LOGO设计
【LOGO设计】logo标志,https://task.epwk.com/391626/,140人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,logo标志,直接雇佣￥ 100,￥ 100,任务编号：391626,2000-2900.csv,,,,,,,,"logo, 标志"
【LOGO设计】设计logo,https://task.epwk.com/391627/,148人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,设计logo,直接雇佣￥ 100,￥ 100,任务编号：391627,2000-2900.csv,,,,,,,,logo设计
【LOGO设计】logo标志,https://task.epwk.com/391628/,136人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,logo标志,直接雇佣￥ 100,￥ 100,任务编号：391628,2000-2900.csv,,,,,,,,"logo, 标志"
【LOGO设计】设计logo,https://task.epwk.com/391629/,168人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,设计logo,直接雇佣￥ 100,￥ 100,任务编号：391629,2000-2900.csv,,,,,,,,logo设计
【LOGO设计】LOGO设计,https://task.epwk.com/391630/,307人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,LOGO设计,直接雇佣￥ 100,￥ 100,任务编号：391630,2000-2900.csv,,,,,,,,LOGO设计
【LOGO设计】设计logo,https://task.epwk.com/391632/,159人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,设计logo,直接雇佣￥ 100,￥ 100,任务编号：391632,2000-2900.csv,,,,,,,,logo设计
【LOGO设计】logo标志,https://task.epwk.com/391633/,623人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,logo标志,直接雇佣￥ 100,￥ 100,任务编号：391633,2000-2900.csv,,,,,,,,"logo, 标志"
【LOGO设计】LOGO设计,https://task.epwk.com/391634/,409人,1人,¥100,圆满完成,https://task.epwk.com/page2839.html?m=6&o=7,LOGO设计,直接雇佣￥ 100,￥ 100,任务编号：391634,2000-2900.csv,,,,,,,,LOGO设计
【LOGO设计】LOGO设计,https://task.epwk.com/391635/,192人,1人,¥100,圆满完成,https://task.epwk.com/page2838.html?m=6&o=7,LOGO设计,直接雇佣￥ 100,￥ 100,任务编号：391635,2000-2900.csv,,,,,,,,LOGO设计
【LOGO设计】logo标志,https://task.epwk.com/391636/,168人,1人,¥100,圆满完成,https://task.epwk.com/page2838.html?m=6&o=7,logo标志,直接雇佣￥ 100,￥ 100,任务编号：391636,2000-2900.csv,,,,,,,,"logo, 标志"
【LOGO设计】LOGO设计,https://task.epwk.com/391638/,2431人,1人,¥100,圆满完成,https://task.epwk.com/page2838.html?m=6&o=7,LOGO设计,直接雇佣￥ 100,￥ 100,任务编号：391638,2000-2900.csv,,,,,,,,LOGO设计
【LOGO设计】LOGO设计,https://task.epwk.com/391639/,530人,1人,¥100,圆满完成,https://task.epwk.com/page2838.html?m=6&o=7,LOGO设计,直接雇佣￥ 100,￥ 100,任务编号：391639,2000-2900.csv,,,,,,,,LOGO设计
