标题,标题链接,查看数,参与数,需求价���,状态,需求方,需求文本,发布时间,完成时间,任务编号,赏金总额,参与交稿,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12
【LOGO设计】生鲜便利店卡通形象,https://task.epwk.com/971104/,1362人,13人,¥500,圆满完成,新域 D9SnH,生鲜便利店老板Q版形象设计，用于便利店门头使用，店名为“胖孩”生鲜便利店，老板本人照片联系后给出，上传的三个附件为意向设计方向，可以综合设计到一起,2021.11.23,2021.12.07,任务编号：971104,￥ 500,14,上海结网科技有限公司,https://shop.epwk.com/09drj8pqe53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】logo设计：泉鹏创意,https://task.epwk.com/970824/,1650人,38人,¥600,圆满完成,o5dde7b4ee8c53,要求：1、集团公司，供应链行业2、简单大气3、自由发挥,2021.11.22,2022.01.20,任务编号：970824,￥ 600,44,锐狮设计,https://shop.epwk.com/9w56elywwdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】瑜伽工作室LOGO设计,https://task.epwk.com/971051/,1340人,26人,¥500,圆满完成,蓝血人生,瑜伽工作室LOGO设计，设计要求线条简约，易于进行广告制作。要素包含三个部分：中文字“素本”、菩提叶、瑜伽打坐的姿势投影，菩提叶为背景，“素本”二个字以瑜伽打坐的姿势投影进行设计创作，将三个要素进行结合。,2021.11.23,2021.11.30,任务编号：971051,￥ 500,27,金标点品牌设计,https://shop.epwk.com/7lngqqyw8dmr/,金标点品牌设计,出售服务,https://shop.epwk.com/7lngqqyw8dmr/chushou/,工作室,二品,60分,,,金标点品牌设计,,【金标点品牌设计- logo创意】商标Logo设计 标志创意  3套设计方案,"￥999
            /件",【金标点品牌设计 -标志设计】 标志设计高端 LOGO 企业公司商标 高大上原创,"￥300
            /件",【金标点品牌设计- 包装】包装设计 平面设计 产品包装 三套设计方案,"￥3500
            /件",【金标点品牌设计- 包装】包装设计平面设计保健品产品包装彩页宣传单,1500,【金标点品牌设计 -标志设计】 创意设计 标志设计高端 LOGO 企业公司 企业标志创意商标设计,"￥3000
            /件",,,,,,,,
【LOGO设计】能源水类的信息化logo设计,https://task.epwk.com/971044/,883人,33人,¥500,圆满完成,维联创ctfsR,公司名称为：KOLAN    主要从事水利信息化  闸泵自动化logo风格：根据附件中的图样，设计类似风格的logo设计，需要提供logo详细说明和样机展示，最主要的是需要logo是用什么组成的，需要最终要的【组成说明】备注：任务比较着急，希望大家尽量在三天内投稿，谢谢！,2021.11.23,2021.12.03,任务编号：971044,￥ 500,37,遨星工作室,https://shop.epwk.com/mod04qgxr5yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】新能源动力系统公司logo设计,https://task.epwk.com/971002/,7935人,80人,¥1580,圆满完成,威尊享FvaUh,"一、公司简介苏州赫行新能源汽车科技有限公司成立于2018年4月23日，位于太湖之滨风景秀丽的木渎古镇。公司是一家专注于新能源汽车高效动力系统领域研发、生产及服务的高新技术创新企业。公司技术力量雄厚，研发团队核心成员先后完成多项国家“863”等重大科技攻关项目和若干实车产品开发项目，掌握了混合动力、纯电动、燃料电池等新能源汽车的整车匹配与控制、动力系统集成与控制、自动变速箱控制、电机控制、整车控制器等核心技术。公司主导产品有中重型纯电动商用汽车动力系统、混合动力商用汽车动力系统、内燃机重卡AMT变速器、电机控制器、VCU、大数据运维管理系统等。  公司全称：苏州赫行新能源汽车科技有限公司公司简称：赫行新能源、赫行动力、赫行科技公司英文名：SUZHOU HORWING NEW ENERGY VEHICLE TECHNOLOGY CO., LTD公司网站：http://www.horwing-auto.com/二、设计要求：1、用“赫行新能源”、“赫行动力”、“赫行科技”三个简称中文、英文、汉语拼音进行设计；2、大气、简洁、方案要求简洁、明快，有科技感，有行业特点，有强的视觉冲击力与品牌联想。；3、logo会印在动力系统产品金属铭牌、纸质宣传品上：4、附上创意说明；5、提供cdr格式源文件。 三、知识产权说明：1、投标者所设计的作品需为原创，且为第一次发布，未侵犯他人的任何知识产权（包括但不限于著作权、专利权、商标权等），如有任何侵犯他人知识产权或其他权利的行为，由投标者承担所有法律责任;2、中标的设计作品，我方支付设计制作费后，即拥有该设计作品的知识产权（包括但不限于著作权、专利权、商标权等）,且可使用、发布该设计作品等,且有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2021.11.23,2021.12.24,任务编号：971002,￥ 1580,108,雨夜品牌设计,https://shop.epwk.com/omdwk3vgrdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】冻品丸滑产品公司logo设计,https://task.epwk.com/970983/,3485人,63人,¥1500,圆满完成,zhong9410,"名称：海乡人经营介绍：海鲜、肉制冷冻食品的生产加工和销售VI应用内容：基础应用2个（名片、海报）设计要求：     设计：1、紧扣主题“海乡人”，有海产品属性；2、新创意 图型+文字，要有上下、左右结构；3、海报可以在网上找鱼丸的图片设计；要求：中英文版本1、国际化、简洁大气、带公司属性2、有品牌VI专用颜色，附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2021.11.23,2021.12.14,任务编号：970983,￥ 1500,83,黑石品牌,https://shop.epwk.com/89dvgyv7gdl2/,黑石品牌,出售服务,https://shop.epwk.com/89dvgyv7gdl2/chushou/,个人,四品,45分,,,黑石品牌,,LOGO设计,￥1000,海报设计,￥1000,VI设计,￥5000,画册设计,￥5000,,,,,,,,,,
【LOGO设计】内蒙古益牧动保商贸有限公司设计公司logo,https://task.epwk.com/970795/,1104人,32人,¥500,圆满完成,o5ea1fdaf1b870,内蒙古益牧动保商贸有限公司设计公司logo，公司主要经营兽药疫苗添加剂消毒剂和为养殖场提供技术服务,2021.11.22,2021.12.03,任务编号：970795,￥ 500,39,侠道视觉,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】游戏公司LOGO设计,https://task.epwk.com/970745/,1508人,21人,¥600,圆满完成,威锐美客Py9qH,品牌名称：游戏日夜，域名：yxry.cn主要从事单主机游戏行业自媒体，专注于游戏测评、新闻资讯等类型内容产出希望LOGO带有“游戏”与“日夜”“时间”相关元素，同时满足年轻化用户群体的审美需求，简单易记。,2021.11.22,2021.12.04,任务编号：970745,￥ 600,21,诸侯视觉,https://shop.epwk.com/j7n38rkve5e1/,诸侯视觉,出售服务,https://shop.epwk.com/j7n38rkve5e1/chushou/,工作室,一品,145分,,,诸侯视觉,,诸侯视觉logo标志设计,"￥500
            /次",商城全店装修5000,￥5000,VI视觉DESIGN,"￥3000
            /日",,,,,,,,,,,,
【LOGO设计】奢侈品回收销售Logo设计,https://task.epwk.com/970660/,1626人,37人,¥500,圆满完成,o5be5bfd922432,logo设计万物聚收主要做奢侈品名表 名包 钻石黄金 手机 电子产品等回收销售 请勿加微信做好了直接发在下面 选稿,2021.11.20,2022.02.24,任务编号：970660,￥ 500,43,广西观视文化传媒有限公司,https://shop.epwk.com/09drjr9p353w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】大宗优选logo设计,https://task.epwk.com/970595/,1634人,35人,¥500,圆满完成,陕西星期八设计,"名称：大宗优选服务范围：水果，熟菜，鲜肉，小麦，茶，坚果，豆类服务对象：企业要求：（1）突出生鲜优品，有食欲才行，形象生动，识别性高           （2）突出特色科技产品、数字化管控，标准品质、大宗数量、产地优品           （3）融入蔬菜，水果，肉等经验范围内的农产品元素知识产权说明：1. 所设计的作品为必须原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任。2. 中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2021.11.20,2021.12.26,任务编号：970595,￥ 500,38,崇尚简约品牌设计,https://shop.epwk.com/p05qjmk6odev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】餐饮商标设计征集,https://task.epwk.com/970556/,1415人,31人,¥500,圆满完成,mf180****1112,"商标名称：大奔鸡  主营：火锅、干锅鸡  设计要求：（1）可以以一只鸡为元素
                  （2）可以文字加图形知识产权说明：1. 所设计的作品为必须原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任。2. 中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2021.11.19,2021.12.06,任务编号：970556,￥ 500,35,诸侯视觉,https://shop.epwk.com/j7n38rkve5e1/,诸侯视觉,出售服务,https://shop.epwk.com/j7n38rkve5e1/chushou/,工作室,一品,145分,,,诸侯视觉,,诸侯视觉logo标志设计,"￥500
            /次",商城全店装修5000,￥5000,VI视觉DESIGN,"￥3000
            /日",,,,,,,,,,,,
【动漫角色设计】异形紫巨人形象设计,https://task.epwk.com/970504/,3739人,14人,¥2500,圆满完成,o61809b320ef1f,"设计对象：绿巨人的身体+（猫或悟空或猪八戒）头对象要素：身材富有肌肉感，加上无违和感的头用途：制作玩具（摆件）设计要求：1、站姿，整体尺寸不超过10cm-6cm-15cm       2、颜色：身体紫色，裤子色自选（单色），头部色彩亦不宜过多，体现头像特色即可3、感觉：不宜写真，Q版，夸张，高辨识度4、成稿：带标尺的四面矢量图（式样见附件）备注：初稿需要按以上设计要求提交。说明：1、本次任务入围的，将以定向投标交易模式完成（确保设计师收入不低于2000元），请入围设计师在本任务中标公示七天内及时参与投标          2、未尽事宜，微信联系：doge1984          3、可先提交创意稿，如创意稿中标，中标威客需在公示期内交付成稿，如不能交付，从入围稿件中择选知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2021.11.19,2021.12.05,任务编号：970504,￥ 2500,21,上海改观广告有限公司,https://shop.epwk.com/0jnekm6x4nv3/,上海改观广告有限公司,出售服务,https://shop.epwk.com/0jnekm6x4nv3/chushou/,企业,五品,38分,,,上海改观广告有限公司,,logo设计,"￥1000
            /件",,,,,,,,,,,,,,,,
【LOGO设计】云健体育logo征集,https://task.epwk.com/970496/,6529人,125人,¥2000,圆满完成,青之萃WY4mM,（一）云健体育logo设计作品能充分展示新时代背景下体育行业在国家建设、社会发展中的作用、形象和特点。（二）设计作品须包含以下元素：中文：云健英文：YUNJIAN SPORTS（二）云健体育logo设计作品应可作为企业统一使用的标识，并具备较强的延展性，可以在纪念品、宣传品、媒体平台、交流活动等多种载体和场景中应用。,2021.11.19,2021.12.09,任务编号：970496,￥ 2000,156,诸侯视觉,https://shop.epwk.com/j7n38rkve5e1/,诸侯视觉,出售服务,https://shop.epwk.com/j7n38rkve5e1/chushou/,工作室,一品,145分,,,诸侯视觉,,诸侯视觉logo标志设计,"￥500
            /次",商城全店装修5000,￥5000,VI视觉DESIGN,"￥3000
            /日",,,,,,,,,,,,
【包装设计】食品（菊花晶）纸盒包装设计,https://task.epwk.com/970457/,5900人,46人,¥2000,圆满完成,华美欣,设计要求见附件,2021.11.19,2021.12.14,任务编号：970457,￥ 2000,51,广杨工作室,https://shop.epwk.com/zqdplx87kn1v/,广杨工作室,出售服务,https://shop.epwk.com/zqdplx87kn1v/chushou/,个人,四品,37分,,,广杨工作室,,,,,,,,,,,,,,,,,,,
【VI设计】电商公司新地点部门牌制作，必须有创意，简单大方！,https://task.epwk.com/970431/,3928人,35人,¥1440,圆满完成,威之家BwMzt,电商公司新地点部门牌制作，必须有创意，简单大方！,2021.11.19,2022.01.14,任务编号：970431,￥ 1440,36,JY丶设计,https://shop.epwk.com/v0n1x4gv257y/,JY丶设计,出售服务,https://shop.epwk.com/v0n1x4gv257y/chushou/,个人,九品,36分,,,JY丶设计,,,,,,,,,,,,,,,,,,,
【LOGO设计】标志设计：视觉上既能体现医疗器件业，也代表生命生生不息！,https://task.epwk.com/970372/,1516人,24人,¥500,圆满完成,威鹤xJnPU,"顺骅科技有限公司，做医疗器械相关业务，视觉上既能体现业务属性，也表达对生命的重视，生命生生不息，简洁稳重，谢谢！

1、大气、简洁、扁平化；

2、附上创意说明；

3、提供ai、cdr格式源文件。",2021.11.18,2021.12.01,任务编号：970372,￥ 500,27,侠道视觉,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【其他设计】产品铭牌设计,https://task.epwk.com/970423/,2724人,42人,¥720,圆满完成,o5f1936afbe51a,设计产品铭牌信息，附件“需要重新设计的铭牌信息”是设计对象，可参考附件“产品铭牌（参考）”我司是从事高端仪器贸易，需要一款风格简约，体现高级感的产品铭牌,2021.11.19,2021.12.24,任务编号：970423,￥ 720,44,o5fc0ab9e5e2b5,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】原有logo进行改良设计,https://task.epwk.com/970356/,3783人,45人,¥864,圆满完成,o5f1936afbe51a,请将原logo（附件）与“佛山”两个字融合，① 颜色可以维持原来，也可以依照设计进行修改；② 我司是科技行业，风格可以是科技感或者文化感为主；③ 可以是在原基础上进行修改，也可以重新设计。,2021.11.18,2022.01.09,任务编号：970356,￥ 864,50,o5fc0ab9e5e2b5,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】公司品牌LOGO设计,https://task.epwk.com/970294/,1649人,32人,¥500,圆满完成,极品堂iipOZ,在原LOGO的基础上修改创意或者设计一个新的logoLOGO：ALTAI涉及领域：工具类产品，农林机械类产品，小家用电器类产品风格：粗犷一点，严肃一点，带俄罗斯风格，logo为图文结合，需要一个图片形象来衬托ALTAI的品牌名称。图片可以为山坡，水流，或者俄罗斯的熊，鹰的局部异型图。比如Nike的勾.附件里面山的图形客户都不满意，需要新的创意。ALTAIDESIGNED IN RUSSIA 的英文字都要保留在设计里面，原来的设计风格可沿用可不用,2021.11.18,2021.12.17,任务编号：970294,￥ 500,34,企艺视界,https://shop.epwk.com/2j5jjy1995pz/,企艺视界,出售服务,https://shop.epwk.com/2j5jjy1995pz/chushou/,个人,四品,47分,,,企艺视界,,,,,,,,,,,,,,,,,,,
【包装设计】神宫水漆18L包装桶设计,https://task.epwk.com/970264/,1120人,10人,¥500,圆满完成,o5ff98f7a930ef,"1.品牌：神宫
2.logo：附图
3.材质：铁桶
4.大小：18升
5.尺寸：856356
6.产品：水漆（内外墙乳胶漆）
7.设计要求：以品牌为中心 高端大气
8.设计内容：内容颜色不限（注：使用说明可百度）
9.知识产权：所设计作品为原创.未侵犯他人著作权.如有侵犯他人著作权.由设计者承担所以法律责任。
10.允许中标后修改 
11.如有不明可电话微信咨询19994406168",2021.11.18,2021.12.05,任务编号：970264,￥ 500,8,禾庭品策,https://shop.epwk.com/omdwkjqm1drp/,禾庭品策,出售服务,https://shop.epwk.com/omdwkjqm1drp/chushou/,企业,五品,60分,总 4 次中标，交易总金额,￥1.35万,禾庭品策,,包装设计,"￥2200
            /起",海报设计,"￥1000
            /起",至尊版VI设计,"￥15800
            /起",铂金版VI设计,"￥8000
            /起",,,,,,,,,,
【LOGO设计】网站LOGO设计,https://task.epwk.com/970225/,4436人,69人,¥1200,圆满完成,嗨铭威qMxFt,公司于2017年3月成立，立足于从纺织所需的棉花、涤纶开始，逐步延伸到纺纱、织造、印染、服装成品整个产业链，实现管理、生产、销售性价比最佳产品。公司主要管理人员，均是从事纺织行业多年，专业水平和管理能力深得同行认可的专业人士。与国内外棉花和国内主要品牌涤纶短纤生产厂建立有稳定的合作关系，为纺织下游企业原料供应保驾护航。网站名称：郑棉网       网址：www.zhengmianwang.com       我需要为这个网站设计一个LOGO，我们是一个以棉花贸易为核心业务的企业，请尽量围绕“棉花”和“郑棉网”为关键点来设计，LOGO要求分辨率300以上。,2021.11.18,2021.12.05,任务编号：970225,￥ 1200,75,步同品牌设计,https://shop.epwk.com/09drjrw2q53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】日化品（家清行业）的logo设计,https://task.epwk.com/970189/,3225人,58人,¥500,圆满完成,a1303****597,1、家用清洁小商品及日化产品。2、品牌GSB国仕邦：英文版“GSB”和中文版“国仕邦”，可分开设计也可以合并设计。3、主要生产小日化：小白鞋清洁剂，油污清洁剂，羽绒服清洁剂，内衣净，鞋油，除霉除螨等各类家清日用品。大日化：洗衣液，洗洁精，沐浴乳等4、要求原创作品，能够申请著作权和商标。5、可以参考品牌设计：立白、名创优品、老管家、丽芙。,2021.11.18,2021.12.11,任务编号：970189,￥ 500,63,与世无争视觉策划,https://shop.epwk.com/omdwkk99xdrp/,与世无争视觉策划,出售服务,https://shop.epwk.com/omdwkk99xdrp/chushou/,工作室,一品,70分,,,与世无争视觉策划,,商标设计,"￥500
            /件",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】紫砂茶具logo设计,https://task.epwk.com/970108/,1375人,29人,¥500,圆满完成,华丽逆转,"品牌名称：雅瓷阁主营业务：宜兴紫砂茶具logo用途 ：形象墙、广告宣传、办公标志、宣传品、网站、微信公众号头像等。网站域名：yacige.com设计要求：1、附上创意说明，主题突出。2、简洁大方、主题突出、方便记忆。3、三个附件logo提供参考。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2021.11.17,2021.11.28,任务编号：970108,￥ 500,33,深圳非凡设计工作室,https://shop.epwk.com/78dljyqv65lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】企业产品logo设计,https://task.epwk.com/969991/,2315人,43人,¥600,圆满完成,Cngtl,GTL公司致力于发电机组/空压机等的设计研发及制造，现在需要设计一个产品（发动机 Engine）LOGO。设计要求：1、LOGO 英文“FOVN”，中文为“福威动力”，需要考虑图形、有关联度的英文等方向，便于后续用于商标注册；也可参考下我们行业特质的设计元素，保持公司品牌之间品牌元素的延续性和关联度；2、请设计师提交LOGO作品的时候附上创意说明；3、此次LOGO设计是开放性的，设计师可以充分发挥创意进行设计；4、最终中标者需提供“名片设计”延伸设计及若干种LOGO图形排列组合方式。以行业为元素，围绕产品（Engine）特色来设计，简单易懂。,2021.11.17,2021.12.20,任务编号：969991,￥ 600,51,雨夜设计工作室,https://shop.epwk.com/0jnekk26rnv3/,雨夜设计工作室,出售服务,https://shop.epwk.com/0jnekk26rnv3/chushou/,工作室,一品,68分,,,雨夜设计工作室,,高端logo设计,"￥1500
            /起",包装设计,"￥3000
            /起",VI设计,"￥8888
            /起",,,,,,,,,,,,
【LOGO设计】设计一款特色民宿LOGO,https://task.epwk.com/969933/,1577人,28人,¥500,圆满完成,o5e69dc34ad44f,具体要求详见附件,2021.11.16,2021.12.25,任务编号：969933,￥ 500,32,步同品牌设计,https://shop.epwk.com/09drjrw2q53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】设计公司LOGO，名片,https://task.epwk.com/969904/,2937人,43人,¥800,圆满完成,威辅E08DB,我们是一家化工设备制造业的企业，希望有相关经验的设计师来设计logo和名片。一、公司LOGO设计要求1、公司全称：百安特石化装备有限公司，中文简称：百安特，英文简称：BEANT；公司主要从事化工设备的制造（压力容器）。2、设计要求：简洁大气、结合行业；具有外资企业形象。3、设计内容：（1）企业LOGO设计AI矢量标准制图（平面+立体展示）及LOGO创意说明（2）主色为蓝色、辅色用橙色、LOGO与中英文标准字体比例组合 二、稿件要求1、实际作品及素材均不得侵犯第三方的任何著作权、商标权、专有权利或其他权利，能成功注册商标。2、 LOGO所需字体为原创字体。,2021.11.16,2021.12.18,任务编号：969904,￥ 800,51,诸侯视觉,https://shop.epwk.com/j7n38rkve5e1/,诸侯视觉,出售服务,https://shop.epwk.com/j7n38rkve5e1/chushou/,工作室,一品,145分,,,诸侯视觉,,诸侯视觉logo标志设计,"￥500
            /次",商城全店装修5000,￥5000,VI视觉DESIGN,"￥3000
            /日",,,,,,,,,,,,
【LOGO设计】设计品牌LOGO图形,https://task.epwk.com/969880/,1929人,26人,¥500,圆满完成,边缘BianYuan,"1.设计一个“LOGO图形，主题要突出凤凰、茶及有关的潮州文化等主要元素。2.思想文化上，愈发融合。结合潮州的文化特点：潮州功夫茶、潮汕饮食、潮绣、潮剧、工艺、木雕、在现代思维中结合更多文化元素，要求既有美感又能雅俗共赏。知识产权说明：1、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。2、商标设计优秀者可长期业务合作，成为公司战略合作伙伴。",2021.11.16,2021.12.08,任务编号：969880,￥ 500,30,沙洲设计工作室,https://shop.epwk.com/78dljey3l5lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】豪鹏科技品牌logo设计,https://task.epwk.com/969771/,22526人,331人,¥2568,圆满完成,嘎嘎嘉,"豪鹏科技---《HPT》产品LOGO设计经营介绍：豪鹏科技创立于2001年，是一家集研发、生产和销售锂离子电池、镍氢电池及整体电源解决方案、废旧电池回收及资源循环利用为一体的清洁能源解决方案供应商。        公司注重研发投入，不断强化多应用领域场景及整机分析、技术原理探究和应用创新等。产品服务遍及全球，具备循环产业链，为客户提供安全、可靠、创新的电源系统解决方案，获得众多国际品牌客户认可。自成立至今，豪鹏科技秉承“成就客户、开放共赢、严谨务实、自我批判”的核心价值观，以“成为全球一流的清洁能源方案商，共创人类美好生活”为愿景，用诚信经营打造企业品牌，以高安全性的产品、诚挚的服务来回报客户，努力为全球客户提供一流的清洁能源解决方案，共创人类美好生活。设计要求：1、用“HPT""三个字母进行设计；2、大气、简洁、扁平化，突出科技感；3、logo会印在产品上，有的产品较小，不建议进行复杂变形：4、附上创意说明；5、提供ai、cdr格式源文件。知识产权说明：1、投标者所设计的作品需为原创，且为第一次发布，未侵犯他人的任何知识产权（包括但不限于著作权、专利权、商标权等），如有任何侵犯他人知识产权或其他权利的行为，由投标者承担所有法律责任;2、中标的设计作品，我方支付设计制作费后，即拥有该设计作品的知识产权（包括但不限于著作权、专利权、商标权等）,且可使用、发布该设计作品等,且有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2021.11.16,2022.01.15,任务编号：969771,￥ 2568,413,prettywitch,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【包装设计】医疗压力袜外包装设计,https://task.epwk.com/969859/,1665人,9人,¥500,圆满完成,富力闲人,本产品是一款医疗用压力袜，专门针对静脉曲张的辅助治疗，本品因压力作用分为几个级别，低压力的爱美女士也可以用来做打底裤或者瘦腿裤等，具体外包装需要体现的内容在附件中，外包装尺寸也在附件中，我们希望外包装以暖色为主。,2021.11.16,2021.12.25,任务编号：969859,￥ 500,10,Long_,https://shop.epwk.com/p05qj8jgrdev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】居家厨房产品品牌logo设计,https://task.epwk.com/969735/,929人,23人,¥500,圆满完成,上上上尚,设置一个品牌logo，品牌名称 ：YYEHAR也合，德国风格居家厨房产品,2021.11.16,2021.11.26,任务编号：969735,￥ 500,25,1号品牌设计,https://shop.epwk.com/p05qj9zlwdev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】汽车租赁公司logo设计,https://task.epwk.com/969750/,964人,11人,¥500,圆满完成,juhao93,公司名：聚豪租车公司是主营高端豪华车，超跑等汽车租赁。1:设计要看人易懂、易解读、易传播，看起来高端。2:一定要原创3:请写出logo释义4:帮设计名片和店铺招牌,2021.11.16,2021.11.27,任务编号：969750,￥ 500,11,KIN RABBIT,https://shop.epwk.com/rp5z411j7dx3/,KIN RABBIT,出售服务,https://shop.epwk.com/rp5z411j7dx3/chushou/,工作室,一品,67分,,,KIN RABBIT,,,,,,,,,,,,,,,,,,,
【包装设计】大米品牌包装设计,https://task.epwk.com/969654/,1881人,9人,¥500,圆满完成,bksy0216,可淘宝搜索龙米家大米，参考设计，一箱8罐，罐的尺寸是直径65x110MM，纸箱尺寸是27CM x 宽13.5CM x 高13.5CM，产地东北五常，品牌名N道米，需要设计纸箱包装和罐子包装，设计方面自由发挥,2021.11.15,2021.12.03,任务编号：969654,￥ 500,8,o5d5b4e052b890,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】一家创新型体育公司LOGO,https://task.epwk.com/969629/,1791人,39人,¥800,圆满完成,FOUR爷,公司名称:广州趣劲技体育文化有限公司主营：青少年运动培训（包括：篮球、网球、羽毛球、足球、游泳、田径、体操、体适能等）、运动综合馆；吉祥物：虎LOGO设计要求：1 、融合字母Q和虎的元素；2、表达出有趣、竞技的运动气息；3、简约、时尚的视觉效果；4、组合LOGO：设计图+趣劲技运动训练；5、可通过运动馆门头、名片、教练服等方式展示设计效果,2021.11.15,2021.12.06,任务编号：969629,￥ 800,43,龙岩维奥文化传媒有限公司,https://shop.epwk.com/7lngqvk8edmr/,龙岩维奥文化传媒有限公司,出售服务,https://shop.epwk.com/7lngqvk8edmr/chushou/,企业,六品,42分,,,龙岩维奥文化传媒有限公司,,包装设计,"￥300
            /起",海报设计,"￥100
            /起",印刷类设计,"￥100
            /起",店招类设计,"￥200
            /起",VI全套设计,"￥1500
            /起",LOGO设计,"￥500
            /起",,,,,,
【LOGO设计】公司LOGO设计,https://task.epwk.com/969418/,1803人,34人,¥500,圆满完成,益企发fkxoQ,"公司：深圳市希尔赛贸易有限公司
主营：请查公司经营范围。 设计要求：盾牌为基础调，加以猛兽比如老虎、狮子、豹子。如果能加入希尔赛拼音首字母更好。 知识产权声明： 1、所设计的作品应为原创，LOGO未在国家商标局注册过，所设计的作品为原创，为第一次发布，未侵犯他人著作权；如有侵犯他人著作权，由设计者承担所有法律责任。 2、如被采用，设计方必须提供以上要求设计作品完整的方案，包括各种矢量图形源文件和所用到的字体，以方便进行修改完善和印刷。 3、中标的设计作品，我方支付设计制作费后，即拥有该作品知识产权，包括著作权、使用权和发布权等，有权对设计作品进行修改、组合和应用。 4、设计作品一经采用，所有权、修改权和使用权均归我方所有，设计者不得在其他任何地方使用该设计作品，包括并不限于著作权、使用权、发布权以及对设计作品进行修改、组合、应用等权利。设计作品一经采用，所有权、修改权和使用权均由本公司所有，设计者不得再在其他任何地方使用该作品，否则构成侵权，本公司保留依法追究设计方法律责任的权利。 5、征集结果公布后，未采用的作品即可自行处理。
6、参加此设计任务者被视为同意以上所有声明。",2021.11.14,2021.12.02,任务编号：969418,￥ 500,39,东方创意,https://shop.epwk.com/89dvggpe4dl2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【LOGO设计】我要设计一个logo,https://task.epwk.com/969218/,4898人,71人,¥999,圆满完成,妙莲茶叙,我要设计一个logo，体现“茶叙”主题，但不出现“茶叙”两个字，富有禅意，能够让人产生静心的感觉,2021.11.12,2021.12.10,任务编号：969218,￥ 999,82,步同品牌设计,https://shop.epwk.com/09drjrw2q53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
