标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图片处理】找图片图文,https://task.epwk.com/422600/,1975人,26人,1000元以内,圆满完成,mf134****8816,找一百组图片配合图文，需要找关于美食，旅游，比较正能量，比较励志的图片和配套图文，还有制作美食过程，以及生活日常中比较可爱，温馨的图片和图文,2016.05.20,2016.06.03,任务编号：422600,,,,云间月文化工作室,https://shop.epwk.com/7lngqq7j3dmr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图片处理】设计一个在微信发布的产品图片文案,https://task.epwk.com/422556/,2165人,4人,1000元以内,圆满完成,华耀牧业,先定人，然后沟通设计，一个产品在微信中推广的图片文案,2016.05.19,2016.05.30,任务编号：422556,"￥260,￥800,￥100,￥150","2天,2天,5天,1天","福建省-泉州市-南安市,广东省-广州市-天河区,北京市-北京市,云南省-昆明市-安宁市",一诺设计,https://shop.epwk.com/09drj7rr653w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【微电影】请人拍摄一个微电影,https://task.epwk.com/422240/,5732人,4人,1万-2万元,圆满完成,mf135****6867,上海的，需要拍摄一个为电影，五到十分钟，有剧本和演员了，需要去拍摄和后期剪辑就行，时间比较赶，周五就要拍摄了，周五，加周末拍摄！具体的沟通详谈！,2016.05.18,2016.06.01,任务编号：422240,"￥13500,￥10000,￥10000","12天,3天,1天","上海市-市辖区-闸北区,湖南省-长沙市-雨花区,江苏省-苏州市-昆山市",上海睿果文化传播有限公司,https://shop.epwk.com/j7n388l135e1/,上海睿果文化传播有限公司,出售服务,https://shop.epwk.com/j7n388l135e1/chushou/,企业,五品,36分,,,上海睿果文化传播有限公司,,,,,,,,,,,,,,,,,,,
【后期制作】25秒每帧的视频制作（需要抠像）,https://task.epwk.com/422083/,3913人,7人,1000元以内,圆满完成,o573b02452c864,需要把里面的一个动的人抠出来，逐帧抠，有意者请投标联系详情投标沟通,2016.05.17,2016.05.23,任务编号：422083,"￥240,￥800,￥313,￥200,￥200","3天,2天,7天,7天,2天","山东省-东营市-东营区,天津市-市辖区-西青区,福建省-厦门市-集美区,广东省-湛江市,北京市-北京市-朝阳区",北纬三十七度影视传媒,https://shop.epwk.com/2j5xoow795xm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【FLASH制作】一个很简单的flash设计,https://task.epwk.com/420515/,2039人,6人,1000元以内,圆满完成,mf186****3728,一个很简单的flash 设计，预算只有100，内容很简单，要价太高的不考虑，希望个人接单，加Q或电话我,2016.05.09,2016.05.25,任务编号：420515,"￥100,￥100,￥100,￥800,￥100,￥150","2天,2天,3天,3天,2天,2天","甘肃省-兰州市-城关区,广东省-广州市-天河区,云南省-昆明市-官渡区,四川省-绵阳市-涪城区,山东省-临沂市-河东区,吉林省-通化市-辉南县",忠臣创意设计工作室,https://shop.epwk.com/0z5o418elnjq/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意短视频】小视频加广告图片制作,https://task.epwk.com/420437/,1815人,1人,1000元以内,圆满完成,mf135****4433,小视频加广告图片内容,2016.05.09,2016.05.11,任务编号：420437,￥230,3天,山东省-东营市-东营区,北纬三十七度影视传媒,https://shop.epwk.com/2j5xoow795xm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【FLASH制作】做flash视频制作2分钟,https://task.epwk.com/419453/,2862人,11人,3000-5000元,圆满完成,满月雕弓,需求：做flash视频制作，2分钟，有自己的素材，人物，只要制作就可以了，地区没要求，制作方报价。,2016.05.04,2016.05.27,任务编号：419453,"￥4000,￥4800,￥1000,￥3000,￥3800,￥5000,￥3600,￥5000,￥3500,￥5000,￥5000","2天,12天,2天,4天,10天,4天,14天,15天,10天,15天,10天","吉林省-四平市-铁西区,广东省-广州市-荔湾区,辽宁省-锦州市-太和区,四川省-成都市-市辖区,广东省-深圳市-南山区,贵州省-黔西南布依族苗族自治州,湖南省-长沙市-岳麓区,甘肃省-兰州市-城关区,江苏省-苏州市-市辖区,北京市-北京市-丰台区,江苏省-苏州市-虎丘区",吉林唯英科技,https://shop.epwk.com/m7d7ww6er5q8/,吉林唯英科技,出售服务,https://shop.epwk.com/m7d7ww6er5q8/chushou/,企业,六品,15分,,,吉林唯英科技,,电子商务,价格面议,,,,,,,,,,,,,,,,
【配音配乐】需要制作谱例,https://task.epwk.com/416713/,3195人,1人,1000元以内,圆满完成,aifeng03,本人长期需要制作谱例，先寻有经验打谱人员合作，可长久合作！请速与我联系,2016.04.18,2016.04.19,任务编号：416713,￥700,2天,海南省-三亚市-市辖区,天籁之音,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图片处理】急找美工作几张图,https://task.epwk.com/414976/,3379人,10人,1000元以内,圆满完成,mf183****2926,急找美工作几张图，要有经验，无经验者勿扰，投标联系，发案例我看完联系。今天需要。,2016.04.09,2016.04.10,任务编号：414976,"￥400,￥100,￥1000,￥300,￥200,￥500,￥200,￥0","1天,1天,3天,5天,1天,7天,1天,2天","北京市-北京市-朝阳区,河南省-郑州市-中牟县,安徽省-铜陵市-郊　区,上海市-市辖区-黄浦区,安徽省-合肥市-市辖区,江苏省-无锡市,浙江省-宁波市-江东区,安徽省-合肥市-瑶海区",名流设计工作室,https://shop.epwk.com/j7n388l325e1/,名流设计工作室,出售服务,https://shop.epwk.com/j7n388l325e1/chushou/,个人,七品,40分,,,名流设计工作室,,LOGO（可注册）,价格面议,店铺宝贝详情页、主图、活动轮播图、产品二级页面设计。,价格面议,产品活动海报、传单、折页、产品封面设计,价格面议,LOGO设计,价格面议,,,,,,,,,,
【配音配乐】纪录片剪辑,https://task.epwk.com/414210/,4908人,21人,1000-3000元,圆满完成,o5686****a7c80,我是做茶叶的，之前拍摄的茶山的素材，希望可以剪辑制作一个纪录片。12分钟左右，需要视频包装。,2016.04.06,2016.04.23,任务编号：414210,"￥1000,￥1000,￥1000,￥1200,￥3500,￥2800,￥3000,￥1000,￥5000,￥5000,￥3000,￥3500","5天,10天,5天,5天,7天,7天,7天,2天,3天,12天,7天,7天","天津市-市辖区-西青区,福建省-福州市-闽侯县,重庆市-市-江津市,广东省-佛山市-顺德区,山东省-济南市-历下区,广东省-广州市-番禺区,上海市-上海市-黄浦区,陕西省-西安市-市辖区,北京市-北京市-朝阳区,广东省-广州市-荔湾区,重庆市-市辖区,北京市-北京市-朝阳区",666文化工作室,https://shop.epwk.com/7g5ykk7kkn0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【配音配乐】需要制作谱例,https://task.epwk.com/412257/,2401人,1人,1000元以内,圆满完成,aifeng03,本人长期需要制作谱例，先寻有经验打谱人员合作，可长久合作！请速与我联系,2016.03.26,2016.03.28,任务编号：412257,￥200,7天,海南省-三亚市-市辖区,天籁之音,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意短视频】FLASH做的2分钟动画，要素材和源文件,https://task.epwk.com/410919/,2724人,1人,1000-3000元,圆满完成,o56ec10778c9ca,word中四个小情节连串起来做出，再来个结尾，风格可以参考http://up.qq.com/2015/imagination/?ADTAG=imagination.weixin.mp.xwg，不用太复杂，能看出内容不简单即可，请保留好做时的素材和源文件。,2016.03.21,2016.04.06,任务编号：410919,￥1000,20天,辽宁省-大连市-市辖区,匠心设计工作室,https://shop.epwk.com/z2nkzzgpxnqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【FLASH制作】组织机构图Flash展现,https://task.epwk.com/410697/,3118人,18人,3000-5000元,圆满完成,hqtisco,做一个企业的组织机构图，用flash展示。具体需求见附件！,2016.03.19,2016.07.21,任务编号：410697,"￥4000,￥1000,￥3000,￥3000,￥4000,￥2800,￥3000,￥5000,￥5000,￥4500,￥5000,￥4500","14天,5天,7天,6天,5天,7天,10天,1天,15天,10天,12天,7天","北京市-北京市-海淀区,山东省-济南市-历下区,北京市-北京市-东城区,重庆市-市辖区-黔江区,江苏省-淮安市-市辖区,江苏省-南京市-栖霞区,广东省-广州市-天河区,上海市-市辖区,山西省-晋中市-平遥县,宁夏-中卫市-沙坡头区,广东省-广州市-荔湾区,云南省-昆明市-官渡区",优佳惠中,https://shop.epwk.com/4rn8q1ow1ngm/,优佳惠中,出售服务,https://shop.epwk.com/4rn8q1ow1ngm/chushou/,企业,七品,39分,,,优佳惠中,,,,,,,,,,,,,,,,,,,
【创意短视频】简单flash人物勾线,https://task.epwk.com/410337/,2350人,3人,1000元以内,圆满完成,mf151****2037,简单flash人物勾线，约50个人物，有原型，需要勾画快，细致的请直接投标联系价格可议。工期：2~3天,2016.03.17,2016.03.21,任务编号：410337,"￥800,￥800,￥1000","3天,3天,2天","四川省-成都市-锦江区,河南省-郑州市-中牟县,上海市-市辖区-普陀区",重庆漫艺网络科技有限公司,https://shop.epwk.com/qgdmjjk0gdke/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意短视频】二维动画的设计制作,https://task.epwk.com/409808/,1624人,1人,3000-5000元,圆满完成,素素01,需要找人做一个二维动画的设计制作 时长在3-4分钟。剧本和主角都已经准备好 。类似于http://www.bilibili.com/video/av2652156/  需要设计提供案例 报价联系 具体价格详谈,2016.03.15,2016.05.19,任务编号：409808,￥3000,12天,四川省-成都市-锦江区,重庆漫艺网络科技有限公司,https://shop.epwk.com/qgdmjjk0gdke/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【企业宣传片】公司宣传短片的设计制作,https://task.epwk.com/409613/,4513人,23人,2万-5万元,圆满完成,知深乐浅,公司的宣传短片的制作的，差不多五-10分钟的宣传短片 自己是做电子产品的。用图片说明了下的。然后按照自己图片的内容设计制作成短片的。浙江的。 浙江嘉兴的 后期会有一些彩页和宣传资料 没预算的 自己没做过 希望设计师联系报价的 杨先生,2016.03.14,2016.08.08,任务编号：409613,"￥28000,￥4500,￥5000,￥10000,￥8000,￥5000,￥5000,￥3000,￥2900,￥5000,￥5000","30天,10天,1天,20天,7天,20天,30天,14天,5天,30天,25天","浙江省-宁波市-江东区,广东省-深圳市-宝安区,上海市-市辖区-黄浦区,安徽省-合肥市-蜀山区,贵州省-遵义市-红花岗区,广东省-深圳市-宝安区,广东省-深圳市-福田区,四川省-成都市-成华区,内蒙古-包头市-昆都仑区,贵州省-黔西南布依族苗族自治州-兴义市,上海市-市辖区-嘉定区",宁波新瑞影视,https://shop.epwk.com/mod044v4r5yv/,宁波新瑞影视,出售服务,https://shop.epwk.com/mod044v4r5yv/chushou/,企业,四品,40分,,,宁波新瑞影视,,宣传片,"￥1
            /次",微电影,"￥1
            /次",LOGO,"￥1
            /次",VI,"￥1
            /次",三维动画,"￥1
            /次",,,,,,,,
【配音配乐】微商短视频制作,https://task.epwk.com/408843/,2449人,1人,1000元以内,圆满完成,微笑01,制作微商短视频，二三十秒的 就是让更多加自己的微信的   有比较喜欢的风格的视频的 到时候会发给设计师做参考 希望可以新颖有创意点 可以报价联系 价格详谈,2016.03.10,2016.03.14,任务编号：408843,￥300,2天,辽宁省-大连市-金州区,匠心设计工作室,https://shop.epwk.com/z2nkzzgpxnqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【广告片/MV】制作一个2分钟以内企业宣传视频,https://task.epwk.com/407776/,3032人,12人,1000-3000元,圆满完成,KONAN,要求：尺寸比例：4*3 清晰度：1080P格式：AVI或WMV请成都威客与我联系,2016.03.04,2016.03.14,任务编号：407776,"￥1000,￥1000,￥500,￥1000,￥800,￥2000,￥1000,￥800,￥1000,￥1000,￥900","5天,3天,5天,12天,7天,5天,1天,3天,5天,3天,3天","四川省-成都市-锦江区,四川省-成都市-武侯区,四川省-成都市-市辖区,广东省-广州市-荔湾区,广东省-深圳市-罗湖区,安徽省-合肥市-瑶海区,安徽省-合肥市-蜀山区,陕西省-西安市-雁塔区,湖南省-长沙市-岳麓区,辽宁省-大连市-中山区,山东省-东营市-东营区",重庆漫艺网络科技有限公司,https://shop.epwk.com/qgdmjjk0gdke/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图片处理】图片编辑设计,https://task.epwk.com/404783/,3343人,15人,1000元以内,圆满完成,o56945dccb1912,只需要将所编辑的图片做出参考图的效果 需要可编辑的源文件 接受PNG格式,2016.02.15,2016.02.20,任务编号：404783,"￥300,￥100,￥100,￥100,￥300,￥100,￥350,￥1000,￥150","2天,1天,2天,3天,1天,1天,1天,1天,2天","广东省-广州市-白云区,浙江省-杭州市-下城区,河北省-沧州市-黄骅市,福建省-泉州市-丰泽区,广东省-广州市-天河区,内蒙古-赤峰市-红山区,广东省-深圳市-龙岗区,辽宁省-大连市-甘井子区,江苏省-徐州市-新沂市",玩艺设计工作室,https://shop.epwk.com/09drjooge53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【企业宣传片】上海凡骐过年拜年视频剪辑,https://task.epwk.com/402775/,4959人,16人,1000元以内,圆满完成,markdesign,上海凡骐教育科技有限公司，过年全国各地机构拜年视频剪接，添加logo 片头片尾等。,2016.01.21,2016.02.01,任务编号：402775,"￥300,￥500,￥200,￥100,￥800,￥150,￥500,￥800,￥400,￥600","1天,1天,3天,3天,7天,3天,7天,2天,3天,2天","陕西省-西安市-新城区,河北省-廊坊市-香河县,河北省-邯郸市-永年县,河南省-新乡市-牧野区,内蒙古-赤峰市-翁牛特旗,江苏省-淮安市-清浦区,北京市-北京市-朝阳区,贵州省-贵阳市,山西省-晋中市-太谷县,北京市-北京市-朝阳区",夕米创意设计事务所,https://shop.epwk.com/j7n388w1o5e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【创意短视频】地产三维动画制作,https://task.epwk.com/402213/,3944人,6人,2万-5万元,圆满完成,mf134****7177,230秒左右的地产三维动画制作，有抠像人物与三维制作的场景结合，我方负责拍摄。希望费用在300元每秒以内。制作周期为20天(首款）,2016.01.18,2016.01.19,任务编号：402213,"￥42000,￥30000,￥46000","30天,1天,20天","浙江省-杭州市-江干区,广东省-深圳市-福田区,山东省-济南市-历下区",悦颂文化,https://shop.epwk.com/qgdmjjroydke/,悦颂文化,出售服务,https://shop.epwk.com/qgdmjjroydke/chushou/,企业,三品,40分,,,悦颂文化,,三维动画制作,价格面议,宣传片制作,2000,"动画短片,flash,mg,片头片尾动画",价格面议,微信运营推广,价格面议,微电影制作,价格面议,企业宣传网站开发,"￥7500
            /次",策划设计 印刷制作,价格面议,画册 产品宣传册页 画册排版 平面设计 高级,"￥150
            /件",,
【广告片/MV】15秒宣传短片制作,https://task.epwk.com/401439/,4051人,19人,1000-3000元,圆满完成,mf130****6986,需要做一个15秒左右的宣传短片的制作，类似于爱奇艺的广告，关于砍价的宣传视频短片的制作的   有意者请联系报价 300-1500的预算,2016.01.13,2016.01.28,任务编号：401439,"￥1500,￥500,￥300,￥1000,￥500,￥600,￥800,￥1000,￥1000,￥1000,￥1000,￥900","6天,5天,7天,7天,7天,1天,5天,10天,7天,2天,2天,3天","福建省-福州市-仓山区,山西省-太原市-迎泽区,安徽省-宣城市-绩溪县,黑龙江-哈尔滨市-南岗区,福建省-福州市-台江区,江苏省-南京市,广西-桂林市-临桂县,北京市-北京市-丰台区,福建省-福州市-鼓楼区,河北省-沧州市-新华区,广东省-深圳市-南山区,贵州省-贵阳市",福州艾尔文化传媒有限公司,https://shop.epwk.com/j7n388yk95e1/,福州艾尔文化传媒有限公司,出售服务,https://shop.epwk.com/j7n388yk95e1/chushou/,企业,七品,40分,,,福州艾尔文化传媒有限公司,,宣传片制作,价格面议,影视广告/TVC广告,价格面议,MG动画,价格面议,新媒体营销,价格面议,,,,,,,,,,
【创意短视频】制作汽车产品的宣传视频,https://task.epwk.com/399544/,2542人,4人,3000-5000元,圆满完成,mf152****5871,我来提过主题内容，你们补充，做三分钟左右的，请留下联系方式,2015.12.31,2016.01.19,任务编号：399544,"￥3300,￥5000,￥4000","20天,7天,30天","山东省-济南市-历下区,北京市-北京市,江苏省-常州市",福玖创意,https://shop.epwk.com/omdwk019wdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【广告片/MV】宣传片制作,https://task.epwk.com/395806/,3465人,12人,1000-3000元,圆满完成,o56668e21105ba,宣传片制作，无需拍摄，提供素材，需要长期合作的视频服务商合作，大量视频单子承接，这个单子今天选标，有做的好的 可以联系，,2015.12.08,2015.12.23,任务编号：395806,"￥2000,￥3000,￥4000,￥5000,￥3000,￥3000,￥50000","5天,10天,5天,10天,7天,7天,50天","广东省-深圳市-福田区,北京市-北京市,湖北省-武汉市-武昌区,江苏省-苏州市-昆山市,四川省-成都市-锦江区,广东省-广州市-天河区,广东省-深圳市-福田区",深圳市星视纪文化传媒有限公司,https://shop.epwk.com/7g5yk8p29n0q/,深圳市星视纪文化传媒有限公司,出售服务,https://shop.epwk.com/7g5yk8p29n0q/chushou/,企业,五品,40分,,,深圳市星视纪文化传媒有限公司,,影视拍摄,价格面议,后期制作,价格面议,特效包装,价格面议,3D制作,价格面议,动画制作,价格面议,平面设计,价格面议,,,,,,
【广告片/MV】剪辑20秒视频,https://task.epwk.com/391772/,4430人,11人,1000元以内,圆满完成,mf132****9740,此任务比较急 请在18号早上7点之前完成说明：原视频总长度40分钟，从此视频剪辑出一时长20秒的视频。已有样板视频，仿照样板视频剪辑。具体问题QQ联系,2015.11.17,2015.11.18,任务编号：391772,"￥250,￥200,￥800,￥1000,￥300,￥500,￥1000","1天,1天,1天,1天,1天,1天,2天","江苏省-徐州市-新沂市,陕西省-宝鸡市,广东省-深圳市-福田区,广东省-深圳市-宝安区,上海市-市辖区,福建省-泉州市-市辖区,浙江省-宁波市-海曙区",麻雀™品牌设计,https://shop.epwk.com/2j5jj366z5pz/,麻雀™品牌设计,出售服务,https://shop.epwk.com/2j5jj366z5pz/chushou/,企业,六品,40分,,,麻雀™品牌设计,,【麻雀™品牌设计】微电影制作 创意无限 满意为止,￥5000,【麻雀™品牌设计】全息视频制作 创意无限 满意为止,￥3000,【麻雀™品牌设计】企业宣传片制作 创意无限 满意为止,￥6000,【麻雀™品牌设计】LOGO设计 创意无限 满意为止,￥4000,【麻雀™品牌设计】个人MV制作 创意无限 满意为止,￥3000,【麻雀™品牌设计】详情页设计 创意无限 满意为止,￥300,【麻雀™品牌设计】网店装修设计 创意无限 满意为止,￥2000,【麻雀™品牌设计】卡片设计 创意无限 满意为止,￥100,【麻雀™品牌设计】画册设计 创意无限 满意为止,￥200
【图片处理】网店产品图片美化,https://task.epwk.com/389339/,4005人,13人,1000元以内,圆满完成,jeff2,您好，我们有一批自己拍摄的产品图片，在网店销售需要美化，主要是抠图并做背景处理。具体要求和例子见附件。,2015.11.04,2015.11.06,任务编号：389339,"￥200,￥100,￥200,￥500,￥500,￥100,￥100,￥500,￥500,￥100,￥100","1天,1天,1天,2天,2天,1天,1天,5天,7天,1天,2天","湖南省-常德市-武陵区,广东省-广州市-番禺区,江苏省-无锡市-滨湖区,云南省-昆明市-五华区,广东省-深圳市-宝安区,山东省-济南市-长清区,北京市-北京市-海淀区,辽宁省-大连市,海南省-海口市-琼山区,北京市-北京市-昌平区,重庆市-市辖区",愛設計-品牌设计机构,https://shop.epwk.com/m7d7w8q2v5q8/,愛設計-品牌设计机构,出售服务,https://shop.epwk.com/m7d7w8q2v5q8/chushou/,工作室,六品,40分,,,愛設計-品牌设计机构,,LOGO设计 用心设计，修改到满意为止！,价格面议,画册设计,价格面议,画册设计,价格面议,VI设计,价格面议,招贴设计  用心设计，修改到满意为止！,价格面议,专业名片设计 用心设计，修改到满意为止！,价格面议,手机UI界面设计 用心设计，修改到满意为止！,价格面议,专业PS照片处理 用心设计，修改到满意为止！,价格面议,,
【图片处理】修复老照片,https://task.epwk.com/388745/,4806人,5人,1000元以内,圆满完成,mf177****1566,一张很老的老照片需要修复，背景复杂，需要尽可能还原照片场景，力求真实，不要艺术化处理，不要修成蜡像一样的感觉，同时放大到10存，如果能完成，联系我要扫描件，必要时也可发照片原件给你,2015.10.31,2015.11.04,任务编号：388745,"￥700,￥100,￥100,￥1000,￥800","2天,3天,2天,3天,5天","山东省-济南市-长清区,浙江省-绍兴市-市辖区,甘肃省-兰州市-七里河区,河南省-商丘市-虞城县,天津市-市辖区-河西区",水中映月视觉设计,https://shop.epwk.com/qgdmjjmy8dke/,水中映月视觉设计,出售服务,https://shop.epwk.com/qgdmjjmy8dke/chushou/,个人,七品,38分,,,水中映月视觉设计,,排版设计,价格面议,封面设计,价格面议,广告设计,价格面议,横幅设计,价格面议,海报设计,价格面议,LOGO设计,￥500,字体设计,价格面议,VI设计,价格面议,贺卡设计,价格面议
【广告片/MV】营销视频制作,https://task.epwk.com/384866/,3696人,12人,1000-3000元,圆满完成,mf158****6565,"你们好，我是第一次来这个一品威客平台对自己的需求讲不明朗，是要做营销视频在各网站上发布，例如；徐鹤宁陈安之孙晓这些大师的演讲视频上加上我的qq联系方式，还有直销类话题视频也加上我的qq联系方式的信息,若搜索完美玫琳凯无限极安利春芝堂类关键词就会出来的那种，做不同类但在各网站上传容易通过的60个视频，我自己也维棠下载用狸窝做但效果不是很好，所以问问这里是否能帮忙做 ，若是能的话做好60个要多少钱，若单算做好一个视频要多少钱，谢谢。",2015.10.14,2015.11.12,任务编号：384866,"￥1000,￥300,￥200,￥100,￥480,￥3000,￥1000,￥500","1天,2天,3天,1天,2天,7天,1天,2天","陕西省-西安市-碑林区,北京市-北京市,江苏省-南京市,北京市-北京市-东城区,河南省-郑州市-金水区,上海市-县,北京市-北京市-西城区,四川省-成都市",桔米盛室文化,https://shop.epwk.com/j7n383j4o5e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图片处理】长期合作产品摄影图美化，抠图等等,https://task.epwk.com/384542/,8184人,59人,1000元以内,圆满完成,mf138****8918,用于微信软文，微商城等等。有意者可以主动联系,2015.10.13,2015.10.21,任务编号：384542,"￥140,￥200,￥200,￥150,￥100,￥300,￥500,￥200,￥150,￥200,￥500","7天,1天,1天,2天,1天,1天,2天,1天,2天,1天,1天","内蒙古-呼和浩特市-回民区,广东省-广州市-天河区,广东省-广州市-天河区,湖南省-长沙市-芙蓉区,四川省-成都市-郫　县,江苏省-无锡市-惠山区,湖北省-武汉市-洪山区,上海市-市辖区,河北省-邯郸市-丛台区,四川省-成都市,河北省-石家庄市-桥西区",黑豆豆动漫,https://shop.epwk.com/9w56eej6edv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【配音配乐】更改一段音频,https://task.epwk.com/382890/,5043人,15人,1000元以内,圆满完成,老猫52121,更改一段音频，音频里面有两个人的声音，有一句话需要改成另一个人的，,2015.10.01,2015.10.15,任务编号：382890,"￥300,￥100,￥300,￥100,￥300,￥800,￥666,￥100,￥200,￥100,￥100,￥1000","5天,1天,2天,1天,2天,3天,6天,2天,1天,1天,1天,5天","山东省-德州市-平原县,陕西省-西安市,陕西省-西安市-碑林区,江苏省-南京市,浙江省-宁波市-海曙区,吉林省-长春市,广东省-广州市-番禺区,广东省-惠州市,湖北省-武汉市-江岸区,广东省-珠海市-金湾区,山东省-淄博市,湖南省-长沙市-岳麓区",昱云软件,https://shop.epwk.com/j7n38zve25e1/,昱云软件,出售服务,https://shop.epwk.com/j7n38zve25e1/chushou/,个人,四品,38分,,,昱云软件,,IOS 微####信自动注册脚本——xxt脚本源码,"￥1000
            /套",自动挂机系列之五,"￥5000
            /套",二代身份证验证程序——识别二代身份证真伪,"￥1000
            /套",考试系统通用版（pc单机版）,"￥1000
            /套",自动挂机系列之三,"￥2000
            /套",学习平台自动学习助手,"￥500
            /套",手机安全号码绑定工具,"￥1000
            /套",自动挂机系列之四,"￥2000
            /套",自动挂机系列之二,"￥2000
            /套"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【配音配乐】700字的女声配音,https://task.epwk.com/382239/,8532人,40人,1000元以内,圆满完成,Mr130****1966,这是一个家庭视频的配音，预算有限，因此需要找一个合理的价格和合作方式！要求：1：总共700字2：预算按市场价150元以下3：希望是团队承接4：发作品给我，合适的即可洽谈合作，中标者肯定会长期合作的。以下是部分的文字：起源《寻根溯源，维国兴宗》《参天之树，必有其根；怀山之水，必有其源》忠厚显著，永庆升平。《年轻岁月》世上有很多东西是可以挽回的，譬如良知，譬如体重。但是不可挽回的东西更多，譬如旧梦，譬如岁月！那些安静地躺在浮草上沉默不语...躲在某一时间，想念一段时光的掌纹,2015.09.28,2015.10.12,任务编号：382239,"￥100,￥100,￥200,￥100,￥100,￥200,￥120,￥200,￥100,￥100,￥100,￥200","1天,3天,1天,1天,1天,1天,1天,2天,2天,235天,1天,1天","安徽省-合肥市-蜀山区,山西省-长治市-襄垣县,河北省-邯郸市-永年县,广东省-深圳市-宝安区,上海市-市辖区-闵行区,江苏省-镇江市-京口区,江苏省-徐州市-泉山区,内蒙古-呼和浩特市-回民区,江苏省-宿迁市,云南省-思茅市-镇沅彝族哈尼族拉祜族自治县,四川省-成都市,山东省-济南市",声动配音,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【图片处理】图片处理,https://task.epwk.com/378985/,9833人,69人,1000元以内,圆满完成,漫堂,将人物头部特写图片进行组合P图处理，如A图的眼睛换在B图上。要求看不出是原图人物相貌，而是一张合成的脸。数量大概150-200张。,2015.09.11,2015.10.23,任务编号：378985,"￥360,￥1000,￥600,￥400,￥1000,￥800,￥600,￥800,￥1000,￥600,￥1000","7天,5天,5天,3天,15天,7天,5天,2天,7天,3天,10天","浙江省-杭州市-拱墅区,广东省-广州市,陕西省-西安市-莲湖区,辽宁省-沈阳市-铁西区,陕西省-西安市-雁塔区,山东省-青岛市-市北区,广西-柳州市-鱼峰区,浙江省-杭州市,广东省-阳江市-阳春市,天津市-市辖区-西青区,江苏省-苏州市",迷仙儿设计,https://shop.epwk.com/m7d7w82ev5q8/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【广告片/MV】广告片制作,https://task.epwk.com/376073/,6747人,16人,3000-5000元,圆满完成,kevinhu,公司广告片，有草案，有些镜头需要进地拍摄。报价前请阅读拍摄方案其中的专家和农民都由我方提供。,2015.08.28,2015.11.23,任务编号：376073,"￥4000,￥3000,￥5000,￥4000,￥10000,￥5000,￥5000,￥5000,￥4000,￥5000","5天,10天,7天,15天,1天,3天,1天,12天,7天,7天","湖北省-武汉市-武昌区,北京市-北京市,广东省-深圳市-罗湖区,四川省-成都市-金牛区,北京市-北京市-通州区,山东省-济宁市,安徽省-合肥市-蜀山区,广东省-广州市-荔湾区,陕西省-西安市-碑林区,北京市-市辖区-宁河县",宋朝传媒,https://shop.epwk.com/7g5yk8pvzn0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
