标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【广告策划】化妆品广告语征集（面膜产品）,5252人,112人,¥200,圆满完成,金旭科技,一、行业定位1、 面膜产品创意广告语，我们的面膜有很多款，现主要是通过电商平台销售产品。2、品牌名称：玉莲华 二、具体要求1、要求朗朗上口，易懂易记，大气、要有鲜明的时代气息，寓意深刻，高大上，也可结合   流行语，不拘形式。2、不需要太多的文字，简单的两句话就OK了。3、广告语要求适合放在官网、天猫、京东、微信公众号，要求适合做推广使用。4、要求适合印刷在产品包装箱、快递箱、手提袋上面。5、投稿时请一定要附上详细创意理念。 三、知识产权说明1、作品应为原创，为第一次发布，未侵犯他人权益；如有侵犯他人权益，由设计者承   担所有法律责任。2、 设计的广告语不能与别人的一模一样，也不可以是模仿别人的。3、 广告语不得使用别人已经在使用的，不得出现在其他公司的网站或宣传资料上。 联系QQ：五一六二零零一三八,2016-01-12,2016.01.25,任务编号：401230,200.0,,A果妹1,,,,,,,,,,,,,,,,,,,,,,,,广告策划
【品牌起名】公司起名征集,3664人,71人,¥100,圆满完成,leana,公司名字取名由两家公司共同成立，主营智能自动化设备一家公司的名字是苏州尤劲恩机电有限公司，营业范围新建/扩建工厂低压机电工程方案咨询、规划、改善及施工现场动力桥架和电缆敷设，低压配电柜安装，现场配线，配管等制作项目，防雷及接地装置，室内外照明，滑触线装置以及发电机双回路系统设计、改造，以及非标制作安装和调试。 出售低压配电柜控制柜。另外一家公司名字是苏州浩德自动化设备有限公司，营业范围非标自动化系统的研发，设计制造，安装以及相关自动化方面的产品销售，其工业领域知识及许多年的经验，总是聚焦在；汽车主机厂，汽车总装厂，汽车零部件厂，汽车内饰件，电子，塑胶和非标自动化成套设备。塑胶、医疗、电子、非标自动化设备。取一个好听又大气的名字,2016-01-11,2016.02.05,任务编号：400996,100.0,,向往2016,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】贸易公司和品牌起名,2615人,54人,¥100,圆满完成,Emily****6593829,主营饰品类：珠宝首饰、围巾帽子、包包等男女饰品         要求：新颖独特脱俗、好听易记上口，绝对原创（可注册！）公司和品牌各一个名字，共征集2个名字，后期要设计成logo的,2016-01-10,2016.01.21,任务编号：400923,100.0,,炎夏凉秋,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】文化公司取名,4898人,97人,¥100,圆满完成,sjyzd1996,需要一个玉石古玩文化公司的起名，名称大气顺口，最好名称是两个字，且两个字笔画数分别为8和7，名字需要用于商标注册  各位高手请注意    在此谢过！,2016-01-09,2016.02.05,任务编号：400834,100.0,,星奎影像记录工作室,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【广告策划】征集学嘉文化传媒有限公司广告语,3681人,63人,¥100,圆满完成,薛憨子,潢川学嘉文化传媒公司欢迎您！学嘉传媒，坚守“出好书、做好人”的经营理念，竭诚邀请湖北襄阳四中、河北衡水中学等各地名师，精心打造各学科精品试卷，策划初、高中各年级联考，为莘莘学子加油助力！学嘉传媒，精品试卷集散中心，中高考配套服务创新基地！学嘉传媒，您身边的教育服务领先品牌！  创办者薛新起，山东省水梁山县人，1971年5月23日生于农民家庭，少时家贫，高中辍学，靠自学取得大专学历。二十岁经商谋生，足迹遍及全国二十六个省市，富有吃苦创业精神，崇文尚义。1995年起，从事图书策划、编辑、印刷发行工作。2000年在广州创办广州天阶图书有限公司。2011年创办了潢川新启快乐教育学校，侧重于初、高中“一对一”个性化辅导，少儿英语和书画教育，以当地获得广泛赞誉。具体要求：一、   宣传语围绕学嘉文化传媒有限公司名称，要有鲜明的时代气息，寓意深刻，也可结合流行语，不拘形式。二、    朗朗上口，简单流畅，易懂易记，并简单说明构思介绍。三、    适合做媒体宣传，能快速传播开来。四、     大白话形式如：家长的口碑是最好的广告，世上只有孝敬父母和培养儿女不能等待。,2016-01-08,2016.02.01,任务编号：400722,100.0,,星奎影像记录工作室,,,,,,,,,,,,,,,,,,,,,,,,广告策划
【品牌起名】各位小主帮忙给美食城起名,4795人,136人,¥100,圆满完成,suli,麻烦给美食城起个好名字，地域是万荣县，美食城一楼是小吃，二楼是宴会， 我们公司网站的名字是 ：就是这个味 ；020食材采购、餐饮外卖平台,2016-01-08,2016.01.29,任务编号：400728,100.0,,copywriter,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】为食品公司取名,3767人,72人,¥168,圆满完成,hongda1068,本公司主要生产饼干、糕点、坚果炒货等休闲类食品，请广大有才之士帮本公司取一个好名字要求：1、言简意赅，好记、好听（中英文，能注册）2、与名字配套的出处和寓意3、隐匿发布,2016-01-08,2016.02.05,任务编号：400633,168.0,,史迪仔,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】东莞市XXX测试设备有限公司起名,4031人,41人,¥300,圆满完成,mf159****8389,"东莞市XXX测试设备有限公司名称征集。 经营介绍： IP防水尘测试设备、插头插座及开关检测设备、着火危险性检测设备、包装运输类检测设备、环境可靠性检测设备、卫浴水龙头检测设备、家用电检测设备、电梯配件检测设备、LED灯具检测设备和消防产品检测设备。                    要求：                                            1、易记，有创意但不失稳重;(必需可以注册公司的)                                        2、最好有中、英文两种名称，并可注册商标                                        3、附上创意说明。                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016-01-07,2016.01.22,任务编号：400622,300.0,,优课堂USR,工作室,九品,40分,,,APP设计/UI设计/小程序网站设计/网页设计/H5设计微信,"￥1000
            /套",顾客百分百的满意是我们不变的宗旨。,￥1000,专业logo设计，顾客满意是我们不变的宗旨。,￥500,专业PPT设计，动态设计,20,,,,,,,,,,,公司起名
【品牌起名】外销童鞋的名称征集,5781人,109人,¥432,圆满完成,mf188****3499,"任务要求：1.核心业务：主要展示产品是0-5岁的，有设计性和品牌性的，中高档婴童鞋和婴童装。2：提供的名称需要为可注册的：童鞋中英文名称 3：产品只要面对市场：面向国外欧美客户。取名要求：1：风格以简约 大气 可爱 温馨的名称为主，希望有原创性，符合高端产品形象，有蕴涵融入在里面。2：取名风格可参考更多国外童鞋品牌的设计风格。3：必须能注册的商标 附上创意说明。4：附件为以国外的品牌信息为参考，希望能给各位灵感，但并不局限此5：如有问题，请联系QQ: 1208713537知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2016-01-07,2016.03.26,任务编号：400551,432.0,,山一方工作室,工作室,四品,44分,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】气泡酒、气泡饮料名称征集,6976人,102人,¥200,圆满完成,mf136****8337,时尚、活泼、动感、喜悦.简约.容易让人记住,2016-01-06,2016.01.31,任务编号：400425,200.0,,星奎影像记录工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】商贸/贸易公司取名,5273人,62人,¥150,圆满完成,bofy,"1、要求中文和英文，具有唯美、现代、时尚的意境。念起来要大气、好记，同时具有国际化的风格，容易给消费者留下深刻的印象。2、中文名2-3个字，无生僻字，英文名称相近，不要太长以及难记。3、主题突出、寓意深刻。朗朗上口，便于设计LOGO。4、所取名字必须可以通过工商注册及使用。因为取得名字要进行商标注册，所以要求一切投稿隐藏保密。5、作品必须要求是原创，为第一次发布，无侵犯他人的著作权。如有侵犯他人著作权，由设计师承担所有法律责任。中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,商业用途，使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。中标者公司若有能力，后续可一并提供LOGO设计。公司背景：为贸易公司，主要经营服装，鞋服，纺织品等。经营范围较广。",2016-01-05,2016.01.24,任务编号：400159,150.0,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】珠宝店名设计征集,3985人,100人,¥100,圆满完成,o5686****8177c,简单易记，大方不落俗套，富有意义。不要太长，好记为主。投稿时请留下联系方式以便后期沟通，谢谢。,2016-01-02,2016.06.30,任务编号：399751,100.0,,mf18902653477,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【广告策划】服装品牌广告语征集（急件）,5845人,122人,¥100,圆满完成,mf139****3131,外贸一站式服装采购店 广告语征集要求：1、字数在5-8个字为佳；2、表达出时尚、性价比高、质量好、便宜的店铺产品特性3、我们是一家外贸服装店，同时是一家集成的生活方式店，经营的品类以男女服装为主外，还会经营家居日用品，所以店铺的广告语需要突出要中性，能让轻易知道我们是一家怎么样的店铺，语言朴实亲民，通俗容易上口。,2015-12-30,2016.03.14,任务编号：399350,100.0,,芃芝策划设计工作室,工作室,九品,36分,,,,,,,,,,,,,,,,,,,,,广告策划
【品牌起名】创意翻译“Firefly”用作品牌名称,5554人,94人,¥100,圆满完成,Adam_Mei,行业：APP WEB的交易平台，主要包含游记分享、旅游产品购买（门票、机票、酒店等）、商品交易（类似淘宝、京东）公司：智慧旅游发展有限公司、智慧农牧业发展有限公司，藏品汇贸易有限公司翻译内容：Firefly、Firefly mall、Firefly travel要求1、创意翻译，排除直译如“萤火虫”“火飞” 。2、翻译后的用途参考08年淘宝：主体为“淘宝”，商城名“淘宝商城”旅行为“淘宝旅行”，翻译后最好也可以唤作“XX旅行”“XX商城”。3、字数要求：4个字以内。4、翻译4、确保可以注册9、35、36、39类。,2015-12-30,2016.02.04,任务编号：399303,100.0,,byt_lei,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】电脑手机维修app名称征集,5085人,64人,¥200,圆满完成,o567fc0b5044f0,电脑手机维修APP名称，本APP是给维修电脑和手机的商家和需要维修的人提供一个免费平台。2-4个字，简单大气，一定要可以注册的。,2015-12-29,2016.04.18,任务编号：399176,200.0,,xdfswyyg,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】公司酱鸭品牌起名,8420人,209人,¥400,圆满完成,fy627****39,1.需求：品牌名称；2.信息：（1）卤菜品牌；（2）主打菜品是酱鸭（味道有点甜），其他菜品品类类似于紫燕百味鸡；（3）服务类型为社区O2O；（4）大众消费，以年轻人为主；3.要求：（1）能够突出产品特点，名字中一定要带“鸭”字；（2）符合95后年轻人群的喜好特点；（3）具有互联网思维；（4）简单，易记；4.举例：“叫只鸭子”，“大虾来了”,2015-12-29,2016.01.17,任务编号：399219,400.0,,一云设计,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】陈升号普洱茶产品征名,6305人,97人,"¥2,000",圆满完成,陈升茶业,一、征集内容：陈升号普洱茶产品征名二、要求：1、以普洱茶古今六大茶山为主题，突出产品品质2、新颖独特，与市面流通的茶叶产品名称不冲突3、有底蕴，符合行业特点及企业文化三、企业介绍陈升茶业于2007年创立，坐落于云南西双版纳，现代化厂房面积近4万平方米，采用先进科技和传统工艺融合，所塑造的“陈升号”已成为普洱茶界知名品牌，受到央视多次报道关注。目前在全国专卖店超过200家，产品远销海外。企业先后获得“云南省重点龙头企业”等称号，通过国家有机产品认证、绿色食品认证，“老班章”等产品也获得多项金奖、一等奖。三、诉求点1、大树茶2、原料产自古今六大茶山3、茶叶特色：香高、气足、底厚、韵深等4、干净、卫生、绿色的生产标准5、“为天下人做喝得起的好茶、为爱茶人士做称道的好茶”的信念等企业文化四、联系方式官网：www.cspuer.com邮箱：cszhengming@cspuer.com电话：4006-222-543（转3）,2015-12-27,2016.02.07,任务编号：398815,2000.0,,疯狂的小象.起名+logo+商标注册,个人,九品,37分,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】餐饮公司起名,5916人,89人,¥100,圆满完成,mf151****7575,1，公司在江苏盐城，格式为盐城**餐饮管理服务有限公司。2，公司主要业务范围是经营酒店、承包学校企业食堂。3，公司名称要大气，易读好记，有一定的文化内涵。,2015-12-25,2016.01.22,任务编号：398645,100.0,,常青树工作室,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】餐饮管理公司起名,7343人,90人,¥300,圆满完成,mf158****9990,"要求：

1.  新开餐饮管理有限公司，名字要大气不俗，简洁，中英文，要求通过工商局注册（需要提供注册查询切图）

2.说明创意


知识产权说明：
1、所设计的作品必须为原创，未在国家商标局注册过（中国商标网查询地址.saic.gov.cn/trade/，不侵犯他人著作权，如有侵犯他人著作权的由设计者承担所有法律责任。
2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,商业用途，使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2015-12-25,2016.01.09,任务编号：398631,300.0,,mf13666892707,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】育儿母婴类app取名,6587人,159人,¥200,圆满完成,o567ca83c0be86,我们是做科学智慧育儿的app，里面的内容包含记录孩子的成长，专题育儿知识，与孩子互动的娱乐任务等功能。对象是爸爸妈妈，可以以动物名或者其他都行，但是要表达科学智慧育儿的主题 最好是2-4个字,2015-12-25,2016.02.13,任务编号：398541,200.0,,红枫林,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】食品品牌取名,4516人,95人,¥200,圆满完成,成都前沿单车,本公司销售 熟食 鸡肉 牛肉 兔丁 板鸭 需要一个品牌名字 希望名字和产品有牵连的比如（周黑鸭 棒棒鸡 久久呀 这样的品牌名字）,2015-12-24,2016.01.18,任务编号：398451,200.0,,航嘉山庄,工作室,七品,39分,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】公众号取名,3514人,41人,¥100,圆满完成,mf186****2682,起公众号的名字，文章内容大多就是妈妈在生活中与孩子成长中的感触。   要容易记起,2015-12-24,2016.02.13,任务编号：398422,100.0,,人本美名,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【公司起名】造价咨询公司起名,6990人,84人,¥300,圆满完成,st868****9,"要求：造价咨询招标代理公司1.公司取名两字，以江苏*******公司命名，名字要大气不俗，简洁，要求通过工商局注册（需要提供注册查询切图）2.说明创意知识产权说明：1、所设计的作品必须为原创，未在国家商标局注册过（中国商标网查询地址http://sbcx.saic.gov.cn/trade/，不侵犯他人著作权，如有侵犯他人著作权的由设计者承担所有法律责任。2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,商业用途，使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2015-12-23,2016.01.17,任务编号：398263,300.0,,xdfswyyg,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】急需钻石品牌名字,4256人,106人,¥200,圆满完成,Diamond丶昊,具体要求：我公司现在运营一个新项目，主要是以钻石定制为主，钻戒、吊坠、手镯等饰品。现在要注册一个品牌，主打对象为年轻人。要求：1.中文名称为英文名称的音译，具有唯美，时尚，洋气的意境。2.中文名2-3个字，对应英文名发音相近，最好不要超过6个字母3.所取的名字需要是没有注册过的商标品牌。是否已经注册，请在http://www.chatm.com查询，商品分类选第14项，珠宝钟表。4.一旦成交，我公司对给名称具有所有权，可以任意使用、发布和修改。,2015-12-22,2016.08.18,任务编号：398119,200.0,,白刺猬工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】商标取名／品牌起名,4394人,63人,¥100,圆满完成,创客微微,公司专业全屋家具定制，酒店家具定做。别墅，样板房家具生产定制。韩式简约风格家具，类似尚品宅配一样都性质，现在需求给商标取给名字，要时尚新颖，易记，通俗，易懂。产品风格为板式家具。公司名称：深圳市铭惠家居有限公司。要求：商标名要通过商标注册，商标名要在设计logo上容易设计出来，形体美。,2015-12-22,2016.02.05,任务编号：398103,100.0,,艾豆笔尖,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【广告策划】“嗨馆量贩KTV”开业广告语征集,6152人,124人,¥200,圆满完成,K888,老店新开求广告语以前是（万达大歌星量贩KTV）现在改名（嗨馆量贩KTV)求开业广告语要求：简洁大方,2015-12-20,2016.01.14,任务编号：397744,200.0,,新疆合赢智创信息科技服务有限公司,,,,,,,,,,,,,,,,,,,,,,,,广告策划
【品牌起名】送餐网站/APP起名！（要英文的）,7570人,121人,¥500,圆满完成,感动心常在,1. 起名英文名优先于中文名 ，可以只提供英文名一种（因为本团在美国）2. 如果网络允许的情况下，请到北美云服务商networksolution（http://www.networksolutions.com/domain-name-registration/index.jsp）查询此名/域名有没有被占用3. 名字要有朝气，能让年轻人记住，顺口4. 希望投标的朋友集思广益，可以围绕主题起名，也可天马行空式取名，最终目标仅从第3条5. 提供中英两种语言名字的，有创意的，悬赏后会给予额外的奖金谢谢大家,2015-12-20,2016.07.04,任务编号：397699,500.0,,花野君的画铺15800372188,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【店铺/网店起名】奶茶店起名（急！！！）,5243人,91人,¥150,圆满完成,找设计人才,"公司产品：主打奶茶，配以果茶和咖啡。1，奶茶店取名，必须为原创名字，含皇家的意义，可以用“皇”“御”等字2，品牌名字两个或者三个字为主，需要中英文两种名称，可以注册商标。（需要提供注册查询切图）3.说明创意知识产权说明：1、所设计的作品必须为原创，未在国家商标局注册过（中国商标网查询地址687474703a2f2f736263782e736169632e676f762e636e2f74726164652f，不侵犯他人著作权，如有侵犯他人著作权的由设计者承担所有法律责任。2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,商业用途，使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2015-12-19,2016.07.04,任务编号：397605,150.0,,人本美名,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【公司起名】餐饮管理公司起名,5554人,75人,¥100,圆满完成,mf158****9990,新开餐饮管理有限公司起名，要求简单大方，寓意好，能注册，中英文,2015-12-19,2016.01.04,任务编号：397639,100.0,,星奎影像记录工作室,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】为土特产品品牌起名,3440人,61人,¥100,圆满完成,张鑫xhc,1、我公司现为新宏昌重工集团，主营专用车的生产、销售与服务，官网为www.hctm.com.cn。现阶段，因公司发展需要，增加销售全国各地知名土特产品业务，现征求该业务品牌的名称。2、本品牌名称字数不超过4个字。3、本名称可进行文字商标注册。4、投标者须在投标时将本名称的寓意予以解释。,2015-12-18,2016.01.18,任务编号：397410,100.0,,白刺猬工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】瓜子商标起名，要求原创能注册商标,5234人,63人,¥200,圆满完成,o5672af8422b68,一、中文取名要求1、瓜子生产企业在新疆，此次品牌取名定位于瓜子炒货行业。2、中文取名要求文字易辨认，不能有生僻字，取名字数请保持在2—3个字。3、品牌中文名称要朗朗上口，易于记忆和传播。4、亲切且突出主题，突出品牌元素、让人感觉舒服，醒目易识易记，要   求有创意。5、不要模仿、应回避市场上雷同的产品中英文和读音，要有自己的特色。6、请一定要确保取的名字在商标29类31类下可以注册。7、取名后，要附带若干字的创意说明，否则直接淘汰。8、取的名字需要有品牌起源的故事情节。解释品牌含义，请附上朗朗上口的广告语。9、要求必须可以注册文字类商标，读音、换序、加减字、部分相同 均为无效，凡是无法    实现商标注册要求（重名或冲突的）无论投稿创意多么优秀，一律弃选。10、要求必须是原创，不得是电脑取名。请设计者到中国商标网，商标近似查询栏目自    行查询一下是否有相同或相近注册。谢谢！  二、知识产权说明：1、作品必须要求是原创，为第一次发布，为侵犯他人的著作权。如有侵犯他人著作权，由  设  计师承担所有法律责任。2、中标的作品，我方支付费用。即拥有该作品的知识产权，包括著作权、使用权和发布权      等，并有权对作品进行修改、组合和应用，不得再向其他任何地方使用该作品。3、因为取得名字要进行商标注册，所以要求一切投稿隐藏保密。 三、注意事项：1、请各位参与取名的威客用点心思，仔细的看一下我上面写的要求在进行设计，由于任务   发布以后会有很多的人投稿，本人选稿的方式按照发布的要求为准则，请投稿者严格按   照上面的所写要求投稿，只有符合要求的才会提出修改意见，不符要求的稿件就不要投   稿了。2、交易流程严格按照网站规定的交易流程付款，拒绝在没完成任务之前提前选稿付款。3、提交前请先在商标注册网认证查询是否被注册，请勿提供与被注册商标相同的名称，中   标的名字须通过商标局注册，方视为有效，,2015-12-17,2016.01.11,任务编号：397377,200.0,,xdfswyyg,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】教育机构起名（一对一课外辅导）,5456人,61人,¥100,圆满完成,o5672****2dbd9,"经营介绍： 本公司是一家以小学、初中、高中的个性化一对一课外辅导补习为主的教育机构，目标客户群为小初高中学生。应用内容：设计公司名称。设计要求：1、名称有格局，大气，积极向上，2-3个字（最好有中英文两种名称）；2、符合我公司的网络和教育的定位;3、附上创意说明知识；4、可以注册公司和商标；知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2015-12-17,2016.01.18,任务编号：397342,100.0,,竹叶常青设计工作室,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【店铺/网店起名】便利店起名,5912人,97人,¥200,圆满完成,mf138****1906,"要求：                                    1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册）                                        2、最好是两三个字，类似全家或者711                                         3、附上创意说明                                        知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2015-12-17,2016.02.12,任务编号：397248,200.0,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,,店铺/网店起名
【品牌起名】接地气的商品名称征集,5309人,105人,¥500,圆满完成,Mr186****5530,寻找可注册接地气的商品名称1，必须是可以进行注册的商品名称。2，简单易懂，易于传播，推广，接地气的商品名称。 例如：土豆网，途牛旅游，赶集，芒果台，小米手机等。3， 新起跑公司是一家充满互联网基因的新型广告公司，致力于通过互联网的方式消除传统广告产业链中的信息不对称。     公司的理念是用互联网方式打造独一无二的广告主社群。,2015-12-17,2016.01.04,任务编号：397293,500.0,,竹叶常青设计工作室,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【其他】纪念日创意短语征集,4751人,49人,¥100,圆满完成,艾肯美道,需要四个字，六个字，或八个字的短语，一对情侣，男方名字里用“波”或者“磊”字，女方名字用“慧”，或者谐音主要用途：恋爱纪念日，结婚纪念日，个性logo要求：温馨，浪漫，个性，易记,2015-12-17,2016.01.18,任务编号：397266,100.0,,大鱼大肉的生活,,,,,,,,,,,,,,,,,,,,,,,,其他
【公司起名】公司取名任务 诚邀能者取名,3669人,46人,¥128,圆满完成,mf139****0325,"详情请查看附件.投稿的时候,请传文档格式.有好名字,可提前截止任务.",2015-12-16,2016.02.02,任务编号：397193,128.0,,搞名堂123,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【品牌起名】休闲零食烤鱿鱼条品牌取名,4099人,69人,¥100,圆满完成,mf158****6560,名称要求：形象好记，比较中意3个字产品特点：来自深海的进口鱿鱼，鱿鱼肥且大条，有嚼劲公司名称：绿林豪客食品,2015-12-16,2017.11.27,任务编号：397178,100.0,,mf18780086114,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】【商标起名】适用于高新技术数码产品,8500人,127人,¥360,圆满完成,damaixiaomai,【商标起名】：2个字最佳，3个字也ok，商标注册在0907分类（中文和英文都必须在这个分类可注册）【适用产品】起名适用于产品：数字高清图像传输设备，高清设备接口，无线传输产品。【起名思路一】：体现数字，高清，现代高科技，跨越时空飞速传输【起名思路二】：另类，科学，高科技产品【起名思路三】：名字听过去有点像是进口产品或者中外合资产品温馨提示：商标注册需要在0907分类可注册哦，（中文和英文都必须在这个分类可注册）,2015-12-16,2016.03.07,任务编号：397111,360.0,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【公司起名】征集公司名称,7093人,142人,¥200,圆满完成,十倍速,公司是做母婴类的线上社群、线下社区的网络科技公司，现征集公司名称。要求：1、有互联网元素2、容易记忆和传播3、2-4个字都可,2015-12-16,2016.01.09,任务编号：397067,200.0,,锐视企划,工作室,一品,55分,,,【LOGO设计】 郑重承诺/保证设计至您最终满意为止！,价格面议,【VI设计】 郑重承诺/保证设计至您最终满意为止！,价格面议,【画册/宣传册设计】 郑重承诺/保证设计至您最终满意为止！,价格面议,【包装设计】 郑重承诺/保证设计至您最终满意为止！,价格面议,【折页设计】 郑重承诺/保证设计至您最终满意为止！,价格面议,【宣传单设计】 郑重承诺/保证设计至您最终满意为止！,价格面议,【海报设计】 郑重承诺/保证设计至您最终满意为止！,价格面议,,,,,公司起名
【品牌起名】塑性内衣名字征集,3196人,72人,¥300,圆满完成,mf132****0555,需要起一个高端私人量身定制的塑形内衣的名字，这个内衣都是女性使用，作用是塑形1、需要注册商标使用2、中文加英文，二个字到四个字都可以3、要高端大气，顺口,2015-12-15,2016.01.22,任务编号：396928,300.0,,xdfswyyg,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【品牌起名】快销食品取名,5622人,141人,¥200,圆满完成,成都前沿单车,主要销售 外送食品 兔丁 干牛肉 猪耳朵 鸡脚 鸡翅 卤菜类 取名的目的是 易记 易传播 做品牌 做口碑,2015-12-15,2016.01.22,任务编号：396888,200.0,,航嘉山庄,工作室,七品,39分,,,,,,,,,,,,,,,,,,,,,品牌起名
【宣传策划】古筝教育营销品牌故事撰写,4197人,19人,¥450,圆满完成,o5495****9b40e,"*可以借鉴：http://www.hsgz.net/hongshenggushi/（个人非常欣赏此网站宏声古筝的故事原创）*盛荷古筝（商标已注册），专注于高端古筝培训、及品牌古筝营销。中国音乐家协会会员单位，中国古筝网教学基地，河南首家双谱古筝教学基地。2014年1月起，由40平的小教室发展到现今初具规模的200平自营教学及展示区，现有一支优秀的教师队伍，及比较可观的生源，未来会发展多家分店，急需设计一个品牌故事用作宣传。（网站、单页、画册等）优势：1、师资：均为古筝专业本科毕业全职教师任教；2、教学：采用直接教学法、多媒体互动教学法、趣味启蒙教学法、沟通式教学法。3、理念：双谱（简谱、线谱）古筝教学，郑州第一家。4、环境：新古典禅意风格装修，一对一VIP教室N间，多媒体大教室，休息区，展示区，洽谈室，双温中央空调，及全新新风系统（过滤PM2.5）。5、网站：http://www.wpygz.com（新制作，内容还未丰满，可作参考）知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2015-12-13,2016.01.21,任务编号：396605,450.0,,墨客文案工作室,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【文学创作】编一个银行场景的小品剧本,7714人,10人,¥200,圆满完成,mf135****3766,1、人物：2-3个人物，个性鲜明2、以银行员工的一天为主线3、人物对话、场景写清楚4、台词尽可能幽默搞笑，结局希望是积极的结局5、时长10—12分钟左右；6、附上创意说明。希望能直接交稿。,2015-12-13,2016.01.05,任务编号：396553,200.0,,新疆合赢智创信息科技服务有限公司,,,,,,,,,,,,,,,,,,,,,,,,文学创作
