标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,任务类型
【宣传策划】母婴产品的宣传文案,https://task.epwk.com/554155/,3856人,1人,¥1000,圆满完成,vitorru,一款母婴产品的宣传推广文案，类似众筹文案，,2017-11-16,2017.11.24,任务编号：554155,1000.0,5天,浙江省-杭州市-上城区,乐心文策工作室 187-6845-9100,https://shop.epwk.com/qgdmjx2gydke/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【宣传策划】药品展示平台（网站）合作方案润色,https://task.epwk.com/553479/,970人,2人,¥100,圆满完成,mf139****3077,方案纲要已经有了，需要润色。专业只是可以沟通。,2017-11-14,2017.11.17,任务编号：553479,100.0,"1天,3天","河北省-石家庄市-新华区,上海市-市辖区-黄浦区",mijunjie8的商铺,https://shop.epwk.com/7g5ykjm2gn0q/,mijunjie8的商铺,出售服务,https://shop.epwk.com/7g5ykjm2gn0q/chushou/,个人,四品,32分,,,mijunjie8的商铺,,,,,,,,,,,,,,,,,,,,,,宣传策划
【宣传策划】公司宣传推广文案撰写,https://task.epwk.com/553706/,912人,1人,¥400,圆满完成,o5a0b****12177,公司宣传推广文案撰写，具体以详细沟通的为准,2017-11-15,2017.12.12,任务编号：553706,400.0,2天,辽宁省-沈阳市-市辖区,紫彧营销咨询机构,https://shop.epwk.com/p05qjj3xydev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【商业提案】天猫合作品牌让品牌商给扶持的文案,https://task.epwk.com/553506/,1093人,3人,¥100,圆满完成,mf187****8582,我计划做天猫 ，做一个工厂的品牌，想在价格方面让公司给扶持，编辑个有说服力的文案,2017-11-14,2017.11.15,任务编号：553506,100.0,"1天,3天","河北省-石家庄市-新华区,河北省-保定市-南市区",mijunjie8的商铺,https://shop.epwk.com/7g5ykjm2gn0q/,mijunjie8的商铺,出售服务,https://shop.epwk.com/7g5ykjm2gn0q/chushou/,个人,四品,32分,,,mijunjie8的商铺,,,,,,,,,,,,,,,,,,,,,,商业提案
【宣传策划】企业文化宣传文案撰写,https://task.epwk.com/550396/,840人,1人,¥500,圆满完成,o580b0945aa37f,企业文化，企业简介，企业成功的案例，企业未来规划，文案，PPT制作，企业宣传视频脚本,2017-11-04,2017.11.08,任务编号：550396,500.0,1天,辽宁省-沈阳市-市辖区,紫彧营销咨询机构,https://shop.epwk.com/p05qjj3xydev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【商业提案】餐饮行业商业计划书,https://task.epwk.com/547804/,1394人,7人,¥300,圆满完成,gtymdx888,餐饮行业写一份商业计划书，招募股东合作计划书。阐述项目，规划计划，建立线上线下的模式。具体详细沟通,2017-10-26,2017.11.25,任务编号：547804,300.0,"3天,10天,2天,3天,3天,3天","北京市-北京市-丰台区,广东省-广州市-东山区,河北省-石家庄市-新华区,辽宁省-沈阳市-市辖区,上海市-上海市-闵行区,北京市-北京市-朝阳区",杰斯设计工作室,https://shop.epwk.com/mod046eg05yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【品牌故事】勘查工程文章撰写,https://task.epwk.com/547393/,1144人,1人,¥100,圆满完成,tianminmin001,勘查工程文章一篇，有模板，套内容就行，字数不要求太多，远程教育的专科，不要求多高深。具体联系沟通,2017-10-25,2017.10.27,任务编号：547393,100.0,1天,天津市-市辖区-和平区,呸呸小店,https://shop.epwk.com/zqdpl149gn1v/,呸呸小店,出售服务,https://shop.epwk.com/zqdpl149gn1v/chushou/,个人,八品,40分,,,呸呸小店,,论文降重，文案创作，公众号运营，文章代写，简历制作，PPT制作,"￥50
            /次",,,,,,,,,,,,,,,,,,,品牌故事
【宣传策划】宣传文案撰写,https://task.epwk.com/547088/,721人,1人,¥800,圆满完成,vitorru,宣传文案撰写，具体以沟通的为准,2017-10-24,2017.10.27,任务编号：547088,800.0,4天,辽宁省-沈阳市-市辖区,紫彧营销咨询机构,https://shop.epwk.com/p05qjj3xydev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【商业提案】商业计划书撰写,https://task.epwk.com/546971/,1282人,1人,¥3500,圆满完成,o59edc30bab265,零售行业，商业计划书,2017-10-24,2018.03.05,任务编号：546971,3500.0,10天,安徽省-芜湖市-镜湖区,思睿观通创融服务,https://shop.epwk.com/78n96oe98nkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【商业提案】商业计划书撰写,https://task.epwk.com/544628/,1124人,1人,¥3000,圆满完成,vitorru,商业计划书撰写，具体以沟通为准,2017-10-17,2017.10.31,任务编号：544628,3000.0,10天,安徽省-芜湖市-镜湖区,思睿观通创融服务,https://shop.epwk.com/78n96oe98nkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【百科/问答撰写】求维尔纽斯本地通编写生活指南,https://task.epwk.com/540530/,1539人,1人,¥1000,圆满完成,mcscofiled,因我妹要去维尔纽斯留学，所以想请有实地生活经验的本地通帮忙编写一个生活指南（Word版本，后期要装订成小册子），里面应涵盖留学生日常生活中涉及到的注意事项及衣食住行等细节问题。格式最好以月份体现出来并配图，例如1月份好玩的地方有哪些，怎么去，需注意什么？美食，购物等，不一定非按照这个格式做，有自己的创意我们可以沟通。谢谢,2017-10-02,2017.10.05,任务编号：540530,1000.0,5天,北京市-北京市-丰台区,杰斯设计工作室,https://shop.epwk.com/mod046eg05yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百科/问答撰写
【品牌故事】浙江杭州地区的数学教师急需一篇评中学高级教师职称的文章,https://task.epwk.com/540520/,3825人,13人,¥520,圆满完成,baihonglin2015,浙江杭州地区的数学教师急需一篇评中学高级教师职称的文章！要求如下：1、初中数学教学方面的文章，字数要求3000字以上；2、文章必须是作者原创，不能抄袭，并且未在各类各级刊物上发表或获奖；3、文章的内容最好是与初中数学教学内容相关，不是小学或高中等方面的。希望威客们有符合的文章能投给我，谢谢!,2017-10-02,2017.10.24,任务编号：540520,520.0,"5天,5天,10天,10天,15天,3天,7天,3天,10天,10天,10天,3天","河北省-石家庄市-新华区,吉林省-长春市-南关区,北京市-北京市-海淀区,新疆-乌鲁木齐市-新市区,甘肃省-平凉市-崆峒区,上海市-市辖区-黄浦区,江苏省-无锡市-南长区,云南省-昆明市-市辖区,山西省-太原市-小店区,上海市-市辖区-浦东新区,山东省-青岛市-市南区,北京市-北京市-丰台区",mijunjie8的商铺,https://shop.epwk.com/7g5ykjm2gn0q/,mijunjie8的商铺,出售服务,https://shop.epwk.com/7g5ykjm2gn0q/chushou/,个人,四品,32分,,,mijunjie8的商铺,,,,,,,,,,,,,,,,,,,,,,品牌故事
【专业代笔】5分钟微党课比赛讲课稿和PPT制作,https://task.epwk.com/540458/,4205人,8人,¥260,圆满完成,o59d07c3e3097c,"要求：制作10页左右的PPT，800字左右的微讲课稿。参加单位“我最喜欢的习总书记的一句话”5分钟微讲课比赛。10月7日前要全部完成。PPT页面制作精美，讲课内容生动有趣。讲课内容为：“宣传中医药法，弘扬中医国粹”已有人帮我初步制作了PPT和讲课稿，加我QQ发你,制作10页左右的PPT，800字左右的微讲课稿。参加单位“我最喜欢的习总书记的一句话”5分钟微讲课比赛。10月7日前要全部完成。PPT页面制作精美，讲课内容生动有趣。讲课内容为：“宣传中医药法，弘扬中医国粹”已有人帮我初步制作了PPT和讲课稿，加我QQ发你",2017-10-02,2017.10.09,任务编号：540458,260.0,"3天,3天,1天,4天,4天,4天,2天","北京市-北京市-东城区,河北省-石家庄市-新华区,广东省-东莞市-东莞市市辖区,北京市-北京市-朝阳区,广西壮族自治区-防城港市-防城区,陕西省-西安市-户　县,山西省-阳泉市-市辖区",SeanTLD,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【专业代笔】写一篇演讲稿,https://task.epwk.com/536027/,2556人,6人,¥100,圆满完成,xiaominghua,"演讲主题参考清单
1
夸夸咱们身边的“狼”（或优秀业代、或督导、或党员、或经销商、或二批）
2
夸夸我们的领头雁（或党员、或主管、或经理、或领导）
3
烧烤摊，我来了！
4
卤料店，我来了！
5
有效终端开发，看我的！
6
这样冰冻，单店可提量
7
小小贴标，市场坚强的卫士
8
旺季终端压货，我有说法
9
稳定终端价格，我有一套
10
公平公正公开，比什么考核办法都管用
11
营销费用控制，有你，也有我
12
分享我们的品鉴活动
13
说说我们夜场那点事儿
14
我家是这样领养周边的KA门店的
15
分享新特业务的苦与乐
16
一次有意义的主题党日活动（或：“七一”党员教育活动）
17
抓政治学习 促销售业务
18
学习“时代楷模”廖俊波  改造自我价值观",2017-09-18,2017.09.26,任务编号：536027,100.0,"2天,3天,1天,6天,5天,15天","陕西省-商洛市-商州区,陕西省-西安市-新城区,河北省-石家庄市-新华区,湖南省-永州市-宁远县,湖南省-长沙市-芙蓉区,天津市-天津市-武清区",飔逸创意工作室,https://shop.epwk.com/7g5ykyz76n0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【宣传策划】高端微商创意策划撰写,https://task.epwk.com/535249/,2232人,1人,¥1200,圆满完成,lzq891005,1、针对微商；2、产品：颈椎贴；3、关键词：百年御医要求策划创新、大胆!,2017-09-15,2017.09.28,任务编号：535249,1200.0,5天,河南省-郑州市-市辖区,殊同品牌策划设计,https://shop.epwk.com/09drjejxe53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【商业提案】汽车销售直营店商业模式,https://task.epwk.com/533564/,1649人,1人,¥800,圆满完成,stainsleep,"类似麦田房产的直营店模式，商业计划书中包括：1、市场调研，2、品牌模式，3、抽成模式，4、人员模式，5、管理模式，6、培训模式2000字左右,类似麦田房产的直营店模式，商业计划书中包括：1、市场调研，2、品牌模式，3、抽成模式，4、人员模式，5、管理模式，6、培训模式2000字左右",2017-09-10,2017.12.02,任务编号：533564,800.0,15天,北京市-北京市-东城区,脑洞创意文案策划,https://shop.epwk.com/09drjj93353w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【宣传策划】面膜品牌宣传文案撰写,https://task.epwk.com/532101/,3278人,24人,¥200,圆满完成,o595375e5e7e71,集团品牌面膜5周年庆典进货免费送苹果7 128G需要整理创意促销文案内容为段落式 作为朋友圈展示用  每段主题相同  但是 表达方式不同另外  集团5周年庆 补货或者 合作进货面膜 送苹果行货手机 销售话术一份,2017-09-05,2017.09.14,任务编号：532101,200.0,"3天,5天,1天,2天,1天,3天,3天,3天,7天,2天,200天,3天","北京市-北京市-丰台区,湖北省-黄冈市-英山县,湖南省-长沙市-天心区,上海市-市辖区-黄浦区,广东省-广州市-荔湾区,广东省-汕头市-龙湖区,云南省-昭通市-镇雄县,山东省-济南市-历城区,辽宁省-本溪市-溪湖区,广西-桂林市-七星区,上海市-上海市-浦东新区,上海市-市辖区-黄浦区",杰斯设计工作室,https://shop.epwk.com/mod046eg05yv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【商业提案】旅游项目方案撰写,https://task.epwk.com/530664/,1051人,1人,¥666,圆满完成,shandongdavid,商业计划书PPT修改，具体详细沟通,2017-08-30,2017.09.27,任务编号：530664,666.0,4天,广东省-深圳市-龙岗区,猫诣广告传媒有限公司,https://shop.epwk.com/2j5xoo2mx5xm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【宣传策划】全脑教育品牌策划,https://task.epwk.com/529745/,1268人,1人,¥900,圆满完成,智慧无限全脑,全脑教育品牌，已经有vi系统，需要宣传、推广文案，整体包装策划！,2017-08-28,2017.09.21,任务编号：529745,900.0,3天,辽宁省-沈阳市-市辖区,紫彧营销咨询机构,https://shop.epwk.com/p05qjj3xydev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【宣传策划】用于绿植租赁的宣传单文案撰写,https://task.epwk.com/529334/,2971人,2人,¥200,圆满完成,o599e7d0a6a605,用于绿植租赁宣传单文案征集店名：柳絮绿植租赁业务：写字楼、小区、酒店等提供绿植租赁服务及绿植销售。提供一条龙服务，从摆放格局，绿植品种，后期维护及养护。,2017-08-26,2017.09.04,任务编号：529334,200.0,"2天,1天","上海市-市辖区-黄浦区,甘肃省-兰州市-七里河区",小芳工作室,https://shop.epwk.com/7lngqqrrrdmr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【专业代笔】便利店可行报告撰写,https://task.epwk.com/528058/,1202人,3人,¥3000,圆满完成,mf137****7755,三四线城市的便利店可行报告！主要在社区和成熟小区里开设店面、店铺面积30平方至50平方米！主要也会员制和众筹方式经营！细节微信联系，要求有相关经验的服务商,2017-08-22,2017.09.04,任务编号：528058,3000.0,"4天,10天","辽宁省-沈阳市-市辖区,上海市-市辖区-黄浦区",紫彧营销咨询机构,https://shop.epwk.com/p05qjj3xydev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,专业代笔
【宣传策划】找人代写公司简介,https://task.epwk.com/525911/,2757人,4人,¥200,圆满完成,chtf5023,要求内容丰富，文笔要好公司名称：沧州铭宇化工有限公司成立时间：2014年9月公司主要业务：甲醇贸易，醇基燃料，物流运输企业文化：铭宇使命：为客户创造价值，为员工创造机会，为股东创造效益，为社会承担责任座右铭：严谨、高效、用心做事；忠厚、正派、低调做人态度：今日事今日毕，勿将今事待明日想想昨天，有多少事没做完抓紧今天，今天事情今天完打算明天，要做完多少事情内容比较多，我先选定一位威客，需要什么东西，再细聊。,2017-08-14,2017.08.20,任务编号：525911,200.0,"3天,7天,2天,2天","山东省-滨州市-滨城区,湖北省-武汉市-江汉区,山东省-济宁市-曲阜市,河南省-郑州市-市辖区",一悦企划,https://shop.epwk.com/omdwk2x0xdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【宣传策划】茶叶行业营销方案,https://task.epwk.com/525076/,1284人,1人,¥1500,圆满完成,o598d28bca0b82,做一个营销方案，茶叶行业，公司要做，第一期费用1500元，效果好再进行第二期。具体内容以跟开发商沟通为准。,2017-08-11,2017.08.20,任务编号：525076,1500.0,8天,湖北省-武汉市-洪山区,潜水钟品牌策划工作室,https://shop.epwk.com/j7n388ve25e1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【商业提案】写新公司章程,https://task.epwk.com/524629/,1233人,3人,¥300,圆满完成,mf135****2650,写新公司章程，详细与我联系,2017-08-09,2017.08.16,任务编号：524629,300.0,"1天,2天","宁夏-银川市-市辖区,山东省-青岛市-黄岛区",一悦企划,https://shop.epwk.com/omdwk2x0xdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【宣传策划】金融公司文案撰写,https://task.epwk.com/524344/,1286人,1人,¥2800,圆满完成,o580b0945aa37f,LOGO设计，文案，公众号填充内容，PPT美化，赏金2800，具体以沟通的为准,2017-08-09,2017.08.11,任务编号：524344,2800.0,7天,云南省-昆明市-五华区,一起搞品牌策划  QQ  3370528179,https://shop.epwk.com/v0n1x6x9l57y/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【文学创作】雷电灾害防御动画剧本撰写,https://task.epwk.com/520001/,4298人,14人,¥10000,圆满完成,chm_abc,河北省气象服务中心隶属于河北省气象局，承担面向交管理部门、能源企业等行业的专业气象服务，以及面向社会公众的公众气象服务、气象科普，全省突发公共事件预警信息发布任务。为了普及公众气象灾害防御知识，了解并掌握防灾避险技能，强化气象防灾减灾意识，针对河北省夏季暴雨灾害多发频发的特点，拟制作一部暴雨灾害防御知识动画片，现在需要剧本创作，后期需要动画制作。剧本内容：雷电防御，分四小部分。工期：一周价格：1W,2017-07-25,2017.08.10,任务编号：520001,10000.0,"6天,4天,7天,7天,7天,7天,7天,7天,7天,7天,3天,15天","浙江省-宁波市-江东区,上海市-市辖区-黄浦区,北京市-北京市-东城区,江西省-上饶市-信州区,天津市-市辖区-南开区,福建省-厦门市-湖里区,湖南省-郴州市-苏仙区,山东省-枣庄市-市辖区,北京市-北京市-朝阳区,广东省-广州市-海珠区,广东省-惠州市-市辖区,上海市-市辖区-黄浦区",宁波浪尖品牌咨询与设计有限公司,https://shop.epwk.com/81n41zmmvnp6/,宁波浪尖品牌咨询与设计有限公司,出售服务,https://shop.epwk.com/81n41zmmvnp6/chushou/,企业,四品,40分,,,宁波浪尖品牌咨询与设计有限公司,,宣传册设计,价格面议,策划,价格面议,包装设计,"￥2000
            /起",VI设计,价格面议,logo设计,"￥1000
            /起",,,,,,,,,,,文学创作
【产品卖点】产品介绍文案写作,https://task.epwk.com/519581/,2294人,1人,¥500,圆满完成,k3317****28,产品介绍文案写作，把产品亮点突出出来，需要专业性的知识，产品是胶囊类型的，要求有做过医疗方面的。,2017-07-24,2017.08.03,任务编号：519581,500.0,2天,辽宁省-沈阳市-市辖区,紫彧营销咨询机构,https://shop.epwk.com/p05qjj3xydev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品卖点
【项目策划】数码新品上市整合营销竞标方案策划,https://task.epwk.com/518905/,1588人,2人,¥20000,圆满完成,DoSocial,数码新产品上市整合营销竞标全案。包括各媒体渠道，发布会媒体沟通，稿件及传播策划等部分。要求熟悉IT行业，爱好了解数码产品，英文过硬6年以上4A PR Agency背景，带过团队有过大项目竞标。工期：一周,2017-07-21,2017.07.24,任务编号：518905,20000.0,5天,北京市-北京市-朝阳区,BIG IDEA 工作室,https://shop.epwk.com/78n96zw6onkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,项目策划
【宣传策划】某社交APP推广策划书撰写,https://task.epwk.com/518598/,3094人,9人,¥10150,圆满完成,o5913cb7b4fb5a,某社交APP线上推广策划书，方案要求涵盖主流网络阵地的传播宣传和用户拓展计划。,2017-07-20,2017.07.22,任务编号：518598,5000.0,"5天,10天,5天,10天,1天,15天,7天,5天","北京市-北京市-朝阳区,上海市-市辖区-黄浦区,上海市-市辖区-黄浦区,北京市-北京市-昌平区,北京市-北京市-顺义区,山东省-潍坊市-高密市,北京市-北京市-朝阳区,河北省-石家庄市-新华区",BIG IDEA 工作室,https://shop.epwk.com/78n96zw6onkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【品牌故事】撰写一份工作计划,https://task.epwk.com/518115/,1493人,4人,¥500,圆满完成,tzllxmz,平安保险入职前对以后工作安排的工作计划             入职后如何快速学习适应岗位，如何在前期岗位联动中学习从数据学习分析如何看到数据背后问题，企划设计，培训包块新人老人知识产品培训，如何找到产品的优点和掩饰缺点这三方面大体来讲。,2017-07-18,2017.07.19,任务编号：518115,500.0,"3天,3天,3天,5天","北京市-北京市-昌平区,河北省-保定市-徐水县,湖北省-宜昌市-西陵区,陕西省-商洛市-商州区",o596d8ff6546f5,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,品牌故事
【商业提案】互联网装修商业计划书,https://task.epwk.com/518109/,1221人,1人,¥2500,圆满完成,mf138****5881,商业计划书，互联网装修，具体详细沟通,2017-07-18,2017.08.04,任务编号：518109,2500.0,15天,安徽省-芜湖市-镜湖区,思睿观通创融服务,https://shop.epwk.com/78n96oe98nkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【商业提案】商业计划书撰写,https://task.epwk.com/516238/,1055人,1人,¥3000,圆满完成,o5963****dd101,商业计划书撰写，具体以合同签订的为准，,2017-07-10,2017.08.24,任务编号：516238,3000.0,13天,安徽省-芜湖市-镜湖区,思睿观通创融服务,https://shop.epwk.com/78n96oe98nkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【商业提案】再生利用商业计划书,https://task.epwk.com/515195/,912人,1人,¥2500,圆满完成,安瑞德01,再生利用商业计划书，具体详谈,2017-07-06,2017.07.14,任务编号：515195,2500.0,10天,安徽省-芜湖市-镜湖区,思睿观通创融服务,https://shop.epwk.com/78n96oe98nkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【商业提案】房地产营销策划方案,https://task.epwk.com/512134/,2155人,6人,¥8300,圆满完成,大棚,某房地产公司营销文案，大致内容如下：1、创意—房地产营销策划方案要达到尚方宝剑的强大韧劲和力度，必须在创意理念上形成2、品牌形象宣传—对楼盘的综合素质进行整体概括，揭示楼盘从地理位置、物业档次到设计思想、具体细节等到方面的高起点定位。3、确立行销要求—楼盘行销观念着重于消费者的分布情形及需求层次，继而设计规划销售策略主题。突显出楼盘产品的价值，进而满足购屋大众独有的品味与格调。故楼盘在行销上须完全符合时代的发展，才能在市场上造成影响。4、预售策略—公开期及强销期策略。5、更多细节电话沟通。注：作者提交文案版权属我方所有，未经同意不可泄露给第三方，否则追究法律责任。有成功案例的服务商请提供参考,2017-06-24,2017.06.26,任务编号：512134,8300.0,"2天,10天,7天,15天,3天,3天","广东省-深圳市-龙岗区,北京市-北京市-大兴区,山东省-济南市-市辖区,上海市-上海市-闵行区,北京市-北京市-东城区,湖南省-长沙市-岳麓区",liszky,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【产品卖点】设计房地产金融业务流程培训文件,https://task.epwk.com/511893/,937人,2人,¥550,圆满完成,大棚,要求：1、分析房地产的现状和价格走势，2、房地产业务一级市场到3级市场的业务操作流程还有3、房地产金融原理4、房地产金融常用工具5、以及某公司的业务，和发展趋势（该项涉及公司机密，私聊发布些需求参考）,2017-06-23,2017.06.23,任务编号：511893,550.0,"1天,1天","广东省-深圳市-福田区,河北省-石家庄市-新华区",liszky,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品卖点
【宣传策划】亲自活动文案编辑,https://task.epwk.com/510503/,973人,1人,¥380,圆满完成,k6819****31,高女士 四川宜宾，亲子活动的文案，内容新颖到有营销方面的元素,2017-06-18,2017.07.03,任务编号：510503,380.0,2天,四川省-成都市-武侯区,脑洞创意文案策划,https://shop.epwk.com/09drjj93353w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【其他内容创作】线上分享会营销推广策划案,https://task.epwk.com/510277/,2228人,1人,¥300,圆满完成,vitorru,线上分享会营销推广策划案，教育行业，具体沟通。,2017-06-16,2017.06.20,任务编号：510277,300.0,3天,北京市-北京市-东城区,脑洞创意文案策划,https://shop.epwk.com/09drjj93353w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他内容创作
【商业提案】宣传片文案撰写,https://task.epwk.com/509857/,2286人,8人,¥300,圆满完成,桔米盛室数字科技,根据企业简介 写一个3分钟左右的宣传片解说词,2017-06-15,2017.06.26,任务编号：509857,300.0,"3天,3天,2天,3天,5天,5天,3天,7天","山东省-济宁市-曲阜市,湖南省-郴州市-苏仙区,四川省-资阳市-乐至县,江苏省-南京市-栖霞区,山西省-太原市-迎泽区,上海市-市辖区-黄浦区,云南省-德宏傣族景颇族自治州-盈江县,贵州省-黔东南苗族侗族自治州-丹寨县",笔头秀工作室,https://shop.epwk.com/rp5z44940dx3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【产品卖点】公司企业简介文化及网站条款优化编辑,https://task.epwk.com/508869/,1319人,4人,¥168,圆满完成,mf150****4000,"任务一根据提供的文件""公司介绍""，编辑不少于600字，2000字之内的简单介绍：企业简介公司文化公司愿景任务二根据提供的文件""条款""，文件包含六份条款协议，使用于项目的网站上，目前内容由网络上收集，不能直接使用，需要对内容进行：内容优化字词修饰内容编辑修改为相同意义重新排版去掉重复具体联系沟通",2017-06-12,2017.06.21,任务编号：508869,168.0,"7天,3天,3天,2天","陕西省-商洛市-商州区,湖南省-长沙市-岳麓区,上海市-市辖区-徐汇区,河北省-石家庄市-新华区",飔逸创意工作室,https://shop.epwk.com/7g5ykyz76n0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品卖点
【品牌故事】医院行政文章征集,https://task.epwk.com/506280/,1540人,4人,¥150,圆满完成,o592ec1e00500d,想写一封征文，或者发言稿也行。医院中行政类。具体价格详细沟通,2017-05-31,2017.06.04,任务编号：506280,150.0,"3天,1天,3天,2天","陕西省-商洛市-商州区,福建省-厦门市-湖里区,上海市-市辖区-徐汇区,山东省-济南市-市辖区",飔逸创意工作室,https://shop.epwk.com/7g5ykyz76n0q/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,品牌故事
【公司起名】饲料公司文案,https://task.epwk.com/504811/,1467人,1人,¥300,圆满完成,天涯芳草关晶,牛羊饲料为主，也有猪饲料 四个字以内 好记的 有点蕴意 “农”“德”“王”“振” 饲料商标名字取名,2017-05-25,2017.06.07,任务编号：504811,300.0,1天,河北省-沧州市-市辖区,专业取名,https://shop.epwk.com/9w56emllwdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公司起名
【商业提案】支付行业品牌制定,https://task.epwk.com/504689/,782人,1人,¥800,圆满完成,mf156****5555,支付行业：无卡支付又称作聚合支付的品牌取名符合注册商标娄36金融类，9类应用下载，35广告类。市面上有如：某某钱包等叫法。名字简单好记通俗好识别的。,2017-05-25,2018.05.14,任务编号：504689,800.0,20天,河北省-保定市-新市区,棠颂创意文案工坊,https://shop.epwk.com/9w56ee1yedv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商业提案
【宣传策划】精品酒店文案,https://task.epwk.com/503935/,1685人,1人,¥3000,圆满完成,花雨间,名宿文案，精品酒店文案，广州当地的，面谈，微信是手机号,2017-05-23,2018.02.02,任务编号：503935,3000.0,30天,广东省-广州市-海珠区,广州观远文化,https://shop.epwk.com/4rn8qq0wwngm/,广州观远文化,出售服务,https://shop.epwk.com/4rn8qq0wwngm/chushou/,工作室,五品,41分,,,广州观远文化,,「观远文化」影视制作-剧本创作/影片剪辑/后期制作,价格面议,「观远文化」摄影摄像-企业宣传片/广告片/活动跟拍/微电影/MV/短视频,价格面议,「观远文化」活动策划-方案定制/演艺资源/灯光舞美/婚庆宴会,价格面议,「观远文化」文案写作-创意文案/自媒体软文/文学创作/PPT,价格面议,「观远文化」品牌策划-品牌命名/品牌口号/品牌文化/品牌简介/品牌故事/全案策划,价格面议,「观远文化」手绘设计-插画设计/漫画设计/卡通形象设计,价格面议,「观远文化」名片设计-企业名片/个人名片,价格面议,「观远文化」电商设计-首页设计/详情页设计/主图设计/图片处理,价格面议,「观远文化」宣传品设计-画册/海报/宣传单/折页/易拉宝设计,价格面议,「观远文化」VI设计-形象系统/应用系统/办公系统,价格面议,宣传策划
【品牌故事】神木第六小学三风一训策划文案,https://task.epwk.com/503746/,3637人,15人,¥600,圆满完成,同旺彩印,1.校训2.校风3.教风4.学风每类出三个文案，并有具体的文字说明解释，具体要求看附件,2017-05-22,2018.02.05,任务编号：503746,600.0,"1天,3天,3天,3天,3天,6天,2天,3天,2天,5天,2天,10天","上海市-上海市-闵行区,河南省-漯河市-郾城区,山东省-泰安市,湖北省-襄樊市-南漳县,陕西省-西安市-莲湖区,上海市-市辖区-徐汇区,河南省-郑州市-中原区,山东省-济南市-市辖区,河北省-保定市-新市区,湖北省-襄樊市-樊城区,上海市-市辖区-黄浦区,湖南省-郴州市-苏仙区",B&G knowledge.(比格知识工作室),https://shop.epwk.com/omdwkk9gmdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,品牌故事
