标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,交易价格统一,任务类型
【感恩回馈】公众号关注 一稿15元 长期有效,https://task.epwk.com/429944/,7065,16,"¥1,000",纳兹的火焰,￥ 1000,￥60.6,2016/6/25,1、微信~添加好友~  魔法赚 官方认证平台，安全认证，请放心做任务 ，或扫描下方二维码关注2、关注后，在对话框输入数字 15 获得15元任务教程按照教程内的方法完成后交稿到这里就可以获得15元佣金3.交稿：提交你的手机号码即可，除了赚取15元佣金之外，魔法赚公众号另外新增60多个手机赚钱平台，支持苹果手机，ipad平板 和 安卓手机 都有佣金，每天都能赚到零花钱首先进入公众号，选择苹果手机赚或者安卓手机赚 即可开始手机赚零用钱，从试玩顺序开始收益会很高ps：雇主不要求 银行卡实名认证 ~可不做,任务编号：429944,Gavin22,mf158****6581,dITs,a635061379,,,,,,,1000,感恩回馈
【感恩回馈】微信注册试玩 一稿5元,https://task.epwk.com/426630/,5587,20,¥550,纳兹的火焰,￥ 550,￥20,2016/6/9,1、微信~搜索~公众号: LIxiang187511 第一个显示（每日多赚点）的公众号开始任务，注意加错没有奖励哦或者打开下方任务附件用微信扫描二维码添加公众号开始做任务 2、关注后，在对话框输入数字 5 获得5元任务教程按照教程内的方法完成后交稿到这里就可以获得5元佣金完成5任务后 在回复 数字 35 获得35元任务教程，按照教程内的方法完成后交稿到这里就可以再获得5元佣金再回复数字 36 获得36元任务教程，按照教程内的方法完成后交稿到这里就可以再获得5元佣金交稿任务一，领取5元佣金 ：点击交稿，提交你的ID截图即可任务二，领取5元佣金 ：点击交稿，提交你的头像截图即可任务三，领取5元佣金 ：点击交稿，提交你的头像截图即可手机赚钱任务，  任务多多，奖励多多。我们期待您的关注。必须要完成3个任务其中一个才算合格 ps：雇主不要求 银行卡实名认证 ~可不做,任务编号：426630,诚信为家,中华鲟11,端木晋阳,csss,,,,,,,550,感恩回馈
【百科/问答撰写】百字评论评价撰写,https://task.epwk.com/424343/,7820,18,¥500,ipooqi,￥ 500,￥18.06,2016/5/28,评论撰写具体要求请下载附件查看参加任务前请加QQ14296514，备注一品威客提交稿件要在一品提交作品,任务编号：424343,"工作室 |            
            钟山文案","个人 |            
            旅途工作室",泉河夕阳,mf183****5523,mf183****5523,潇湘文案工作室,,,,,500,百科/问答撰写
【品牌起名】摄像机电池,https://task.epwk.com/423163/,6142,0,¥600,fskj,￥ 600,,2016/5/23,"1、2--3个字。2、体现电池的容量大，使用时间长。3、高端电池4、符合广播电视行业特点。5、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任6、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品",任务编号：423163,,,,,,,,,,,600,品牌起名
【软文发布】【易联众—健康通】百度、360、豆丁、道客巴巴等文库建设,https://task.epwk.com/423101/,960,0,¥501,epwkdxm,￥ 501,,2016/5/23,"任务需求：        为更好地推广健康通产品，现依托一品威客平台，发起众帮。百度问答、搜狗问问、知乎问答、360问答发布，计件任务，总共需要167条，集满则止。    注意：！！！（高能！）下载产品、关注微信公众号（截图哦！）体验后创新的优先采用。    1、在百度百科，百度经验，查找词条，一个百科账号限1条链接。    2、查找关键字，在参考资料或扩展阅读上加网站链接：687474703a2f2f7777772e6d73797061792e636f6d2f    3、尽量将二维码放入内容（见文宣材料）    4、结算已百度收录，截图发布内容为准    二、公司介绍    公司介绍：易联众信息技术股份有限公司是一家专业的、领先的民生行业信息化建设和运营服务的软件企业。作为国内民生信息第一股，成功于2010年7月28日在深交所挂牌上市（股票代码300096），注册资本43，000万元。    公司成立十多年来，始终围绕社会保障、医疗卫生、劳动就业、教育培训等重要民生领域开展信息化建设，让社会公众通过互联互通的网络，享受易用、好用、实用的信息服务    公司首创民生云，首次将大型主机和云计算技术应用于国内的民生信息化领域，致力于成为“中国最专业的民生行业应用解决方案提供商和领先的民生信息服务运营商”。    三、产品介绍    “健康通”是一个基于社会保障卡(居民健康卡)实名认证, 可实现跨医院移动就医支付和服务的应用，能让患者无需到医院窗口排队就能支付医疗费用，年轻人也可以在手机上远程帮助家人支付。    目前，“健康通”应用已在福建的省立医院、协和医院、人民医院、口腔医院、康复医院等联网通用，得到政府主管部门、合作医院及就医群众的高度好评。此外，“健康通”应用还提供医院检查报告单查询、预约挂号、个人医保信息查询等多个便民功能。    了解产品请进入：7777772e6d73747061792e636f6d",任务编号：423101,,,,,,,,,,,501,软文发布
【软文发布】论坛发帖赚大钱，一稿5元,https://task.epwk.com/421434/,1398,0,¥500,mf185****3279,￥ 500,,2016/5/13,发帖的必备要求如下：【1】要在热门论坛（发布在西祠胡同、天涯论坛、新浪论坛、豆瓣社区、网易论坛、19楼)【2】发帖标题见附件：发布内容请下载附件。【3】发帖标题统一：《网上卖的高仿包，源头原来都在这里》交稿格式：1.请提交网站名称与帖子链接，一帖为一稿。          2.保证你发的帖阅读量是2000以上，然后回复是5个以上；          3.同一版块内不可重复发帖，如多发，以首发为准。请大家一定仔细看下方：1.发贴须为主题贴，发回复贴、软件机器人发帖，广告专区，灌水贴无效，帖子不能被**。尤其是禁止恶意灌水，2.请大家参照附件内容发贴，未按要求发文均视为无效。在交稿在24小时后审核，被**或屏蔽等无法查看帖视为无效。备注：.发到以下论坛优先通过：1.百度贴吧、360论坛 2.猫扑五花八门3.搜狐论坛4.凤凰论坛5.网易论坛6.新浪论坛7.天涯论坛、8.西祠胡同、9.搜外SEO论坛、10.腾讯论坛、11.13.铁血社区14.威锋论坛15.京华论坛16.雅虎口碑论坛17.CCTV论坛18.南方论坛,任务编号：421434,,,,,,,,,,,500,软文发布
【道歉短信】道歉短信，5月11号当天发送,https://task.epwk.com/420613/,8617,16,¥500,o573138a14a21e,￥ 500,￥30.1,2016/5/10,这段时间因为乱七八糟的事情，最主要的是我脾气不好，已经准备结婚的男朋友和我分开了，虽然这些日子他朋友说他放不下，也一直在撮合我俩复合，但是他还是有小情绪。回想过往的日子，我的脾气的确是不好，当然我也一直在改了，我希望11号，一个纪念日给他发送道歉表白短信。信息格式具体看附件交稿要求：提供发短信的截图，5月11号发完短信就直接交稿，截稿时间是5月11号晚上12点，请大家注意！  如果对方回复短信，问你任何问题，请不要回复！！！不要透露是做任务的，一定要保密！在5月11号当天发送，谢谢大家。,任务编号：420613,mf156****5002,"公司 |            
            zhihuigu",mf136****2753,梦幻的小仙,夏天沐雨,mf157****9912,"工作室 |            
            ‘我想’工作室",o5731decd6205a,mf187****1820,luck小何,500,道歉短信
【生日祝福】给女朋友的生日祝福,https://task.epwk.com/420577/,7001,20,¥500,mf185****2503,￥ 500,￥32,2016/5/10,请注意发送时间。没有按时发送不算合格。异性好朋友过生日， 希望全国各地的朋友为她祝福，发条短信 格式如下：这位猪头你好，我是来自某某省的路人甲，受一位路人甲之托为你送上祝福 ，祝你生日快乐！希望这祝福不会来迟。(剩下的就自由发挥，几十个字就好了， 一定要有祝福的话，有创意 幽默的优先，她是25岁 祝福语选些适合这个年龄的来说。）发送时间：今天22:00（记得定时噢，最好短信都集中点发，过时了就不要发了）一个号码只限发一次，祝福语不要一样，谢谢大家了 如有回复 请勿再回信 审核标准：截图为证，带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！ 谢谢大家了！我的心意就靠你们了。设置为22:00。完成后上传截图即可，并注明省份 我想她能收到各个省份的祝福，所以有相同省份只选择前两位为合格稿件，每个一品ID仅限参与一次。电话号码具体详见附件,任务编号：420577,mf183****7924,水样人生3,"个人 |            
            半生瓜设计",E时代工作室,月雾,待机出击,mf188****6006,mf158****7650,mf136****2753,muluo未名,500,生日祝福
【感恩回馈】简单微信任务10元一稿，长期能做,https://task.epwk.com/418043/,30458,205,"¥3,200",自由的我2012,￥ 3200,￥890,2016/4/26,任务很简单，只要你有微信就可以参与打开微信添加好友   SZLM9588   第一个显示《手赚联盟》的公众号开始任务 “加错没有奖励”或者打开描述下方的 任务附件 用微信扫描二维码添加公众号开始任务关注后在对话框内回复数字  20  获得20元任务教程，按照教程内的方法完成后交稿到这里就可以获得10元稿费了哦完成20任务后 再回复 数字 95  获得95元任务教程，按照教程内的方法完成后交稿到这里就可以再获得10元稿费，以上两个任务都是几分钟就能完成的，简单易懂，赚得多， 交稿要求在任务教程里 按照要求交稿就可以了。公众号会不定期有新的手机赚钱任务，玩手机游戏比赛可以赚钱，手机签到也可以赚钱，更多精彩还在开发中。手机赚钱任务，  任务多多，奖励多多。我们期待您的关注。必须要完成2个任务其中一个才算合格 ps：雇主不要求 银行卡实名认证 ~可不做,任务编号：418043,mf183****1121,mf153****6101,mf159****2177,兼职刚仔,蓝色小眼睛,mf135****1237,mf183****8303,中孚客家,中孚客家,mf158****6965,3200,感恩回馈
【感恩回馈】简单微信任务10元一稿，长期能做,https://task.epwk.com/417580/,5651,9,"¥1,600",自由的我2012,￥ 1600,￥50,2016/4/23,任务很简单，只要你有微信就可以参与打开微信添加好友   SZLM9588   第一个显示《手赚联盟》的公众号开始任务 “加错没有奖励”或者打开描述下方的 任务附件 用微信扫描二维码添加公众号开始任务关注后在对话框内回复数字  20  获得20元任务教程，按照教程内的方法完成后交稿到这里就可以获得10元稿费了哦完成20任务后 再回复 数字 95  获得95元任务教程，按照教程内的方法完成后交稿到这里就可以再获得10元稿费，以上两个任务都是几分钟就能完成的，简单易懂，赚得多， 交稿要求在任务教程里 按照要求交稿就可以了。公众号会不定期有新的手机赚钱任务，玩手机游戏比赛可以赚钱，手机签到也可以赚钱，更多精彩还在开发中。手机赚钱任务，  任务多多，奖励多多。我们期待您的关注。必须要完成2个任务其中一个才算合格 ps：雇主不要求 银行卡实名认证 ~可不做,任务编号：417580,mf183****1121,LH宫徵羽,wyf304033211,mf136****9281,mf139****0169,,,,,,1600,感恩回馈
【感恩回馈】简单微信任务10元1稿，不限次数交稿,https://task.epwk.com/417496/,6739,11,"¥3,000",纳兹的火焰,￥ 3000,￥10,2016/4/22,任务很简单，只要你有微信就可以参与扫描附件二维码关注，开始做佣金任务关注后在对话框内回复数字  30  获得30元任务教程，按照教程内的方法完成后交稿到这里就可以获得10元稿费了哦完成20任务后 再回复 数字 100  获得100元任务教程，按照教程内的方法完成后交稿到这里就可以再获得10元稿费，以上两个任务都是几分钟就能完成的，简单易懂，赚得多， 交稿要求在任务教程里 按照要求交稿就可以了。公众号会，还增加了20多个手机赚钱平台，每天都有钱赚有钱拿。更多精彩还在开发中。完成2个任务其中一个才算合格,任务编号：417496,恐龙也一样,,,,,,,,,,3000,感恩回馈
【感恩回馈】微信任务15元一稿 一分钟轻松搞定,https://task.epwk.com/416840/,4169,8,¥750,o568bd16a9877c,￥ 750,￥60,2016/4/19,任务很简单，一分钟轻松搞定。步骤如下：                1：打开微信公众号搜索公众号“快客ABC”或者打开下方任务附件用微信扫描二维码添加公众号。                2：添加公众后回复数字10获取任务教程，根据教程完成任务。                3：完成任务后根据教程提示，在一品威客提交稿单及可。                 （注 : 雇主不要求银行卡实名认证，可不做）    交稿要求：您名字最后一个字以及您的手机号      例 如：         **明 13800008888,任务编号：416840,sylteamo,清风徐来丶,mf134****0583,mf137****6624,,,,,,,750,感恩回馈
【生日祝福】全国各地送生日祝福（2016年4月17日中午12点后截止投稿）,https://task.epwk.com/416268/,5916,39,¥500,jhj39****825,￥ 500,￥117.39,2016/4/15,"一、她的生日是4月17日（本周日）,时间比较紧急，送其来自五湖四海潮水般祝福，一稿三元；二、朋友号码：（请见附件）；三、短信内容格式：（一组成语开头,下文中对应选择）。亲爱的朋友，您好！我是来自xx省XX市（县）的XXX(可以是真名、笔名、别名、网名。），今天是你的生日+详细祝语（大家自由发挥，不要太俗套，才显得有诚意嘛，她不是学生，所以希望不要出现学习进步之类的词语哦，内容不要重复！加急啊伙伴们在线等）四、对应成语如下：   1、正冠李下，欢若平生。 选择本组成语的祝福在4月17日早上8点整发；   2、艳如桃李，平地风雷。 选择本组成语的祝福在4月17日早上9点整发；   3、李白桃红, 平沙落雁。 选择本组成语的祝福在4月17日上午10点整发；    4、桃夭李艳, 秋色平分。 选择本组成语的祝福在4月17日上午11点整发；   5、桃李争妍，秤平斗满。 选择本组成语的祝福在4月17日上午12点整发；五、发送时间：2016年4月17日，从08:00—12:00，每个整点对应发送。 六、一个号码只限一次，不论选择哪个整点发，只能发一次，每个时点均衡啊，别都选择前面的。七、过期就不要发了，若对方回短信询问时无需回复，请大家保密，不要透漏一品威客发任务的信息，谢谢！八、审核标准：截图为证，带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。我的心意就靠你们了，谢谢大家！注意每个整点发的信息，所选成语都对应不同哦。审核截止日期为当天下午6点前.一个威客账户只限参与一次，谢谢！总数量为166个稿件",任务编号：416268,lan澜淼,mf182****6790,领苍0407,mf187****7152,易解红尘,mf183****7924,mf133****6528,最后的善良,mf132****7475,是张子璇呀,500,生日祝福
【感恩回馈】简单微信任务10元一稿，长期能做,https://task.epwk.com/410181/,23408,129,"¥2,100",自由的我2012,￥ 2100,￥620,2016/3/16,任务很简单，只要你有微信就可以参与打开任务附件用微信扫描二维码添加公众号开始任务关注后在对话框内回复数字  20  获得20元任务教程，按照教程内的方法完成后交稿到这里就可以获得10元稿费了哦完成20任务后 再回复 数字 95  获得95元任务教程，按照教程内的方法完成后交稿到这里就可以再获得10元稿费，以上两个任务都是几分钟就能完成的，简单易懂，赚得多， 交稿要求在任务教程里 按照要求交稿就可以了。公众号会不定期有新的手机赚钱任务，玩手机游戏比赛可以赚钱，手机签到也可以赚钱，更多精彩还在开发中。手机赚钱任务，  任务多多，奖励多多。我们期待您的关注。必须要完成2个任务其中一个才算合格 ps：雇主不要求 银行卡实名认证 ~可不做,任务编号：410181,wang458362132,mf183****1121,mf181****6661,小鱼lly,愿得一人心丶,mf159****4489,chenminyan,mf136****5273,mf183****7810,"个人 |            
            小赖家的劳力的店铺",2100,感恩回馈
【感恩回馈】简单微信任务10元一稿，长期能做,https://task.epwk.com/408635/,6312,20,"¥1,200",自由的我2012,￥ 1200,￥50,2016/3/9,任务很简单，只要你有微信就可以参与打开你的手机微信添加好友 搜索公众号 KZQ998  进行添加关注或者打开任务附件用微信扫描二维码添加公众号开始任务关注后在对话框内回复数字 10  获得10元任务教程，按照教程内的方法完成后交稿到这里就可以获得10元稿费了哦完成20任务后 再回复 数字 70  获得  70 元任务教程，按照教程内的方法完成后交稿到这里就可以再获得10元稿费，以上两个任务都是几分钟就能完成的，简单易懂，赚得多， 交稿要求在任务教程里 按照要求交稿就可以了。公众号会不定期有新的手机赚钱任务，玩手机游戏比赛可以赚钱，手机签到也可以赚钱，更多精彩还在开发中。手机赚钱任务，首选 KZQ998 任务多多，奖励多多。我们期待您的关注。必须要完成2个任务其中一个才算合格,任务编号：408635,o56dffc5b1f6aa,mf155****3592,pshliusha,飞天冲梦,mf138****1577,,,,,,1200,感恩回馈
【生日祝福】本网最新出游戏代练，可一直长期做,https://task.epwk.com/403833/,8612,2,¥500,三只鹅,￥ 500,,2016/1/28,"大家注意做任务的网站中： 理财赚钱，试玩平台这两个个项目很赚钱，快的话，几分钟就能完成了（注意手机类的不算），首次赏金10加上网站10，共20元。请收藏该网站长期做每天80-300不等任务步骤和要求：                                     1.  注册地址 http://activity.juxiangyou.com/redpacket/index.php?r=7914874   （复制浏览器打开此链接，注意验证码是语音哦）  （若注册不上用备用注册链接：http://www.juxiangyou.com/r7914874  ）                                                                  2.  新手教程： http://pro00029372.isitestar.cn    （复制打开）                                 3.  注册就送10000U币，试玩游戏，理财赚钱账户达到30万U币就算完成任务（注意：手机赚钱的不算）    然后截图（看下方示范，就是截图网站首页的大头像，余额显示为30万U币以上,不可以重复提交合格稿件)注意：首次只规定10万事为了让大家快速完成任务，做我的任务比其他人的任务快，另外不光是首次20元，后面只要你长期做，我还会给梯度奖励无上限，教程里面有。请务必收藏下来做。",任务编号：403833,,,,,,,,,,,500,生日祝福
【软文发布】道客巴巴上传文档，每稿12元，共45稿,https://task.epwk.com/399875/,4012,4,¥540,SHYSHYSHY,￥ 540,,2016/1/4,具体要求:1、在道客巴巴上发文档，以下附件中的内容，做任务的威客可以适当进行做个修改，威客可对材料进行软文化处理，核心思想及关键词不能改变，但是内容中必须保留父母九宝、九个宝贝等关键词；2、道客巴巴，只要上传附件中的其中一篇，每稿12元 ，共45个稿件。3、道客巴巴标签关键词请选用：父母九宝、九个宝贝、（春节）父母礼物、健康、养生、艾灸、送礼、暖心小礼品、感恩、孝敬、孝心、长寿审核标准：文档上传成功后必须审核道客巴巴通过发布成功后；再把成功上传的图片，截图上传到网上进行审核,任务编号：399875,,,,,,,,,,,540,软文发布
【百科/问答撰写】百度文库上传文章，20元一稿,https://task.epwk.com/399199/,7948,12,¥500,SHYSHYSHY,￥ 500,￥500,2015/12/29,具体要求:1、在百度文库发文档，内容跟中华艾灸——父母九宝有关；2、必须审核通过发布成功，截图发送我方确认才算3、百度文库每稿20元 ，共25个稿件。4、百度文库标签关键词请选用：（春节）父母礼物、健康、养生、艾灸、送礼、暖心小礼品、感恩、孝敬、孝心、长寿5.需将父母九宝九个宝贝的图片放在每一个文档里。,任务编号：399199,小青欣,小青欣,小青欣,小青欣,小青欣,小青欣,小青欣,小青欣,小青欣,小青欣,500,百科/问答撰写
【感恩回馈】简单微信任务10元一稿~长期可做,https://task.epwk.com/398534/,14233,84,"¥1,100",快赚998,￥ 1100,￥540,2015/12/25,手机软件注册试玩任务 简单易做 只要你有微信就可以参与 1：打开你的手机微信添加微信公众号  kzq998     或者扫描附件二维码添加公众号进行任务2：举例回复数字指令10 获得任务教程 《 用手机按照要求安装试用教程按照要求体验应用 》任务共两个《 每个十元》任务主要是试玩注册 按计件算 做多得多 可长期做  kzq998公众号会不定时更新任务 可长期赚钱 可说是威客朋友的福利哦3：按照要求体验任务完成后 按照要求提交稿件，提交用户名截图， 两个任务合起来最多不超过半个小时 很容易做的。,任务编号：398534,mf180****2015,mf180****8815,丫丫马路,mf138****6247,skyaolei,mf155****7337,o5680cac44e35f,o567245bd99ff6,jellyxiong,y18612175624,1100,感恩回馈
【产品卖点】50元一篇，800字的产品文案,https://task.epwk.com/387572/,5573,9,¥500,ipooqi,￥ 500,,2015/10/26,详细要求在附件里，望与实力写手或工作室长期合作注意：50元一篇800字左右的价格，我们需要专业性和说服力都很强的文章，并非普通的文章，所以望各写手慎重投稿；本公司长期需要此类文章，如有擅长者可长期合作,任务编号：387572,,,,,,,,,,,500,产品卖点
【品牌故事】“烟民部落”微信公众号长期征文,https://task.epwk.com/378847/,6032,8,"¥1,000",mf133****2720,￥ 1000,￥600,2015/9/10,征文主题：与烟和烟民有关的一切主题。角度自定。征文字数：每篇文章尽量控制在2000字以内，1000以内最佳。文章投放平台：“烟民部落”（yc520bl）微信订阅号（一个致力打造“男人、女人与烟”的精品电子杂志）待遇：按稿付费。100元/篇+微信阅读量（500以上，每个0.1元。）（500阅读量为基本量，500以上开始计费，如510的阅读量，付101元（100+10*0.1）稿费；每周根据粉丝数对阅读基本量进行调整；阅读量统计同微信官方数据，即图文发出后7天内的数据。）审核标准：文章被“烟民部落”微信订阅号发表。交稿方式：关注“烟民部落”（yc520bl）微信订阅号，后台留言文章内容。,任务编号：378847,"个人 |            
            莫蓝小作坊",o55eeb47c3ea46,"工作室 |            
            +初心+",mf152****5805,mf134****2627,mf186****0195,,,,,1000,品牌故事
【其他】试玩游戏，长期有效,https://task.epwk.com/379012/,14899,7,¥600,三只鹅,￥ 600,￥40,2015/9/11,试玩游戏排名月榜第一名奖励3000元，排前3名，奖励1000元。本任务绝对算得上本网站 前10大任务，系望你不限于首次完成任务奖励的20几元，而是长期做，本帖会长期置顶。 首次完成任务可得（注册2元 任务12元 赏金10元=24元 ）。长期做，基本每天80-200元。值得你收藏为长期任务！ 教程：http://user.qzone.qq.com/2757759407/blog/1438046471（复制到浏览器打开，必看，教你如何快速赚钱）· 注册流程： 1.打开官网 http://www.juxiangyou.com/r7914874  注册聚享游（注册送1万U币，最好QQ邮箱，不是本链接注册不给赏金） · 2.手机验证：流程：注册好后点网站首页-点自己头像-点右边安全验证服务-手机验证（记住必须选语音验证码）3.去试玩平台 找热门游戏试玩（比如传奇霸业）赚取U币，余额达到10万U币，截图（如下图附件），加我赏金10，20几元到手。平台赚钱项目很多，不会玩游戏的也可以做其他项目同样给奖励！具体看教程· 此网站可以长期做，长期做的加我q2757759407，群480175100,任务编号：379012,mf130****2676,mf136****4952,o5617758cd8492,mf151****5504,,,,,,,600,其他
【生日祝福】送给朋友“34个省份”的生日短信祝福,https://task.epwk.com/378747/,9416,32,¥500,白首不分离,￥ 500,￥57.57,2015/9/10,本人只需要34条生日短信祝福送给朋友，汇总全国34个省份，每个省份只选一条（每个省份投稿的第一位视为合格稿件，第二位同省份的稿件视为淘汰，请谅解），短信开头须表明这是来自哪个省份的祝福，然后说受你朋友之托。1.可称呼对方为：“李慧或“慧慧”（朋友为女性）并不是我女朋友，短信内容自由发挥，突出关心/暧昧/惊喜等等都可以。2.朋友“安徽人，女大学生，热心公益，责任感强，热爱学习，”，所以短信中可出现与这性格相关的等等一系列的词，针对其自身情况编写，不限制。3.短信发送时间为：2015年9月11日，时间早上8点到晚上22点送祝福。时间很重要，一定要在那天，不能晚呀，谢谢朋友们了。4.若有回复，请不回复短信！5.同一个威客ID帐号仅限参与一次。6.截稿时间为2015年9月11日号凌晨两点。7.审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！8.投稿中请留下你们的联系方式（QQ号码或手机号均可）以及妳所在的省份，这里会与你们联系，并告知发送号码，发送完成后，请提交截图审核。一个号码一个身份只限发一次哦！一条3元！一个身份只要一稿。,任务编号：378747,lcy123,"个人 |            
            等下一个天亮的店铺","工作室 |            
            遇树临风的店铺",shary1990,Mr�***�了,微文2015,"工作室 |            
            TWO B YOUNG设计工作室",same1013,"工作室 |            
            仙人设计工作室",只恋一个人,500,生日祝福
【百科/问答撰写】悬疑小说征简短书评，3元一个速来！,https://task.epwk.com/375124/,24699,113,¥510,No312,￥ 510,￥483,2015/8/24,前提声明    书评只需要客观评价，不需要对图书吹捧。书名    时空机密Ⅰ：启示未来图书类型    悬疑、科幻、灾难图书地址    http://yuedu.163.com/source/e2fbda5794794c00ba46ad602063fd7d_4参与方式    1.登陆网易，如无网易账号需注册并设置头像；    2.进入网易云阅读，搜索找到《时空机密Ⅰ：启示未来》，阅读并评论，评论文字需≥15字；    3.评论时请同时评分并将图书收藏（放入书架）；    4.评论完成后将评论内容以“交稿”形式提交于本任务。任务要求    1.书评需≥15字；    2.鉴于本任务书评3元一个，还请大家阅读一下图书再作评价，过于简单笼统的评论可能不予采纳；    3.需保证发布评论的账号有头像；    4.记得评分和收藏（放入书架）哦！附    活动效果好的话会2期、3期地继续下去。如果你之前就是网易云阅读会员，能给《时空机密Ⅰ：启示未来》打赏月票的话，将会是对本活动的莫大支持。另外，也希望大家多多点击图书，保持图书点击率一个长期有效的增长哈。感谢大家！！！！    允许同一人多个账号参加任务，但要写不同的评论，每一个账号都要评分及收藏（放入书架）。提交时注意一个评论一个交稿。另外也请多多点击图书贡献点击率哈。,任务编号：375124,mf181****3836,F20262958,o55e59b8e94166,有点冷,西周泮,西周泮,四条腿,mf151****9154,mf151****9154,Swallow嫣,510,百科/问答撰写
【软文发布】在各大网站上发表一产品软文，72小时不被删，3元/篇次,https://task.epwk.com/376381/,7831,5,¥600,mf137****2792,￥ 600,￥549,2015/8/30,我公司新上市一款无硅油洗发水，前期需在网络上做产品软性宣传，我公司已写好产品的广告软文，现需各路高手配合我们在免费的网站上发布这篇文章，一但发表后，如果文章能存活过72小时算合格。网友将获得相应的劳务费。发表者不允许自行删除文章。补充说明：1、本次总任务量为200篇次，按件付款。2、主要是在：购物分享网站、日用化妆品网站、生活情感网站、养生健康网站、女性社区网站、医药保健网站、各大综合网站的相关频道。这类网站或频道发文章。3、所发的网站日均IP不低于2000个IP，可在http://www.alexa.cn/查询网站IP流量，4、审核标准：文章成功发表且存活后，发文章链接作为凭证，成功发表后劳务费3元/篇。5、有不清楚的地方可联系人本，QQ：645204514，微信：wei645204514,任务编号：376381,mf151****9154,mf151****9154,mf151****9154,mf151****9154,asp2432,asp2432,asp2432,asp2432,asp2432,asp2432,600,软文发布
【生日祝福】给好朋友生日祝福，一稿三元,https://task.epwk.com/376158/,11714,58,¥500,zzyoo8,￥ 500,￥226.44,2015/8/29,"1、她的生日是8月29日,时间紧急，就是今天了，一稿三元，2、我想要她在生日当天，能够得到全国各地朋友的祝福，谢谢你们。3、短信内容大概是：亲爱的朋友，您好！我是来自xx的XX(文雅有创意的名字，自由发挥。）今天是您的生日+详细祝语（大家自由发挥，不要太俗套，才显得有诚意嘛，她不是学生，所以希望不要出现学习进步之类的词语哦）内容不要重复！加急啊伙伴们在线等4、朋友号码：13788484143     5、发送时间：2015年8月29日，从08:00—24:00都可以发给她。 5、一个号码只限一次，谢谢大家啦。6、过期就不要发了，若对方回短信询问时无需回复，请大家保密，不要透漏一品威客发任务的信息，谢谢！7、审核标准：截图为证，带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。我的心意就靠你们了，谢谢大家！",任务编号：376158,留不住的梦,留不住的梦,"个人 |            
            wenhai567的店铺",mf139****2871,o55dffed231623,"个人 |            
            用心2015",mf183****4448,润海工作室,numenheart,SYTyuchen,500,生日祝福
【生日祝福】送给朋友“31个省份”的生日短信祝福,https://task.epwk.com/375655/,8297,26,¥501,孤狼0924,￥ 501,￥60,2015/8/26,本人只需要31条生日短信祝福送给朋友，汇总全国31个省份，每个省份只选一条（每个省份投稿的第一位视为合格稿件，第二位同省份的稿件视为淘汰，请谅解），短信开头须表明您是来自哪个省份的谁。1.可称呼对方为：“give me five”或“苦力瑶”或“瑶哥”（朋友为女性），短信内容自由发挥，突出关心/暧昧/惊喜等等都可以。2.朋友“个子高、双眼皮、爱书法、很漂亮”，所以短信中可出现“喜欢你的双眼皮”等等一系列的词，针对其自身情况编写，不限制。3.短信发送时间为：2015年8月29日，时间早上8点到晚上22点送祝福。时间很重要，一定要在那天，不能晚呀，谢谢朋友们了。4.若有回复，请不回复短信！5.同一个威客ID帐号仅限参与一次。6.截稿时间为2015年8月29日号凌晨两点。7.审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！8.投稿中请留下你们的联系方式（QQ号码或手机号均可）以及妳所在的省份，这里会与你们联系，并告知发送号码，发送完成后，请提交截图审核。一个号码一个身份只限发一次哦！一条3元！一个身份只要一稿。,任务编号：375655,"工作室 |            
            POSTAL网络科技","个人 |            
            殚见一冾闻",枭狼,最初的梦,"工作室 |            
            藏头诗公社","工作室 |            
            飞我莫属",拍云的风,雅末威客,坏秋秋,mf157****8896,501,生日祝福
