标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,能力标签,订单编号后缀,需求方,设计师,知识
【企业官网】做一个装修装饰的公司网站,https://task.epwk.com/396738/,207人,1人,"¥3,980",圆满完成,https://task.epwk.com/page2807.html?m=6&o=7,做一个装修装饰的公司网站,直接雇佣￥ 3980,￥ 3980,任务编号：396738,2000-2900.csv,,,,,,,,企业官网,396738,A396738,B396738,"装修装饰, 公司网站"
【小程序开发】度假酒店品牌扁平化网站建设,https://task.epwk.com/396741/,142人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2807.html?m=6&o=7,度假酒店品牌扁平化网站建设,直接雇佣￥ 45000,￥ 45000,任务编号：396741,2000-2900.csv,,,,,,,,小程序开发,396741,A396741,B396741,"度假酒店, 品牌, 扁平化网站"
【企业官网】6轴传感器计算运动轨迹,https://task.epwk.com/396743/,165人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2807.html?m=6&o=7,6轴传感器计算运动轨迹,直接雇佣￥ 10000,￥ 10000,任务编号：396743,2000-2900.csv,,,,,,,,企业官网,396743,A396743,B396743,"6轴传感器, 运动轨迹计算"
做一个企业官网,https://task.epwk.com/396748/,158人,1人,"¥3,500",圆满完成,https://task.epwk.com/page2807.html?m=6&o=7,做一个企业官网,直接雇佣￥ 3500,￥ 3500,任务编号：396748,2000-2900.csv,,,,,,,,,396748,A396748,B396748,"企业官网, 网站设计"
【VI设计】客栈logo和VI设计,https://task.epwk.com/396756/,229人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2807.html?m=6&o=7,客栈logo和VI设计,直接雇佣￥ 10000,￥ 10000,任务编号：396756,2000-2900.csv,,,,,,,,VI设计,396756,A396756,B396756,"客栈logo, VI设计"
设计一个建筑材料公司logo,https://task.epwk.com/396757/,141人,1人,¥900,圆满完成,https://task.epwk.com/page2807.html?m=6&o=7,设计一个建筑材料公司logo,直接雇佣￥ 900,￥ 900,任务编号：396757,2000-2900.csv,,,,,,,,,396757,A396757,B396757,"建筑材料公司, logo"
【APP开发】生活社交类的APP开发,https://task.epwk.com/396759/,357人,1人,"¥47,800",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,生活社交类的APP开发,直接雇佣￥ 47800,￥ 47800,任务编号：396759,2000-2900.csv,,,,,,,,APP开发,396759,A396759,B396759,"生活社交, APP开发"
做一个五金企业官网,https://task.epwk.com/396763/,221人,1人,"¥3,600",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,做一个五金企业官网,直接雇佣￥ 3600,￥ 3600,任务编号：396763,2000-2900.csv,,,,,,,,,396763,A396763,B396763,"五金企业, 官网设计"
【宣传策划】爱温士文案撰写,https://task.epwk.com/396770/,290人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,爱温士文案撰写,直接雇佣￥ 1500,￥ 1500,任务编号：396770,2000-2900.csv,,,,,,,,宣传策划,396770,A396770,B396770,"文案撰写, 爱温士"
【宣传册设计】公司宣传单和易拉宝设计,https://task.epwk.com/396773/,343人,1人,"¥1,800",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,公司宣传单和易拉宝设计,直接雇佣￥ 1800,￥ 1800,任务编号：396773,2000-2900.csv,,,,,,,,宣传册设计,396773,A396773,B396773,"公司宣传单, 易拉宝设计"
办公楼3d模型制作尾款,https://task.epwk.com/396776/,254人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,办公楼3d模型制作尾款,直接雇佣￥ 30000,￥ 30000,任务编号：396776,2000-2900.csv,,,,,,,,,396776,A396776,B396776,"办公楼3d模型, 尾款"
【小程序开发】仿打车软件开发,https://task.epwk.com/396780/,126人,1人,"¥14,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,仿打车软件开发,直接雇佣￥ 14000,￥ 14000,任务编号：396780,2000-2900.csv,,,,,,,,小程序开发,396780,A396780,B396780,"打车软件, 开发"
【小程序开发】仿打车软件开发二期,https://task.epwk.com/396789/,152人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,仿打车软件开发二期,直接雇佣￥ 10000,￥ 10000,任务编号：396789,2000-2900.csv,,,,,,,,小程序开发,396789,A396789,B396789,"打车软件, 二期开发"
年终海报设计,https://task.epwk.com/396793/,261人,1人,¥927,圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,年终海报设计,直接雇佣￥ 927,￥ 927,任务编号：396793,2000-2900.csv,,,,,,,,,396793,A396793,B396793,"年终海报, 设计"
超市简单海报设计,https://task.epwk.com/396794/,122人,1人,¥329,圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,超市简单海报设计,直接雇佣￥ 329,￥ 329,任务编号：396794,2000-2900.csv,,,,,,,,,396794,A396794,B396794,"超市海报, 设计"
画册补交,https://task.epwk.com/396802/,251人,1人,¥600,圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,画册补交,直接雇佣￥ 600,￥ 600,任务编号：396802,2000-2900.csv,,,,,,,,,396802,A396802,B396802,"画册, 补交"
【宣传册设计】斜桥镇政府两新办画册,https://task.epwk.com/396805/,282人,1人,"¥17,349",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,斜桥镇政府两新办画册,直接雇佣￥ 17349,￥ 17349,任务编号：396805,2000-2900.csv,,,,,,,,宣传册设计,396805,A396805,B396805,"斜桥镇, 两新办, 画册"
玫琳凯化妆品图片,https://task.epwk.com/396812/,172人,1人,"¥31,700",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,玫琳凯化妆品图片,直接雇佣￥ 31700,￥ 31700,任务编号：396812,2000-2900.csv,,,,,,,,,396812,A396812,B396812,"玫琳凯化妆品, 图片设计"
【小程序开发】疾病库后台以及接口开发,https://task.epwk.com/396815/,165人,1人,"¥3,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,疾病库后台以及接口开发,直接雇佣￥ 3000,￥ 3000,任务编号：396815,2000-2900.csv,,,,,,,,小程序开发,396815,A396815,B396815,"疾病库, 后台开发, 接口开发"
java二次开发,https://task.epwk.com/396823/,372人,1人,"¥9,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,java二次开发,直接雇佣￥ 9000,￥ 9000,任务编号：396823,2000-2900.csv,,,,,,,,,396823,A396823,B396823,java二次开发
【企业官网】基于微信平台的互联网产品开发,https://task.epwk.com/396832/,203人,1人,"¥32,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,基于微信平台的互联网产品开发,直接雇佣￥ 32000,￥ 32000,任务编号：396832,2000-2900.csv,,,,,,,,企业官网,396832,A396832,B396832,"微信平台, 互联网产品, 产品开发"
【企业官网】定制开发一个手机网页游戏,https://task.epwk.com/396835/,168人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,定制开发一个手机网页游戏,直接雇佣￥ 40000,￥ 40000,任务编号：396835,2000-2900.csv,,,,,,,,企业官网,396835,A396835,B396835,"手机网页游戏, 定制开发"
海报设计,https://task.epwk.com/396840/,229人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,海报设计,直接雇佣￥ 1000,￥ 1000,任务编号：396840,2000-2900.csv,,,,,,,,,396840,A396840,B396840,海报设计
大数据移动前端展示APP开发,https://task.epwk.com/396844/,127人,1人,"¥40,960",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,大数据移动前端展示APP开发,直接雇佣￥ 40960,￥ 40960,任务编号：396844,2000-2900.csv,,,,,,,,,396844,A396844,B396844,"大数据, 移动前端, APP开发"
两款包装设计,https://task.epwk.com/396845/,363人,1人,"¥1,600",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,两款包装设计,直接雇佣￥ 1600,￥ 1600,任务编号：396845,2000-2900.csv,,,,,,,,,396845,A396845,B396845,"包装设计, 产品包装"
【海报设计】小学重点产品宣传用易拉宝两个,https://task.epwk.com/396857/,201人,1人,¥800,圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,小学重点产品宣传用易拉宝两个,直接雇佣￥ 800,￥ 800,任务编号：396857,2000-2900.csv,,,,,,,,海报设计,396857,A396857,B396857,"小学重点产品, 宣传, 易拉宝"
家政维修公司LOGO,https://task.epwk.com/396863/,262人,1人,¥100,圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,家政维修公司LOGO,直接雇佣￥ 100,￥ 100,任务编号：396863,2000-2900.csv,,,,,,,,,396863,A396863,B396863,"家政维修, LOGO"
娜迦飞雪包装VI设计,https://task.epwk.com/396876/,211人,1人,"¥15,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,娜迦飞雪包装VI设计,直接雇佣￥ 15000,￥ 15000,任务编号：396876,2000-2900.csv,,,,,,,,,396876,A396876,B396876,"娜迦飞雪, 包装设计, VI设计"
帮忙剪接一条视频,https://task.epwk.com/396882/,269人,1人,¥300,圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,帮忙剪接一条视频,直接雇佣￥ 300,￥ 300,任务编号：396882,2000-2900.csv,,,,,,,,,396882,A396882,B396882,视频剪接
【企业官网】我要建一个综合性网站,https://task.epwk.com/396890/,154人,1人,"¥2,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,我要建一个综合性网站,直接雇佣￥ 2000,￥ 2000,任务编号：396890,2000-2900.csv,,,,,,,,企业官网,396890,A396890,B396890,"综合性网站, 网站建设"
【其他软件开发】建立类似于城市一卡通软件,https://task.epwk.com/396905/,130人,1人,"¥38,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,建立类似于城市一卡通软件,直接雇佣￥ 38000,￥ 38000,任务编号：396905,2000-2900.csv,,,,,,,,其他软件开发,396905,A396905,B396905,"城市一卡通, 软件, 移动支付"
【VI设计】电子商务有限公司全套VI设计,https://task.epwk.com/396907/,475人,1人,"¥18,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,电子商务有限公司全套VI设计,直接雇佣￥ 18000,￥ 18000,任务编号：396907,2000-2900.csv,,,,,,,,VI设计,396907,A396907,B396907,"电子商务, VI设计"
公众资源信用交易服务平台网站定制开发一期,https://task.epwk.com/396910/,96人,1人,"¥8,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,公众资源信用交易服务平台网站定制开发一期,直接雇佣￥ 8000,￥ 8000,任务编号：396910,2000-2900.csv,,,,,,,,,396910,A396910,B396910,"公众资源信用交易, 网站定制开发, 服务平台"
支付宝红包截数据修改第一期,https://task.epwk.com/396913/,362人,1人,"¥39,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,支付宝红包截数据修改第一期,直接雇佣￥ 39000,￥ 39000,任务编号：396913,2000-2900.csv,,,,,,,,,396913,A396913,B396913,"支付宝红包, 数据修改, 第一期"
支付宝红包截数据修改第二期,https://task.epwk.com/396914/,269人,1人,"¥11,800",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,支付宝红包截数据修改第二期,直接雇佣￥ 11800,￥ 11800,任务编号：396914,2000-2900.csv,,,,,,,,,396914,A396914,B396914,"支付宝红包, 数据修改, 第二期"
PC端 移动端网站制作,https://task.epwk.com/396920/,213人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2806.html?m=6&o=7,PC端 移动端网站制作,直接雇佣￥ 1000,￥ 1000,任务编号：396920,2000-2900.csv,,,,,,,,,396920,A396920,B396920,"PC端, 移动端, 网站制作"
【小程序开发】安卓系统APP软件开发,https://task.epwk.com/396921/,184人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,安卓系统APP软件开发,直接雇佣￥ 10000,￥ 10000,任务编号：396921,2000-2900.csv,,,,,,,,小程序开发,396921,A396921,B396921,"安卓系统, APP软件, 软件开发"
手板模型设计,https://task.epwk.com/396922/,290人,1人,"¥1,200",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,手板模型设计,直接雇佣￥ 1200,￥ 1200,任务编号：396922,2000-2900.csv,,,,,,,,,396922,A396922,B396922,"手板模型, 设计"
【项目策划】初中动手制作课程教材编写,https://task.epwk.com/396923/,283人,1人,"¥1,200",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,初中动手制作课程教材编写,直接雇佣￥ 1200,￥ 1200,任务编号：396923,2000-2900.csv,,,,,,,,项目策划,396923,A396923,B396923,"初中课程, 教材编写, 动手制作"
【广告片/MV】年会2分钟视频制作,https://task.epwk.com/396927/,332人,1人,¥500,圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,年会2分钟视频制作,直接雇佣￥ 500,￥ 500,任务编号：396927,2000-2900.csv,,,,,,,,广告片/MV,396927,A396927,B396927,"年会, 视频制作"
【小程序开发】软件开发尾款,https://task.epwk.com/396931/,163人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,软件开发尾款,直接雇佣￥ 10000,￥ 10000,任务编号：396931,2000-2900.csv,,,,,,,,小程序开发,396931,A396931,B396931,"软件开发, 尾款"
二次开发升级,https://task.epwk.com/396932/,155人,1人,"¥20,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,二次开发升级,直接雇佣￥ 20000,￥ 20000,任务编号：396932,2000-2900.csv,,,,,,,,,396932,A396932,B396932,"二次开发, 升级"
【软文发布】汽车消耗品定期发布一些软文,https://task.epwk.com/396947/,788人,1人,¥500,圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,汽车消耗品定期发布一些软文,直接雇佣￥ 500,￥ 500,任务编号：396947,2000-2900.csv,,,,,,,,软文发布,396947,A396947,B396947,"汽车消耗品, 软文发布"
【单身公寓设计】民宅外观改造设计,https://task.epwk.com/396950/,513人,1人,"¥35,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,民宅外观改造设计,直接雇佣￥ 35000,￥ 35000,任务编号：396950,2000-2900.csv,,,,,,,,单身公寓设计,396950,A396950,B396950,"民宅外观, 改造设计"
【海报设计】海报设计加5款详情页设计加VI设计,https://task.epwk.com/396962/,246人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,海报设计加5款详情页设计加VI设计,直接雇佣￥ 5000,￥ 5000,任务编号：396962,2000-2900.csv,,,,,,,,海报设计,396962,A396962,B396962,"海报设计, 详情页设计, VI设计"
【关键词优化】快速做一款产品的关键词排名到百度首页，有实力的来！,https://task.epwk.com/396965/,667人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,快速做一款产品的关键词排名到百度首页，有实力的来！,直接雇佣￥ 1000,￥ 1000,任务编号：396965,2000-2900.csv,,,,,,,,关键词优化,396965,A396965,B396965,"关键词排名, 百度首页, 产品优化"
【品牌故事】科技类公司新闻稿写作,https://task.epwk.com/396973/,234人,1人,¥500,圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,科技类公司新闻稿写作,直接雇佣￥ 500,￥ 500,任务编号：396973,2000-2900.csv,,,,,,,,品牌故事,396973,A396973,B396973,"科技类公司, 新闻稿写作"
【其他软件开发】实现股票自动交易功能开发,https://task.epwk.com/396982/,598人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,实现股票自动交易功能开发,直接雇佣￥ 10000,￥ 10000,任务编号：396982,2000-2900.csv,,,,,,,,其他软件开发,396982,A396982,B396982,"股票自动交易, 交易功能开发"
【海报设计】首页设计,https://task.epwk.com/396994/,261人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,首页设计,直接雇佣￥ 1500,￥ 1500,任务编号：396994,2000-2900.csv,,,,,,,,海报设计,396994,A396994,B396994,首页设计
【卡通形象设计】LOGO,https://task.epwk.com/397001/,190人,1人,"¥5,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,LOGO,直接雇佣￥ 5000,￥ 5000,任务编号：397001,2000-2900.csv,,,,,,,,卡通形象设计,397001,A397001,B397001,LOGO
【单身公寓设计】新房整体设计,https://task.epwk.com/397006/,400人,1人,"¥40,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,新房整体设计,直接雇佣￥ 40000,￥ 40000,任务编号：397006,2000-2900.csv,,,,,,,,单身公寓设计,397006,A397006,B397006,"新房设计, 整体设计"
【衣柜定制】定制衣柜设计,https://task.epwk.com/397015/,1051人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,定制衣柜设计,直接雇佣￥ 10000,￥ 10000,任务编号：397015,2000-2900.csv,,,,,,,,衣柜定制,397015,A397015,B397015,"定制衣柜, 设计"
开发一套进销存系统,https://task.epwk.com/397018/,339人,1人,"¥2,320",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,开发一套进销存系统,直接雇佣￥ 2320,￥ 2320,任务编号：397018,2000-2900.csv,,,,,,,,,397018,A397018,B397018,"进销存系统, 系统开发"
【小程序开发】大型停车场停车收费管理系统,https://task.epwk.com/397021/,422人,1人,"¥13,980",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,大型停车场停车收费管理系统,直接雇佣￥ 13980,￥ 13980,任务编号：397021,2000-2900.csv,,,,,,,,小程序开发,397021,A397021,B397021,"停车场收费管理, 停车系统, 停车场管理"
【小程序开发】人力资源管理系统,https://task.epwk.com/397028/,286人,1人,"¥13,890",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,人力资源管理系统,直接雇佣￥ 13890,￥ 13890,任务编号：397028,2000-2900.csv,,,,,,,,小程序开发,397028,A397028,B397028,"人力资源管理, 系统"
【小程序开发】一个出国信息发布网站（行业垂直类）,https://task.epwk.com/397029/,165人,1人,"¥45,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,一个出国信息发布网站（行业垂直类）,直接雇佣￥ 45000,￥ 45000,任务编号：397029,2000-2900.csv,,,,,,,,小程序开发,397029,A397029,B397029,"出国信息, 行业垂直网站"
【意大利语】写文章典籍翻译,https://task.epwk.com/397031/,601人,1人,¥800,圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,写文章典籍翻译,直接雇佣￥ 800,￥ 800,任务编号：397031,2000-2900.csv,,,,,,,,意大利语,397031,A397031,B397031,"文章典籍, 翻译"
【企业官网】蓝牙防丢器APP开发,https://task.epwk.com/397035/,179人,1人,"¥44,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,蓝牙防丢器APP开发,直接雇佣￥ 44000,￥ 44000,任务编号：397035,2000-2900.csv,,,,,,,,企业官网,397035,A397035,B397035,"蓝牙防丢器, APP开发"
【小程序开发】获取cookie,https://task.epwk.com/397037/,413人,1人,"¥44,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,获取cookie,直接雇佣￥ 44000,￥ 44000,任务编号：397037,2000-2900.csv,,,,,,,,小程序开发,397037,A397037,B397037,"cookie, 获取"
台历定制,https://task.epwk.com/397061/,446人,1人,¥200,圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,台历定制,直接雇佣￥ 200,￥ 200,任务编号：397061,2000-2900.csv,,,,,,,,,397061,A397061,B397061,"台历, 定制"
java二次开发,https://task.epwk.com/397063/,682人,1人,"¥4,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,java二次开发,直接雇佣￥ 4000,￥ 4000,任务编号：397063,2000-2900.csv,,,,,,,,,397063,A397063,B397063,java二次开发
【宣传策划】小牛妈妈英语启蒙文案撰写,https://task.epwk.com/397069/,428人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,小牛妈妈英语启蒙文案撰写,直接雇佣￥ 1500,￥ 1500,任务编号：397069,2000-2900.csv,,,,,,,,宣传策划,397069,A397069,B397069,"小牛妈妈, 英语启蒙, 文案撰写"
网站设计,https://task.epwk.com/397072/,158人,1人,"¥3,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,网站设计,直接雇佣￥ 3000,￥ 3000,任务编号：397072,2000-2900.csv,,,,,,,,,397072,A397072,B397072,网站设计
【小程序开发】密室app开发,https://task.epwk.com/397083/,187人,1人,"¥47,800",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,密室app开发,直接雇佣￥ 47800,￥ 47800,任务编号：397083,2000-2900.csv,,,,,,,,小程序开发,397083,A397083,B397083,"密室, app开发"
【APP开发】基于微信企业级应用及APP开发,https://task.epwk.com/397088/,251人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,基于微信企业级应用及APP开发,直接雇佣￥ 10000,￥ 10000,任务编号：397088,2000-2900.csv,,,,,,,,APP开发,397088,A397088,B397088,"微信企业级应用, APP开发"
大数据移动前端展示APP开发尾款,https://task.epwk.com/397089/,157人,1人,"¥40,960",圆满完成,https://task.epwk.com/page2805.html?m=6&o=7,大数据移动前端展示APP开发尾款,直接雇佣￥ 40960,￥ 40960,任务编号：397089,2000-2900.csv,,,,,,,,,397089,A397089,B397089,"大数据移动前端, APP开发, 尾款"
投资型企业官网,https://task.epwk.com/397114/,879人,1人,"¥4,000",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,投资型企业官网,直接雇佣￥ 4000,￥ 4000,任务编号：397114,2000-2900.csv,,,,,,,,,397114,A397114,B397114,"投资企业, 官网设计"
做一个爱心公益网,https://task.epwk.com/397116/,168人,1人,"¥3,100",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,做一个爱心公益网,直接雇佣￥ 3100,￥ 3100,任务编号：397116,2000-2900.csv,,,,,,,,,397116,A397116,B397116,"爱心公益, 网站设计"
双色球六行六列缩水软件编程,https://task.epwk.com/397117/,622人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,双色球六行六列缩水软件编程,直接雇佣￥ 1000,￥ 1000,任务编号：397117,2000-2900.csv,,,,,,,,,397117,A397117,B397117,"双色球, 缩水软件, 编程"
【VI设计】公司VI系统整体设计,https://task.epwk.com/397138/,265人,1人,"¥30,000",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,公司VI系统整体设计,直接雇佣￥ 30000,￥ 30000,任务编号：397138,2000-2900.csv,,,,,,,,VI设计,397138,A397138,B397138,"公司VI系统, 设计, 整体设计"
【其他家装服务】自建房装修图设计,https://task.epwk.com/397142/,283人,1人,"¥6,000",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,自建房装修图设计,直接雇佣￥ 6000,￥ 6000,任务编号：397142,2000-2900.csv,,,,,,,,其他家装服务,397142,A397142,B397142,"自建房装修, 图设计"
【企业官网】企业网站建设,https://task.epwk.com/397147/,152人,1人,"¥38,000",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,企业网站建设,直接雇佣￥ 38000,￥ 38000,任务编号：397147,2000-2900.csv,,,,,,,,企业官网,397147,A397147,B397147,"企业网站, 建设"
【咨询服务】运筹学的数学建模项目及报告,https://task.epwk.com/397157/,452人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,运筹学的数学建模项目及报告,直接雇佣￥ 1500,￥ 1500,任务编号：397157,2000-2900.csv,,,,,,,,咨询服务,397157,A397157,B397157,"运筹学, 数学建模, 项目报告"
【海报设计】卡通版本海报设计,https://task.epwk.com/397162/,433人,1人,¥100,圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,卡通版本海报设计,直接雇佣￥ 100,￥ 100,任务编号：397162,2000-2900.csv,,,,,,,,海报设计,397162,A397162,B397162,"卡通海报, 版本设计"
【小程序开发】网站二次开发,https://task.epwk.com/397172/,122人,1人,"¥10,000",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,网站二次开发,直接雇佣￥ 10000,￥ 10000,任务编号：397172,2000-2900.csv,,,,,,,,小程序开发,397172,A397172,B397172,网站二次开发
智能短信群发系统,https://task.epwk.com/397173/,504人,1人,"¥4,000",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,智能短信群发系统,直接雇佣￥ 4000,￥ 4000,任务编号：397173,2000-2900.csv,,,,,,,,,397173,A397173,B397173,"智能短信, 群发系统"
烘培坊的包装袋设计,https://task.epwk.com/397182/,112人,1人,"¥1,000",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,烘培坊的包装袋设计,直接雇佣￥ 1000,￥ 1000,任务编号：397182,2000-2900.csv,,,,,,,,,397182,A397182,B397182,"烘焙坊, 包装袋设计"
开发一套已有系统模版（tp框架）,https://task.epwk.com/397183/,219人,1人,"¥7,500",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,开发一套已有系统模版（tp框架）,直接雇佣￥ 7500,￥ 7500,任务编号：397183,2000-2900.csv,,,,,,,,,397183,A397183,B397183,"系统模板, tp框架"
【小程序开发】高校学生党组织信息管理系统,https://task.epwk.com/397188/,181人,1人,"¥6,890",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,高校学生党组织信息管理系统,直接雇佣￥ 6890,￥ 6890,任务编号：397188,2000-2900.csv,,,,,,,,小程序开发,397188,A397188,B397188,"高校学生党组织, 信息管理系统"
设计,https://task.epwk.com/397191/,516人,1人,¥780,圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,设计,直接雇佣￥ 780,￥ 780,任务编号：397191,2000-2900.csv,,,,,,,,,397191,A397191,B397191,设计
【小程序开发】某高校学生成绩管理系统,https://task.epwk.com/397194/,203人,1人,"¥7,180",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,某高校学生成绩管理系统,直接雇佣￥ 7180,￥ 7180,任务编号：397194,2000-2900.csv,,,,,,,,小程序开发,397194,A397194,B397194,"高校学生, 成绩管理, 系统"
【背景墙设计】证券公司背景板设计,https://task.epwk.com/397195/,377人,1人,¥500,圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,证券公司背景板设计,直接雇佣￥ 500,￥ 500,任务编号：397195,2000-2900.csv,,,,,,,,背景墙设计,397195,A397195,B397195,"证券公司, 背景板设计"
【FLASH制作】再读课文的编辑任务,https://task.epwk.com/397197/,502人,1人,"¥1,500",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,再读课文的编辑任务,直接雇佣￥ 1500,￥ 1500,任务编号：397197,2000-2900.csv,,,,,,,,FLASH制作,397197,A397197,B397197,"课文编辑, 再读"
海报印刷,https://task.epwk.com/397198/,114人,1人,"¥6,500",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,海报印刷,直接雇佣￥ 6500,￥ 6500,任务编号：397198,2000-2900.csv,,,,,,,,,397198,A397198,B397198,"海报, 印刷"
【小程序开发】高中化学实验教学软件设计,https://task.epwk.com/397206/,202人,1人,"¥7,080",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,高中化学实验教学软件设计,直接雇佣￥ 7080,￥ 7080,任务编号：397206,2000-2900.csv,,,,,,,,小程序开发,397206,A397206,B397206,"高中化学, 实验教学, 软件设计"
冰箱系列,https://task.epwk.com/397210/,143人,1人,"¥15,000",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,冰箱系列,直接雇佣￥ 15000,￥ 15000,任务编号：397210,2000-2900.csv,,,,,,,,,397210,A397210,B397210,"冰箱, 系列设计"
【包装设计】4款包装设计,https://task.epwk.com/397211/,243人,1人,¥850,圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,4款包装设计,直接雇佣￥ 850,￥ 850,任务编号：397211,2000-2900.csv,,,,,,,,包装设计,397211,A397211,B397211,"包装设计, 4款"
【其他家装服务】基于微信平台的互联网产品二次开发,https://task.epwk.com/397229/,215人,1人,"¥41,000",圆满完成,https://task.epwk.com/page2804.html?m=6&o=7,基于微信平台的互联网产品二次开发,直接雇佣￥ 41000,￥ 41000,任务编号：397229,2000-2900.csv,,,,,,,,其他家装服务,397229,A397229,B397229,"微信平台, 互联网产品, 二次开发"
