标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,需求价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【品牌起名】服装店取名,https://task.epwk.com/422666/,3668人,85人,¥100,o56e6198e6156e,￥ 100,￥ 100,2016.05.20,服装店取名，四个字的名字，希望清新 个性 听起来有点民族气息,任务编号：422666,集智工作室,高易策划
,,,,,,,,,,,,
【公司起名】为互联网平台型公司起名及设计网址,https://task.epwk.com/422553/,2947人,37人,¥380,创意小镇,￥ 380,￥ 380,2016.05.19,公司性质为互联网+智造平台型公司，众筹 设计 制造一体化公司。要求：有创意、方便记忆、名字体现公司是平台性质，并根据所起的公司名称设计公司网站的网址,任务编号：422553,小青欣,五艺之星
【品牌起名】海产品商标取名,https://task.epwk.com/421672/,3559人,63人,¥200,o54c8f7e8404fe,￥ 200,￥ 200,2016.05.15,要求：1、可以同时注册商标29、31、35类。2、商标名，大气，易推广，以后品牌更好传播。3、海产品类相关意思最好。,任务编号：421672,卡路里工作室,小青欣
【广告策划】企业广告语征集,https://task.epwk.com/421467/,5053人,93人,¥150,凯旭涂料,￥ 150,￥ 150,2016.05.14,公司名称为：内蒙古凯旭涂料有限公司。公司主营：外墙涂料，设计品牌广告语。可以包含“凯”和”旭“。也可以设计类似宣传语要好记，顺口，能体现产品特性,任务编号：421467,xdfswyyg,杂办
【公司起名】服装商贸公司取两个名字,https://task.epwk.com/420756/,2801人,38人,¥200,mf136****6660,￥ 200,￥ 200,2016.05.10,"请人取两个名字一个是服装类，时尚男装，快消品牌，韩版。另一个名字是一个是微店，做网络营销，希望取的名字能够相依托。都能注册。朗朗上口，越简单越好，不限字体（2-4个字）。（简单字体，不要复杂）汉字和英文相结合 要求： 1、名称响亮，易记，文雅，有创意但不失稳重;(必需可以注册公司的) 2、最好有中、英文两种名称，并可注册商标 3、附上创意说明。知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：420756,竹叶常青设计工作室,杂办
【广告策划】广告描述语修改文字征集,https://task.epwk.com/420135/,4899人,13人,¥280,花园里的旅行,￥ 280,￥ 280,2016.05.07,基本结构和描述已经完成【详见附件】，只需按你的想法，对附件的描述做修改，使它更贴切、易懂。请先下载附件，然后参看空间的前三篇置顶日志，有助于你更快地了解附件的内容，QQ：1259127148【苹果园】。如需进一步沟通，请在QQ中留言，看到后我将在第一时间回复你。非常感谢你的参与！,任务编号：420135,紫珊瑚文案铺,mf159****1170
【公司起名】集团装饰公司起名,https://task.epwk.com/418483/,8230人,167人,¥200,longtao1986,￥ 200,￥ 200,2016.04.28,我们是做软装设计的装饰设计公司，希望朋友们能帮忙起一个名字，大气，有内涵，跟装饰设计行业比较契合的，四个字左右的，能注册公司的名字,任务编号：418483,石枯沙老,mf135****4523
【宣传策划】癌症晚期病人和糖尿病人的中医治疗微信推广链接及方案,https://task.epwk.com/418025/,2345人,2人,¥100,Mr137****6708,￥ 100,￥ 100,2016.04.26,成都德厚中医馆在一大批老专家共同努力下，终于攻克了中医治疗肿瘤的奇迹，癌症晚期病人，躺在床上的，医院宣布放弃治疗的，我们的专家组的秘方，可以让他起死回生，从新生活！还有就是我们的糖尿病食物疗法，重启胰岛细胞功能，都是目前领先的绝世技术，都是中医的瑰宝！现在寻高手创作一条或多条易于在朋友圈，微信群，QQ群这些地方推广和转发的链接或方案，需要其他补充资料的可以加我QQ,任务编号：418025,文博wxw888,lb18720973224
【品牌起名】网咖起名,https://task.epwk.com/417989/,5838人,135人,¥260,mf5416cd960ff2a,￥ 260,￥ 260,2016.04.25,1.因为网咖比较高端，所以名字还是大气一点2.能注册，注册营业执照3.网咖主要具有休闲，竞技游戏，咖啡等功能,任务编号：417989,魔手品牌设计,星橙设计QQ1356183009
【品牌起名】商标起名,https://task.epwk.com/417354/,5624人,105人,¥450,土豆泥__,￥ 450,￥ 450,2016.04.21,"厂名：乌鲁木齐农建兴龙食品有限公司。
产品类别：糖果类、龙须酥、糕点。
主要以龙须酥为主，现有注册品牌“冰”字牌、农建。
因发展需要，现征集品牌名称。
公司简介可进入www.longxusu.com 进行查看。
起名要求：1.可以注册®商标
                 2.使用文字不生僻
                 3.含有一定的寓意",任务编号：417354,锲卡设计,迈步人生
【品牌起名】内衣品牌英文命名,https://task.epwk.com/416689/,3135人,57人,¥150,xiaolululu,￥ 150,￥ 150,2016.04.18,一个内衣品牌的英文命名，音译最好。,任务编号：416689,悟本设计,锲卡设计
【品牌起名】公司品牌取名,https://task.epwk.com/416462/,5813人,140人,¥300,XM066,￥ 300,￥ 300,2016.04.17,公司名称： 温州曼娜贸易有限公司          本公司属于贸易公司  主要经营女士内衣 内裤 男士男裤 服装类  等等 ，  现LOGO全面升级   想取一个好听的名字  以“曼娜”或者“曼”为主要字体  可以三个字 或者 两个字 来升级品牌。        希望在一品威客平台能有人帮我出谋划策 取一个好听的 有寓意的名字 ， 然后再帮我编辑 一段好记又好听的广告语 来宣传打响品牌。原广告语，“如梦幻般美丽 如双手般温柔 给你最贴心 的呵护 曼娜成就最自信的你” 。,任务编号：416462,凌舟设计,锲卡设计
【公司起名】【急】为新公司起名,https://task.epwk.com/416257/,3934人,44人,¥100,yangca1011,￥ 100,￥ 100,2016.04.15,公司名称：深圳****科技有限公司 经营范围：生产产品 （目前产品不限）+贸易          具体要求：        一、设计要求：             1、公司名称2-4汉字。            2、读起来要顺口。             3、名字要求突出主题、简约大气，体现出比较好的寓意。             2、可注册登记。       二、投稿要求:           1、每次投稿至少提供5个候选名称。           2、每个名称都必须提供解释，即名称含义。           3、提交前请先百度是否有一样的公司名称，请勿提供与其它公司相同的名称。           4、上传稿件设为隐藏。        三、知识产权说明：        1、 所设计的作品为原创，为第一次发布。未侵犯他人的著作权。        如有侵犯他人著作权，由设计者承担所有法律责任。        2、 中标的设计作品，我方支付设计制作费。即拥有该作品的知识        产权，包括著作权、使用权和发布权等，并有权对设计作品进行修        改、组合和应用，设计者不得再向其他任何地方使用该设计作品。,任务编号：416257,星橙设计QQ1356183009,ZS代写
【广告策划】海外房产销售网广告语征集,https://task.epwk.com/415955/,5454人,56人,¥300,chenshu616,￥ 300,￥ 300,2016.04.14,海外房产销售网站 寻求广告语，宣传语网站寻求宣传语，主要做澳大利亚房产销售，网站名字为：尚宅优品，要求宣传语可以直击客户心灵，目标客户为国内高净值人士，他们的需求大多为：投资，度假，养老，移民，孩子上学，以及全球资源配置。如果有配一张关于宣传语的图片更加好。,任务编号：415955,人本美名,圆梦空间
【产品卖点】公司文案设计,https://task.epwk.com/415870/,3682人,22人,¥100,齐天大叔,￥ 100,￥ 100,2016.04.14,"我们取名的时候叫糖生糖太，就是因为糖是代表甜蜜，而当太太把自己的一身托付给先生的时候，她是甜蜜的，因而这个时候的她更应该称为糖太太，而先生接受太太的托付而承担起给太太一生的甜蜜的承诺，先生也是甜蜜的所以他这时候也应该成为糖先生。 原有人说，每个女人都会找到自己的Mr.Right, 而我们更希望每个女孩能够找到自己的Mr.Sugar 让自己能够成为Mrs.Sugar而甜蜜的过一生，我们希望所有的Mr&Mrs Sugar都能够甜甜蜜蜜的过一生希望能够把这段话更文艺点的表达，适合于微信公众号和微博发布。这次悬赏价格不高，但是最后中标者可以选择以后与本公司的长期的文案合作。",任务编号：415870,下岗豆豆,别说什么尽力了
【宝宝起名】给宝宝起名,https://task.epwk.com/415106/,17487人,247人,¥500,o5709****05050,￥ 500,￥ 500,2016.04.10,求给宝宝起名，宝宝出生日期为：2016年4.7日晚八点；性别：女；姓氏为：张。求有深意，好听的名字。谢谢大家。,任务编号：415106,子语设计,COLORTHINKER互联网研发中心
【广告策划】“百巢卫士防水”品牌广告语征集,https://task.epwk.com/413463/,8369人,134人,¥218,o56fe****14994,￥ 218,￥ 218,2016.04.01,您好，我们是百巢卫士（北京）防水科技有限公司，我们致力于为家庭、酒店宾馆、学校、医院等个人及单位用户提供厨卫间漏水、外墙漏水、屋顶漏水等建筑防水堵漏解决方案，现需要征集一个品牌广告语，具体要求如下：        1、拒绝空洞宽泛的无卖点诉求的说辞        2、站在客户的角度考虑问题，了解漏水客户的心理，广告语能引起他们的共鸣        3、客户痛点：影响邻里关系；信息不透明产生恐慌；影响正常生活而烦恼；施工时间长；找不                                    到放心专业的施工方；街边游击队干完活就走人没有售后保障；价格不透明，害怕                                  被宰；再次漏水诉求无门，和维修公司发生纠纷；因自家漏水而引起的经济赔偿                                 （还有很多痛点需要优秀的您去发掘）        4、可以针对以上的某一个痛点提炼出一句优秀的广告语。例如：百巢卫士，我们只做家庭防水               （突显我们的专业性）        5、言词通俗易懂，便于传播，拒绝高大上的不知所云。          希望通过您的超级智慧能让我们的品牌广泛传播，感恩您的辛苦付出！,任务编号：413463,Running Blue,乔瑜
【广告策划】广告语征集,https://task.epwk.com/412221/,6544人,100人,¥120,marlin,￥ 120,￥ 120,2016.03.26,“贝微微”品牌是主要从事 椰子油面膜，椰子油护手霜，椰子油洗发水，椰子油沐浴露等以椰子油为主要原料的日化产品。目前椰子油行业鱼龙混杂，一瓶油由于功效太多，没有一个卖点突出，所以市场上所有椰子油品牌都是一瓶油拿出来告诉消费者能吃能用能涂，从而导致椰子油在消费者的概念里都不知道干嘛用。所以本公司将椰子油细分化，生产出以椰子油为主要原料的系列日化产品。目前需要征集广告语用来推广“贝微微”这个品牌！本人想到的有：贝微微---带您重新认识椰子油贝微微--让您的生活“油”品味但是感觉不怎么好，所以希望有缘人士能多多提供,任务编号：412221,一角形,梦玑文字创意馆
【公司起名】旅游公司名称和标语口号征集,https://task.epwk.com/411846/,3506人,42人,¥150,mf138****8602,￥ 150,￥ 150,2016.03.24,全国性制的定制化旅游公司。我们没有二次消费。我们没有购物点。我们只做你想要的旅行。不管你有什么需求。我们都一定满足！,任务编号：411846,创意星策划,品牌天下，名者为先
【品牌起名】女裤品牌起名,https://task.epwk.com/410632/,9865人,243人,¥200,qq710****98,￥ 200,￥ 200,2016.03.18,主要经营：皮裤 丝袜 打底裤人群已18-30女性为主 想注册个2-3字的品牌个人觉得不错的有：魔品 丝后   Miss X  柏 美 莎 可惜不能注册需要各位想出中文具有贴边含义的 英文的话看着高档大气的在此谢过,任务编号：410632,耀设计创意工作室,白刺猬工作室
【广告策划】改写公司广告语〝青龙洲，黑茶中的冲锋舟〞,https://task.epwk.com/409646/,5167人,74人,¥600,mf138****0258,￥ 600,￥ 600,2016.03.14,1、我公司名称是〝益阳市江山黑茶有限公司〞2、我公司注册商标是〝青龙洲〞3、安化黑茶特点：1）有很强的地域性，2）有浑厚的文化沉淀，3）保健功能很好，4）认知度不高，5）卖相不好，6）年轻人不喜欢。4、我公司生产的安化黑茶有如下显著特点：a饮用方便快捷，拿来就泡，不需要用〝茶刀〞、〝茶钳〞来撬茶（开茶），〝快〞是我公司黑茶最大的特征。b创新是我公司另一个特征，为了让黑茶走进千家万户，让黑茶成为百姓的〝口粮茶〞，我公司拥有8项国家专利，要做黑茶走向世界的〝摆渡人〞！在服务消费者方面，我们〝冲锋在前，行业领先〞！5、原广告语虽然紧帖〝快〞与〝冲锋在前，行业领先〞，但与安化黑茶深厚的文化沉淀不符。要求：改写后的广告语既要体现〝快〞与〝领先〞，又要易于记忆,任务编号：409646,一达文化,新疆合赢智创信息科技服务有限公司
【品牌起名】熟食名称征集,https://task.epwk.com/409514/,3638人,111人,¥200,愤怒的土豆0,￥ 200,￥ 200,2016.03.14,主要做熟食类.暂时做泥烤叫花鸡 后期准备推出猪头肉之类的熟食产品希望能有一个感谢简洁易懂的商标名字,任务编号：409514,一品上的海,五艺之星
【公司起名】帮我的公司取名字,https://task.epwk.com/408414/,4797人,99人,¥200,mf150****1991,￥ 200,￥ 200,2016.03.08,农产品电子商务公司，主营以香菇为主的南北干货。理念：生态、健康、品质。名字要有互联网概念、也可以英文中译，必须能注册商标。,任务编号：408414,锲卡设计,派思马品牌创意机构
"【广告策划】征集商标""青龙洲""设计说明及广告语",https://task.epwk.com/407976/,3386人,26人,¥600,mf138****0258,￥ 600,￥ 600,2016.03.05,"1、公司名称:益阳市江山黑茶有限公司2、商标""青龙洲"",LOGO见附件3、商标大致含义如下:商标说明：一、关于形：1.以公司名字江山为入手点，江山的篆书写法，变形为茶壶形状，。突出行业特点，一目了然。2.颜色搭配上，篆书的江字三点水设计为红色，围绕在山周围，醒目又不失韵味，另外，山水环绕，寓意公司前景美好。3、图形也可看成一艘龙船在扬帆远航，寓意公司是安化黑茶走向世界的〝摆渡人〞4、图形也可看成一条青龙在商海中翻江倒海，大展宏图，与〝青龙洲〞商标一致二、文化1、小篆体表示文化的沉淀，引申为茶文化也是中华文明的伟大传承2、红与黑，阴与阳，中华易经文化的核心，大到宇宙日月，小至人体阴阳。平衡，是易经学说，更是茶文化之精髓。三、记载汉末三国时期，吴蜀屯兵益阳，关羽曾用一包包以竹篾包裹的茶叶为将士解除病疾，竹篾是安化黑茶特有的包装形式，一直沿袭至今。目前青龙洲为〝益阳十景〞之一，洲上有关羽庙与关羽像。四、其它〝含义〞1、青即黑，表示〝黑茶〞；龙，中华民族，寓意世界只有中国有，青龙洲，地域名，表示中国只有安化有。2、青龙、白虎、玄武、朱雀中国神话四大灵兽，青龙镇守东方，称为〝东方之神〞，茶叶也称〝东方神叶〞，二者有异曲同工之妙！",任务编号：407976,〆安小浪漫,下岗豆豆
【品牌起名】西安特色肉夹馍、凉皮店铺起名,https://task.epwk.com/407422/,6614人,102人,¥150,mf186****6313,￥ 150,￥ 150,2016.03.02,产品种类：西安特色肉夹馍、凉皮店名字，油泼面店铺名字，两种店铺，两个名字。小面积的餐饮项目。起名要求：1、好玩、互联网用语；2、时尚，有特色，容易让人记住；3、注册性强；4、品牌故事的拓展性强一些。,任务编号：407422,派思马品牌创意机构,mf182****9323
【品牌故事】写宣传本企业的产品品牌故事,https://task.epwk.com/406137/,5443人,27人,"¥1,200",紫色梦2016,￥ 1200,￥ 1200,2016.02.24,现希望有高手能为我们产品：四季安绿色大米，写一个故事或一篇软文 枝江市信达农业专业合作社成立于2010年8月，是一家服务三农事业的新型农业合作社。主营业务有农作物种植、农作物病虫害防护、农业技术推广、农机作业及农业机械维修，农产品加工、粮食烘干及销售，为成员提供相关生产资料的购买开展与农业相关的信息及技术咨询服务。合作社注册资金506万元，现在社员1000余户，拥有种值示范基地8个，员工58人，各类技术人员12人，机防队员40余名。各类农业机械设备达400多台（套），基中大型余仓库（套）。目前成立了12家分社，建设完成全自动烘干中心一个，近年来，合作社承担了省部级万亩高产创建项目、柑橘大实蝇防治、水稻集中育秧等项目，不仅给农友带来了可观的经济效益，也获得了各级领导的好评。合作社现已流转耕地面积2000余亩，常年与农户签订农作物病虫害统防统治合同面积近30000亩，带动5个乡镇1000余名妇女就业创业。采用“公司+合作社+基地+农户”及订单模式，建立了近5000亩的绿色水稻标准化示范基地。 “四季安”大米通过了国家“绿色食品”认证，并获得了“第十五届中国绿色食品博览会”金奖、“第十七届荆楚粮油会金奖”、“湖北省好食材金奖”及“宜昌市知名商标”荣誉，打造了“四季安”绿色产品品牌。合作社现已有“信达红”、“四季安”、“易淋”、“稼友”等多个注册商标。 通过“信达红”服务商标实现合作社的统一形象经营及服务，涵盖农作物种植、保护，新技术研究、推广；将“四季安”服务商标用于农产品的销售环节，实现四季安心的绿色农产品从田间到超市和小区。近年来合作社被评为“湖北省青年示范社”、“消费者满意单位”、“湖北省统防统治二十强组织”、“全国巾帼现代农业科技示范基地”、“宜昌市农业产业化龙头企业”等。,任务编号：406137,白虎堂堂主,横渡设计工作室
【店铺/网店起名】回转自助吧式小火锅取名,https://task.epwk.com/403386/,4304人,85人,¥100,luyan7811,￥ 100,￥ 100,2016.01.25,1、主要经营：回转自助式火锅，休闲型的，人均消费50左右，2、希望是中文3、名字最好是2-3个字的，但念起来要顺，不能拗口或有歧义，需要大气，好记，能体现行业特点，同时要有高雅，文化的感觉，并能体现店面蒸蒸日上的发展势头。不要xx宴，xx阁，xx楼之类的。4、名字可以注册公司，交稿前可先去查询一下是否被注册5、附上创意说明知识产权说明：1、所取名称应为原创，为第一次发布，未在国家商标局注册过并且能通过商标查询，未侵犯他人著作权；如有侵犯他人著作权，由设计者承担所有法律责任。2.设计作品一经采用，所有权、修改权和使用权均归我方所有，设计者不得在其他任何地方使用该设计作品，包括并不限于著作权、使用权、发布权以及对设计作品进行修改、组合、应用等权利。,任务编号：403386,水月涟铖の创意,mf130****7998
【公司起名】电子商务公司取名,https://task.epwk.com/403157/,5874人,98人,¥100,huangsanzhen,￥ 100,￥ 100,2016.01.24,在贵州，想注册一个电子商务公司，网上+实体（旅游产品方向）经营销售酒类，预包食品，土特产，茶叶等系列原生态产品，取名接地气，希望结合网络推广模式，突出具有贵州原生态绿色产品，三至四个字为佳。,任务编号：403157,音极客,21号工坊
【宣传策划】写一篇原液的产品软文,https://task.epwk.com/401154/,4047人,11人,¥100,众乐_乐,￥ 100,￥ 100,2016.01.11,"写一篇原液的产品软文，让人看了能感动并想点开看看是什么产品。1，必须原创的2，要和提供的的故事情节相似，像小说一样娓娓道来。不能有S情、暴力，应该是温馨的的故事。3，这款原液的功效主要具有提亮肤色，淡化黑色素,祛痘、去痘印、收毛孔、面部精华、祛斑、去皱的功效。4，写的软文广告性质不能明显，软文主要以能引起人往下看的兴趣为主，就是个微小说，不能发到各个论坛没几分钟就被删了。5，体现顾客之前有痘痘、肤色不好的痛点、和使用这款原液之后的好处、自信与美好。6，内容1500字的样子。",任务编号：401154,小草知秋创意文化传播,mf187****1904
【专业代笔】写一个银行柜员的年终总结,https://task.epwk.com/401153/,2821人,10人,¥100,mf135****3766,￥ 100,￥ 100,2016.01.11,1、总结是交上去的，给人力的2、柜员干的事情：对私业务、对公业务、打字、翻打、点钞、服务个人客户、对公客户3、字数1500字左右4、要求原创百分之70以上5、限期交稿,任务编号：401153,诚信小郎君,mijunjie8的商铺
【品牌起名】餐饮品牌起名,https://task.epwk.com/400667/,6925人,173人,¥150,Kevin83,￥ 150,￥ 150,2016.01.08,产品种类：手包饭。如：羊肉手包饭、蘑菇手包饭、鸡肉手包饭等等；小面积的餐饮项目。起名要求：1、好玩、互联网用语；2、接地气，容易让人记住；3、注册性强；4、品牌故事的拓展性强一些。,任务编号：400667,艾豆笔尖,张佩浅
,,,,,,,,,,,,
【文学创作】长期征集微电影剧本(5-10分钟),https://task.epwk.com/400221/,13125人,20人,"¥1,000",我是唐风,￥ 1000,￥ 1000,2016.01.05,长期征集微电影剧本(5-10分钟)，软植入广告。【为让我们更好的合作，先做如下描述，请务必知悉。】1、  我公司主要通过拍摄大量微电影，以软广告植入的方式推广公司以及合作伙伴的产品。我们挑选剧本的优先次序是拍出的视频要具备被动传播性，比如：如果一个用户在一个微信公众号看到这个视频他会忍不住分享给朋友。直白说，商业性要优先艺术性。2、  我公司有小规模职业拍摄团队(3-5人)，摄像器材有1部5D3，3部JVC HM95，有小摇臂，以及其他拍摄器材，最重要的我公司有虚拟拍摄成像系统，有花千骨、甄嬛传、武则天等热门古装电视剧的动态虚拟场景(国内非常先进，几乎可以媲美原版)、主角服装道具。所以您在设定脚本的时候可以无厘头、玩穿越、搞笑，无节操等创新都OK，我们能拍，但请不要设定豪车、豪宅、特定地点等高成本的道具或难以进入的场地。  具体剧本要求（微商版1）：时长5到10分钟剧情新颖讲述微商的心酸巧妙植入微盘（微盘的收益、易操作性、高收益、低风险等）目的是把微商从业者转化为微盘从业者拍摄成本尽量要低，预算不能太大类型可以是网络剧系列形式，也可以是微电影短片形式故事最好是可以反转剧情，出人意料演员阵容不要太大，也就是剧情人物不要太多剧本要求原创，不剽窃、不抄袭剧情人物不要求演技就可以担纲时间空间跨度不要太大，不会给拍摄带来太多不可解决的问题【植入关键词“微盘掌柜”，，不了解微盘的人建议进去了解下，免费下单玩一下，具体进入方式：在微信公众号搜索“微盘”，建议参考“金明微盘”“微盘宝”，里面都有微盘的帮助说明。微盘具有无限3级分销系统，就是每个代理都享有自己发展的3级代理收入，现在微商主流的分销模式。】具体剧本要求（微商版2）：大部分如上，目的主要是让做微商的人来做我们的产品，我们的产品比做微商更轻松、也赚钱更多，最重要的也不影响他继续做微商，只是在现有的客户基础上多测试一下营销一下。 具体剧本要求（主播版1）：需要影响的是视频主播，她们有自己的影响力和粉丝，需要她们来玩我们的微盘，可以额外增加她们的收入，我们的自己的主播推广微盘的收入已经远超主播礼物收入。 其他剧本：创新的、有特点的，都可以。记住，拍摄难度越小越好，演员演技不要要求太高的。,任务编号：400221,麦秸螳螂,京城名衣
【品牌起名】江西省上饶市XX职业培训学校,https://task.epwk.com/400237/,3542人,53人,¥200,Mr189****3120,￥ 200,￥ 200,2016.01.06,培训机构位于江西上饶市，经营范围为电子商务技能培训及各类创业培训、学历培训。日后将会参与公益及慈善相关的活动，请在取名时考虑到这一方面信息。一、取名要求：1、名称响亮，易记，文雅，与教育培训行业及公益相关，易于传播；2、最好有中、英文两种名称，并可注册商标；3、附上创意说明。二、知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任,任务编号：400237,1L工作室,陈家商铺
【宣传策划】写字楼的宣传文案，广告词,https://task.epwk.com/399665/,2095人,36人,¥500,mf186****1198,￥ 500,￥ 500,2016.01.01,具体需求详见附件,任务编号：399665,麦秸螳螂,新疆合赢智创信息科技服务有限公司
【广告策划】时尚品牌男内裤广告语征集,https://task.epwk.com/399281/,5732人,100人,¥200,huangmeilan00,￥ 200,￥ 200,2015.12.30,品牌：卡帝乐鳄鱼男内裤特点：时尚、潮、夸张、个性渠道：电商，时尚内裤专业馆要求：10字以内，最好6字左右，有时尚气息，有内裤的联想，容易被人记住，有时代感，如男内裤螃蟹秘密的广告语：会呼吸的内裤,任务编号：399281,会飞的猪,星奎影像记录工作室
【广告策划】乡土羊绒网店征集店铺广告语,https://task.epwk.com/399112/,5456人,115人,¥100,乡土羊绒,￥ 100,￥ 100,2015.12.29,"行业：网商业务：服装及配件产品：纯山羊绒服饰风格：高端奢华，精致唯美，欧美风格，大气时尚，温暖相伴  店铺宗旨是传递温暖传递爱请先了解店铺风格和特色，设计店铺广告语要求：1. 包含”乡土羊绒""四个字。2. 语言精练，反映店铺特点。3. 好记，朗朗上口。",任务编号：399112,橙子201512,mf151****8513
【品牌起名】求产品小麦胚芽取名一个,https://task.epwk.com/398927/,2887人,47人,¥300,mf159****3753,￥ 300,￥ 300,2015.12.28,请描述一下您的公司或产品 ：品码商贸现在正在做一款营养价值很高的小麦胚芽，需要朋友们帮忙起个品牌名字数要求 ：2-3个字均可 风格要求 ：创意夺目 您有喜欢的名字么：最好是  有关营养价值相关的名字，朗朗上口，容易传播具体要求：小麦胚芽含有丰富的营养价值，含有人体必须的氨基酸，不饱和脂肪酸，维生素E及VB1，VB2，VB6。稀有矿物质镁，磷，钾，钙，硒等，是小麦籽粒的精华，被誉为“人类天然的营养宝库”，对人体的营养保健起到重要的作用。长期服用小麦胚芽片可以改善人脑细胞功能，增强记忆力；促进儿童的生长和发育；防止糖尿病；延缓衰老，提高免疫力，保持皮肤光滑，增强皮肤弹性；能仰制血液凝固，预防脑血栓和心肌梗塞；控制动脉中的胆固醇，防止动脉硬化，促进人体新陈代谢，防止代谢紊乱；冲茶：取一小勺（大约10克）小麦胚片，用大约250毫升开水冲泡，摇匀便可饮用；也可与枸杞子，桂圆，参果，红枣等滋补中药一起冲泡饮用，冲出的茶香具有浓郁的麦香味，饮后精神焕发。煮粥：在煮将近8---9成熟的小麦粥，大米粥，八宝粥等稀饭里面加入大约50克的精力沛小麦胚片，再稍煮一会儿就可食用。这样煮出来的粥具有麦香味很浓，口感更好，而且营养价值更高等特点。炖汤：在炖排骨，鸡块，鱼块时加入少许精力沛小麦胚片。可以提高菜肴的营养价值和风味等。制作胚芽馒头，面条，水饺和面包等：在普通面粉中加入5%---8%的精力沛小麦胚片（粉）。可以使馒头具有精力沛小麦胚片的清香味，表皮黄亮，口感柔软更有弹性，更加爽口；面条和水饺更加光滑进到，营养价值更高。补充需求：请朋友们 注意了，一般带有 麦 胚这两个字的，是注册不下来的，我们公司起商标就是为了可以注册，不能注册是不是就白选了，请朋友们注意了，换个思维起名字吧！期待大家的好名字朋友们 名字中间带 麦字的注册商标是不行的，带芽字的也不行的朋友们，名字需要注册的，带产品类目的字是注册不了的，像：麦，芽，这些都是无法注册的，谢谢大家,任务编号：398927,本色映像,一叶文案
【广告策划】卫生纸产品广告语征集,https://task.epwk.com/397574/,5916人,88人,¥200,mf187****3186,￥ 200,￥ 200,2015.12.19,新开发卫生纸产品功能、卖点提炼背景：我公司刚研发出一种卫生纸，可直接丢入马桶遇水快速溶解的卫生纸，以后卫生间将告别纸篓，围绕“速溶于水的卫生纸”“不堵马桶”展开构思。需求：     1、包材卖点归纳：针对以上背景，我们设计一款包材，包材上面要突出简要描述该功能的文字，要通俗易懂，简明扼要。     2、电商页面产品卖点描述：该产品会在天猫旗舰店销售，产品页面详情介绍，需要3条以上卖点描述，由重到轻排列。类似“好空调、格力造”“有了该产品，妈妈再也不用担心卫生纸堵马桶了”的文字，文字描述要能引起消费者购买该产品的兴趣，可以诙谐、正式、专业等等尽情发挥，只要针对产品背景及特点描述。,任务编号：397574,史迪仔,那一家店
