标题,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【品牌起名】法式鹅肥肝产品名称征集,3798人,137人,¥150,圆满完成,o58c3b6afc1dd5,品牌名称要求简洁明了，通俗易懂。能体现本厂法式鹅肥肝产品的特色，本产品属于高端冷冻食品，主要符合国内市场。1、名字简洁明了2、4个字之内3、必须要注册使用,2017.03.11,2017.04.19,任务编号：482562,￥ 150,,鲸点子设计,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】围绕“玖福”写一段广告词,5011人,84人,¥100,圆满完成,o58c27d320e886,我的店名叫做“玖福火锅”想围绕“玖福”俩字 写一段广告词 体现“福”文化 比方说“一福........，二福........，三福........，.....九福.......。”,2017.03.10,2017.04.01,任务编号：482357,￥ 100,,n810555035,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】35类红酒庄起名征集,4731人,142人,¥200,圆满完成,zgzxy,"经营范围：进口红酒。名称用途：1、用于店面的门头，适合于推广。                    2、既可单独使用，也可连接使用，如xxx红酒小镇或XXX葡萄酒要求：1、名称简单，响亮，易记，有趣，有创意；            2、可注册35类商标使用；            3、可用于微信公众平台和微店。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.10,2017.04.23,任务编号：482214,￥ 200,,明尼苏达猪工作室,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】茶饮店品牌取名,6404人,196人,¥150,圆满完成,佳俊餐饮,我公司现在主营餐饮连锁，名称要符合我的经营主体，好记，顺口，要求发展连锁品牌店也可以用的。名字是要注册商标第30类、32类、43类餐饮类目，35类连锁品牌任务类别：主要做茶饮这个类目，这个要取名知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任,2017.03.09,2017.05.22,任务编号：482009,￥ 150,,edixiusi,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】餐饮连锁炸鸡店品牌取名,3284人,157人,¥150,圆满完成,佳俊餐饮,"我公司现在主营餐饮连锁，名称要符合我的经营主体，好记，顺口，要求发展连锁品牌店也可以用的。名字是要注册商标第43类餐饮类目,35类连锁品牌任务类别：主要做炸鸡这个类目，这个要取名知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任",2017.03.09,2017.05.22,任务编号：482001,￥ 150,,wanfei87,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】问答项目取名征集,4358人,164人,¥168,圆满完成,vionlr,1，名字两个字，感觉有古韵古风 （如：知乎）2，能注册商标3，不能同义，同音4，有内涵，音韵和谐。易于传播5，有相关问题，私信留言必回6，所有选中标入围的名字 视为版权归属为任务方,2017.03.09,2017.03.31,任务编号：481943,￥ 168,,乐心传媒工作室,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】面条行业取名,4767人,171人,¥100,圆满完成,o58c0****45916,"做面条的行业，起名：简单两个字到三个字之间，取得好听一点1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.09,2018.02.17,任务编号：481796,￥ 100,,五艺之星,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】网络商城起名,4329人,115人,¥100,圆满完成,o58bf80d63dd05,我司主营项目快消品等批发配送起名要求及注意事项：1. 必须为原创，未在国家商标局注册过。不能侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任。需要贴上中国商标网查询截图。2.名字需 大气，品味，新潮，有内涵，音韵和谐。易于传播，尽量简短好记。3、中标的名字，我方支付费用。即拥有该作品的知识产权，包括著作权、使用权和发布权等，并有权对作品进行修改、组合和应用，不得再向其他任何地方使用该命名。4、请提交稿件前 一定先查询清楚是否已经注册，谢谢！+5、能在35类42类注册,2017.03.09,2017.06.18,任务编号：481851,￥ 100,,xdfswyyg,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】水果店名取名,4121人,172人,¥100,圆满完成,mf187****4939,以新鲜，美味健康为主题的顺口的名字,2017.03.09,2017.04.13,任务编号：481837,￥ 100,,星橙设计QQ1356183009,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】男宝宝起名征集,5711人,139人,¥100,圆满完成,mf150****3396,出生日期2017年2月14日下午15点18分（农历正月18）父亲姓李，名字要求不俗气，有寓意，符合生辰八字，希望名字测试分数高，而且要注明寓意，并且要和生辰八字紧密相关,2017.03.09,2017.08.25,任务编号：481819,￥ 100,,燃烧建站,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】品牌取名,8038人,232人,¥100,圆满完成,Mr151****4366,户外装备品牌取名，举个栗子“天生玩家” 取个类似的名称，但不能近似，需要可以注册商标，9类11类18类,2017.03.08,2017.06.22,任务编号：481604,￥ 100,,仟仟™孤媒,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】有机茶宣传广告语征集,6083人,135人,¥200,圆满完成,Mr180****1138,想句宣传广告语，有机茶，无农药，无农残，无化肥，原生态，高海拔需求：广告语1.广告语字数控制在10字内2.取名符合潮流趋势，易记有吸引力3.广告语要朗朗上口，体现品牌意图，结合茶道精神4.符合产品人群定位的偏好，以都市30-45岁白领为主品牌为：御亭山,2017.03.07,2017.08.25,任务编号：481421,￥ 200,,深圳特物网络科技有限公司,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】王姓二胎男宝宝起名,6570人,179人,¥100,圆满完成,o58bd255ea6ca5,2017年3月3日凌晨0:42分出生，（阴历2月初六），二胎，姐姐叫王雅*  ，想跟姐姐第二个字同音不同字，不能有 明，华，春，勇，亮，国，泉等字。尽量避免网上那些已经公布的起名用字最多的字。要求名字为三个字，且朗朗上口，不能带不雅谐音。,2017.03.06,2017.07.24,任务编号：481005,￥ 100,,航嘉山庄,工作室,七品,39分,,,,,,,,,,,,,,,,,,,,
【公司起名】手机周边电子产品公司取名,3363人,69人,¥300,圆满完成,mf134****8377,取2个名字 一个公司名字  一个品牌名字 （需要中英文名字）公司主要是做 手机周边电子产品的 （耳机 充电线 自拍器 等等 ） 消费群体面向全球，做一个国际品牌 ， 所以名字必须要能全球注册的。名字要高端 大气  跟行业吻合。,2017.03.06,2017.08.07,任务编号：481000,￥ 300,,起名取名+翻译,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】新锐花店取名征集,4051人,130人,¥138,圆满完成,o58b7b2f2d337f,"花店征名，本花店位于深圳。                            经营介绍： 主营鲜花 。                            产品主要三类：                                            1、主营花礼（花束）以高端进口花材为主 走定制风格 韩系 唯美风格                             2、个性唯美婚礼 宴会用花定制                             3、多肉产品 小绿植为辅                                        要求：                                            1、名称响亮，易记，有创意 个性唯美 或者 欧美风 店铺名最好有意义阐述 能赋予花店名称的一个小故事或者是为什么要取这个名 本人姓名带一个“倩”字 如果能融合进店名也可以 后续会有花艺培训 花艺沙龙的项目 取名可以考虑到这些项目 ;(必需可以注册公司的)                                        2、最好有中、英文两种名称 可以从中文字面演义英文名称 也可从英文名称演义到中文名称，并可注册商标                                        3、定位中高端客户群体 面向年轻时尚受众 花礼风格偏韩系 法系 自然风 唯美。类似图片风格                            知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.06,2017.05.29,任务编号：480836,￥ 138,,o58a7ba752297a,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】展览设计装饰公司名称征集,3443人,97人,¥100,圆满完成,acan2008,新注册公司是专注展览展示，包括展览设计、策划，施工一体化工程。行业内有金螳螂（上市公司），水晶石，风语筑 等知名公司。要朗朗上口，容易记住就好。,2017.03.05,2017.04.02,任务编号：480664,￥ 100,,踏雪有痕,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】餐饮连锁品牌店名征集,4799人,144人,¥150,圆满完成,mf138****9067,"名称要符合我的经营主体，主要做小吃，面食等。好记，顺口，要求发展连锁品牌店也可以用的。名字是要注册商标第43类餐饮类目,35类连锁品牌任务类别：名称要俩者都适用，时尚个性不失内涵；.商标品牌传播性强，不狭隘；名称3字最宜，易记忆，朗朗上口，寓意深长。作品一经采用将拥有作品创作版权及使用权，具有修改等自我处理权利，如果有抄袭或者盗版他人著作权产生的一切后果，本人概不承担后果！知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任",2017.03.05,2017.06.11,任务编号：480647,￥ 150,,疯狂的小象.起名+logo+商标注册,个人,九品,37分,,,,,,,,,,,,,,,,,,,,
【品牌起名】柿饼商标注册起名,5035人,137人,¥200,圆满完成,富平金秋霜柿,要求可以在商标局注册，我们需要注册的是富平柿饼，字数在2-4个字左右。,2017.03.04,2017.03.29,任务编号：480525,￥ 200,,子书,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】手撕面包店起名,4670人,159人,¥100,圆满完成,o58ba82981d2cf,好记简洁，2个字就可以，读起来朗朗上口 另外可以直接注册公司名字的，比如XX餐饮管理公司,2017.03.04,2017.03.21,任务编号：480488,￥ 100,,o58b5f265223d8,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】陈姓女宝宝起名,7928人,216人,¥100,圆满完成,mf158****7236,爸爸姓陈，妈妈姓涂，2017年3月21号上午11点21分出生。要求朗朗上口。不要会想到带不好外号。,2017.03.02,2017.04.06,任务编号：479810,￥ 100,,mf15206803802,,,,,,,,,,,,,,,,,,,,,,,
【宣传策划】写一篇文章用于微信公众号转发用,4201人,18人,¥180,圆满完成,mf189****3752,写一篇文章用于微信公众号转发用，主要内容要很好的表达下面的几个点就行【最好是图文的形式 一目了然】本人从事微商！产品是全网所有的品牌鞋！ 主要表达的点1、团队从事鞋业十几年，是行业的资深人士。2、任何地方的鞋子【网上、淘宝、天猫、京东】只要给我图片我都能找到同款并且低价出售。专注高价同款 低价出售！支持货到付款！3、将客户引导到公众号进行查看【第二点是很牛的大招，重点突出很牛的微信公众号：crcozr】  类似：一个字牛!二个字真牛!!三个字TMD牛!!!  这个不得了！！这个真牛！ 2017最牛公众号！赶快告诉你身边的朋友！！  快来看啊！ ...........,2017.03.03,2017.03.20,任务编号：480061,￥ 180,,断肠人在天涯,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】想给新店取名,5352人,176人,¥150,圆满完成,mf159****2199,我是做紫砂壶生意的 想给新店取个雅致大气的名字 （工商商标注册要能通过）,2017.03.03,2017.03.16,任务编号：480024,￥ 150,,见证奇迹,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】白酒名称取名征集,5350人,167人,¥200,圆满完成,mf132****8909,起一白酒名称，包含大秦帝国四字，可注册为上,2017.03.02,2017.05.29,任务编号：479835,￥ 200,,航嘉山庄,工作室,七品,39分,,,,,,,,,,,,,,,,,,,,
【公司起名】电线电缆公司起名,4753人,89人,¥300,圆满完成,zhjshow,1.名称响亮简短易记（笔画不要繁琐），2-3个字，最好2个字；高端大气上档次、正能量、有创意但不失稳重。2.有中、英文两种名称，英文不一定要现成的单词，可自己自由组合字母（音译）；需可注册公司和商标（9类0912），两个请自行查实后能否注册再上传。3.注意原创，禁用软件，谢谢！4.一旦采纳签订中标授权书之后即可发放征集奖金。（如有重复名称，中标以第一投标时间为准）-----------------------------详情见附件------------------------------我们收到的投稿必须包含的内容有：名称+域名+创意说明+商标是否被注册。,2017.03.02,2017.03.21,任务编号：479813,￥ 300,,时尚先生2013,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】网络推广平台起名,5291人,188人,¥200,圆满完成,o58b7a21f664bb,我们有个CPS网络推广平台，会吸引网络推广员来平台注册，推广产品。类似淘宝客。推广员通过推广产品，获取佣金。     现在要给平台起名。要求：1：易懂易记、不俗气                    2：尽量符合平台特点：网络推广+赚钱（此项非一定要满足，能满足最好）,2017.03.02,2017.08.03,任务编号：479797,￥ 200,,阿莫工作室,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】为定制家居起名,3800人,145人,¥100,圆满完成,mf158****3616,我们是做定制家居的，想起一个名字，2到3个字。我们是做厨柜，衣柜，酒柜，鞋柜，等定制家居的，,2017.03.02,2017.05.20,任务编号：479782,￥ 100,,乐心传媒工作室,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】杭州羽毛球营销公司取名,4471人,163人,¥100,圆满完成,o58b6b460ef82e,"设计要求：1、公司名称一定要高端大气，简洁易记，朗朗上口，有创意但不失稳重，体现出较好的寓意。;(必需可以注册公司的)2、名字两个字为佳，如有更好创意可放宽限制。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.01,2017.05.08,任务编号：479665,￥ 100,,good  idea,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】定制家居起名征集,3136人,71人,¥100,圆满完成,mf158****3616,我们是做定制家居的，想起一个名字，2到3个字。我们是做厨柜，衣柜，酒柜，鞋柜，等定制家居的，,2017.03.01,2017.03.13,任务编号：479620,￥ 100,,创意513工作室,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】中药饮片枸杞商标名设计,3075人,81人,¥100,圆满完成,小小饿了呀,公司打算做食品类枸杞和中药饮片枸杞，现征求商标名称：要求：1、体现中药药材枸杞，朗朗上口，简单易记，易传播，寓意好，有创意；  2、不要模仿、雷同，不要牵强附会，商标系原创，5类、30类能注册成功，3、要中文名，2-4个字均可；4、附创意说明，品牌名称的寓意5、商标名称举例：乐天、乐视。名字好听好记，一下就知道是做什么的,2017.03.01,2017.08.03,任务编号：479614,￥ 100,,文案服务,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】石油化工公司起名,6199人,141人,¥500,圆满完成,eastchnt,"石油化工经销公司名称征集，本公司位于辽宁大连。 经营介绍：  主要从事成品油零售、批发、CNG及LNG经营，同时承揽加油加气站承租收购业务经营的特点： 1、汽油、柴油、化工原料的批发业务2、加油站、加气站的承租和收购业务3、承租和收购来的加油站、加气站连锁加盟经营要求： 1、名称响亮，易记，有创意但不失稳重，最好带有中字的字;(必需可以注册公司的) 2、有中、英文两种名称，并可注册商标 3、附上创意说明。4、将来公司经营模式类似中石油、中石化、道达尔 知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.03.01,2017.05.29,任务编号：479523,￥ 500,,桂林瑞斯卡文化传播有限公司,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】晨鲜参品牌下属系列产品进行命名,3316人,75人,¥300,圆满完成,chenxianshen888,1、简介：公司介绍及品牌故事：“晨鲜参”是一个新生的轻奢海参料理品牌，从命名上取其品牌创始人“陈先生”的谐音，同时亦被赋予以清晨、鲜活的美好寓意。如此美妙的愿景，亦是“陈先生”创立“晨鲜参”品牌的初心。作为一家有着十五年历史、产品为业界众口皆誉的艺术品公司的所有人与经营者，“陈先生”对于一切皆有本于匠心的追求。在他的心目中，食品与藏品有着天然的相似。他曾如何对待一款出自己手的工艺藏品，如今，仍以一以贯之的态度执着于对每一道海参膳品的雕琢，从食材的养成及遴选，至工艺的炮制与优化，乃至膳品的卖相与口味。“陈先生”是一位严谨的匠人，亦是一位挑剔的食客，而更为重要的是，他还是一位不苟于细节的生活家。“陈先生”对于美味的承诺好比良朋挚友，山水迢遥，只为向您献上新鲜与活力的问候；“晨鲜参”对于海参的理解有如浑金璞玉，千雕万琢，只为您的营养与健康而存在。2、产品系列（1）国产底播野生辽参（即食海参、速发海参、淡干海参），一个名字即可；（2）国外（俄罗斯）野生海参（即食海参、淡干海参）；（3）营养配餐：主要针对高端白领、特殊人群（孕产妇、肿瘤、术后患者等）；营养餐主餐包含海参粥/汤、燕窝羹、包子/小面包、开胃小菜、水果，可根据配置的五种主餐食，可结合五行或是五福等创意、寓意进行营养餐命名。3、起名要求：（1）便于记忆、朗朗上口，最好是三个字，如是两个或四个，请将创意说明；（2）符合当下餐饮行业的文化水准、时尚、没有歧义、传播率要高；（3）可用于商标注册；4、请附创意说明,2017.03.01,2018.02.17,任务编号：479430,￥ 300,,女战士小N,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】殡葬礼仪公司商标名称征集,3860人,129人,¥250,圆满完成,阿帕斯,1、中文名，两至四个汉字；2、文字简洁流畅，读来朗朗上口；3、蕴意深厚儒雅，令人印象深刻 ；4、切不可直指殡仪服务及寿衣产品本身；5、可以同时注册4504类和2411类；知识产权说明： 1、参与作品为原创，不能侵犯他人商标权。 2、中标作品，我方支付费用，即拥有该作品的知识产权，包括著作权、使用权和发布权等，并有权对设计作品进行修改,2017.03.01,2017.04.01,任务编号：479438,￥ 250,,金名创鑫,工作室,七品,37分,,,,,,,,,,,,,,,,,,,,
【广告策划】取以特色为主题的煲仔饭餐厅命名及广告词,13194人,133人,¥500,圆满完成,mf159****4267,"上                                                征集内容 现征集煲仔饭店名, 威客朋友所提交的创意名字必须能在国家商标局注册申请商标，不能抄袭、不能模仿、须自主创新，主要用于日后全国连锁店加盟应用。1.命名要求: a.所取的名称必须和煲仔饭相关，以及相应的广告语，通俗易懂 。b.所设计的名字以个文2-4字为宜，不须要超过4个字。c.本煲仔饭品牌日后会面向全国开放加盟，餐厅文化会以店名想象植入。2.命名参考：a.以突出煲仔饭大米主食命名关键词：“米” “食”  “禾”  “谷”  “粮” “稻”  例如：“米食先生煲仔” “禾禾谷煲仔” “稻香米煲仔”b.以纯朴贴切的人物命名关键词：“大嫂” “老爹”  “大叔”              例如：“乔二娘煲仔”  “顾大嫂煲仔” “舟妹煲仔”c.以现代年轻时尚元素相结合：     关键词亲们自己想象                            例如：“香他她”   “想他她”  “杠岗香”d.也可自主创新，大胆想象，但整体店名要简单，大方，易记突出。可在网络上查看目前全国煲仔饭品牌，不能偏离“煲仔饭”相关的文化！3.知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任；2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改组合和应用，设计者不得再向其他任何地方使用该设计作品！",2017.02.28,2017.05.27,任务编号：479378,￥ 500,,简正品牌设计,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】牛火锅品牌店起名,3913人,174人,¥200,圆满完成,chenxianshen888,1、简介：经营种类：牛火锅（牛腩、牛肚、牛舌、牛尾、牛肠、牛血、牛蹄筋等）；经营形式：堂食、也可外卖；2、起名要求：（1）便于记忆、朗朗上口；（2）符合当下餐饮行业的文化水准、时尚、没有歧义、传播率要高；（3）可用于商标注册；（4）股东两人：阳姓女士、陈姓男士，可用姓氏进行命名，也可不用。请附创意说明,2017.02.28,2018.02.17,任务编号：479292,￥ 200,,踏雪有痕,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】珠宝店铺策划培训公司起名,2590人,85人,¥100,圆满完成,qu04,珠宝店铺策划培训公司取名，主要做珠宝行业的珠宝店铺策划活动，培训类的， 要求：1、名字要有创意，天马行空都可以，不要太中庸，太中式的名字2、字数限制在2-3个字 知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任,2017.02.28,2018.02.22,任务编号：479271,￥ 100,,mf15170318279,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】征集餐厅品牌名称,4225人,136人,¥200,圆满完成,mf135****7723,餐厅介绍：餐厅菜品风格：以川式风味结合粤式豆捞。餐厅主营汤锅：以汤锅和涮食为主，占整体菜品的70%，炒菜、凉菜、小吃为辅，占整体菜品的30%。餐厅装修风格：以时尚风结合都江堰水文化为主题。餐厅消费定位：中高端消费，人均100元以上，主要针对商务宴请，家庭聚会等人群。餐厅品牌名称：2-4个字为宜，但不局限。名称征集要求：一、名称要符合餐厅主题，有创意，简单易懂二、未被商标注册，并且可以申请注册的名称,2017.02.27,2017.03.24,任务编号：479024,￥ 200,,文案服务,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】门窗行业商标取名,4252人,108人,¥100,圆满完成,o58b397329cc0d,"要求：名字有一种高上的感觉，符合行业的感觉，让人一看就知道是做门窗行业的1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.02.27,2018.04.13,任务编号：478890,￥ 100,,潮落潮起的商铺,个人,四品,37分,,,,,,,,,,,,,,,,,,,,
【公司起名】科技公司起名,7932人,162人,¥100,圆满完成,Mr188****9085,"科技公司名称征集，本公司位于北京。经营产品介绍：目前产品不限， 设计要求：1、公司名称一定要高端大气，简洁易记，朗朗上口，有创意但不失稳重，体现出较好的寓意。;(必需可以注册公司的)2、有中、英文两种名称，100%可注册9类商标。3、名字两个字为佳，如有更好创意可放宽限制。4、要求中英文最好都有寓意，而且中英文相对应，请附上文字创意说明。                    知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2017.02.26,2017.06.22,任务编号：478771,￥ 100,,仟仟™孤媒,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】婴童用品店铺取名,3377人,133人,¥100,圆满完成,austin823,母婴店铺实体店铺取名：要求：1、简单明了，洋气脱俗2、店铺定位0-6岁婴童用品、服装等销售（更偏向于婴童床上用品、护理用品销售）3、最好有中文名和对应的英文名,2017.02.25,2017.04.10,任务编号：478610,￥ 100,,乐活创享,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】综合休闲餐厅名字取名,4036人,150人,¥100,圆满完成,mf158****3248,取餐厅名字，要求2-4个字，餐厅复合型休闲餐厅，经营（西餐，简餐，咖啡，酒水，烧烤），要求店名时尚，大气，易传播，易连锁，店名考虑注册商标，客户人群，白领，年轻一族、要求可以注册商标。注：名字着急用，请大家踊跃参加，谢谢,2017.02.25,2017.05.15,任务编号：478550,￥ 100,,无明舍工作室,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】花店名字取名,5402人,161人,¥100,圆满完成,寇宣01,花店名字取名，简易创意，英文，最好是存字母，本人叫王晨，可以从中文名提取点创意这个花店名字是用于微信公众号 简单创意王晨 博华 这两个名字的拼音字母能联系起来 取一个英文名,2017.02.24,2020.05.23,任务编号：478409,￥ 100,,chen_123,,,,,,,,,,,,,,,,,,,,,,,
【品牌故事】传承文创征集品牌故事文案及广告语征集,5251人,9人,¥300,圆满完成,传承文创,"传承文创工作室是一家专业设计并制作礼品定制手表的的公司,旗下品牌JUST2YOU主要在国内外各知名电商平台销售，消费群体主要是个人定制客户,大中小型企业,社会团体组织等等。 以下所有所需都将用到淘宝店铺或其他平台。 一、编辑品牌故事：要有感染力，有阅读性，引起读者的共鸣。品牌起源品牌定位 品牌介绍 故事情节 。     JUST2YOU的品牌起源及原有品牌故事详见附件《全新的JUST2YOU的中心思想》、压缩文件""品牌故事参考素材""。二、广告语3条：第一条：简明扼要能体现JUST2YOU定制手表的用心、独一无二 、创意。 第二条及第三条:用于首页、分页、详情页。详见附件“广告语参考”。三、.传承文创JUST2YOU产品的相关链接详见附件:“平台及产品链接参考”编辑各文案之前请先与本人沟通，电话联系本人。联系电话：闫女士 13728150860  杨女士 15803801246联系QQ：157582944知识产权：1、作品应为原创，为第一次发布，未侵犯他人著作权，如有侵犯他人著作权，由创作者承担所有法律责任。2、中标的作品，我公司支付费后，即拥有该作品知识产权，包括著作权、使用权和发布权等、有权对设计作品进行修改组合和应用。3、作品一经采用、所有权、修改权和使用权均归我方所有、创作者不得在其他任何地方使用该作品、包括并不限于著作权、使用权、发布权以及对作品进行修改、组合应用等权利，否则构成侵权、我保留依法追究创作方法律责任的权利。",2017.02.24,2017.03.13,任务编号：478406,￥ 300,,江先生的创意工坊,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】互联网创富团队起名征集,2857人,97人,¥100,圆满完成,mf151****1001,互联网创富团队起名，XX联盟，XX 团队，百度热词指数要非常低.1.尽可能用（李小斌，  王燚）两个名字的谐音。2.名字含义;梦想，自由，正能量。,2017.02.24,2017.03.10,任务编号：478301,￥ 100,,o58afb541ac61c,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】连锁便利店英文命名,6090人,145人,¥720,圆满完成,mf136****8932,"“爱民”英文命名  行业：连锁便利店     广告语：相伴每一刻说明：英文要贴近广告词  贴近名称。注：不能用直接翻译和拼音如Love people、AIMIN。相关含义：对客户的服务、和供应商的共同发展、对合作伙伴的价值、项目未来发展知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由威客承担所有法律责任;2、中标的命名作品，我方支付设计费用，即拥有该名字的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;中标者不得再向其他任何地方使用该作品;",2017.02.24,2018.08.23,任务编号：478266,￥ 720,,幻之界工作室,,,,,,,,,,,,,,,,,,,,,,,
【宣传策划】餐厅品牌故事撰写,5057人,11人,¥100,圆满完成,mf150****2929,1、餐厅名字“壹鸽主题餐厅”2、营业时间：午、晚市：11:00-21:30，宵夜场：21:30-02:003、餐厅主经营：特色乳鸽（红烧乳鸽、沙姜乳鸽、盐焗乳鸽、蒜香乳鸽）、烤全羊、东北特色烧烤等故事重点突出乳鸽、烤全羊和烧烤的内容，故事的背景最好能脱离传统的粤菜系列，能从正餐的特色乳鸽衔接到宵夜的烤全羊及东北特色烧烤。品牌故事控制在1000字以内,2017.02.24,2017.07.31,任务编号：478192,￥ 100,,智通策划文案,,,,,,,,,,,,,,,,,,,,,,,
