标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10
【爱情表白】七夕送给恋人QQ空间留言,https://task.epwk.com/298295/,11087人,23人,¥100,也U家的李,￥ 100,￥100,2014.08.02,送给恋人，参照格式如下：     小五，你好，我是来自玫瑰星球的XX（发送人昵称），公主委托我们到地球特发来祝福一份：❤七夕情人节快乐❤~~~~~~~公主想对你说：亲爱的九宝贝，你若安好，便是晴天。 （接收人QQ：373369489，空间开放审核要求：每人只限在空间留言发送一条，需要发送25条，并且祝福末尾添加两束玫瑰花表情。发送完毕后通过QQ截图确认任务完成。）希望大家能够帮助我们的公主，祝大家情人节快乐！,任务编号：298295,"工作室 |            
            遇树临风的店铺","工作室 |            
            小庆设计工作室",风华绝代,"个人 |            
            日系衣舍",吃狼的绵羊,"个人 |            
            小兰2011的店铺","工作室 |            
            青石台综合创作工作室",小街道33号,"个人 |            
            金品设计",qinhaihua
【道歉短信】尽最大的努力去挽回男朋友的这份爱,https://task.epwk.com/298071/,926人,38人,¥100,魏佳,￥ 100,￥82,2014.08.01,上周因为一些事情，我们吵架了，他就回来在家里不理我，对我很冷淡，第二天我们说好回家里谈谈心的，可是回到家里，他就没有和我谈心，等到晚上睡觉的时候，我在床上问他不是有事情要说说吗？可是他没有说话，我们就这样睡觉了，第二天的时候他说他自己想在家里呆着，我就在公司宿舍住了，这两三天我和他发信息都不怎么回我，我真的好难受，然后第二天早上我忍不住了，就和他发信息问他怎么了还在生气吗？这样不理我了，真的很讨厌，他中午就回信息给我，他说我们还是分开比较好，他说我不信任他，他觉得我们很多地方都不相容，说了很多，我用尽了很多挽回的信息，回给他，他就说我们都不要勉强自己，他还说和我在一起没有了自由，而且很不自在，可是我从来就没有过问过他的事情，也没有限制他的自由更加没有管住他，只是自己有点依赖他，我真的很爱他，不想就这样分手了，我觉得两个人相遇走在一起是件很不容易的事情，所以我想珍惜这份感情，不想自己以后有遗憾，希望我们都给对方这一次的机会，我也会更加去改进自己的不足。我和他说七夕的时候我们好好的去吃餐饭，看场白发魔女电影就散吧！他答应我了，其实我还是想挽回他，我想通过威客平台让大家给我男朋友在七夕节的时候发一些有好听的话，来感动他，谢谢！我真的很在乎这段感情。                                    要求;请以23个省：河北省（冀）、山东省（齐）、辽宁省（辽）、黑龙江省（黑）、吉林省（吉）、甘肃省（陇）、青海省（青）、河南省（豫）、江苏省（苏）、湖北省（鄂）、湖南省（湘）、江西省（赣）、浙江省（浙）、广东省（粤）、云南省（滇）、福建省（福）、台湾省（台）、海南省（琼）、山西省（晋）、四川省（川）、陕西省（陕）、贵州省（黔）、安徽省（皖）。4个直辖市：重庆市、北京市、上海市、天津市。5个自治区：广西壮族自治区、内蒙古自治区、西藏自治区、新疆维吾尔自治区、宁夏回族自治区。2个特别行政区：澳门特别行政区、香港特别行政区。的地方名义发短信，一个地方一条短信，每个手机号只能发一次，每人发一次、每条1元，谢谢。（以上地区只需要在短信里注明就好，不一定要当地的人才可以发此信息，短信里绝对不可以提到有女人喜欢他的事）信息格式如下：brian你好!我是来自（XX省、XX直辖市、XX自治区、XX特别行政区）的XXX受你亲爱的佳佳让我告诉你：她真的真的很爱你！她知道做了很多事情让你误会伤心失望！她也很心痛，她真的很在乎你！……（中间自由发挥）希望你能再给她一次机会她不会让你再次失望的。后面的就请你们自由发挥，让他知道我是真的很爱他，很在乎他，谢谢！).如果对方回复短信问你任何问题，不要回复。不要透露是做任务的，也不要提到祝结婚和白頭偕老的话题，一定要保密哦！这是他的电话号码18816819192   希望大家在8月2号晚上20：:00发送，拜托了,任务编号：298071,王翠12345,盛开的花,乐水无心,王翠12345,belliue,shmilywzb,"工作室 |            
            青石台综合创作工作室",吃狼的绵羊,qinhaihua,今生为钱势奋斗
【软文发布】论坛或博客推广，简单软文发布（2元1稿）,https://task.epwk.com/298070/,5660人,5人,¥100,樟树的叶子,￥ 100,￥20,2014.08.01,发帖内容：全文转载附件中的内容。发贴要求：1、发大中型论坛人气高的版块，同一论坛只能发一条，论坛类型为大学生论坛、各省市人气高的论坛、各大交友论坛、天涯、猫扑、西祠、豆瓣、人人、seo论坛、赶集、58同城、百度贴吧，等等。2、发在各大博客也可以，如新浪、网易、搜狐等大型博客。3、发贴必须是主题帖，不能是跟帖，无需注册即可直接查看。4、五天不被删除，【灌水、广告板块不发、也不可发在不良网站，如果发在不良网站，则该威客的其它所有交稿都不予审核】。5、每人最多发10稿，多做不审核。注意：用群发软件非手工发帖的，一经发现，视为无效帖。复制他人劳动成果交稿的小伙伴儿请绕行!交稿格式：  论坛（博客）名称+链接地址  否则不审稿,任务编号：298070,王翠12345,"工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...","工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...","工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...","工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...","工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...",SheldonOng,SheldonOng,香山乐天,"个人 |            
            七彩屋"
,,,,,,,,,,,,,,,,,,,,
【纪念日祝福】发送七夕祝福短信，一稿5元,https://task.epwk.com/298012/,13395人,53人,¥300,我们的路,￥ 300,￥215,2014.07.31,"由于情人节不在女朋友身边，希望朋友们帮助送短信祝福!  任务要求1.表达虽然不在一起但满心的思念,表达自己的爱情宣言和对我俩的爱情祝福2.表达我对她深深的爱恋，很珍惜这得之不易的幸福3.文字有创新，不落俗套，不得抄袭,不得重复4.内容格式如下:你好，我是来自某地的XX，受你的老公所托向你送来情人节祝福，他想告诉你：虽然现在不能在你身边陪着你但是我的心会一直在你身边守护你，永远永远!5.发送时间限制：2014年8月2日6.00至21.00其他时间发送送恕不采纳！发送时间一定核实好，千万不要提前发送,切记6.短信接收人号码：18635599202.切勿回复或接听电话，请大家保密，不要透漏一品威客网发布的信息，拜谢！7审核标准：截图为证， 一个电话号码只能提交一个稿件，交稿提交截图,截图请带有内容 日期和成功发送页面8.需要自己创作，不可抄袭          发送祝福短信 希望给女朋友个惊喜 谢谢各位好心威客",任务编号：298012,"工作室 |            
            论文代写",吃狼的绵羊,shmilywzb,"个人 |            
            Zzq一Z的店铺",猪猪肉肉711,今生为钱势奋斗,清晨下的吻,qinhaihua,三鲜包,乐水无心
【爱情表白】情人节祝福短信急征,https://task.epwk.com/297879/,11194人,42人,¥100,o53d784a4538a1,￥ 100,￥100,2014.07.31,"由于情人节不在女朋友身边，希望朋友们帮助送短信祝福！任务要求：1.表达虽然不在一起，但满心思念与祝福的主题；2.文字有创新，不落俗套，不得抄袭；3.内容格式如下：你好，我是来自某地的XX，受你的老公刘阳所托向你送来情人节祝福，他想告诉你：虽然现在不能在你身边陪着你但是我的心会一直在你身边守护你，永远永远。（后边自由发挥）4.发送时间限制：2014年8月2日8.00至21.00其他时间发送送恕不采纳！切记！5.切勿回复或接听电话，请大家保密，不要透漏一品威客网发布的信息，拜谢！6.短信接收人号码：187441909097。一个电话号码只能提交一个稿件，交稿提交截图,截图请带日期和成功发送页面发送情人节祝福短信 异地恋 希望给女朋友个惊喜 谢谢各位天南地北好心威客",任务编号：297879,"工作室 |            
            翰龍广告传媒有限公司",今生为钱势奋斗,小御思,小街道33号,"工作室 |            
            青石台综合创作工作室",王翠12345,王翠12345,风风火火的风,qinhaihua,"工作室 |            
            美视觉创意设计工作室"
【纪念日祝福】发送七夕祝福短信，2元1稿,https://task.epwk.com/297583/,10487人,23人,¥100,mf53d****525868,￥ 100,￥82,2014.07.30,朱朱（姐姐或妹妹，她24岁）你好，我是来自某地的XX，我受神秘男委托向你传达他的爱恋，他想对你说，不管以后怎么样，你永远是他最爱最疼的宝贝，他会努力让你轻松快乐。（自由发挥）（勿开玩笑)时间限制：2014年8月1日至8月2日，截止到下午19：00若对方短信回复时无需回复，请大家保密，不要透漏一品威客网发布的信息。最后，感谢热心人帮忙。发送七夕祝福短信，我和她住得近，天天见面。追求快一年了，成功一大半了。 希望给女友个惊喜，谢谢各位好心威客。电话见附件文件名。审核标准：截图为证， 带有内容和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！或者委托威客官方筛选。,任务编号：297583,嘻嘻哈哈123,secret0206,"工作室 |            
            论文代写","工作室 |            
            小庆设计工作室",梦旅人0758,qinhaihua,君之礼,"个人 |            
            ellina的店铺",simbaip,liwei790606
【生日祝福】生日短信祝福召集，一稿2元,https://task.epwk.com/297194/,9219人,22人,¥100,s7429****7,￥ 100,￥100,2014.07.28,我同学生日 ，想请朋友们帮助给她来个小小得surprise~~~1. 时间：2014年8月1日 24：01~24：10 或 8：00~9：00（最好在半夜24：01分后发，记得定时哦，过时就不要发了）2. 发送内容在文件里3.手机号也同样在文件里4.截图为证， 带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。                 能否点亮她的生日就靠你们了~~~~~,任务编号：297194,"个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺",绿叶,said92,乐水无心,"个人 |            
            艾豆笔尖"
【软文发布】百度权重3以上网站发帖，一稿两元（第1期）,https://task.epwk.com/297297/,11493人,6人,¥200,song777,￥ 200,￥128,2014.07.28,1、将雇主提供的帖子（见附件）发布到百度权重3以上(大学生、财经、股票、投资、理财、银行、网贷、期货、重金属)类型的论坛。 2、帖子中的网址、红色字体的文字，要做超链接。 3、发帖时要保持帖子内容完整、整齐；帖子中含有网址或图片，注意保留，帖子中的图片在附件中，请注意放在帖子的对应位置。 4、必须人工发帖，不注册也能查看，被删帖子无效。 5、发一个论坛算一稿。 6、 以下网站发布的优先合格：1.百度贴吧、百度知道，.soso问问，sogou问答，360问答 2.猫扑五花八门3.搜狐论坛4.凤凰论坛5.环球网论坛6.新闻论坛7.天涯论坛、8.西祠胡同、9.搜外SEO论坛、10.腾讯论坛、11.苹果园论坛 14.新华网论坛15.QQ论坛16.ChinaRen社区17.铁血社区18.威锋论坛19.京华论坛20.华声论坛21.奥一论坛22.红网论坛23.搜狗说吧24.19楼论坛25.西陆社区26.大洋论坛27.青岛论坛28.四川麻辣社区29.天府论坛30.Tom论坛31.雅虎口碑论坛32.CCTV论坛33.21CN社区34.南方论坛35.奇虎网36.国际在线论坛37.IT168论坛38.中新网论坛39.中广网论坛40.榕树下社区41.山东大众社区42.河南大河社区43.水木社区44.古城热线论坛45.广西红豆社区46.上海热线论坛47.Donews-IT写作48.a5站长论坛49.落伍者论坛50.魅族论坛 51.UC社区52.安卓论坛53.机锋论坛，小米论坛、，塞班、手机之家论坛等,任务编号：297297,"工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...","工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...","工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...","工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...","工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...","工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...","工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...","工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...","工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、...","工作室 |            
            山村老湿---承接论坛、贴吧、B2B信息发布、网站纯手工发帖、..."
【生日祝福】为好朋友发生日祝福,https://task.epwk.com/294780/,11476人,25人,¥100,fcjailybo,￥ 100,￥32,2014.07.14,我最亲爱朋友七月十四号生日，我想要在她生日那天，收到来自天涯海角的人送来的祝福。短信内容大概是：尊贵的娜娜女神，您好  我是来自xx的XX。今天是您的生日，由于某人的手机发不出短信，正伤痛欲绝，上帝特派我来救他于水火，替他向你送上深深的祝福，祝您生日快乐！祝......区域的内容可以自由发挥（她不是学生啦，所以希望不要出现学习进步之类的词语哦）手机号：15084963104     时间：2014年7月14日。从8:00到24:00    都可以发给她。 2、一个号码只限一次，谢谢大家啦。祝福语可不要一样哦。过期了就不要发了，他若有回复请不要回她信息哦！谢谢朋友们了。 3、审核标准：截图为证， 带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！      谢谢大家了！我的心意就靠你们了。,任务编号：294780,"个人 |            
            super0023","工作室 |            
            紫萱缘创意文案工作室",仅对你偏爱y,sf2567818110,C13545003334,全脂奶粉,qinhaihua,"工作室 |            
            美视觉创意设计工作室",都都,"工作室 |            
            美视觉创意设计工作室"
【生日祝福】为朋友发生日祝福短信，2元一条,https://task.epwk.com/293518/,9027人,28人,¥100,丿独爱丶,￥ 100,￥70,2014.07.05,我最亲爱朋友七月六号生日，我想要在她生日那天，收到来自天涯海角的人送来的祝福。短信内容大概是：亲爱的小玲，你好  我是来自xx的XX。今天是你的生日，我在这里替你的好朋友跟你说一声：生日快乐！祝......区域的内容可以自由发挥（她不是学生啦，所以希望不要出现学习进步之类的词语哦）手机号：13640237541     时间：2014年7月6日。从8:00到18:00    都可以发给她。 2、一个号码只限一次，谢谢大家啦。祝福语可不要一样哦。一定要定时发送，千万不要提前发，过期了就不要发了，他若有回复请不要回她信息哦！谢谢朋友们了。 3、审核标准：截图为证， 带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！      谢谢大家了！我的心意就靠你们了。,任务编号：293518,"工作室 |            
            壹少网络工作室","工作室 |            
            美视觉创意设计工作室","工作室 |            
            美视觉创意设计工作室","工作室 |            
            美视觉创意设计工作室",baliu1203,"工作室 |            
            ONLY工作室",baliu1203,槿楒风华,送钱小工兵,"个人 |            
            如意小铺"
【软文发布】简单软文发布（2元1稿）,https://task.epwk.com/293212/,4729人,7人,¥100,樟树的叶子,￥ 100,￥12,2014.07.03,发帖内容：（从以下两篇文章中任意选择一篇，并全文转发）http://hunan.sina.com.cn/hengyang/jy/2014-06-27/164112160.htmlhttp://learning.sohu.com/20140512/n399457473.shtml发贴要求：1、发大中型论坛人气高的版块，同一论坛只能发一条，论坛类型为大学生论坛、各省市人气高的论坛、各大交友论坛、天涯、猫扑、西祠、豆瓣、人人、seo论坛、赶集、58同城、百度贴吧，等等。2、发贴必须是主题帖，无需注册即可直接查看。3、三天不被删除，【灌水、广告板块、站内的版务区不发、也不可发在不良网站，如果发在不良网站，则该威客的其它所有交稿都不予审核】。4、2元一条，每人最多发10稿，多做不审核。注意：用群发软件非手工发帖的，一经发现，示为无效帖。复制他人劳动成果交稿的小伙伴儿请绕行!交稿格式：  论坛名称+链接地址  否则不审稿,任务编号：293212,王翠12345,"个人 |            
            画馨工作室",恒温的心意,yangkai380925761,yangkai380925761,yangkai380925761,,,,
【爱情表白】爱情表白，一稿2元,https://task.epwk.com/293193/,8815人,22人,¥100,sabrinakf,￥ 100,,2014.07.03,打开www.91xiake.com点击头部第1个幻灯片：“美女主播陪你玩游戏”注册登陆进游戏，在世界频道发信息，向她表达爱意！内容可自定，幽默动人就行。注册进入游戏时，取的角色名（要与你的威客名类型，以防盗稿）完成了，提交截图（要包括角色名，表达的文字）2元一稿,任务编号：293193,,,,,,,,,,
【软文发布】淘宝店求收藏，简单任务2元一稿,https://task.epwk.com/291666/,7882人,31人,¥100,feisibeidun,￥ 100,￥66,2014.06.24,我是开淘宝店的，我需要现在需要找优质的威客进行合作，需要有实名的淘宝帐号认证对待任务，按照需求来做需要长期合作，具体参考文档最终威客提交的稿件的时候需要提交收藏店铺的截图哦提交稿件时需要提交淘宝ID，请严格按照要求去做哦，有事情不要旺旺联系,任务编号：291666,zjj1484217611,"个人 |            
            网创众包的店铺",ZGF1986,zhulaohu,hou60364468,"个人 |            
            画馨工作室","个人 |            
            画馨工作室",Shinichi,"个人 |            
            欢姐工作室",CMI_EX_VI778825
【软文发布】转发微信即可，10秒赚2元,https://task.epwk.com/290971/,7466人,15人,¥200,zptzxxc,￥ 200,￥52,2014.06.19,1、查找微信公众号：tuohong28282121或直接搜索：拓宏理财2、查看历史消息3、将标题为：“拓宏理财网6月20日~6月27日发标预告”转发到朋友圈即可完成任务4、要求朋友圈人数不少于100人5、可以重复发布，但时间间隔必须在12小时以上6、截图为证，不然一律不合格,任务编号：290971,无量设计,"个人 |            
            晓肆",zjj1484217611,csgxkj,猪猪肉肉711,tylsnow,"工作室 |            
            鲸鱼工作室","工作室 |            
            鲸鱼工作室","工作室 |            
            鲸鱼工作室",csgxkj
【生日祝福】男朋友生日短信祝福,https://task.epwk.com/289792/,5754人,8人,¥132,zdf42****418,￥ 132,￥20,2014.06.11,我的男朋友是6月13日的生日，我想要在他生日那天，收到来自天涯海角的人送来的祝福。短信内容大概是：亲爱的瓜娃子哥哥，生日快乐！我是来自xx城市的XX，代表你的瓜娃子德芳妹妹向你送上生日的祝福 。她说：感谢上天让我在最好的年纪遇见你！+自由发挥。最后还是要说一句：生日快乐！永远幸福！手机号：15223763704    1、时间：从2014年6月13日16:00到20:00都可以发给他。2、一个号码只限一次，谢谢大家啦。祝福语可不要一样哦。若他有回复，请不要回复他的短信。 一定要定时发送，千万不要提前发，过期了就不要发了。谢谢朋友们了。 3、审核标准：截图为证， 带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！ 发送时间一定核实好，千万不要过期发送。谢谢大家了！同时也祝为我投稿的人爱情美满，全家幸福！,任务编号：289792,小御思,"工作室 |            
            小庆设计工作室","工作室 |            
            小庆设计工作室",LIUCHENHAO,小彩壳,"工作室 |            
            美视觉创意设计工作室","工作室 |            
            美视觉创意设计工作室","工作室 |            
            美视觉创意设计工作室","工作室 |            
            紫萱缘创意文案工作室","个人 |            
            寻云迹"
【生日祝福】发生日祝福短信,https://task.epwk.com/289169/,11591人,39人,¥100,o5382a619dbe42,￥ 100,￥100,2014.06.07,我的老婆六月九号生日，我想要在她生日那天，收到来自天涯海角的人送来的祝福。短信内容大概是：亲爱的老婆生日快乐！我是来自xx的XX，代表天发大哥向你送上生日的祝福 。祝......区域的内容可以自由发挥，手机号：13977668113    时间：2014年6月9日。从8:00到12:00     15:00到18:00都可以发给她。 2、一个号码只限一次，谢谢大家啦。祝福语可不要一样哦。若她有回复，请不要回复他的短信。 一定要定时发送，千万不要提前发，过期了就不要发了。谢谢朋友们了。 3、审核标准：截图为证， 带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！     发送时间一定核实好，千万不要过期发送。 谢谢大家了！我的心意就靠你们了。,任务编号：289169,"个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺",吴家小旋风,"工作室 |            
            小庆设计工作室","个人 |            
            index1的店铺"
【生日祝福】生日祝福，一稿2元,https://task.epwk.com/289153/,9476人,36人,¥100,Felix125,￥ 100,￥100,2014.06.06,1.2014年6月8日是我朋友的生日，我们以前是大学同学 希望给她特别的祝福，希望能够得到全国各地朋友的祝福。2.发送时间：6月8日8:00到20:00，一定要在6月8日发送，千万不要晚发或提前了，发送时间可以全天候自己安排，不要太集中，谢谢大家了。3.审核标准：截图为证，带有内容和一张发送成功或定时发送且带有号码和时间截图，一个号码限发送一次。4.短信内容：又是一个夏天，又一岁了啊。 这是你的季节 要像你说过的阳光那样灿烂哦！虽然没什么联系，还是会突然想你。你好吗？我很好！ 生日快乐哈，真诚祝福你每天开开心心。还有遇到一个好人就把自己嫁了吧！。。。 来自（你所在城市名）的祝福。5.其它要求，若她有回复，请不要回复她的短信，若她回电话，请说只是送上一份祝福的陌生人，她的手机号： 15229889550,任务编号：289153,"个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺","个人 |            
            johnsonlyg的店铺",吴家小旋风,"个人 |            
            index1的店铺","工作室 |            
            小庆设计工作室"
【生日祝福】生日祝福，一稿2元,https://task.epwk.com/288483/,5442人,17人,¥100,lumia,￥ 100,￥32,2014.06.02,1.2014年6月2日是我朋友的生日，也就是今天生日，这是我陪她过得第一个生日，我想给她份惊喜与感动，希望能够得到全国各地朋友的祝福。2.发送时间：6月2日8:00到20:00，一定要在6月2日发送，千万不要晚发或提前了，发送时间可以全天候自己安排，不要太集中，谢谢大家了。3.审核标准：截图为证，带有内容和一张发送成功或定时发送且带有号码和时间截图，一个号码限发送一次。4.短信内容：亲爱的老大，我是（姓名），我在xxx（城市），代表的路爷给你送来了生日祝福+详细祝语+祝福的话，最后加上一句：还有端午节快乐！（大家自由发挥，不要套俗套，才显得有诚意嘛）5.其它要求，下午7点到7点半左右需要6条短信，因为那时候在和她吃饭。若她有回复，请不要回复她的短信，若她回电话，请说只是送上一份祝福的陌生人，她的手机号： 18692376078,任务编号：288483,mf534******749a,斯德哥尔摩,丹丹爱你,qinhaihua,"工作室 |            
            美视觉创意设计工作室","工作室 |            
            美视觉创意设计工作室",liu362731557,"个人 |            
            index1的店铺","个人 |            
            杨杨工作室",vvv佳睿vvv
【生日祝福】为女朋友送上一份生日祝福短信,https://task.epwk.com/287891/,10511人,37人,¥100,zzbb110,￥ 100,￥80,2014.05.28,"1.2014年5月29日是我女朋友的生日，这是我陪她过得第一个生日，我想给她份惊喜与感动，希望能够得到全国各地朋友的祝福。
2.发送时间：5月29日8:00到24:00，一定要在5月29日发送，千万不要晚发或提前了，发送时间可以全天候自己安排，不要太集中，谢谢大家了。
3.审核标准：截图为证，带有内容和一张发送成功或定时发送且带有号码和时间截图，一个号码限发送一次。
4.短信内容：亲爱的小小/小小同学，生日快乐！我是来自xx地的xx，在此代表爱你的萌蛋送来了生日祝福+详细祝语+祝福我们的话。
（大家自由发挥，不要套俗套，才显得有诚意嘛）
5.其它要求，若她有回复，请不要回复她的短信，若她回电话，请说只是送上一份祝福的陌生人，她的手机号：15588278375",任务编号：287891,"工作室 |            
            聘为客工作室","个人 |            
            尽心尽力啦","个人 |            
            SCS D工作室",anne11,tylsnow,王翠12345,王翠12345,绿叶,said92,吴家小旋风
【生日祝福】请大家帮忙发生日祝福  一稿两元,https://task.epwk.com/287523/,13358人,45人,¥100,o5382a619dbe42,￥ 100,￥96,2014.05.26,我喜欢的女孩五月三十一号生日，我想要在她生日那天，收到来自天涯海角的人送来的祝福。短信内容大概是：亲爱的飞飞生日快乐！我是来自xx的XX，代表你的强大哥向你送上生日的祝福 。祝......区域的内容可以自由发挥，手机号：18779160680    时间：2014年5月31日。从8:00到18:00都可以发给她。 2、一个号码只限一次，谢谢大家啦。祝福语可不要一样哦。若她有回复，请不要回复他的短信。 一定要定时发送，千万不要提前发，谢谢朋友们了。 3、审核标准：截图为证， 带有内容日期时间和一张发送成功（或定时发送成功）且带号码的截图。感谢大家的支持！     发送时间一定核实好，千万不要过期发送。 谢谢大家！我的心意就靠你们了。,任务编号：287523,小御思,梦之小鱼精灵,通LOVE,绿叶,动力科,"个人 |            
            小情绪灬大蒜",wqj576811266,yt119,"个人 |            
            寻云迹",liwei790606
【生日祝福】为他送上生日祝福,https://task.epwk.com/286702/,784人,54人,¥100,小鱼摆摆,￥ 100,￥82,2014.05.20,详情看附件,任务编号：286702,"个人 |            
            寻云迹",liwei790606,"个人 |            
            super0023","工作室 |            
            聘为客工作室","工作室 |            
            遇树临风的店铺","工作室 |            
            遇树临风的店铺",绿叶,"工作室 |            
            遇树临风的店铺",y_dmei,梦之小鱼精灵
【纪念日祝福】祝福短信 一条5元,https://task.epwk.com/286614/,13009人,49人,¥250,llzc,￥ 250,￥130,2014.05.19,恋爱100天纪念日我想对自己深爱的女友表达自己的爱情宣言和对我俩的爱情祝福。现征集天南海北的朋友们的创意短信文案，希望朋友们帮助送短信祝福！任务要求： 1.表达我对她深深的爱恋，很珍惜这得之不易的幸福。 2.文字有创新，不落俗套，不得抄袭； 3.内容格式如下：你好，我是来自某个城市的XXX网友，代表你的黄子超，向陈莉莉送来了你们恋爱100天纪念日祝福：（自由发挥祝福语）4.发送时间限制：2014年5月20日6：00-20:00，不在此期间发送恕不采纳！切记！ 5.切勿回复或接听电话，请大家保密，不要透漏一品威客网发布的信息，拜谢！ 6.短信接收人号码：13690857705 最后，感谢热心人帮忙。 发送爱情祝福短信 ，希望给女朋友个惊喜 谢谢各位好心威客6.审核截图的方式，要体现日期时间,任务编号：286614,"个人 |            
            小情绪灬大蒜",Frank_潇,淘吧,梦之小鱼精灵,"个人 |            
            精品屋","工作室 |            
            美视觉创意设计工作室",b1991626,通LOVE,Violet_BDQ,"个人 |            
            秋水寒月"
【宣传策划】征写原创微博 140字微博软文 微博推广 寻求长期合作,https://task.epwk.com/285368/,10479人,18人,¥200,幸福儿,￥ 200,￥30,2014.05.11,"要求：1、一定要是自己写原创的，风格恶搞 搞笑，有爆点，互动性，拷贝抄袭的浪费你我的时间，大家都划不来2、微博软文符合微博传播特点，新，奇，特，搞笑幽默，让别人有想转发的欲望。3、大量使用微博热词，便于传播4、话题参考：社会热点，节假日，明星娱乐，食品安全，或其它5、如果有高质量的微博产生， 可以长期合作。6、150个字之内的微博7、交稿请上传附件并设置只有任务发布人可查看或私信或加密，也可发企-鹅：*263-576-7148 ，否则一律不合格。8、高质量微博中标后可增加悬赏9、5元一篇，高质量的可以长期合作。版权说明：A、中标的作品，我方支付费用完成交易后，即拥有该产品的独立完整知识产权，包括著作权、使用权和发布权，有权对设计作品进行修改、组合与应用。B、设计者不得将该作品再发布到其他任何媒体上，或为第三方提供该作品创意方案，否则构成侵权。征集结果公布后，未采用的作品即可自行处理。C、所撰写作品为原创第一次发布,原创文章内容以百度、谷歌搜索不到为准，未侵犯他人的著作权。如有侵犯他人著作权，由作者承担所有法律责任。D、一搞多投、拷贝、抄袭、伪原创勿投稿，审核的时候我们会去网上搜索，也会用文章照妖镜查看是否真的是原创",任务编号：285368,"工作室 |            
            博雅文化科技工作室","工作室 |            
            博雅文化科技工作室","工作室 |            
            博雅文化科技工作室",中原木子李,中原木子李,好您,,,,
【纪念日祝福】发送100条 恋爱100天纪念日祝福短信 一稿2元,https://task.epwk.com/286540/,20906人,56人,¥200,llzc,￥ 200,￥138,2014.05.19,520到了，刚刚好520这天是我跟女朋友恋爱一百天纪念日，希望朋友们帮助送短信祝福！任务要求：1.必须准时2.文字有创新，不落俗套，不得抄袭；3.内容格式如下：你好，我是来自某个城市的XXX网友，代你的黄子超，向陈莉莉送来了你们恋爱100天纪念日祝福：（自由发挥祝福语）4.发送时间限制：2014年5月20日6：00------20：00，不在此时间发送恕不采纳！切记！5.切勿回复或接听电话，请大家保密，不要透漏一品威客网发布的信息，拜谢！6.短信接收人号码：13690857705 最后，感谢热心人帮忙。7。一个电话号码只能提交一个稿件，交稿提交截图，截图要显示发送的时间发送祝福短信 希望给女朋友个惊喜 谢谢各位好心威客,任务编号：286540,"工作室 |            
            道乐图文工作室","个人 |            
            尽心尽力啦",liwei790606,"个人 |            
            天马行空dxy8的店铺",zhang5531315,ousasa,吴家小旋风,"工作室 |            
            紫萱缘创意文案工作室","工作室 |            
            婉婉玉婷",q490151944
