标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,知识
【包装设计】产品包装设计,https://task.epwk.com/700415/,444人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,产品包装设计,直接雇佣￥ 1000,￥ 1000,任务编号：700415,1196-1414.csv,,,,"产品包装, 设计"
【其他工业设计】灯光量化 （亮化工程、LED照明、LED显示屏、LED广告）,https://task.epwk.com/700420/,2160人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,灯光量化 （亮化工程、LED照明、LED显示屏、LED广告）,直接雇佣￥ 10000,￥ 10000,任务编号：700420,1196-1414.csv,,,,"灯光量化, 亮化工程, LED照明, LED显示屏, LED广告"
【小程序开发】同城生活小程序,https://task.epwk.com/700426/,126人,1人,"¥15,880",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,同城生活小程序,直接雇佣￥ 15880,￥ 15880,任务编号：700426,1196-1414.csv,,,,"同城生活, 小程序"
【宣传单设计】朋友圈单图设计,https://task.epwk.com/700427/,477人,1人,¥600,圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,朋友圈单图设计,直接雇佣￥ 600,￥ 600,任务编号：700427,1196-1414.csv,,,,朋友圈单图设计
【APP开发】修改bug,https://task.epwk.com/700434/,172人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,修改bug,直接雇佣￥ 1000,￥ 1000,任务编号：700434,1196-1414.csv,,,,bug修改
【APP开发】全文检索python功能开发,https://task.epwk.com/700435/,591人,1人,"¥16,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,全文检索python功能开发,直接雇佣￥ 16000,￥ 16000,任务编号：700435,1196-1414.csv,,,,"全文检索, python功能"
【小程序开发】监控系统后台小程序开发,https://task.epwk.com/700439/,406人,1人,"¥28,700",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,监控系统后台小程序开发,直接雇佣￥ 28700,￥ 28700,任务编号：700439,1196-1414.csv,,,,"监控系统, 后台小程序, 系统开发"
画册设计,https://task.epwk.com/700446/,97人,1人,"¥7,000",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,画册设计,直接雇佣￥ 7000,￥ 7000,任务编号：700446,1196-1414.csv,,,,"画册, 设计"
【小程序开发】区块链快讯采集站 区块链门户站 虚拟货币/狗狗币/ICO/挖矿开发,https://task.epwk.com/700447/,715人,1人,"¥9,800",圆满完成,https://task.epwk.com/page1228.html?m=6&o=7,区块链快讯采集站 区块链门户站 虚拟货币/狗狗币/ICO/挖矿开发,直接雇佣￥ 9800,￥ 9800,任务编号：700447,1196-1414.csv,,,,"虚拟货币, 狗狗币, ICO, 挖矿"
【小程序开发】我向来发一个考试系统网页版,https://task.epwk.com/700452/,472人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,我向来发一个考试系统网页版,直接雇佣￥ 5000,￥ 5000,任务编号：700452,1196-1414.csv,,,,"考试系统, 网页版"
直播视频APP开发一期,https://task.epwk.com/700470/,60人,1人,"¥43,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,直播视频APP开发一期,直接雇佣￥ 43000,￥ 43000,任务编号：700470,1196-1414.csv,,,,"直播视频, APP开发, 一期"
直播视频APP开发二期,https://task.epwk.com/700471/,60人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,直播视频APP开发二期,直接雇佣￥ 40000,￥ 40000,任务编号：700471,1196-1414.csv,,,,"直播视频, APP开发, 二期"
直播视频APP开发三期,https://task.epwk.com/700474/,73人,1人,"¥30,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,直播视频APP开发三期,直接雇佣￥ 30000,￥ 30000,任务编号：700474,1196-1414.csv,,,,"直播视频, APP开发, 三期"
包装公司电商平台开发,https://task.epwk.com/700475/,103人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,包装公司电商平台开发,直接雇佣￥ 50000,￥ 50000,任务编号：700475,1196-1414.csv,,,,"电商平台, 包装公司, 电商平台开发"
【APP开发】包装公司电商平台开发,https://task.epwk.com/700476/,158人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,包装公司电商平台开发,直接雇佣￥ 50000,￥ 50000,任务编号：700476,1196-1414.csv,,,,"电商平台, 包装公司, 电商平台开发"
【APP开发】包装公司电商平台开发,https://task.epwk.com/700477/,183人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,包装公司电商平台开发,直接雇佣￥ 50000,￥ 50000,任务编号：700477,1196-1414.csv,,,,"电商平台, 包装公司, 电商平台开发"
企业站开发,https://task.epwk.com/700478/,97人,1人,"¥22,977",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,企业站开发,直接雇佣￥ 22977,￥ 22977,任务编号：700478,1196-1414.csv,,,,"企业站, 网站开发"
【APP开发】外卖配送app开发,https://task.epwk.com/700483/,343人,1人,"¥44,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,外卖配送app开发,直接雇佣￥ 44000,￥ 44000,任务编号：700483,1196-1414.csv,,,,"外卖配送, app开发"
【微信开发】微信小游戏开发,https://task.epwk.com/700484/,407人,1人,"¥39,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,微信小游戏开发,直接雇佣￥ 39000,￥ 39000,任务编号：700484,1196-1414.csv,,,,"微信小游戏, 开发"
【APP开发】网约车APP开发城际拼车一期,https://task.epwk.com/700486/,215人,1人,"¥39,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,网约车APP开发城际拼车一期,直接雇佣￥ 39000,￥ 39000,任务编号：700486,1196-1414.csv,,,,"网约车, 城际拼车, APP开发"
【APP开发】团购网站及app开发三期,https://task.epwk.com/700487/,216人,1人,"¥42,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,团购网站及app开发三期,直接雇佣￥ 42000,￥ 42000,任务编号：700487,1196-1414.csv,,,,"团购网站, app开发, 三期"
【APP开发】团购网站及app开发四期,https://task.epwk.com/700490/,147人,1人,"¥48,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,团购网站及app开发四期,直接雇佣￥ 48000,￥ 48000,任务编号：700490,1196-1414.csv,,,,"团购网站, app开发, 四期"
【微信开发】公众号开发,https://task.epwk.com/700495/,274人,1人,"¥8,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,公众号开发,直接雇佣￥ 8000,￥ 8000,任务编号：700495,1196-1414.csv,,,,微信公众号
【其他软件开发】购买服务器费用,https://task.epwk.com/700498/,185人,1人,"¥5,166",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,购买服务器费用,直接雇佣￥ 5166,￥ 5166,任务编号：700498,1196-1414.csv,,,,"购买服务器, 费用"
【宣传册设计】画册设计,https://task.epwk.com/700500/,271人,1人,"¥4,650",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,画册设计,直接雇佣￥ 4650,￥ 4650,任务编号：700500,1196-1414.csv,,,,"画册, 设计"
【LOGO设计】漫画logo设计,https://task.epwk.com/700504/,542人,1人,¥300,圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,漫画logo设计,直接雇佣￥ 300,￥ 300,任务编号：700504,1196-1414.csv,,,,"漫画, logo"
【其他行业】交易软件开发,https://task.epwk.com/700507/,344人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,交易软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：700507,1196-1414.csv,,,,"交易软件, 软件开发"
【其他行业】交易软件开发二期,https://task.epwk.com/700508/,270人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,交易软件开发二期,直接雇佣￥ 10000,￥ 10000,任务编号：700508,1196-1414.csv,,,,"交易软件, 软件开发, 二期"
【APP开发】音乐软件bug修复2,https://task.epwk.com/700509/,234人,1人,"¥6,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,音乐软件bug修复2,直接雇佣￥ 6000,￥ 6000,任务编号：700509,1196-1414.csv,,,,"音乐软件, bug修复"
【其他行业】电商平台开发,https://task.epwk.com/700510/,272人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,电商平台开发,直接雇佣￥ 50000,￥ 50000,任务编号：700510,1196-1414.csv,,,,"电商平台, 开发"
【企业官网】手机店电商网站,https://task.epwk.com/700514/,108人,1人,"¥9,678",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,手机店电商网站,直接雇佣￥ 9678,￥ 9678,任务编号：700514,1196-1414.csv,,,,"手机店, 电商网站"
【小程序开发】电商定制后台服务开发,https://task.epwk.com/700516/,283人,1人,"¥7,855",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,电商定制后台服务开发,直接雇佣￥ 7855,￥ 7855,任务编号：700516,1196-1414.csv,,,,"电商定制, 后台服务, 服务开发"
【APP开发】【微信小程序】直播小程序丨三级分销丨积分商城丨拼团秒杀丨小程序定制开发,https://task.epwk.com/700521/,420人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,【微信小程序】直播小程序丨三级分销丨积分商城丨拼团秒杀丨小程序定制开发,直接雇佣￥ 10000,￥ 10000,任务编号：700521,1196-1414.csv,,,,"微信小程序, 直播, 分销, 积分商城, 拼团秒杀, 小程序定制"
【电商】电商系统软件开发,https://task.epwk.com/700524/,240人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,电商系统软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：700524,1196-1414.csv,,,,"电商系统, 软件开发"
【电商】电商系统软件开发二期,https://task.epwk.com/700525/,288人,1人,"¥40,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,电商系统软件开发二期,直接雇佣￥ 40000,￥ 40000,任务编号：700525,1196-1414.csv,,,,"电商系统, 软件开发, 二期"
【APP开发】【微信定制开发】丨微商城定制丨服务号开发丨微网站制作丨微商城丨微分销,https://task.epwk.com/700526/,322人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,【微信定制开发】丨微商城定制丨服务号开发丨微网站制作丨微商城丨微分销,直接雇佣￥ 10000,￥ 10000,任务编号：700526,1196-1414.csv,,,,"微信定制开发, 微商城, 服务号开发, 微网站制作, 微分销"
【LOGO设计】餐饮logo,https://task.epwk.com/700530/,193人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,餐饮logo,直接雇佣￥ 1500,￥ 1500,任务编号：700530,1196-1414.csv,,,,"餐饮, logo"
【微信开发】微信小程序行业模板  +自定义装修+定制开发服务,https://task.epwk.com/700533/,240人,1人,"¥1,680",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,微信小程序行业模板  +自定义装修+定制开发服务,直接雇佣￥ 1680,￥ 1680,任务编号：700533,1196-1414.csv,,,,"微信小程序, 行业模板, 自定义装修, 定制开发"
【LOGO设计】教育培训logo,https://task.epwk.com/700534/,396人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1227.html?m=6&o=7,教育培训logo,直接雇佣￥ 1500,￥ 1500,任务编号：700534,1196-1414.csv,,,,"教育培训, logo"
【排版设计】公司内部刊物设计排版,https://task.epwk.com/700535/,371人,1人,"¥1,280",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,公司内部刊物设计排版,直接雇佣￥ 1280,￥ 1280,任务编号：700535,1196-1414.csv,,,,"公司刊物, 设计排版"
【LOGO设计】零售店logo设计,https://task.epwk.com/700536/,124人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,零售店logo设计,直接雇佣￥ 1500,￥ 1500,任务编号：700536,1196-1414.csv,,,,"零售店, logo设计"
【LOGO设计】汽车店logo设计,https://task.epwk.com/700543/,465人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,汽车店logo设计,直接雇佣￥ 1500,￥ 1500,任务编号：700543,1196-1414.csv,,,,"汽车店, logo设计"
【LOGO设计】清洁服务logo设计,https://task.epwk.com/700546/,583人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,清洁服务logo设计,直接雇佣￥ 1500,￥ 1500,任务编号：700546,1196-1414.csv,,,,"清洁服务, logo设计"
【LOGO设计】农业机械logo,https://task.epwk.com/700548/,322人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,农业机械logo,直接雇佣￥ 1500,￥ 1500,任务编号：700548,1196-1414.csv,,,,"农业机械, logo"
【LOGO设计】KTVlogo设计,https://task.epwk.com/700553/,266人,1人,"¥1,500",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,KTVlogo设计,直接雇佣￥ 1500,￥ 1500,任务编号：700553,1196-1414.csv,,,,"KTV, logo"
【VI设计】地产项目月度提报,https://task.epwk.com/700555/,144人,1人,"¥19,885",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,地产项目月度提报,直接雇佣￥ 19885,￥ 19885,任务编号：700555,1196-1414.csv,,,,"地产项目, 月度提报"
【LOGO设计】百货公司logo,https://task.epwk.com/700569/,117人,1人,¥300,圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,百货公司logo,直接雇佣￥ 300,￥ 300,任务编号：700569,1196-1414.csv,,,,"百货公司, logo"
【LOGO设计】塑料公司logo设计,https://task.epwk.com/700574/,232人,1人,¥300,圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,塑料公司logo设计,直接雇佣￥ 300,￥ 300,任务编号：700574,1196-1414.csv,,,,"塑料公司, logo设计"
【LOGO设计】面包店logo设计,https://task.epwk.com/700583/,274人,1人,¥300,圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,面包店logo设计,直接雇佣￥ 300,￥ 300,任务编号：700583,1196-1414.csv,,,,"面包店, logo设计"
【APP开发】共享直播软件开发第二期,https://task.epwk.com/700591/,271人,1人,"¥25,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,共享直播软件开发第二期,直接雇佣￥ 25000,￥ 25000,任务编号：700591,1196-1414.csv,,,,"共享直播, 软件开发, 直播功能"
【APP开发】我想开发一个学生点名的app,https://task.epwk.com/700603/,642人,1人,"¥3,900",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,我想开发一个学生点名的app,直接雇佣￥ 3900,￥ 3900,任务编号：700603,1196-1414.csv,,,,"学生点名, app开发"
物流app,https://task.epwk.com/700608/,96人,1人,"¥20,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,物流app,直接雇佣￥ 20000,￥ 20000,任务编号：700608,1196-1414.csv,,,,"物流, app"
【创意短视频】电视节目外包 第十集,https://task.epwk.com/700636/,552人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,电视节目外包 第十集,直接雇佣￥ 50000,￥ 50000,任务编号：700636,1196-1414.csv,,,,"电视节目, 外包, 第十集"
【其他软件开发】程序功能修改,https://task.epwk.com/700685/,344人,1人,"¥26,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,程序功能修改,直接雇佣￥ 26000,￥ 26000,任务编号：700685,1196-1414.csv,,,,"程序功能, 修改"
【APP开发】物流网站开发1期,https://task.epwk.com/700687/,325人,1人,"¥15,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,物流网站开发1期,直接雇佣￥ 15000,￥ 15000,任务编号：700687,1196-1414.csv,,,,"物流网站, 网站开发"
【APP开发】APP开发,https://task.epwk.com/700710/,250人,1人,"¥25,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,APP开发,直接雇佣￥ 25000,￥ 25000,任务编号：700710,1196-1414.csv,,,,APP开发
年会海报设计,https://task.epwk.com/700729/,129人,1人,¥200,圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,年会海报设计,直接雇佣￥ 200,￥ 200,任务编号：700729,1196-1414.csv,,,,"年会, 海报设计"
【企业官网】网站活动店铺装修策划设计,https://task.epwk.com/700749/,208人,1人,"¥19,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,网站活动店铺装修策划设计,直接雇佣￥ 19000,￥ 19000,任务编号：700749,1196-1414.csv,,,,"网站活动, 店铺装修, 策划设计"
【海报设计】地产海报设计3套,https://task.epwk.com/700755/,539人,1人,"¥24,999",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,地产海报设计3套,直接雇佣￥ 24999,￥ 24999,任务编号：700755,1196-1414.csv,,,,"地产海报, 设计, 海报设计"
【海报设计】地产项目招商整套物料设计,https://task.epwk.com/700758/,386人,1人,"¥9,999",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,地产项目招商整套物料设计,直接雇佣￥ 9999,￥ 9999,任务编号：700758,1196-1414.csv,,,,"地产项目招商, 物料设计"
【APP推广】QQ群推广,https://task.epwk.com/700759/,501人,1人,¥450,圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,QQ群推广,直接雇佣￥ 450,￥ 450,任务编号：700759,1196-1414.csv,,,,"QQ群, 推广"
【包装设计】餐饮品牌设计,https://task.epwk.com/700762/,256人,1人,"¥30,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,餐饮品牌设计,直接雇佣￥ 30000,￥ 30000,任务编号：700762,1196-1414.csv,,,,"餐饮品牌, 设计"
【脚本开发】脚本制作,https://task.epwk.com/700764/,569人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,脚本制作,直接雇佣￥ 1000,￥ 1000,任务编号：700764,1196-1414.csv,,,,脚本制作
【脚本开发】脚本制作,https://task.epwk.com/700765/,352人,1人,"¥1,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,脚本制作,直接雇佣￥ 1000,￥ 1000,任务编号：700765,1196-1414.csv,,,,脚本制作
微商分销系统平台开发,https://task.epwk.com/700768/,75人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,微商分销系统平台开发,直接雇佣￥ 50000,￥ 50000,任务编号：700768,1196-1414.csv,,,,"微商分销系统, 平台开发"
【企业官网】企业网站建设,https://task.epwk.com/700769/,190人,1人,"¥2,800",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,企业网站建设,直接雇佣￥ 2800,￥ 2800,任务编号：700769,1196-1414.csv,,,,"企业网站, 网站建设"
微商分销系统平台开发二期,https://task.epwk.com/700770/,139人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,微商分销系统平台开发二期,直接雇佣￥ 50000,￥ 50000,任务编号：700770,1196-1414.csv,,,,"微商分销系统, 平台开发, 二期"
微商分销系统平台开发三期,https://task.epwk.com/700773/,76人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,微商分销系统平台开发三期,直接雇佣￥ 50000,￥ 50000,任务编号：700773,1196-1414.csv,,,,"微商分销系统, 平台开发, 三期"
产品包装设计,https://task.epwk.com/700782/,184人,1人,"¥2,000",圆满完成,https://task.epwk.com/page1226.html?m=6&o=7,产品包装设计,直接雇佣￥ 2000,￥ 2000,任务编号：700782,1196-1414.csv,,,,"产品包装, 设计"
【三维动画】贴图,https://task.epwk.com/700798/,1032人,1人,"¥7,440",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,贴图,直接雇佣￥ 7440,￥ 7440,任务编号：700798,1196-1414.csv,,,,贴图
Logo设计,https://task.epwk.com/700800/,72人,1人,¥888,圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,Logo设计,直接雇佣￥ 888,￥ 888,任务编号：700800,1196-1414.csv,,,,Logo设计
【APP开发】社交聊天APP二期功能开发,https://task.epwk.com/700801/,209人,1人,"¥48,500",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,社交聊天APP二期功能开发,直接雇佣￥ 48500,￥ 48500,任务编号：700801,1196-1414.csv,,,,"社交聊天, APP, 功能开发"
Logo设计,https://task.epwk.com/700807/,140人,1人,¥888,圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,Logo设计,直接雇佣￥ 888,￥ 888,任务编号：700807,1196-1414.csv,,,,Logo设计
【APP开发】益智游戏开发,https://task.epwk.com/700848/,200人,1人,"¥15,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,益智游戏开发,直接雇佣￥ 15000,￥ 15000,任务编号：700848,1196-1414.csv,,,,"益智游戏, 游戏开发"
VIS手册设计,https://task.epwk.com/700886/,277人,1人,"¥10,400",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,VIS手册设计,直接雇佣￥ 10400,￥ 10400,任务编号：700886,1196-1414.csv,,,,VIS手册设计
产品拍摄,https://task.epwk.com/700891/,148人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,产品拍摄,直接雇佣￥ 10000,￥ 10000,任务编号：700891,1196-1414.csv,,,,"产品拍摄, 产品摄影"
产品拍摄费用补充,https://task.epwk.com/700894/,90人,1人,"¥1,623",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,产品拍摄费用补充,直接雇佣￥ 1623,￥ 1623,任务编号：700894,1196-1414.csv,,,,"产品拍摄, 费用补充"
【H5设计】H5页面交互设计,https://task.epwk.com/700898/,1612人,1人,"¥1,100",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,H5页面交互设计,直接雇佣￥ 1100,￥ 1100,任务编号：700898,1196-1414.csv,,,,"H5页面, 交互设计"
【图片处理】鸟巢冰雪嘉年华照片精修,https://task.epwk.com/700911/,352人,1人,"¥1,970",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,鸟巢冰雪嘉年华照片精修,直接雇佣￥ 1970,￥ 1970,任务编号：700911,1196-1414.csv,,,,"鸟巢, 冰雪嘉年华, 照片精修"
【LOGO设计】服装新品牌LOGO设计,https://task.epwk.com/700919/,314人,1人,"¥1,980",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,服装新品牌LOGO设计,直接雇佣￥ 1980,￥ 1980,任务编号：700919,1196-1414.csv,,,,"服装品牌, LOGO设计"
【APP开发】软件平台开发,https://task.epwk.com/700929/,491人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,软件平台开发,直接雇佣￥ 5000,￥ 5000,任务编号：700929,1196-1414.csv,,,,"软件平台, 开发"
【OA系统】办公软件开发,https://task.epwk.com/700930/,433人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,办公软件开发,直接雇佣￥ 50000,￥ 50000,任务编号：700930,1196-1414.csv,,,,"办公软件, 开发"
包装设计,https://task.epwk.com/700932/,53人,1人,"¥6,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,包装设计,直接雇佣￥ 6000,￥ 6000,任务编号：700932,1196-1414.csv,,,,包装设计
【APP开发】家具电商平台及公众号开发一期,https://task.epwk.com/700946/,132人,1人,"¥44,500",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,家具电商平台及公众号开发一期,直接雇佣￥ 44500,￥ 44500,任务编号：700946,1196-1414.csv,,,,"家具电商, 公众号, 一期开发"
网站建设,https://task.epwk.com/700949/,155人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,网站建设,直接雇佣￥ 5000,￥ 5000,任务编号：700949,1196-1414.csv,,,,网站建设
【APP开发】积分商城APP开发,https://task.epwk.com/700951/,263人,1人,"¥62,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,积分商城APP开发,直接雇佣￥ 62000,￥ 62000,任务编号：700951,1196-1414.csv,,,,"积分商城, APP开发"
【APP开发】积分商城APP开发第二期,https://task.epwk.com/700952/,251人,1人,"¥35,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,积分商城APP开发第二期,直接雇佣￥ 35000,￥ 35000,任务编号：700952,1196-1414.csv,,,,"积分商城, APP开发, 第二期"
【APP开发】团购网站及app开发三期,https://task.epwk.com/700966/,194人,1人,"¥13,900",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,团购网站及app开发三期,直接雇佣￥ 13900,￥ 13900,任务编号：700966,1196-1414.csv,,,,"团购网站, app开发, 三期"
【APP开发】儿童性教育掌上学院APP开发,https://task.epwk.com/700969/,420人,1人,"¥12,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,儿童性教育掌上学院APP开发,直接雇佣￥ 12000,￥ 12000,任务编号：700969,1196-1414.csv,,,,"儿童性教育, 掌上学院, APP开发"
【其他建筑设计】帮我设计一个办公空间,https://task.epwk.com/700971/,621人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,帮我设计一个办公空间,直接雇佣￥ 3000,￥ 3000,任务编号：700971,1196-1414.csv,,,,"办公空间, 设计"
商城开发,https://task.epwk.com/700974/,87人,1人,"¥30,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,商城开发,直接雇佣￥ 30000,￥ 30000,任务编号：700974,1196-1414.csv,,,,"商城系统, 开发"
商城开发,https://task.epwk.com/700977/,126人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,商城开发,直接雇佣￥ 10000,￥ 10000,任务编号：700977,1196-1414.csv,,,,"商城系统, 开发"
【其他建筑设计】展位设计,https://task.epwk.com/700978/,592人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,展位设计,直接雇佣￥ 5000,￥ 5000,任务编号：700978,1196-1414.csv,,,,展位设计
商城小程序开发,https://task.epwk.com/700979/,268人,1人,"¥10,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,商城小程序开发,直接雇佣￥ 10000,￥ 10000,任务编号：700979,1196-1414.csv,,,,"商城小程序, 开发"
【APP开发】小程序二开,https://task.epwk.com/700980/,158人,1人,"¥3,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,小程序二开,直接雇佣￥ 3000,￥ 3000,任务编号：700980,1196-1414.csv,,,,"小程序, 二次开发"
【企业官网】已经电话谈好,https://task.epwk.com/700984/,193人,1人,"¥8,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,已经电话谈好,直接雇佣￥ 8000,￥ 8000,任务编号：700984,1196-1414.csv,,,,电话沟通
【宣传单设计】车行单页,https://task.epwk.com/700994/,505人,1人,¥200,圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,车行单页,直接雇佣￥ 200,￥ 200,任务编号：700994,1196-1414.csv,,,,"车行, 单页设计"
【ERP系统】做个管理系统,https://task.epwk.com/701026/,1500人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,做个管理系统,直接雇佣￥ 50000,￥ 50000,任务编号：701026,1196-1414.csv,,,,管理系统
【OA系统】做个管理系统,https://task.epwk.com/701027/,1594人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1225.html?m=6&o=7,做个管理系统,直接雇佣￥ 50000,￥ 50000,任务编号：701027,1196-1414.csv,,,,管理系统
【OA系统】做个管理系统,https://task.epwk.com/701028/,1717人,1人,"¥50,000",圆满完成,https://task.epwk.com/page1224.html?m=6&o=7,做个管理系统,直接雇佣￥ 50000,￥ 50000,任务编号：701028,1196-1414.csv,,,,管理系统
【其他软件开发】TGP/wegame在线人气观众协议软件开发,https://task.epwk.com/701044/,548人,1人,"¥5,000",圆满完成,https://task.epwk.com/page1224.html?m=6&o=7,TGP/wegame在线人气观众协议软件开发,直接雇佣￥ 5000,￥ 5000,任务编号：701044,1196-1414.csv,,,,"TGP, wegame, 在线观众, 协议软件"
【微信推广】一年互联网广告,https://task.epwk.com/701047/,159人,1人,"¥7,165",圆满完成,https://task.epwk.com/page1224.html?m=6&o=7,一年互联网广告,直接雇佣￥ 7165,￥ 7165,任务编号：701047,1196-1414.csv,,,,"互联网广告, 年度广告"
