标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,参与交稿,设计师,字段1_link,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【品牌起名】外送火锅品牌取名,https://task.epwk.com/390442/,4293人,125人,¥100,圆满完成,单人悬赏,mf185****1526,外送火锅品牌取名 ， 有思想  必须是原创 能够注册  不能抄袭  造成侵权 类似于“奔跑吧火锅”,2015.11.10,2015.12.21,任务编号：390442,￥ 100,143,【柳字创】,https://shop.epwk.com/omdwkx77qdrp/,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】狐貉貂饲料的广告语征集,https://task.epwk.com/390386/,4103人,49人,¥150,圆满完成,单人悬赏,华耀牧业,产品名：母子健要求：突出我们的性价比和功能     附件内有产品资料,2015.11.10,2015.12.19,任务编号：390386,￥ 150,57,千亿工作室,https://shop.epwk.com/v0n1xrq9457y/,https://shop.epwk.com/v0n1xrq9457y/chushou/,工作室,九品,37分,,,,,,,,,,,,,,,,,,,,
【商业提案】广告语征集,https://task.epwk.com/390296/,8013人,97人,¥500,圆满完成,单人悬赏,mf135****2223,1、珠宝广告语以钻石、黄金、彩金的戒指、手镯、项链为主。法国设计理念，国际风范，一句话，不得超于20个字，以浪漫 高大尚为主。广告语不得用已经出现在其他公司的网站或宣传资料上的。共计10条,2015.11.09,2015.12.01,任务编号：390296,￥ 500,131,千金一观 的铺子,https://shop.epwk.com/09drjjvme53w/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】文玩公司品牌取名,https://task.epwk.com/389997/,6586人,118人,¥100,圆满完成,单人悬赏,mf186****7726,一个做文玩的商务公司，设计一个比较有创意的商标名称，名称要与文玩相结合，比如手串、把玩件等等一系列的。要有创意不死板，稳重大气，发挥您的大脑，尽情发挥吧！,2015.11.07,2016.07.28,任务编号：389997,￥ 100,134,mf13739110937,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】微信公众号或者APP取名,https://task.epwk.com/389853/,4531人,105人,¥100,圆满完成,单人悬赏,一岁得鲁,我们现在要成立一个新的互联网广告公司，从网上下单，我们全程一条龙式服务。我们的优势是价格低，服务快，质量好，最重要的是给客户提供方便。名字要容易记忆，上口，趣味性一些。这些是我想的名字印东印西。创吧。魔法棒。印趣社。美图美印。印记•美设。8090。爱尚。图特美。新印设。是不是•广告都不是特别满意。望小伙伴脑洞大开，多多献策！！！名字必须注册使用,2015.11.06,2015.11.19,任务编号：389853,￥ 100,115,学无止境,https://shop.epwk.com/rp5z44jyxdx3/,https://shop.epwk.com/rp5z44jyxdx3/chushou/,个人,九品,36分,,,,,,,,,,,,,,,,,,,,
【宝宝起名】给男孩取名,https://task.epwk.com/389812/,6466人,140人,¥100,圆满完成,单人悬赏,笑笑笑小,给孩子起个名字12月生 姓齐，最好不要起带“忄”、“犭”、“糸。“车”、“氵”、“山”、“日”、“火”的 谐音不好三个字 的名字最佳，带注释,2015.11.06,2015.11.26,任务编号：389812,￥ 100,154,半爿设计,https://shop.epwk.com/p05qje6y1dev/,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】花呗变现广告语征集,https://task.epwk.com/389803/,15320人,162人,¥100,圆满完成,单人悬赏,mf139****9137,花呗变现，广告语一定要包含QQ 929691169，响亮，容易记住。不清楚，加QQ 929691169沟通了解,2015.11.06,2015.12.05,任务编号：389803,￥ 100,182,仕尔SHIER,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】电子商务批发商标起名,https://task.epwk.com/389698/,4001人,90人,¥250,圆满完成,单人悬赏,o563b79258fda6,行业：互联网服务，电子商务；产品：通讯产品，手机配件，网络产品，电脑产品，商超便利店产品批发；要求：确定可以注册35类服务商标，注册成功率要大，想到的商标名请先咨询下商标注册公司可不可以注册，名字要大气、有美感，好记，有互联网特色，类似商标名称有阿里巴巴、优聚，即送网，聚商等，不接受的类似商标名称：美乐购，这种商标名带有便利店特色，字数：四字以内。,2015.11.05,2015.12.06,任务编号：389698,￥ 250,106,为您起好名,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】律师事务所广告语,https://task.epwk.com/389636/,6436人,79人,¥300,圆满完成,单人悬赏,中天成律师事务所,我新设的律师事务所名称叫“福建知茂律师事务所”广告语要求：（1）包含知和茂两个字的两句短语                   （2）与律师服务有关的联系方式QQ：370023586,2015.11.05,2015.11.22,任务编号：389636,￥ 300,99,高阁雅依创意工作室,https://shop.epwk.com/p05qjor3ydev/,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】品牌标语征集,https://task.epwk.com/389624/,4090人,52人,¥100,圆满完成,单人悬赏,mf132****1278,品牌口号撰写中医线上问诊APP1、标语核心体现出以下内容意思： 放心中医，放心中药。2、字数不要过多，就是标语的长度，16个字之内3、企业名称为：冬日中医 。 有意投标者可以百度，以获取更详细的内容。,2015.11.05,2015.11.19,任务编号：389624,￥ 100,65,good  idea,https://shop.epwk.com/7lngq7rxrdmr/,,,,,,,,,,,,,,,,,,,,,,,,
【广告策划】公司简单的宣传语征集,https://task.epwk.com/389614/,5795人,80人,¥100,圆满完成,单人悬赏,wsnwa,林下公社是诚品快拍旗下一个全新的移动电商项目，致力于整合林下安全食品种植、采摘、生产、加工、电商销售及配送的全产业链，成为目前唯一一家林下食品移动电商平台，专注运营林下产品，为广大消费者提供来自大自然、大森林下的安全食品，专注健康生活，只做高品质食品。定位：提供林下全产业链产品移动电商平台，致力于为广大用户提供品类齐全、诚信服务、方便快捷的一站式移动电商平台。使命：只做高品质、纯天然林下全产业链产品，用互联网先进的系统平台和创新的商业模式，创造最大价值。现有食品类别：枸杞系列、大米系列、菌类系列、茶油系列、蓝莓系列、冰酒系列。宣传语需要放到海报里的，要求朗朗上口,2015.11.05,2015.11.26,任务编号：389614,￥ 100,103,女先生,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】海外置业咨询公司起名,https://task.epwk.com/389574/,4611人,56人,¥200,圆满完成,单人悬赏,Mr137****2926,"海外置业咨询公司名称征集，本公司位于上海不限字数，公司行业为资产管理有限公司公司主要销售海外房产及相关的配套服务。要求：1、名称响亮，易记，文雅，与公司业务相关联  (必需可以注册公司的)2、最好有中、英文两种名称，并可注册商标3、附上创意说明。知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2015.11.05,2016.01.18,任务编号：389574,￥ 200,63,byt_lei,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】品牌取名,https://task.epwk.com/389568/,4723人,85人,¥100,圆满完成,单人悬赏,mf151****4196,本公司主要从事本地区农特产品互联网销售。取名要求1.则是本地区农特产品统一的品牌名以及2.各电商平台统一的店铺名，公司地址位于四川省万源市（达州）。3.名字必须要通过注册,2015.11.05,2016.01.18,任务编号：389568,￥ 100,94,极限创意设计,https://shop.epwk.com/7g5yk40rkn0q/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】咖啡厅品牌起名,https://task.epwk.com/389520/,4651人,134人,¥100,圆满完成,单人悬赏,mf133****0105,咖啡厅品牌起名服务。品牌需要注册商标。咖餐厅名字要求：1.曾加盟“咖啡之翼”，希望取类似名称“XX咖啡”或“咖啡XX”2.名字风格要求文艺清新，或者国际范儿3.消费群体定位为年轻群体4.名字效果呈现：“XX咖啡·咖餐厅”或“咖啡XX·咖餐厅”（注：后面的“·咖餐厅”必须加上）,2015.11.05,2015.12.12,任务编号：389520,￥ 100,146,mf13429876372,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】征集儿童服装店铺取名,https://task.epwk.com/389516/,4128人,86人,¥100,圆满完成,单人悬赏,mf186****6868,儿童服装四字以类，中英结合名字无限制，但念起来要顺口，不能拗口或有歧义，需要大气好记，能体现行业特点,2015.11.05,2015.11.28,任务编号：389516,￥ 100,97,艾豆笔尖,https://shop.epwk.com/81n41pql0np6/,,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】新娘婚纱造型馆名字征集,https://task.epwk.com/389476/,4007人,67人,¥100,圆满完成,单人悬赏,mf177****2806,"1.店名需两字或三字都可以，例如xx婚纱造型馆，要求有创意，简单大气，易记易懂，能跟婚纱造型馆气息相吻合.要有中英文注释，便于客户理解，有广告语最好2.该店由两人一起开的，两人名字开头字母一个是H，一个是W，英文如果能把两人名字开头字母弄进去是最好了(给亲们参考下如:AMLlY 艾米丽婚纱造型BobbiSister时尚新娘之类的）拜托能起个高大上的名，谢谢啦知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2015.11.05,2015.12.21,任务编号：389476,￥ 100,77,【柳字创】,https://shop.epwk.com/omdwkx77qdrp/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】轴承公司名字征集,https://task.epwk.com/389451/,5568人,59人,¥200,圆满完成,单人悬赏,张正波,公司起名需要包含:英文 中文1、名字简单好记有内涵有创意但不失稳重（公司主营：轴承）2、公司名2-3个字3、可在山东注册，不能注册的为无效稿件：如山东**轴承有限公司4、所设计的作品为原创，为第一次发布，为侵犯他人的著作权。如有侵犯他人的著作权，由设计师承担所有法律责任。5、中标的设计作品，我方支付设计制作费，即拥有该产品的知识产权，包括著作权，使用权和发布权等，并有权对设计作品进行修改，组合和应用，设计者不得再向其他任何地方使用该设计作品。,2015.11.04,2015.12.10,任务编号：389451,￥ 200,67,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】水果电商公司起名和广告语征集,https://task.epwk.com/389094/,4299人,59人,¥150,圆满完成,单人悬赏,mf188****7222,经营介绍：通过微信APP销售水果、主要面向人群是在校大学生。要求：1、名字简洁 、顺口好记、配合广告语连贯。（5字之内、必须能注册）            2、可以英汉结合。           3.广告语.需要一句非常贴切商品和服务的广告语          4.附上创意说明           5.名字可以注册公司，交稿前可先去查询一下是否被注册知识产权说明：1、所取名称应为原创，为第一次发布，未在国家商标局注册过并且能通过商标查询，未侵犯他人著作权；如有侵犯他人著作权，由设计者承担所有法律责任。2.设计作品一经采用，所有权、修改权和使用权均归我方所有，设计者不得在其他任何地方使用该设计作品，包括并不限于著作权、使用权、发布权以及对设计作品进行修改、组合、应用等权利。,2015.11.02,2015.11.28,任务编号：389094,￥ 150,65,竹叶常青设计工作室,https://shop.epwk.com/omdwk09q1drp/,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】电竞座产品名称征集,https://task.epwk.com/389441/,2387人,53人,¥150,圆满完成,单人悬赏,xiaolululu,1.产品命名，跟电游，电竞，硬件有关的名字，因为我们的产品是电竞座椅的。2.名字3个或者4个字的名字.3.附上创意说明,2015.11.04,2015.11.28,任务编号：389441,￥ 150,60,o55cbd74aa1a43,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】蜂蜜品牌名字征集,https://task.epwk.com/389170/,6188人,103人,¥100,圆满完成,单人悬赏,mf134****6363,家里是三代养蜂人，养蜂是追花夺蜜的生活，四海为家。打算开个淘宝店铺，产品是纯天然蜂蜜，现在想取一个品牌名。名字通俗易懂，有内涵，体现天然健康，附上名字的解释，可商标注册。,2015.11.03,2015.11.21,任务编号：389170,￥ 100,116,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】面膜取名,https://task.epwk.com/389044/,5074人,81人,¥100,圆满完成,单人悬赏,mf186****1788,1、主要是面膜，补水嫩肤。要给这个面膜取名字。2、希望是中文2.3个字的最好，最好能把我和我男朋友的名字的其中一个字用进去。我叫：孟庆媛，赵天光。3、名字无限制，但念起来要顺，不能拗口或有歧义，需要大气，好记，能体现行业特点，同时具有国际化的风格4、名字可以注册公司，交稿前可先去查询一下是否被注册，最好看一下能注册商标。5、附上创意说明知识产权说明：1、所取名称应为原创，为第一次发布，未在国家商标局注册过并且能通过商标查询，未侵犯他人著作权；如有侵犯他人著作权，由设计者承担所有法律责任。2.设计作品一经采用，所有权、修改权和使用权均归我方所有，设计者不得在其他任何地方使用该设计作品，包括并不限于著作权、使用权、发布权以及对设计作品进行修改、组合、应用等权利。,2015.11.02,2015.12.03,任务编号：389044,￥ 100,90,竹叶常青设计工作室,https://shop.epwk.com/omdwk09q1drp/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】为一个互联网消费金融产品起名,https://task.epwk.com/388950/,7078人,177人,¥150,圆满完成,单人悬赏,mf186****3089,一个互联网消费金融产品，用于在线分期购物，与第三方商城合作，在xx商城购物支付时选择该产品可先购买，再分期还款。要一看就明显知道是分期。2-3个字皆可,2015.11.02,2015.11.16,任务编号：388950,￥ 150,192,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】公司取名,https://task.epwk.com/388781/,5309人,118人,¥100,圆满完成,单人悬赏,mf186****8855,“XX贸易有限公司”，以此为格式，公司字号两三个字。 最好能让人联系到苹果 及其它农产品。 能注册商标 LOGO,2015.10.31,2015.11.15,任务编号：388781,￥ 100,133,金点子原创工作室,https://shop.epwk.com/p05qjeg6wdev/,https://shop.epwk.com/p05qjeg6wdev/chushou/,工作室,七品,40分,,,宝宝起名,￥100,店铺起名,￥100,广告语 宝宝起名 公司起名 品牌起名 项目策划 影视制作 职称论文、毕业论文、杂文、诗歌、小说,￥100,广告策划,价格面议,诗歌、散文、小说、杂文,价格面议,品牌起名,￥100,广告语 宝宝起名 公司起名 品牌起名 项目策划 影视制作 职称论文、毕业论文、杂文、诗歌、小说,￥100,征集创意,价格面议,写书,价格面议
【宝宝起名】女宝宝起名,https://task.epwk.com/388701/,4555人,47人,¥300,圆满完成,单人悬赏,o56345f0018ece,"本人宝宝女，出生于阳历2015.10.30 上午11:18，暂时未取。父亲姓陈，属兔，1987.10.3阳历卯时。母亲姓许，属蛇，1989.8.23阳历

现特邀先生取名！取名只有三个要求:
1⃣️、要根据生辰八字，五行来
2⃣️、要上口，不随潮流到处能听到，
3⃣️、名字不要过于复杂难写！",2015.10.31,2015.11.11,任务编号：388701,￥ 300,62,加油加油加油,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】高山有机农场征集品牌名字商标,https://task.epwk.com/388670/,4375人,58人,¥200,圆满完成,单人悬赏,马伊宁,"高山有机农场（主营鲜果、猪羊），征集品牌名字商标计划运作一个生鲜果品项目，自建生态农场（在高山山地上），生产绿色蔬菜、果品，养殖猪羊，直接供给城市家庭，同时农场具备休闲采摘娱乐功能。 定位：中高端家庭。要求：名字响亮易记， 突出原生态、自然味，与自然健康相联系。请联系“高山、有机”的字眼，地处“杖锡山”、等名字：字数不限。名字必须要通过注册使用 知识产权说明：1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2015.10.31,2015.11.18,任务编号：388670,￥ 200,90,竹叶常青设计工作室,https://shop.epwk.com/omdwk09q1drp/,,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】高姓女宝宝取名,https://task.epwk.com/388651/,5369人,99人,¥100,圆满完成,单人悬赏,mf182****5072,2015年10月27日13:50出生比较讨喜的名字，听着顺耳,2015.10.31,2016.01.15,任务编号：388651,￥ 100,106,异凡策划,https://shop.epwk.com/j7n38q6j25e1/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】美术机构品牌起名,https://task.epwk.com/388515/,8111人,212人,¥200,圆满完成,单人悬赏,mf139****6937,美术机构品牌起名，需注册商标，两字或三字美术机构针对学员3-12岁，幼儿-小学的小学员，涉及课程主要是儿童画，中国画，软笔书法和硬笔书法！,2015.10.30,2016.02.06,任务编号：388515,￥ 200,243,fire69,https://shop.epwk.com/mod04g0v05yv/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】女性电商公司起名和广告语征集,https://task.epwk.com/388592/,4349人,92人,¥168,圆满完成,单人悬赏,mf132****8634,"女性电商公司商标名称和广告语征集
经营介绍：主要在电商或社交平台上销售女性滋补品，如：红糖，黑糖，蜂蜜，天然原榨果汁等。用户主要针对白领女性，20-50岁之间，帮助白领女性爱护身体，调理不适，温和滋补，提供一整套对于此类人群出现的身体问题（气色/月经舒畅/皮肤等）以及心情问题（孤独/痛苦/伤心等）的解决方案。希望白领女性在工作生活中能享受一份甜蜜，关爱照顾自己，爱护自己。
要求：
1.名字简洁易懂，有韵味，好记忆，字数在五个字以内(必需可以注册公司的)。
2.最好能满足一定女性的心理需求 比如：陪伴 关爱 安全感。。。
3.需要一句非常贴切商品和服务的广告语
4.附上创意说明
知识产权说明：
1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2015.10.30,2015.12.27,任务编号：388592,￥ 168,105,Sunflowers,https://shop.epwk.com/2j5jjjw4z5pz/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】搏击赛事名称征集,https://task.epwk.com/388339/,6851人,156人,¥200,圆满完成,单人悬赏,mf132****7799,搏击赛事主要是通过媒体举办的，中外的，顶级的散打高手对擂，希望通过这档节目能振奋起中国人的尚武精神，强身健体，保家卫国！3个字的名字,2015.10.29,2015.11.22,任务编号：388339,￥ 200,173,半爿设计,https://shop.epwk.com/p05qje6y1dev/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】食品品牌起名,https://task.epwk.com/388329/,14837人,187人,¥1078,圆满完成,单人悬赏,Mr153****3949,"食品品牌名称征集，本公司位于武汉。                            经营介绍： 主营卤制鸭产品也包括部分鸡、牛副产品，消费人群以18-35岁为主， 产品特色：卤制鸭产品，刚入口时""有点甜""，然后""越来越辣""，吃完了""嘴边还留有余香""，它皮黑肉嫩、醇厚不腻、香鲜美味，具有香、辣、麻、酥、嫩的特点，而且肉质精到、鲜嫩诱人，不仅闻的香，看了更让人欲罢不能，急于品尝;产品色泽黄中透黑，其味悠远，甜中带辣，辣中带麻，麻中带香，香味入骨，常使人垂涎三尺，食之不忘。                要求：                                    1、名称响亮，易记，文雅，突出年轻活力                            2、最好有中、英文两种名称，并可注册商标                                        3、利于广泛传播的VI设计                            知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2015.10.29,2016.01.08,任务编号：388329,￥ 1078,306,巴蜀来客,https://shop.epwk.com/2j5jj9r0z5pz/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】泰国进口食品品牌取名,https://task.epwk.com/388292/,2725人,81人,¥100,圆满完成,单人悬赏,M1385****988,本公司准备想做泰国进口食品，取个品牌的名字。必须可以注册商标的。产品以泰国特产为主，比如芒果干之类的零食。,2015.10.29,2016.01.08,任务编号：388292,￥ 100,85,锲卡设计,https://shop.epwk.com/3gd2m29pvner/,,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】宝宝名字征集,https://task.epwk.com/388156/,5474人,136人,¥200,圆满完成,单人悬赏,dqjaaa,女孩，姓邓，按家谱是贤字辈，        要求：                                    1、名字易记、顺口，能显示女孩端庄，美丽，健康成长；2、最好是带上中间的贤字。3、取的名字要有点创意，出处，起名软件起的就不要了。,2015.10.29,2015.11.17,任务编号：388156,￥ 200,143,小青欣,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】男宝宝起名,https://task.epwk.com/388136/,6177人,86人,¥168,圆满完成,单人悬赏,WEIKE****0902,男宝宝生于新历2015年9月2日午时出生.父母都姓韦，父属牛，母属龙。现在暂时起小名为“豆豆”1、要不俗气有灵性的名字。符合现代人的审美观，可带个小名。2、能有渊源，比如诗经里的之类的也不错3、和生辰八字，天地五行等对上。4、要有寓意、内涵、避免不雅同音词5、能有特色最好，别出心裁或独具匠心，但避免生僻字和难懂的字。6、谢绝电脑软件起名，谢绝大众名字，如浩轩，梓诺.强，富等......7、交稿时附带详尽的名称寓意及出处，命理分析，解释名字并说明，提交详细的起名方案8、每稿限提交三个名字以内。,2015.10.28,2016.01.22,任务编号：388136,￥ 168,92,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】服饰服装品牌起名,https://task.epwk.com/388113/,3522人,54人,¥168,圆满完成,单人悬赏,zhouhe,经营介绍：起一个25类的服装品牌名字，主要经营女性方面的服饰服装。消费人群18-39岁女性为主。 要求： 1 名字清新简洁，易记。青春活力，带有动感2到5个字(必需可以注册的)  2 特立独行，性感， 大气，品味，新潮，有内涵，音韵和谐。易于传播，尽量简短好记。 3  最好有中、英文两种，并可注册商标 25类 服装 ，中标后可以配合修改 4  附上创意说明。5  在此衷心的感谢每一位用心参与的设计师，非常感谢大家。6  有问题可以加 QQ：290656616  注意：不能注册商标的， 请不要投！抄袭来的，请不要投！谢谢！！！ 知识产权说明：     1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;    2、中标的设计作品，我方即拥有该作品的知识产权，包括著作权，使用权和发布权等，有权对设计作品进行修改、组合和应用；设计者不得再向其他任何地方使用该设计作品,2015.10.28,2015.11.21,任务编号：388113,￥ 168,62,五艺之星,https://shop.epwk.com/78dljwoxp5lx/,,,,,,,,,,,,,,,,,,,,,,,,
【品牌起名】给全国第一个垂直电商相亲交友网站取名,https://task.epwk.com/387978/,6076人,67人,¥100,圆满完成,单人悬赏,mf186****1901,给全国第一个垂直类电商相亲交友网站取名，服务于千万电商人群找对象，交朋友，找人才联系企鹅1508811934,2015.10.28,2015.12.20,任务编号：387978,￥ 100,78,byt_lei,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
【成人起名】心理咨询师起名,https://task.epwk.com/387908/,7014人,72人,¥100,圆满完成,单人悬赏,mf139****1625,"心理咨询师名称征集。                简介：提供心理咨询，服务对象：以3-18岁儿童和家长。                服务内容主要三类：                                            1、儿童教育；                            2、婚姻家庭；                            3、个人心灵成长。                            要求：                                            1、名称文雅、易记，有心理专业的感觉。                            2、附上创意说明。                            知识产权说明：                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                        2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",2015.10.28,2015.11.17,任务编号：387908,￥ 100,77,灵境策划,https://shop.epwk.com/p05qj84g1dev/,,,,,,,,,,,,,,,,,,,,,,,,
【店铺/网店起名】大理石瓷砖铺名字征集,https://task.epwk.com/387903/,7049人,160人,¥400,圆满完成,单人悬赏,o545b****56343,大理石瓷砖铺贴工具辅料店铺取名本店铺面向中高端客户，未来为连锁形式，店铺选址主要是高端建材市场内，例如红星美凯龙，欧亚达等店内。店铺主要经营大理石和瓷砖，以及铺贴过程中所有需要用到的辅料和工具，并且我们包安装，我们在店内所展示的安装工具和辅材非常先进，全面，展示出来也是为了告诉消费者在我这买石材或瓷砖会得到很好的后续安装服务。店内装潢简洁大气而不奢靡。不同于现在的瓷砖大理石店过于富丽堂皇，让消费者眼花缭乱的感觉。店铺英文名字已定，叫Tile shop现需要对应的中文名，可以是音译，也可以没有联系。店名要求不超过8个字，起名不需要太考虑风水算命因素。店名简洁大方，朗朗上口，能突出后续服务好最佳。,2015.10.28,2015.11.19,任务编号：387903,￥ 400,178,博习品牌,https://shop.epwk.com/omdwkxxrmdrp/,,,,,,,,,,,,,,,,,,,,,,,,
【公司起名】诚邀有识之士为文化传媒公司起名字,https://task.epwk.com/387843/,5755人,87人,¥400,圆满完成,单人悬赏,薛憨子,诚邀有识之士为文化传媒公司起名字，名字有寓意，美好吉祥，富于诗意联想，能起到出人意料宣传效果。公司经营范围：从事初、高中“一对一”个性化辅导；小学、初高中教辅图书批发零售。公司背景：创办者薛新起，山东省水梁山县人，1971年5月23日生于农民家庭，少时家贫，高中辍学，靠自学取得大专学历。二十岁经商谋生，足迹遍及全国二十六个省市，富有吃苦创业精神，崇文尚义。1995年起，从事图书策划、编辑、印刷发行工作。2000年在广州创办广州天阶图书有限公司。2011年创办了潢川新启快乐教育学校，侧重于初、高中“一对一”个性化辅导，少儿英语和书画教育，以当地获得广泛赞誉。为了统一公司形象，让公司有更大发展，预备于2015年11月在潢川注册创办XX文化传媒公司。起名要求：1、名字最好两个字，不能超过四个字，可以把“启”放进去，“新”字不要加，字数多如果有充足的理由亦可；2、名字要大气、时尚、易记，有内涵，音韵和谐，寓意好，朗朗上口，构思巧妙、文通隽永；3、有独特的创意，不仅易懂、易记、易识别，还要注意吸塑牌匾材料的特点，字体笔画不宜太多，不能够有生僻字；4、有让大众“过目不忘”的效果；5、应说明所取的名字价值所在，好在哪里，有什么寓意，创意何在，附上构思说明宣传语不少于50字；6、要结合初、高中学生生性活泼、好动、好奇、富于幻想、个性强等特点来综合考虑；知识产权说明：所设计的作品为原创，为第一次发布，未侵犯他人的著作权。如有侵犯他人著作权，由设计者承担所有法律责任。征集到的名字如被选中，被国家商标局通过再奖励作者一千元，以后还将长期合作。,2015.10.27,2015.11.23,任务编号：387843,￥ 400,102,梦笔文化工作室,https://shop.epwk.com/09drjjgee53w/,,,,,,,,,,,,,,,,,,,,,,,,
【宝宝起名】宝宝起名,https://task.epwk.com/387700/,5591人,60人,¥200,圆满完成,单人悬赏,mf158****2820,1.一个宝宝出生于2010年农历8月19日晚上11点45分，姓刘，男孩。要求注意五行取名！2.一个宝宝预产期于2015年农历9月26日，姓刘，男孩，要求注意五行取名！取两个宝宝的名字。,2015.10.27,2015.12.21,任务编号：387700,￥ 200,66,刘秋雨,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,
